SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  DAO     	  DAO'		  RV     	  RV'		
-97.66   	-123.29   	 60.26   	 -30.52		  4.19   	  20.35		
-103.45   	-83.92   	 60.14   	 -30.52		  4.27   	  15.26		
-78.74   	 28.08   	 60.02   	 -30.52		  4.33   	  15.26		
 -1.83   	236.21   	 59.90   	 -35.61		  4.39   	  20.35		
126.95   	546.26   	 59.76   	 -30.52		  4.48   	  20.35		
268.25   	936.89   	 59.63   	 -35.61		  4.56   	  20.35		
348.82   	1343.38   	 59.49   	 -30.52		  4.64   	  25.43		
 98.27   	1723.33   	 59.37   	 -35.61		  4.74   	  20.35		
-185.85   	1455.99   	 59.23   	 -35.61		  4.82   	  25.43		
-445.25   	878.60   	 59.08   	 -30.52		  4.92   	  25.43		
-582.28   	172.73   	 58.96   	 -30.52		  5.03   	  25.43		
-563.35   	-402.22   	 58.84   	 -30.52		  5.13   	  25.43		
-426.94   	-654.60   	 58.72   	 -25.43		  5.23   	  25.43		
-249.63   	-573.43   	 58.62   	 -30.52		  5.33   	  25.43		
-99.79   	-314.94   	 58.49   	 -25.43		  5.43   	  25.43		
-11.60   	-80.87   	 58.39   	 -25.43		  5.53   	  25.43		
 16.78   	 13.73   	 58.29   	 -25.43		  5.64   	  25.43		
  7.32   	-17.40   	 58.19   	 -25.43		  5.74   	  25.43		
-13.73   	-87.89   	 58.09   	 -30.52		  5.84   	  30.52		
-27.47   	-125.73   	 57.97   	 -25.43		  5.96   	  30.52		
-27.47   	-116.27   	 57.86   	 -20.35		  6.08   	  35.61		
-19.23   	-87.59   	 57.78   	 -25.43		  6.23   	  35.61		
-10.68   	-69.58   	 57.68   	 -25.43		  6.37   	  45.78		
 -6.10   	-71.72   	 57.58   	 -25.43		  6.55   	  45.78		
 -6.41   	-83.62   	 57.48   	 -25.43		  6.73   	  55.95		
 -9.16   	-93.38   	 57.38   	 -25.43		  6.96   	  55.95		
-13.43   	-95.83   	 57.27   	 -25.43		  7.18   	  76.30		
-17.09   	-93.08   	 57.17   	 -25.43		  7.49   	  91.56		
-17.09   	-88.20   	 57.07   	 -30.52		  7.85   	 106.82		
-10.38   	-83.62   	 56.95   	 -35.61		  8.28   	 122.07		
  1.83   	-79.65   	 56.81   	 -30.52		  8.77   	 147.51		
 15.26   	-76.60   	 56.68   	 -35.61		  9.36   	 172.94		
 24.41   	-75.38   	 56.54   	 -30.52		 10.05   	 178.03		
 27.77   	-77.21   	 56.42   	 -35.61		 10.76   	 203.46		
 26.55   	-79.35   	 56.28   	 -40.69		 11.58   	 223.80		
 25.02   	-80.57   	 56.11   	 -40.69		 12.47   	 239.06		
 23.80   	-79.35   	 55.95   	 -40.69		 13.43   	 244.15		
 22.58   	-76.90   	 55.79   	 -40.69		 14.40   	 254.32		
 21.36   	-75.99   	 55.63   	 -45.78		 15.42   	 264.50		
