SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RFA     	  RFA'		  RV     	  RV'		
238.04   	390.93   	 60.12   	 208.54		 35.42   	  40.69		
239.56   	404.66   	 60.96   	 208.54		 35.58   	  45.78		
236.21   	411.99   	 61.79   	 203.46		 35.77   	  40.69		
227.36   	411.07   	 62.60   	 203.46		 35.93   	  45.78		
212.71   	400.09   	 63.42   	 203.46		 36.11   	  35.61		
192.87   	378.42   	 64.23   	 213.63		 36.26   	  35.61		
169.68   	346.98   	 65.09   	 213.63		 36.40   	  40.69		
144.04   	307.31   	 65.94   	 218.72		 36.56   	  50.86		
117.49   	260.62   	 66.82   	 213.63		 36.76   	  45.78		
 91.25   	209.96   	 67.67   	 213.63		 36.95   	  50.86		
 66.53   	157.78   	 68.52   	 213.63		 37.15   	  50.86		
 43.95   	106.51   	 69.38   	 198.37		 37.35   	  50.86		
 23.80   	 58.29   	 70.17   	 178.03		 37.56   	  40.69		
  5.80   	 13.73   	 70.88   	 157.68		 37.72   	  35.61		
-10.68   	-26.86   	 71.52   	 162.77		 37.86   	  20.35		
-25.63   	-62.56   	 72.17   	 172.94		 37.94   	  10.17		
-39.37   	-92.77   	 72.86   	 162.77		 37.99   	  -5.09		
-50.66   	-116.88   	 73.51   	 127.16		 37.97   	 -15.26		
-60.12   	-135.19   	 74.02   	 101.73		 37.90   	 -30.52		
-67.14   	-148.93   	 74.42   	 116.99		 37.78   	 -30.52		
-72.94   	-160.22   	 74.89   	 132.25		 37.66   	 -40.69		
-77.82   	-169.98   	 75.42   	 116.99		 37.50   	 -40.69		
-82.70   	-178.53   	 75.89   	 101.73		 37.33   	 -45.78		
-86.98   	-185.85   	 76.30   	 111.90		 37.15   	 -45.78		
-90.03   	-191.35   	 76.74   	 122.07		 36.97   	 -55.95		
-91.55   	-194.70   	 77.23   	  86.47		 36.74   	 -66.12		
-91.55   	-196.23   	 77.58   	  50.86		 36.48   	 -71.21		
-90.64   	-196.84   	 77.78   	  25.43		 36.20   	 -81.38		
-90.03   	-196.53   	 77.88   	  10.17		 35.87   	-106.82		
-89.42   	-195.92   	 77.92   	  10.17		 35.44   	-127.16		
-88.81   	-195.31   	 77.97   	  30.52		 34.93   	-152.59		
-88.20   	-194.09   	 78.09   	  35.61		 34.32   	-188.20		
-87.59   	-192.57   	 78.23   	  45.78		 33.57   	-188.20		
-86.98   	-191.04   	 78.41   	  30.52		 32.82   	-172.94		
-86.67   	-189.51   	 78.53   	  10.17		 32.13   	-223.80		
-86.06   	-188.90   	 78.58   	 -25.43		 31.23   	-259.41		
-85.14   	-188.90   	 78.47   	 -35.61		 30.19   	-264.50		
-84.23   	-189.21   	 78.33   	 -30.52		 29.14   	-269.58		
-83.01   	-189.21   	 78.21   	  -5.09		 28.06   	-284.84		
-81.18   	-188.29   	 78.19   	   5.09		 26.92   	-279.75		
-79.35   	-187.07   	 78.21   	  -5.09		 25.80   	-269.58		
-77.51   	-185.24   	 78.19   	 -30.52		 24.72   	-264.50		
-75.38   	-183.72   	 78.07   	 -61.04		 23.66   	-264.50		
-73.24   	-182.19   	 77.82   	 -86.47		 22.60   	-259.41		
-71.41   	-181.27   	 77.48   	-116.99		 21.57   	-249.24		
-70.19   	-180.97   	 77.01   	-122.07		 20.57   	-239.06		
-68.97   	-180.97   	 76.52   	-116.99		 19.61   	-218.72		
-68.66   	-180.97   	 76.05   	-111.90		 18.74   	-213.63		
-68.36   	-180.66   	 75.60   	-116.99		 17.88   	-213.63		
-68.05   	-180.36   	 75.14   	-132.25		 17.03   	-203.46		
-67.44   	-180.36   	 74.61   	-142.42		 16.22   	-198.37		
-66.53   	-180.36   	 74.04   	-157.68		 15.42   	-193.29		
-65.31   	-180.97   	 73.41   	-178.03		 14.65   	-193.29		
-64.09   	-181.58   	 72.70   	-183.11		 13.88   	-183.11		
-63.17   	-181.58   	 71.96   	-193.29		 13.14   	-178.03		
-62.26   	-181.58   	 71.19   	-183.11		 12.43   	-178.03		
-61.34   	-180.66   	 70.46   	-172.94		 11.72   	-178.03		
-61.04   	-179.75   	 69.77   	-157.68		 11.01   	-172.94		
-60.73   	-178.22   	 69.14   	-142.42		 10.32   	-167.85		
-60.73   	-177.00   	 68.57   	-132.25		  9.64   	-172.94		
-61.34   	-176.39   	 68.04   	-127.16		  8.95   	-172.94		
-61.95   	-176.70   	 67.53   	-116.99		  8.26   	-162.77		
-62.26   	-177.61   	 67.06   	-116.99		  7.61   	-167.85		
-62.26   	-178.53   	 66.59   	-111.90		  6.94   	-157.68		
-61.65   	-179.44   	 66.14   	-122.07		  6.31   	-157.68		
-61.04   	-179.44   	 65.66   	-122.07		  5.68   	-127.16		
-60.73   	-179.14   	 65.17   	-132.25		  5.17   	 -86.47		
-61.34   	-178.83   	 64.64   	-122.07		  4.82   	 -40.69		
-62.87   	-178.22   	 64.15   	-116.99		  4.66   	   0.00		
-64.70   	-177.61   	 63.68   	 -96.64		  4.66   	  45.78		
-66.83   	-176.70   	 63.30   	 -86.47		  4.84   	  76.30		
-67.44   	-174.26   	 62.95   	 -81.38		  5.15   	  91.56		
-66.22   	-169.37   	 62.62   	 -81.38		  5.51   	 101.73		
-62.87   	-160.22   	 62.30   	 -86.47		  5.92   	  91.56		
-57.37   	-146.18   	 61.95   	 -91.56		  6.29   	  76.30		
-50.96   	-128.17   	 61.59   	 -91.56		  6.59   	  61.04		
-44.56   	-107.73   	 61.22   	 -91.56		  6.84   	  30.52		
-39.67   	-86.98   	 60.85   	 -91.56		  6.96   	   5.09		
-35.40   	-65.61   	 60.49   	 -81.38		  6.98   	 -10.17		
-31.74   	-44.25   	 60.16   	 -76.30		  6.94   	 -20.35		
-27.16   	-26.25   	 59.86   	 -66.12		  6.86   	 -25.43		
-22.28   	-17.09   	 59.59   	 -66.12		  6.75   	 -25.43		
-18.01   	-21.36   	 59.33   	 -61.04		  6.65   	 -25.43		
-15.87   	-38.76   	 59.08   	 -55.95		  6.55   	 -15.26		
-14.34   	-62.26   	 58.86   	 -55.95		  6.49   	 -10.17		
-11.60   	-83.92   	 58.64   	 -61.04		  6.45   	 -10.17		
 -5.49   	-98.88   	 58.39   	 -66.12		  6.41   	   0.00		Beg---------
  2.75   	-107.12   	 58.13   	 -66.12		  6.41   	   0.00		
  7.93   	-111.69   	 57.86   	 -66.12		  6.41   	   0.00		
  5.49   	-115.97   	 57.60   	 -55.95		  6.41   	   5.09		
 -6.41   	-122.07   	 57.38   	 -50.86		  6.43   	  15.26		
-25.94   	-131.84   	 57.17   	 -45.78		  6.49   	  15.26		
-47.61   	-145.57   	 56.99   	 -45.78		  6.55   	  35.61		
-65.61   	-161.74   	 56.81   	 -40.69		  6.69   	  55.95		
-76.90   	-176.70   	 56.64   	 -45.78		  6.92   	  66.12		
-81.18   	-186.16   	 56.46   	 -45.78		  7.18   	  81.38		
-80.87   	-189.82   	 56.28   	 -45.78		  7.51   	  91.56		
-79.35   	-189.82   	 56.09   	 -50.86		  7.87   	  96.64		
-78.43   	-189.51   	 55.89   	 -55.95		  8.26   	 101.73		
-79.04   	-189.82   	 55.67   	 -50.86		  8.67   	  81.38		
-80.26   	-189.82   	 55.46   	 -45.78		  8.99   	  61.04		
-80.57   	-187.99   	 55.28   	 -40.69		  9.24   	  35.61		
-79.65   	-184.33   	 55.12   	 -35.61		  9.38   	 -15.26		
-77.82   	-180.36   	 54.97   	 -40.69		  9.32   	 -55.95		
-76.29   	-176.70   	 54.81   	 -40.69		  9.09   	-101.73		
-75.68   	-173.65   	 54.65   	 -45.78		  8.69   	-127.16		
-75.99   	-170.90   	 54.47   	 -50.86		  8.18   	-137.33		
-76.29   	-167.85   	 54.26   	 -45.78		  7.63   	-127.16		
-75.99   	-165.10   	 54.08   	 -45.78		  7.12   	-101.73		
-75.38   	-162.35   	 53.90   	 -40.69		  6.71   	 -61.04		
-74.46   	-160.83   	 53.73   	 -35.61		  6.47   	 -10.17		
-73.85   	-161.74   	 53.59   	 -40.69		  6.43   	  35.61		
-73.55   	-167.54   	 53.43   	 -40.69		  6.57   	  76.30		
-72.33   	-182.80   	 53.27   	 -35.61		  6.88   	 101.73		
-67.44   	-213.93   	 53.12   	 -35.61		  7.28   	 111.90		
-57.68   	-263.06   	 52.98   	 -40.69		  7.73   	 106.82		
-43.03   	-318.91   	 52.82   	 -35.61		  8.16   	  86.47		
-22.89   	-353.09   	 52.68   	 -40.69		  8.50   	  66.12		
  8.54   	-328.67   	 52.51   	 -40.69		  8.77   	  45.78		
 63.17   	-213.62   	 52.35   	 -40.69		  8.95   	  25.43		
152.59   	  5.80   	 52.19   	 -30.52		  9.05   	   5.09		
273.44   	323.18   	 52.06   	 -30.52		  9.07   	   5.09		
401.31   	717.47   	 51.94   	 -35.61		  9.09   	   5.09		
499.88   	1148.38   	 51.80   	 -35.61		  9.11   	  15.26		
532.84   	1542.05   	 51.66   	 -35.61		  9.18   	  15.26		
475.77   	1794.13(R)	 51.52   	 -30.52		  9.24(E)	  20.35		
101.93   	1583.56   	 51.39   	 -35.61		  9.32   	  25.43		
-152.89   	1163.64   	 51.25   	 -35.61		  9.42   	  20.35		
-379.33   	686.65   	 51.11   	 -40.69		  9.50   	  25.43		
-522.46   	274.96   	 50.95   	 -40.69		  9.60   	  20.35		
-556.95   	-11.60   	 50.78   	 -35.61		  9.68   	  15.26		
-499.27   	-177.92   	 50.64   	 -30.52		  9.75   	  15.26		
