SAMPLE NUMBER:   21
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  II     	  aR     	  RV     	  RV'		  RFA     	  RFA'		
-118.10   	 58.90   	  5.70   	 -45.78		 57.78   	 -40.69		
-115.36   	 57.68   	  5.51   	 -30.52		 57.62   	 -35.61		
-111.39   	 55.54   	  5.39   	   5.09		 57.48   	 -40.69		
-107.73   	 53.41   	  5.41   	  25.43		 57.31   	 -35.61		
-105.90   	 52.19   	  5.51   	  35.61		 57.17   	 -40.69		
-106.81   	 53.10   	  5.66   	  40.69		 57.01   	 -35.61		
-109.25   	 54.32   	  5.82   	  61.04		 56.87   	 -35.61		
-111.39   	 55.54   	  6.06   	  50.86		 56.72   	 -35.61		
-111.69   	 55.85   	  6.27   	  40.69		 56.58   	 -35.61		
-110.47   	 54.93   	  6.43   	  30.52		 56.44   	 -30.52		
-108.64   	 54.02   	  6.55   	  25.43		 56.32   	 -35.61		
-107.73   	 53.41   	  6.65   	  25.43		 56.17   	 -30.52		
-107.42   	 53.41   	  6.75   	  25.43		 56.05   	 -35.61		
-107.73   	 53.41   	  6.86   	  10.17		 55.91   	 -30.52		
-107.42   	 53.71   	  6.90   	  -5.09		 55.79   	 -35.61		
-107.42   	 53.71   	  6.88   	  -5.09		 55.65   	 -35.61		
-108.03   	 54.02   	  6.86   	  -5.09		 55.50   	 -35.61		
-109.25   	 54.63   	  6.84   	 -20.35		 55.36   	 -30.52		
-110.47   	 55.24   	  6.75   	 -35.61		 55.24   	 -35.61		
-111.39   	 55.24   	  6.61   	 -20.35		 55.10   	 -35.61		
-111.39   	 54.93   	  6.53   	   0.00		 54.95   	 -30.52		
-110.47   	 54.63   	  6.53   	  -5.09		 54.83   	 -35.61		
-108.95   	 53.71   	  6.51   	 -15.26		 54.69   	 -30.52		
-107.12   	 53.10   	  6.45   	   0.00		 54.57   	 -30.52		
-105.90   	 52.80   	  6.45   	   5.09		 54.45   	 -35.61		
-105.90   	 52.80   	  6.47   	   5.09		 54.30   	 -30.52		
-106.51   	 53.10   	  6.49   	  15.26		 54.18   	 -30.52		
-107.12   	 53.41   	  6.55   	  10.17		 54.06   	 -25.43		
-106.20   	 53.10   	  6.59   	   5.09		 53.96   	 -30.52		
-104.06   	 51.88   	  6.61   	   5.09		 53.83   	 -35.61		
-101.62   	 50.66   	  6.63   	   0.00		 53.69   	 -30.52		
-100.10   	 50.05   	  6.63   	   5.09		 53.57   	 -30.52		
-101.32   	 50.66   	  6.65   	  15.26		 53.45   	 -35.61		
-103.45   	 51.57   	  6.71   	  15.26		 53.31   	 -30.52		
-101.01   	 50.35   	  6.78   	  25.43		 53.18   	 -35.61		
-87.28   	 43.64   	  6.88   	  35.61		 53.04   	 -30.52		
-54.02   	 26.55   	  7.02   	  45.78		 52.92   	 -30.52		
  3.66   	 -1.83   	  7.20   	  30.52		 52.80   	 -30.52		
 91.86   	-45.78   	  7.32   	  15.26		 52.68   	 -30.52		
224.91   	-112.30   	  7.39   	  10.17		 52.55   	 -30.52		
423.89   	-211.79   	  7.43   	 -20.35		 52.43   	 -25.43		
694.58   	-347.29   	  7.34   	 -35.61		 52.33   	 -30.52		
992.43   	-496.22   	  7.20   	 -66.12		 52.21   	 -25.43		
1261.29(R)	-630.80   	  6.94   	 -15.26		 52.11   	 -30.52		
1066.59   	-533.45   	  6.88(E)	 -10.17		 51.98   	 -30.52		
682.98   	-341.80   	  6.84   	  10.17		 51.86   	 -30.52		
249.63   	-125.12   	  6.88   	  25.43		 51.74   	 -30.52		
-86.67   	 43.03   	  6.98   	  35.61		 51.62   	 -35.61		
-252.69   	126.04   	  7.12   	  50.86		 51.47   	 -30.52		
-272.22   	136.11   	  7.32   	  71.21		 51.35   	 -30.52		
-230.10   	115.05   	  7.61   	  96.64		 51.23   	 -25.43		
-212.71   	106.20   	  8.00   	 132.25		 51.13   	 -30.52		
-255.43   	127.56   	  8.52   	 137.33		 51.01   	 -30.52		
-329.59   	164.79   	  9.07   	 142.42		 50.88   	 -25.43		
-377.20   	188.60   	  9.64   	 137.33		 50.78   	 -25.43		
-351.26   	175.48   	 10.19   	 147.51		 50.68   	 -25.43		
-247.19   	123.29   	 10.78   	 178.03		 50.58   	 -20.35		
-106.20   	 52.80   	 11.50   	 228.89		 50.50   	 -25.43		
 10.07   	 -5.19   	 12.41   	 264.50		 50.40   	 -25.43		
 63.78   	-31.74   	 13.47   	 274.67		 50.29   	 -25.43		
 58.59   	-29.30   	 14.57   	 254.32		 50.19   	 -25.43		
 32.04   	-15.87   	 15.58   	 305.19		 50.09   	 -25.43		
 21.97   	-10.99   	 16.81   	 437.43		 49.99   	 -25.43		
 43.33   	-21.67   	 18.56   	 595.11		 49.89   	 -25.43		
 80.57   	-40.28   	 20.94   	 727.36		 49.79   	 -25.43		
106.81   	-53.41   	 23.85   	 900.30		 49.68   	 -25.43		
107.42   	-53.71   	 27.45   	1159.71		 49.58   	 -25.43		
 90.03   	-44.86   	 32.09   	2232.95		 49.48   	 -30.52		
 61.65   	-30.82   	 41.02   	 762.97		 49.36   	 -25.43		
 55.54   	-27.77   	 44.07   	 600.20		 49.26   	 -30.52		
 40.28   	-20.14   	 46.47   	 417.09		 49.14   	 -25.43		
 10.68   	 -5.49   	 48.14   	 279.75		 49.03   	 -25.43		
-25.02   	 12.21   	 49.26   	 325.53		 48.93   	 -25.43		
-51.57   	 25.33   	 50.56   	 549.34		 48.83   	 -25.43		
-60.42   	 29.91   	 52.76   	 681.58		 48.73   	 -25.43		
-54.63   	 26.86   	 55.48   	 595.11		 48.63   	 -20.35		
-44.25   	 21.97   	 57.86   	 513.73		 48.55   	 -25.43		
-38.76   	 19.23   	 59.92   	 523.90		 48.44   	 -20.35		
-39.67   	 19.53   	 62.01   	 579.86		 48.36   	 -20.35		
-43.64   	 21.36   	 64.33   	 824.00		 48.28   	 -20.35		
-45.17   	 22.28   	 67.63   	 849.44		 48.20   	 -20.35		
-42.42   	 21.06   	 71.03   	 412.00		 48.12   	 -15.26		
-37.23   	 18.62   	 72.68   	 208.54		 48.06   	 -20.35		
-31.74   	 16.17   	 73.51   	 193.29		 47.98   	 -20.35		
-28.38   	 14.34   	 74.28   	  45.78		 47.89   	 -20.35		
-26.55   	 13.43   	 74.47   	 -91.56		 47.81   	 -20.35		
-24.41   	 12.21   	 74.10   	 -81.38		 47.73   	 -20.35		
-21.36   	 10.68   	 73.77   	 -71.21		 47.65   	 -20.35		
-16.78   	  8.24   	 73.49   	-122.07		 47.57   	 -15.26		
-10.68   	  5.19   	 73.00   	-167.85		 47.51   	 -15.26		
 -3.36   	  1.53   	 72.33   	-116.99		 47.45   	 -20.35		
  3.97   	 -1.83   	 71.86   	 157.68		 47.37   	 -15.26		
 10.99   	 -5.49   	 72.49   	 340.79		 47.30   	 -20.35		
 17.40   	 -8.85   	 73.86   	  91.56		 47.22   	 -15.26		
 23.50   	-11.90   	 74.22   	-152.59		 47.16   	 -15.26		
 30.21   	-15.26   	 73.61   	-101.73		 47.10   	 -10.17		
 38.45   	-19.53   	 73.20   	 -61.04		 47.06   	  -5.09		
 47.61   	-24.11   	 72.96   	 -61.04		 47.04   	  20.35		
 57.07   	-28.69   	 72.72   	  20.35		 47.12   	  61.04		
 67.14   	-33.57   	 72.80   	 147.51		 47.37   	 142.42		
 79.35   	-39.67   	 73.39   	 244.15		 47.93   	 244.15		
 94.30   	-47.00   	 74.36   	 305.19		 48.91   	 371.31		
112.00   	-55.85   	 75.58   	 366.22		 50.40   	 483.21		
130.62   	-65.31   	 77.05   	 396.74		 52.33   	 569.68		
148.93   	-74.46   	 78.64   	 422.18		 54.61   	 610.37		
166.93   	-83.31   	 80.33   	 452.69		 57.05   	 610.37		
185.24   	-92.47   	 82.14   	 447.61		 59.49   	 564.60		
204.77   	-102.23   	 83.93   	 412.00		 61.75   	 478.13		
224.30   	-112.00   	 85.57   	 371.31		 63.66   	 386.57		
243.53   	-121.77   	 87.06   	 315.36		 65.21   	 289.93		
261.54   	-130.62   	 88.32   	 249.24		 66.37   	 213.63		
279.54   	-139.77   	 89.32   	 188.20		 67.22   	 152.59		
297.24   	-148.93   	 90.07   	 142.42		 67.83   	 137.33		
313.11   	-156.86   	 90.64   	  96.64		 68.38   	 152.59		
324.71   	-162.66   	 91.03   	  55.95		 68.99   	 198.37		
329.59   	-165.10   	 91.25   	  20.35		 69.79   	 269.58		
327.45   	-163.88   	 91.33(S)	 -15.26		 70.86   	 345.88		
319.82   	-160.22   	 91.27   	 -45.78		 72.25   	 422.18		
307.62   	-153.81   	 91.09   	 -50.86		 73.94   	 493.39		
290.83   	-145.26   	 90.88   	 -61.04		 75.91   	 539.16		
268.86   	-134.58   	 90.64   	 -66.12		 78.07   	 554.42		
241.70   	-121.15   	 90.38   	 -81.38		 80.28   	 544.25		
209.66   	-104.98   	 90.05   	-116.99		 82.46   	 508.65		
174.87   	-87.59   	 89.58   	-116.99		 84.50   	 462.87		
138.85   	-69.27   	 89.11   	-132.25		 86.35   	 412.00		
103.15   	-51.57   	 88.59   	-157.68		 88.00   	 361.14		
 68.36   	-34.18   	 87.95   	-183.11		 89.44   	 325.53		
 36.01   	-18.01   	 87.22   	-213.63		 90.74   	 295.01		
  7.93   	 -3.97   	 86.37   	-244.15		 91.92   	 279.75		
-16.17   	  7.63   	 85.39   	-295.01		 93.04   	 269.58		
-36.01   	 17.70   	 84.21   	-350.97		 94.12   	 274.67		
-52.80   	 25.94   	 82.81   	-396.74		 95.22   	 269.58		
-68.05   	 33.57   	 81.22   	-457.78		 96.30   	 269.58		
-81.48   	 40.28   	 79.39   	-513.73		 97.37   	 264.50		
-93.69   	 46.39   	 77.33   	-574.77		 98.43   	 259.41		
-103.76   	 51.57   	 75.04   	-605.29		 99.47   	 244.15		
-111.08   	 55.24   	 72.61   	-645.98		100.45   	 208.54		
-115.36   	 57.37   	 70.03   	-681.58		101.28   	 152.59		
-117.49   	 58.29   	 67.30   	-773.14		101.89   	 111.90		
-118.41   	 58.90   	 64.21   	-905.39		102.34   	  61.04		
-119.02   	 59.20   	 60.59   	-1063.07		102.58   	  15.26		
-120.24   	 60.12   	 56.34   	-1180.06		102.64(S)	 -35.61		
-121.15   	 60.42   	 51.62   	-1286.87		102.50   	 -71.21		
-122.07   	 61.04   	 46.47   	-1353.00		102.22   	-101.73		
-122.38   	 61.04   	 41.06   	-1159.71		101.81   	-127.16		
-122.68   	 61.34   	 36.42   	-879.96		101.30   	-147.51		
-122.07   	 61.04   	 32.90   	-778.23		100.71   	-157.68		
