SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
182.80   	146.48   	 68.28   	 -55.95		 -9.48   	  15.26		
193.79   	140.69   	 68.06   	 -40.69		 -9.42   	  71.21		
192.57   	131.53   	 67.89   	 -40.69		 -9.14   	  91.56		
180.66   	124.21   	 67.73   	 -35.61		 -8.77   	  91.56		
163.27   	119.93   	 67.59   	 -35.61		 -8.40   	  91.56		
143.74   	111.39   	 67.45   	 -35.61		 -8.04   	  91.56		
121.15   	 88.20   	 67.30   	 -30.52		 -7.67   	  61.04		
 96.44   	 45.47   	 67.18   	 -25.43		 -7.43   	  25.43		
 73.55   	 -7.32   	 67.08   	 -20.35		 -7.32   	  -5.09		
 58.90   	-52.49   	 67.00   	 -25.43		 -7.34   	 -30.52		
 54.93   	-75.07   	 66.90   	 -25.43		 -7.47   	 -50.86		
 58.59   	-73.24   	 66.80   	 -25.43		 -7.67   	 -50.86		
 61.95   	-56.76   	 66.69   	 -30.52		 -7.87   	 -40.69		
 58.29   	-41.50   	 66.57   	 -30.52		 -8.04   	 -35.61		
 44.25   	-39.37   	 66.45   	 -25.43		 -8.18   	  -5.09		
 22.89   	-53.41   	 66.35   	 -20.35		 -8.20   	  20.35		
  2.44   	-76.90   	 66.27   	 -25.43		 -8.12   	  30.52		
 -8.24   	-95.83   	 66.16   	 -25.43		 -8.00   	  40.69		
 -4.58   	-98.88   	 66.06   	 -25.43		 -7.83   	  61.04		
  9.16   	-86.67   	 65.96   	 -25.43		 -7.59   	  61.04		
 22.28   	-70.80   	 65.86   	 -30.52		 -7.34   	  55.95		
 23.80   	-66.53   	 65.74   	 -30.52		 -7.12   	  66.12		
 10.07   	-80.87   	 65.62   	 -25.43		 -6.86   	  66.12		
-12.51   	-104.68   	 65.51   	 -35.61		 -6.59   	  76.30		
-33.26   	-124.21   	 65.37   	 -30.52		 -6.29   	  81.38		
-44.86   	-129.70   	 65.25   	 -35.61		 -5.96   	  76.30		
-44.86   	-122.38   	 65.11   	 -35.61		 -5.66   	  81.38		
-36.62   	-110.47   	 64.96   	 -30.52		 -5.33   	  76.30		
-27.16   	-101.62   	 64.84   	 -25.43		 -5.03   	  86.47		
-21.06   	-100.71   	 64.74   	 -30.52		 -4.68   	  76.30		
-13.73   	-115.05   	 64.62   	 -25.43		 -4.37   	  61.04		
  7.93   	-155.64   	 64.52   	 -35.61		 -4.13   	  71.21		
 61.04   	-222.78   	 64.37   	 -30.52		 -3.85   	  66.12		
155.94   	-290.83   	 64.25   	 -35.61		 -3.58   	  61.04		
285.03   	-300.90   	 64.11   	 -30.52		 -3.34   	  55.95		
417.48   	-171.81   	 63.99   	 -35.61		 -3.11   	  50.86		
495.00   	164.79   	 63.85   	 -30.52		 -2.91   	  50.86		
456.54   	673.22   	 63.72   	 -30.52		 -2.71   	  55.95		
273.13   	1168.82   	 63.60   	 -35.61		 -2.48   	  66.12		
-364.69   	1204.22(R)	 63.46   	 -30.52		 -2.22   	  61.04		
-648.50   	635.07   	 63.34   	 -25.43		 -1.97   	  66.12		
-832.21   	-10.07   	 63.23   	 -30.52		 -1.71   	  71.21		
-924.07   	-403.44   	 63.11   	 -35.61		 -1.42   	  61.04		
-948.79   	-421.75   	 62.97   	 -35.61		 -1.18   	  55.95		
-906.07   	-197.45   	 62.83   	 -45.78		 -0.96   	  55.95		
-773.93   	 26.55   	 62.64   	 -40.69		 -0.73   	  45.78		
-552.37   	 96.74   	 62.48   	 -40.69		 -0.55   	  40.69		
-293.88   	 37.54   	 62.32   	 -35.61		 -0.39   	  50.86		
-81.79   	-36.93   	 62.18   	 -25.43		 -0.18   	  45.78		
 25.94   	-53.71   	 62.08   	 -30.52		  0.00   	  55.95		
 34.48   	-27.47   	 61.95   	 -35.61		  0.22   	  61.04		
 -1.22   	 -4.88   	 61.81   	 -40.69		  0.47   	  81.38		
-25.63   	 -5.19   	 61.65   	 -45.78		  0.79   	  96.64		
-18.31   	-14.34   	 61.46   	 -50.86		  1.18   	 137.33		
  8.54   	-13.73   	 61.26   	 -55.95		  1.73   	 223.80		
 35.40   	 -1.83   	 61.04   	 -45.78		  2.62   	 350.97		
 53.41   	 11.90   	 60.85   	 -35.61		  4.03   	 417.09		
 62.87   	 22.28   	 60.71   	 -35.61		  5.70   	 432.35		
 68.05   	 31.74   	 60.57   	 -45.78		  7.43   	 417.09		
 71.72   	 40.28   	 60.39   	 -50.86		  9.09   	 381.48		
 75.68   	 45.17   	 60.18   	 -45.78		 10.62   	 325.53		
 83.31   	 48.22   	 60.00   	 -50.86		 11.92   	 295.01		
 94.91   	 54.93   	 59.80   	 -45.78		 13.10   	 289.93		
109.86   	 69.27   	 59.61   	 -50.86		 14.26   	 325.53		
133.97   	104.68   	 59.41   	 -50.86		 15.56   	 330.62		
139.16   	110.47   	 59.21   	 -50.86		 16.89   	 345.88		
142.21   	105.90   	 59.00   	 -50.86		 18.27   	 350.97		
146.79   	 97.05   	 58.80   	 -50.86		 19.67   	 361.14		
152.59   	 91.86   	 58.60   	 -50.86		 21.12   	 356.05		
156.86   	 94.30   	 58.39   	 -50.86		 22.54   	 335.71		
156.86   	101.93   	 58.19   	 -50.86		 23.89   	 300.10		
152.59   	107.12   	 57.99   	 -50.86		 25.09   	 254.32		
147.09   	107.73   	 57.78   	 -55.95		 26.10   	 203.46		
