SAMPLE NUMBER:   27
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  FA     	  FA'		
-33.87   	-97.35   	 44.64   	-412.00		111.78   	 106.82		
-39.67   	-115.97   	 42.99   	-371.31		112.21   	  86.47		
-44.56   	-130.92   	 41.51   	-345.88		112.55   	  61.04		
-48.52   	-142.52   	 40.12   	-330.62		112.80   	  40.69		
-51.27   	-151.67   	 38.80   	-310.27		112.96   	  20.35		
-53.41   	-159.00   	 37.56   	-305.19		113.04   	  -5.09		
-54.63   	-165.41   	 36.34   	-310.27		113.02   	 -20.35		
-56.15   	-170.59   	 35.10   	-305.19		112.94   	 -40.69		
-57.98   	-174.87   	 33.88   	-305.19		112.78   	 -45.78		
-59.51   	-177.61   	 32.66   	-310.27		112.59   	 -71.21		
-60.73   	-179.44   	 31.41   	-310.27		112.31   	 -81.38		
-60.73   	-180.05   	 30.17   	-305.19		111.98   	 -91.56		
-60.42   	-179.75   	 28.95   	-274.67		111.62   	 -96.64		
-60.42   	-179.75   	 27.85   	-188.20		111.23   	-111.90		
-60.42   	-179.75   	 27.10   	 -40.69		110.78   	-116.99		
-60.42   	-179.75   	 26.94   	 132.25		110.31   	-116.99		
-60.12   	-179.44   	 27.47   	 284.84		109.85   	-127.16		
-59.51   	-178.83   	 28.61   	 361.14		109.34   	-122.07		
-58.29   	-177.31   	 30.05   	 366.22		108.85   	-132.25		
-57.07   	-175.17   	 31.52   	 325.53		108.32   	-137.33		
-55.24   	-172.42   	 32.82   	 218.72		107.77   	-142.42		
-53.10   	-169.37   	 33.69   	  76.30		107.20   	-142.42		
-50.35   	-166.63   	 34.00   	 -76.30		106.63   	-157.68		
-47.61   	-164.49   	 33.69   	-228.89		106.00   	-162.77		
-44.56   	-162.66   	 32.78   	-361.14		105.35   	-172.94		
-42.11   	-160.52   	 31.33   	-462.87		104.66   	-172.94		
-39.98   	-158.39   	 29.48   	-518.82		103.97   	-183.11		
-38.45   	-156.25   	 27.41   	-554.42		103.23   	-193.29		
-37.23   	-154.42   	 25.19   	-549.34		102.46   	-193.29		
-36.01   	-153.20   	 22.99   	-513.73		101.69   	-198.37		
-33.57   	-152.28   	 20.94   	-473.04		100.89   	-208.54		
-30.82   	-151.37   	 19.04   	-417.09		100.06   	-223.80		
-27.16   	-149.54   	 17.38   	-366.22		 99.17   	-223.80		
-24.11   	-147.71   	 15.91   	-310.27		 98.27   	-228.89		
-22.28   	-146.18   	 14.67   	-269.58		 97.35   	-233.98		
-21.97   	-145.26   	 13.59   	-223.80		 96.42   	-233.98		
-22.58   	-145.26   	 12.70   	-193.29		 95.48   	-239.06		
-23.80   	-145.87   	 11.92   	-183.11		 94.53   	-233.98		
-24.11   	-146.48   	 11.19   	-183.11		 93.59   	-228.89		
-22.89   	-147.09   	 10.46   	-178.03		 92.68   	-223.80		
-20.75   	-147.71   	  9.75   	-193.29		 91.78   	-218.72		
-19.53   	-148.62   	  8.97   	-198.37		 90.91   	-208.54		
-19.23   	-150.15   	  8.18   	-198.37		 90.07   	-183.11		
-20.75   	-151.98   	  7.39   	-198.37		 89.34   	-172.94		
-22.58   	-154.11   	  6.59   	-178.03		 88.65   	-162.77		
-23.80   	-155.64   	  5.88   	-152.59		 88.00   	-152.59		
-24.41   	-156.56   	  5.27   	-127.16		 87.39   	-142.42		
-24.41   	-156.25   	  4.76   	 -91.56		 86.82   	-137.33		
-24.11   	-155.64   	  4.39   	 -61.04		 86.27   	-127.16		
-24.11   	-155.33   	  4.15   	 -45.78		 85.76   	-127.16		
-24.11   	-155.64   	  3.97   	 -20.35		 85.25   	-122.07		
-24.72   	-156.86   	  3.89   	 -15.26		 84.76   	-116.99		
-25.33   	-158.08   	  3.83   	   0.00		 84.29   	-111.90		
-26.25   	-159.30   	  3.83   	  -5.09		 83.85   	-116.99		
-27.47   	-160.22   	  3.80   	   5.09		 83.38   	-116.99		
-28.38   	-160.52   	  3.83   	   0.00		 82.91   	-111.90		
-28.69   	-160.52   	  3.83   	  10.17		 82.46   	-111.90		
-28.69   	-160.22   	  3.87   	   5.09		 82.01   	-111.90		
-28.38   	-160.22   	  3.89   	   0.00		 81.57   	 -96.64		
-28.69   	-159.91   	  3.89   	   5.09		 81.18   	 -91.56		
-29.30   	-159.30   	  3.91   	   0.00		 80.81   	 -81.38		
-29.91   	-157.78   	  3.91   	 -10.17		 80.49   	 -91.56		
-30.21   	-155.94   	  3.87   	 -20.35		 80.12   	 -86.47		
-29.91   	-154.42   	  3.78   	 -20.35		 79.78   	 -81.38		
-29.91   	-153.81   	  3.70   	 -25.43		 79.45   	 -71.21		
-30.21   	-153.81   	  3.60   	 -30.52		 79.17   	 -66.12		
-31.13   	-154.42   	  3.48   	 -30.52		 78.90   	 -71.21		
-31.74   	-154.72   	  3.36   	 -25.43		 78.62   	 -66.12		
-31.74   	-154.72   	  3.26   	 -15.26		 78.35   	 -55.95		
-30.82   	-154.42   	  3.19   	 -15.26		 78.13   	 -50.86		
-30.21   	-154.42   	  3.13   	 -15.26		 77.92   	 -61.04		
-29.91   	-154.11   	  3.07   	 -10.17		 77.68   	 -55.95		
-30.82   	-153.50   	  3.03   	 -10.17		 77.46   	 -50.86		
-31.74   	-153.20   	  2.99   	 -20.35		 77.25   	 -45.78		
-32.65   	-152.89   	  2.91   	 -25.43		 77.07   	 -50.86		
-33.57   	-153.50   	  2.81   	 -20.35		 76.87   	 -45.78		
-35.10   	-154.42   	  2.73   	 -25.43		 76.68   	 -45.78		
-37.23   	-155.33   	  2.62   	 -15.26		 76.50   	 -35.61		
-39.37   	-155.64   	  2.56   	 -15.26		 76.36   	 -35.61		
-40.28   	-155.33   	  2.50   	 -10.17		 76.22   	 -45.78		
-39.98   	-154.42   	  2.46   	  -5.09		 76.03   	 -35.61		
-39.06   	-153.81   	  2.44   	   0.00		 75.89   	 -35.61		
-38.15   	-153.50   	  2.44   	   0.00		 75.75   	 -30.52		
-37.84   	-152.89   	  2.44   	   5.09		 75.63   	 -30.52		
-38.15   	-151.98   	  2.46   	  15.26		 75.50   	 -35.61		
-38.15   	-151.06   	  2.52   	  10.17		 75.36   	 -35.61		
-37.84   	-149.84   	  2.56   	  20.35		 75.22   	 -30.52		
-36.93   	-149.23   	  2.64   	  30.52		 75.10   	 -30.52		
-36.32   	-148.93   	  2.77   	  35.61		 74.97   	 -30.52		
-35.71   	-148.01   	  2.91   	  40.69		 74.85   	 -30.52		
-36.01   	-146.79   	  3.07   	  45.78		 74.73   	 -30.52		
-36.62   	-145.57   	  3.26   	  45.78		 74.61   	 -25.43		
-37.54   	-144.35   	  3.44   	  50.86		 74.51   	 -35.61		
-38.15   	-143.43   	  3.64   	  50.86		 74.36   	 -30.52		
-38.76   	-142.82   	  3.85   	  45.78		 74.24   	 -30.52		
-39.37   	-141.91   	  4.03   	  40.69		 74.12   	 -20.35		
-39.37   	-140.99   	  4.19   	  35.61		 74.04   	 -35.61		
-39.37   	-140.38   	  4.33   	  25.43		 73.90   	 -35.61		
-39.37   	-140.08   	  4.44   	  25.43		 73.75   	 -25.43		
-39.67   	-140.08   	  4.54   	  15.26		 73.65   	 -20.35		
-39.98   	-140.08   	  4.60   	  15.26		 73.57   	 -25.43		
-40.28   	-139.47   	  4.66   	  10.17		 73.47   	 -30.52		
-39.67   	-138.55   	  4.70   	  10.17		 73.35   	 -30.52		
-38.15   	-137.02   	  4.74   	  10.17		 73.22   	 -25.43		
-36.32   	-135.19   	  4.78   	   5.09		 73.12   	 -20.35		
-34.79   	-133.06   	  4.80   	  10.17		 73.04   	 -20.35		
-34.18   	-130.62   	  4.84   	   5.09		 72.96   	 -30.52		
-33.57   	-126.04   	  4.86   	   0.00		 72.84   	 -30.52		
-31.13   	-118.10   	  4.86   	   5.09		 72.72   	 -25.43		
-25.02   	-105.90   	  4.88   	   5.09		 72.61   	 -30.52		
-14.04   	-87.28   	  4.90   	   5.09		 72.49   	 -25.43		
 -0.31   	-61.65   	  4.92   	  10.17		 72.39   	 -30.52		
 12.82   	-30.52   	  4.96   	  15.26		 72.27   	 -25.43		
 20.45   	  2.44   	  5.03   	  10.17		 72.17   	 -25.43		
 21.67   	 32.04   	  5.07   	  20.35		 72.06   	 -30.52		
 18.62   	 54.32   	  5.15   	  15.26		 71.94   	 -20.35		
 17.40   	 68.66   	  5.21   	  20.35		 71.86   	 -15.26		
 23.50   	 76.29   	  5.29   	  15.26		 71.80   	 -20.35		
 37.84   	 78.74   	  5.35   	  15.26		 71.72   	 -25.43		
 55.54   	 76.29   	  5.41   	   5.09		 71.62   	 -25.43		
 69.27   	 67.44   	  5.43   	   0.00		 71.52   	 -25.43		
 72.33   	 52.80   	  5.43   	   0.00		 71.41   	 -20.35		
 62.56   	 35.71   	  5.43   	 -10.17		 71.33   	 -20.35		
 44.56   	 18.31   	  5.39   	  -5.09		 71.25   	 -20.35		
 25.33   	  1.53   	  5.37   	  -5.09		 71.17   	 -20.35		
 11.29   	-14.65   	  5.35   	  -5.09		 71.09   	 -25.43		
  5.19   	-32.04   	  5.33   	   0.00		 70.99   	 -30.52		
  3.97   	-51.57   	  5.33   	   5.09		 70.86   	 -25.43		
  2.44   	-73.85   	  5.35   	   5.09		 70.76   	 -20.35		
 -3.36   	-99.18   	  5.37   	  20.35		 70.68   	 -15.26		
-14.04   	-125.73   	  5.45   	  20.35		 70.62   	 -15.26		
-26.25   	-150.45   	  5.53   	  20.35		 70.56   	 -25.43		
-36.32   	-168.76   	  5.62   	  15.26		 70.46   	 -20.35		
-43.03   	-177.61   	  5.68   	  10.17		 70.38   	 -15.26		
-46.39   	-178.83   	  5.72   	   0.00		 70.32   	 -15.26		
