SAMPLE NUMBER:   8
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  DAO     	  DAO'		
 44.25   	156.56   	 36.30   	-259.41		 59.43   	 -10.17		
 43.33   	143.43   	 35.26   	-274.67		 59.39   	 -35.61		
 41.20   	127.87   	 34.16   	-295.01		 59.25   	 -35.61		
 38.45   	111.69   	 32.98   	-325.53		 59.10   	 -35.61		
 35.10   	 95.52   	 31.68   	-350.97		 58.96   	 -25.43		
 31.13   	 80.26   	 30.27   	-381.48		 58.86   	 -25.43		
 26.25   	 65.92   	 28.75   	-396.74		 58.76   	 -30.52		
 20.75   	 52.80   	 27.16   	-422.18		 58.64   	 -40.69		
 15.56   	 41.50   	 25.47   	-457.78		 58.47   	 -55.95		
 12.21   	 34.79   	 23.64   	-473.04		 58.25   	 -76.30		
 11.90   	 37.23   	 21.75   	-473.04		 57.94   	 -91.56		
 14.65   	 53.10   	 19.86   	-467.95		 57.58   	-111.90		
 20.75   	 83.31   	 17.99   	-457.78		 57.13   	-132.25		
 28.69   	122.68   	 16.15   	-432.35		 56.60   	-137.33		
 37.23   	163.27   	 14.43   	-396.74		 56.05   	-132.25		
 45.47   	196.84   	 12.84   	-366.22		 55.52   	-137.33		
 52.19   	220.64   	 11.37   	-345.88		 54.97   	-132.25		
 57.98   	237.43   	  9.99   	-325.53		 54.45   	-137.33		
 62.56   	251.16   	  8.69   	-300.10		 53.90   	-147.51		
 64.70   	262.45   	  7.49   	-264.50		 53.31   	-162.77		
 64.39   	269.78   	  6.43   	-249.24		 52.65   	-172.94		
 61.34   	269.47   	  5.43   	-218.72		 51.96   	-183.11		
 56.15   	256.65   	  4.56   	-188.20		 51.23   	-188.20		
 48.83   	227.66   	  3.80   	-152.59		 50.48   	-183.11		
 39.37   	180.97   	  3.19   	-116.99		 49.75   	-172.94		
 28.38   	120.54   	  2.73   	 -81.38		 49.05   	-162.77		
 16.48   	 56.15   	  2.40   	 -50.86		 48.40   	-147.51		
  5.49   	  0.31   	  2.20   	 -35.61		 47.81   	-137.33		
 -3.36   	-39.37   	  2.05   	 -20.35		 47.26   	-132.25		
-10.07   	-62.87   	  1.97   	 -20.35		 46.73   	-127.16		
-15.56   	-76.60   	  1.89   	 -30.52		 46.23   	-122.07		
-19.84   	-87.28   	  1.77   	 -50.86		 45.74   	-127.16		
-22.89   	-97.96   	  1.57   	 -71.21		 45.23   	-132.25		
-24.72   	-108.03   	  1.28   	 -96.64		 44.70   	-132.25		
-25.63   	-115.66   	  0.90   	-111.90		 44.17   	-137.33		
-26.86   	-120.54   	  0.45   	-116.99		 43.62   	-132.25		
-28.38   	-124.51   	 -0.02   	-111.90		 43.09   	-127.16		
