SAMPLE NUMBER:   24
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  RRA     	  RRA'		
112.00   	342.41   	 39.35   	  15.26		 57.82   	 300.10		
107.42   	332.64   	 39.41   	  15.26		 59.02   	 305.19		
102.23   	314.64   	 39.47   	  15.26		 60.24   	 300.10		
 97.35   	290.22   	 39.53   	  20.35		 61.44   	 295.01		
 92.47   	260.93   	 39.61   	  15.26		 62.62   	 289.93		
 85.14   	227.36   	 39.67   	  15.26		 63.78   	 284.84		
 75.68   	189.51   	 39.74   	  20.35		 64.92   	 274.67		
 65.00   	148.93   	 39.82   	  15.26		 66.02   	 269.58		
 57.07   	109.86   	 39.88   	  15.26		 67.10   	 259.41		
 52.49   	 74.77   	 39.94   	  15.26		 68.14   	 249.24		
 49.44   	 44.25   	 40.00   	  15.26		 69.14   	 239.06		
 44.56   	 16.17   	 40.06   	  10.17		 70.09   	 223.80		
 37.84   	 -9.46   	 40.10   	  15.26		 70.99   	 208.54		
 32.04   	-31.74   	 40.16   	   5.09		 71.82   	 188.20		
 28.08   	-51.27   	 40.18   	  10.17		 72.57   	 178.03		
 24.11   	-68.97   	 40.22   	   5.09		 73.29   	 162.77		
 17.40   	-86.67   	 40.24   	   0.00		 73.94   	 137.33		
  8.24   	-103.76   	 40.24   	   5.09		 74.49   	 127.16		
  0.61   	-118.10   	 40.26   	  -5.09		 74.99   	 106.82		
 -3.05   	-127.87   	 40.24   	  -5.09		 75.42   	  91.56		
 -2.44   	-132.75   	 40.22   	 -15.26		 75.79   	  76.30		
 -2.14   	-135.19   	 40.16   	 -15.26		 76.09   	  55.95		
 -4.27   	-136.41   	 40.10   	 -25.43		 76.32   	  45.78		
 -7.93   	-137.63   	 40.00   	 -35.61		 76.50   	  30.52		
-10.07   	-138.55   	 39.86   	 -35.61		 76.62   	  20.35		
 -9.16   	-140.38   	 39.72   	 -50.86		 76.70   	   5.09		
 -7.93   	-144.04   	 39.51   	 -55.95		 76.72   	 -10.17		
 -8.85   	-148.01   	 39.29   	 -71.21		 76.68   	 -15.26		
-13.12   	-150.15   	 39.00   	 -81.38		 76.62   	 -30.52		
-17.09   	-148.93   	 38.68   	 -96.64		 76.50   	 -35.61		
-17.70   	-144.65   	 38.29   	-111.90		 76.36   	 -50.86		
-14.34   	-140.08   	 37.84   	-132.25		 76.15   	 -50.86		
-10.99   	-139.16   	 37.31   	-147.51		 75.95   	 -61.04		
-11.60   	-142.82   	 36.72   	-167.85		 75.71   	 -71.21		
-16.17   	-148.32   	 36.05   	-183.11		 75.42   	 -71.21		
-19.84   	-151.06   	 35.32   	-198.37		 75.14   	 -76.30		
-18.31   	-148.32   	 34.53   	-208.54		 74.83   	 -81.38		
-10.38   	-140.99   	 33.69   	-218.72		 74.51   	 -86.47		
 -0.61   	-133.36   	 32.82   	-228.89		 74.16   	 -91.56		
  3.36   	-129.70   	 31.90   	-228.89		 73.79   	 -91.56		
  0.00   	-130.31   	 30.99   	-228.89		 73.43   	-101.73		
 -6.71   	-131.53   	 30.07   	-239.06		 73.02   	-101.73		
-10.68   	-129.09   	 29.11   	-233.98		 72.61   	-101.73		
 -8.24   	-121.46   	 28.18   	-239.06		 72.21   	-106.82		
 -1.53   	-111.08   	 27.22   	-233.98		 71.78   	-111.90		
  4.58   	-102.23   	 26.29   	-239.06		 71.33   	-116.99		
  7.63   	-97.66   	 25.33   	-244.15		 70.86   	-116.99		
  7.63   	-97.05   	 24.35   	-244.15		 70.40   	-116.99		
  7.32   	-98.27   	 23.38   	-244.15		 69.93   	-122.07		
  8.24   	-99.49   	 22.40   	-249.24		 69.44   	-127.16		
  9.77   	-100.71   	 21.40   	-254.32		 68.93   	-132.25		
 10.38   	-101.93   	 20.39   	-254.32		 68.40   	-132.25		
  9.77   	-102.54   	 19.37   	-254.32		 67.87   	-132.25		
  7.02   	-103.45   	 18.35   	-249.24		 67.34   	-142.42		
  4.58   	-103.76   	 17.35   	-254.32		 66.77   	-137.33		
  4.58   	-102.84   	 16.34   	-244.15		 66.23   	-142.42		
  7.63   	-101.62   	 15.36   	-244.15		 65.66   	-142.42		
 10.38   	-100.71   	 14.38   	-228.89		 65.09   	-147.51		
 10.07   	-101.32   	 13.47   	-223.80		 64.50   	-142.42		
  4.27   	-104.06   	 12.57   	-213.63		 63.93   	-137.33		
