SAMPLE NUMBER:   14
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		
-663.15   	 38.45   	  1.30   	  55.95		
-658.87   	-40.89   	  1.53   	  40.69		
-557.25   	-101.01   	  1.69   	  30.52		
-422.36   	-172.12   	  1.81   	  25.43		
-314.94   	-252.69   	  1.91   	  15.26		
-259.09   	-315.55   	  1.97   	  -5.09		
-236.51   	-335.08   	  1.95   	 -10.17		
-213.01   	-311.28   	  1.91   	 -15.26		
-169.07   	-263.37   	  1.85   	 -20.35		
-111.08   	-213.01   	  1.77   	 -10.17		
-59.51   	-171.81   	  1.73   	   0.00		
-28.99   	-142.21   	  1.73   	  -5.09		
-19.23   	-123.90   	  1.71   	   0.00		
-19.53   	-115.36   	  1.71   	   5.09		
-18.92   	-113.53   	  1.73   	  15.26		
-13.73   	-113.22   	  1.79   	  30.52		
 -5.49   	-111.39   	  1.91   	  50.86		
  2.75   	-106.81   	  2.12   	  91.56		
  8.54   	-100.71   	  2.48   	 137.33		
 11.29   	-95.21   	  3.03   	 188.20		
 12.51   	-90.94   	  3.78   	 239.06		
 12.82   	-88.20   	  4.74   	 325.53		
 14.65   	-85.75   	  6.04   	 335.71		
 16.17   	-84.53   	  7.39   	 295.01		
 18.01   	-83.01   	  8.57   	 233.98		
 19.23   	-82.40   	  9.50   	 213.63		
 19.84   	-82.40   	 10.36   	 188.20		
 20.14   	-82.09   	 11.11   	 167.85		
 21.97   	-80.57   	 11.78   	 193.29		
 25.02   	-76.60   	 12.55   	 203.46		
 29.30   	-70.80   	 13.37   	 213.63		
 33.57   	-64.39   	 14.22   	 213.63		
 37.23   	-58.59   	 15.08   	 218.72		
 40.28   	-54.02   	 15.95   	 213.63		
 43.64   	-50.66   	 16.81   	 213.63		
 47.30   	-48.22   	 17.66   	 198.37		
 51.88   	-45.78   	 18.45   	 188.20		
 57.68   	-43.95   	 19.21   	 167.85		
 64.39   	-42.11   	 19.88   	 157.68		
 72.33   	-40.59   	 20.51   	 142.42		
 81.48   	-39.37   	 21.08   	 132.25		
 90.33   	-38.45   	 21.61   	 127.16		
 98.27   	-38.45   	 22.12   	 111.90		
104.98   	-39.37   	 22.56   	 106.82		
110.47   	-40.59   	 22.99   	  91.56		
115.66   	-41.81   	 23.36   	  86.47		
120.24   	-42.11   	 23.70   	  76.30		
126.04   	-37.84   	 24.01   	  61.04		
126.65   	-34.79   	 24.25   	  50.86		
124.51   	-33.26   	 24.46   	  40.69		
119.93   	-33.26   	 24.62   	  15.26		
113.53   	-33.87   	 24.68   	   5.09		
105.59   	-33.57   	 24.70   	  -5.09		
 96.74   	-32.35   	 24.68   	 -25.43		
 86.98   	-31.43   	 24.58   	 -45.78		
 75.68   	-32.96   	 24.39   	 -45.78		
 62.26   	-37.84   	 24.21   	 -61.04		
 47.61   	-45.47   	 23.97   	 -66.12		
 32.04   	-54.63   	 23.70   	 -61.04		
