SAMPLE NUMBER:   30
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  RFA     	  RFA'		
-699.16   	-14.34   	  1.06   	  10.17		 53.31   	 -35.61		
-704.96   	-16.48   	  1.10   	  10.17		 53.16   	 -35.61		
-718.38   	-26.55   	  1.14   	   0.00		 53.02   	 -40.69		
-721.74   	-17.40   	  1.14   	   0.00		 52.86   	 -35.61		
-713.20   	-25.94   	  1.14   	   5.09		 52.72   	 -35.61		
-711.67   	-29.60   	  1.16   	   5.09		 52.57   	 -35.61		
-718.99   	-19.84   	  1.18   	   5.09		 52.43   	 -35.61		
-720.83   	-21.36   	  1.20   	   5.09		 52.29   	 -35.61		
-722.05   	-24.41   	  1.22   	   0.00		 52.15   	 -35.61		
-740.05   	-28.08   	  1.22   	   5.09		 52.00   	 -35.61		
-770.57   	-40.89   	  1.24   	  10.17		 51.86   	 -35.61		
-793.46   	-70.19   	  1.28   	  15.26		 51.72   	 -35.61		
-801.70   	-68.05   	  1.34   	  15.26		 51.58   	 -35.61		
-803.53   	 40.59   	  1.40   	  30.52		 51.43   	 -35.61		
-741.88   	267.33   	  1.53   	  35.61		 51.29   	 -35.61		
-657.35   	565.19   	  1.67   	  45.78		 51.15   	 -30.52		
-524.90   	810.85   	  1.85   	  61.04		 51.03   	 -35.61		
-296.94   	1058.96   	  2.10   	  66.12		 50.88   	 -30.52		
-401.00   	905.46   	  2.36   	  66.12		 50.76   	 -35.61		
-641.78   	731.51   	  2.62   	  61.04		 50.62   	 -30.52		
-877.69   	406.49   	  2.87   	  61.04		 50.50   	 -30.52		
-1053.77   	-45.47   	  3.11   	  50.86		 50.38   	 -25.43		
-1135.86   	-240.17   	  3.32   	  40.69		 50.27   	 -30.52		
-1156.01   	-296.02   	  3.48   	  30.52		 50.15   	 -25.43		
-1283.57   	-275.88   	  3.60   	  25.43		 50.05   	 -30.52		
-1456.60   	-158.08   	  3.70   	  20.35		 49.93   	 -25.43		
-1564.94   	-180.36   	  3.78   	  20.35		 49.83   	 -30.52		
-1644.59   	-300.60   	  3.87   	  20.35		 49.70   	 -25.43		
-1709.90   	-392.46   	  3.95   	  25.43		 49.60   	 -30.52		
-1741.64   	-447.08   	  4.05   	  30.52		 49.48   	 -25.43		
-1778.87   	-479.43   	  4.17   	  35.61		 49.38   	 -30.52		
-1785.89   	-497.74   	  4.31   	  55.95		 49.26   	 -25.43		
-1733.70   	-475.16   	  4.54   	  81.38		 49.16   	 -30.52		
-1651.00   	-399.17   	  4.86   	 122.07		 49.03   	 -25.43		
-1552.12   	-276.79   	  5.35   	 137.33		 48.93   	 -30.52		
-1428.53   	-157.17   	  5.90   	 152.59		 48.81   	 -25.43		
-1287.84   	-108.34   	  6.51   	 167.85		 48.71   	 -25.43		
-1114.50   	-62.87   	  7.18   	 157.68		 48.61   	 -25.43		
-958.56   	-60.42   	  7.81   	 101.73		 48.50   	 -25.43		
-846.86   	-61.95   	  8.22   	  76.30		 48.40   	 -20.35		
-767.21   	 -6.41   	  8.52   	  76.30		 48.32   	 -25.43		
-733.95   	 -3.97   	  8.83   	 116.99		 48.22   	 -30.52		
-704.35   	  6.41   	  9.30   	 127.16		 48.10   	 -30.52		
-688.48   	  0.00   	  9.81   	 162.77		 47.98   	 -25.43		
-670.47   	  8.85   	 10.46   	 239.06		 47.87   	 -30.52		
-655.21   	  9.46   	 11.41   	 325.53		 47.75   	 -30.52		
-642.70   	 14.04   	 12.72   	 401.83		 47.63   	 -25.43		
-636.90   	 16.17   	 14.32   	 437.43		 47.53   	 -30.52		
-629.58   	 15.56   	 16.07   	 457.78		 47.41   	 -25.43		
-616.76   	 17.09   	 17.90   	 488.30		 47.30   	 -25.43		
-607.30   	 21.67   	 19.86   	 549.34		 47.20   	 -20.35		
-603.64   	 21.36   	 22.05   	 600.20		 47.12   	 -20.35		
-593.87   	 20.45   	 24.46   	 590.03		 47.04   	 -25.43		
-581.67   	 23.50   	 26.82   	 534.08		 46.94   	 -15.26		
-575.87   	 25.63   	 28.95   	 493.39		 46.88   	 -20.35		
-562.74   	 34.48   	 30.93   	 452.69		 46.80   	 -20.35		
-545.96   	 34.48   	 32.74   	 381.48		 46.71   	 -20.35		
-538.02   	 40.89   	 34.26   	 305.19		 46.63   	 -15.26		
-530.09   	 49.44   	 35.48   	 239.06		 46.57   	 -25.43		
-514.83   	 52.19   	 36.44   	 193.29		 46.47   	 -20.35		
-509.03   	 55.24   	 37.21   	 157.68		 46.39   	 -25.43		
-504.15   	 61.04   	 37.84   	 127.16		 46.29   	 -20.35		
-490.11   	 71.41   	 38.35   	 132.25		 46.21   	 -25.43		
-477.91   	 73.85   	 38.88   	 132.25		 46.10   	 -20.35		
-471.19   	 82.40   	 39.41   	 142.42		 46.02   	 -20.35		
-458.68   	 90.94   	 39.98   	 147.51		 45.94   	 -15.26		
-443.12   	 96.44   	 40.57   	 208.54		 45.88   	 -15.26		
-419.92   	124.21   	 41.40   	 208.54		 45.82   	 -15.26		
-404.66   	137.63   	 42.24   	 198.37		 45.76   	 -15.26		
-390.32   	150.15   	 43.03   	 183.11		 45.70   	 -20.35		
-378.42   	169.68   	 43.76   	 162.77		 45.62   	 -15.26		
-358.89   	183.41   	 44.41   	 142.42		 45.55   	 -10.17		
-337.52   	202.94   	 44.98   	 122.07		 45.51   	 -15.26		
-317.99   	224.30   	 45.47   	 106.82		 45.45   	  -5.09		
-298.46   	242.92   	 45.90   	  86.47		 45.43   	   0.00		
-281.07   	261.23   	 46.25   	  86.47		 45.43   	  15.26		
-269.78   	281.07   	 46.59   	  71.21		 45.49   	  45.78		
-262.15   	303.04   	 46.88   	  66.12		 45.68   	  86.47		
-251.16   	326.54   	 47.14   	  66.12		 46.02   	 157.68		
-245.67   	351.56   	 47.41   	  61.04		 46.65   	 228.89		
-241.39   	376.28   	 47.65   	  66.12		 47.57   	 305.19		
-234.99   	397.03   	 47.91   	  71.21		 48.79   	 366.22		
-229.19   	413.51   	 48.20   	  76.30		 50.25   	 417.09		
-225.22   	433.35   	 48.50   	  91.56		 51.92   	 432.35		
-224.61   	445.56   	 48.87   	 101.73		 53.65   	 437.43		
-226.14   	455.02   	 49.28   	 116.99		 55.40   	 412.00		
-234.68   	463.56   	 49.75   	 122.07		 57.05   	 376.40		
-248.41   	467.83   	 50.23   	 137.33		 58.56   	 325.53		
-259.09   	458.37   	 50.78   	 142.42		 59.86   	 279.75		
-274.66   	451.66   	 51.35   	 147.51		 60.98   	 218.72		
-298.77   	444.03   	 51.94   	 152.59		 61.85   	 178.03		
-317.08   	429.69   	 52.55   	 142.42		 62.56   	 147.51		
-339.36   	414.73   	 53.12   	 147.51		 63.15   	 116.99		
-366.21   	406.19   	 53.71   	 152.59		 63.62   	 116.99		
-389.71   	383.30   	 54.32   	 152.59		 64.09   	 122.07		
-411.99   	361.33   	 54.93   	 142.42		 64.58   	 142.42		
-437.01   	347.90   	 55.50   	 137.33		 65.15   	 167.85		
-466.00   	332.03   	 56.05   	 137.33		 65.82   	 198.37		
-488.59   	307.92   	 56.60   	 127.16		 66.61   	 223.80		
-515.44   	289.00   	 57.11   	 116.99		 67.51   	 249.24		
-549.62   	269.17   	 57.58   	 106.82		 68.50   	 259.41		
-571.29   	241.39   	 58.01   	  91.56		 69.54   	 274.67		
-595.09   	222.78   	 58.37   	  66.12		 70.64   	 279.75		
-621.03   	204.77   	 58.64   	  45.78		 71.76   	 274.67		
-642.40   	191.04   	 58.82   	  30.52		 72.86   	 264.50		
-660.10   	169.98   	 58.94   	   5.09		 73.92   	 249.24		
-679.63   	154.42   	 58.96(S)	 -20.35		 74.91   	 244.15		
-698.55   	141.60   	 58.88   	 -50.86		 75.89   	 218.72		
-708.31   	122.68   	 58.68   	 -81.38		 76.76   	 213.63		
-719.91   	108.64   	 58.35   	-106.82		 77.62   	 198.37		
-735.47   	101.01   	 57.92   	-137.33		 78.41   	 188.20		
-741.88   	 92.16   	 57.38   	-167.85		 79.17   	 183.11		
-746.15   	 83.31   	 56.70   	-198.37		 79.90   	 183.11		
-754.70   	 83.01   	 55.91   	-249.24		 80.63   	 178.03		
-759.89   	 82.70   	 54.91   	-310.27		 81.34   	 172.94		
-763.55   	 78.43   	 53.67   	-366.22		 82.03   	 152.59		
