SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
 14.34   	-73.85   	  9.46   	-132.25		 70.07   	-152.59		
 13.43   	-73.24   	  8.93   	-122.07		 69.46   	-137.33		
 12.21   	-72.33   	  8.44   	-111.90		 68.91   	-127.16		
 11.60   	-71.72   	  8.00   	 -96.64		 68.40   	-122.07		
 11.90   	-72.63   	  7.61   	 -81.38		 67.91   	-111.90		
 12.21   	-73.85   	  7.28   	 -66.12		 67.47   	-106.82		
 11.90   	-74.16   	  7.02   	 -50.86		 67.04   	-111.90		
 11.29   	-73.24   	  6.82   	 -30.52		 66.59   	-111.90		
 10.68   	-71.72   	  6.69   	 -20.35		 66.14   	-111.90		
  9.16   	-70.50   	  6.61   	  -5.09		 65.70   	-106.82		
  7.63   	-70.50   	  6.59   	   5.09		 65.27   	-101.73		
  7.63   	-72.33   	  6.61   	   5.09		 64.86   	 -91.56		
  9.16   	-74.46   	  6.63   	  10.17		 64.50   	 -96.64		
 11.29   	-75.07   	  6.67   	   5.09		 64.11   	 -91.56		
 14.04   	-74.77   	  6.69   	   5.09		 63.74   	 -91.56		
 15.87   	-73.24   	  6.71   	   5.09		 63.38   	 -91.56		
 16.48   	-72.33   	  6.73   	   5.09		 63.01   	 -86.47		
 16.48   	-73.55   	  6.75   	   5.09		 62.67   	 -76.30		
 17.70   	-76.29   	  6.78   	  10.17		 62.36   	 -71.21		
 19.53   	-79.65   	  6.82   	  10.17		 62.08   	 -71.21		
 22.58   	-82.70   	  6.86   	  10.17		 61.79   	 -66.12		
 26.86   	-86.67   	  6.90   	  20.35		 61.53   	 -66.12		
 31.13   	-91.86   	  6.98   	  25.43		 61.26   	 -61.04		
 36.32   	-100.40   	  7.08   	  35.61		 61.02   	 -66.12		
 44.25   	-116.27   	  7.22   	  40.69		 60.75   	 -66.12		
 57.37   	-141.30   	  7.39   	  45.78		 60.49   	 -66.12		
 78.43   	-173.95   	  7.57   	  50.86		 60.22   	 -55.95		
109.25   	-209.05   	  7.77   	  55.95		 60.00   	 -55.95		
147.09   	-236.51   	  8.00   	  61.04		 59.78   	 -50.86		
185.85   	-247.19   	  8.24   	  55.95		 59.57   	 -50.86		
217.29   	-238.04   	  8.46   	  55.95		 59.37   	 -50.86		
236.21   	-211.79   	  8.69   	  55.95		 59.17   	 -50.86		
241.09   	-176.70   	  8.91   	  50.86		 58.96   	 -50.86		
235.90   	-140.38   	  9.11   	  45.78		 58.76   	 -50.86		
225.52   	-108.95   	  9.30   	  40.69		 58.56   	 -50.86		
212.71   	-84.53   	  9.46   	  35.61		 58.35   	 -45.78		
198.67   	-67.75   	  9.60   	  30.52		 58.17   	 -45.78		
184.94   	-57.68   	  9.73   	  30.52		 57.99   	 -45.78		
173.65   	-49.13   	  9.85   	  20.35		 57.80   	 -45.78		
166.32   	-36.01   	  9.93   	  20.35		 57.62   	 -45.78		
164.18   	-16.48   	 10.01   	  20.35		 57.44   	 -50.86		
165.10   	  6.41   	 10.09   	  15.26		 57.23   	 -45.78		
164.79   	 26.25   	 10.15   	  20.35		 57.05   	 -35.61		
160.22   	 37.23   	 10.23   	  15.26		 56.91   	 -45.78		
150.15   	 37.23   	 10.29   	  15.26		 56.72   	 -35.61		
135.80   	 29.91   	 10.36   	  15.26		 56.58   	 -40.69		
119.02   	 21.36   	 10.42   	  10.17		 56.42   	 -40.69		
101.62   	 14.04   	 10.46   	   0.00		 56.26   	 -40.69		
 83.31   	  7.63   	 10.46   	   0.00		 56.09   	 -40.69		
 62.26   	 -0.31   	 10.46   	   0.00		 55.93   	 -40.69		
 37.54   	-11.90   	 10.46   	  -5.09		 55.77   	 -40.69		
 11.29   	-25.63   	 10.44   	 -10.17		 55.61   	 -35.61		
-13.12   	-36.93   	 10.40   	 -10.17		 55.46   	 -30.52		
-32.35   	-41.81   	 10.36   	 -10.17		 55.34   	 -35.61		
-43.95   	-41.20   	 10.32   	 -15.26		 55.20   	 -40.69		
-48.22   	-37.54   	 10.25   	  -5.09		 55.04   	 -35.61		
-48.22   	-35.10   	 10.23   	 -10.17		 54.89   	 -40.69		
-47.30   	-35.10   	 10.19   	   5.09		 54.73   	 -40.69		
-48.52   	-36.62   	 10.21   	   0.00		 54.57   	 -40.69		
-52.19   	-37.84   	 10.21   	   5.09		 54.40   	 -40.69		
-56.76   	-37.54   	 10.23   	   0.00		 54.24   	 -35.61		
-60.42   	-36.93   	 10.23   	   0.00		 54.10   	 -35.61		
-61.95   	-35.71   	 10.23   	   0.00		 53.96   	 -35.61		
-62.56   	-34.79   	 10.23   	   5.09		 53.81   	 -30.52		
-62.56   	-34.48   	 10.25   	   0.00		 53.69   	 -30.52		
-62.26   	-33.57   	 10.25   	   0.00		 53.57   	 -30.52		
-62.87   	-32.04   	 10.25   	   5.09		 53.45   	 -30.52		
-64.09   	-31.13   	 10.27   	   0.00		 53.33   	 -30.52		
-65.61   	-30.82   	 10.27   	  10.17		 53.20   	 -40.69		
-67.14   	-29.91   	 10.32   	  10.17		 53.04   	 -35.61		
-68.05   	-28.08   	 10.36   	  15.26		 52.90   	 -40.69		
-67.44   	-25.63   	 10.42   	  10.17		 52.74   	 -35.61		
-66.22   	-22.89   	 10.46   	  20.35		 52.59   	 -35.61		
-65.31   	-22.28   	 10.54   	  25.43		 52.45   	 -30.52		
-65.61   	-28.99   	 10.64   	  35.61		 52.33   	 -25.43		
-64.39   	-44.86   	 10.78   	  50.86		 52.23   	 -30.52		
-54.32   	-63.48   	 10.99   	  50.86		 52.11   	 -25.43		
-24.41   	-64.70   	 11.19   	  55.95		 52.00   	 -30.52		
 36.01   	-11.90   	 11.41   	  55.95		 51.88   	 -35.61		
138.55   	132.45   	 11.64   	  50.86		 51.74   	 -35.61		
289.92   	378.72   	 11.84   	  50.86		 51.60   	 -40.69		
473.33   	682.68   	 12.04   	  45.78		 51.43   	 -45.78		
633.24   	949.40   	 12.23   	  30.52		 51.25   	 -35.61		
544.74   	972.90(R)	 12.35(E)	  15.26		 51.11   	 -35.61		
204.16   	675.05   	 12.41   	  15.26		 50.97   	 -30.52		
-261.23   	274.05   	 12.47   	   5.09		 50.84   	 -30.52		
-711.67   	-88.81   	 12.49   	   0.00		 50.72   	 -30.52		
-1020.51   	-300.29   	 12.49   	  -5.09		 50.60   	 -35.61		
-1144.10   	-332.03   	 12.47   	 -15.26		 50.46   	 -35.61		
-1124.88   	-249.63   	 12.41   	 -20.35		 50.32   	 -40.69		
-1047.67   	-177.31   	 12.33   	 -30.52		 50.15   	 -45.78		
-979.00   	-219.73   	 12.21   	 -25.43		 49.97   	 -40.69		
-926.82   	-393.68   	 12.11   	 -30.52		 49.81   	 -30.52		
-852.05   	-611.88   	 11.98   	 -25.43		 49.68   	 -35.61		
-714.11   	-739.75   	 11.88   	 -15.26		 49.54   	 -35.61		
-508.73   	-685.73   	 11.82   	  -5.09		 49.40   	 -30.52		
-278.32   	-463.26   	 11.80   	  10.17		 49.28   	 -25.43		
-89.11   	-177.00   	 11.84   	  30.52		 49.18   	 -25.43		
  9.16   	 45.47   	 11.96   	  50.86		 49.07   	 -30.52		
 12.51   	134.28   	 12.17   	  71.21		 48.95   	 -30.52		
-39.37   	106.51   	 12.45   	  91.56		 48.83   	 -35.61		
-91.86   	 36.01   	 12.82   	 111.90		 48.69   	 -30.52		
-112.00   	-12.82   	 13.27   	 132.25		 48.57   	 -30.52		
-97.35   	-18.01   	 13.79   	 147.51		 48.44   	 -30.52		
-68.36   	  2.14   	 14.38   	 162.77		 48.32   	 -30.52		
-46.39   	 19.84   	 15.04   	 178.03		 48.20   	 -30.52		
-38.15   	 20.45   	 15.75   	 203.46		 48.08   	 -25.43		
-38.45   	  9.16   	 16.56   	 295.01		 47.98   	 -30.52		
-37.54   	 -7.02   	 17.74   	 335.71		 47.85   	 -30.52		
-32.35   	 -6.41   	 19.08   	 381.48		 47.73   	 -30.52		
-27.47   	 -3.66   	 20.61   	 422.18		 47.61   	 -35.61		
-25.02   	 -1.53   	 22.30   	 432.35		 47.47   	 -35.61		
-24.41   	 -0.92   	 24.03   	 417.09		 47.32   	 -35.61		
-24.11   	 -2.14   	 25.70   	 396.74		 47.18   	 -40.69		
-23.50   	 -3.36   	 27.28   	 386.57		 47.02   	 -30.52		
-21.06   	 -3.97   	 28.83   	 371.31		 46.90   	 -30.52		
-17.40   	 -4.27   	 30.32   	 356.05		 46.77   	 -35.61		
-13.73   	 -4.27   	 31.74   	 325.53		 46.63   	 -30.52		
-10.68   	 -4.58   	 33.04   	 300.10		 46.51   	 -25.43		
 -8.24   	 -5.80   	 34.24   	 274.67		 46.41   	 -25.43		
 -6.41   	 -7.32   	 35.34   	 254.32		 46.31   	 -20.35		
 -3.97   	 -8.54   	 36.36   	 239.06		 46.23   	 -15.26		
 -0.31   	 -9.46   	 37.31   	 218.72		 46.16   	 -10.17		
  4.88   	 -9.46   	 38.19   	 193.29		 46.12   	 -10.17		
 10.38   	 -7.93   	 38.96   	 167.85		 46.08   	  -5.09		
 15.26   	 -6.71   	 39.63   	 152.59		 46.06   	   0.00		
 19.84   	 -6.10   	 40.24   	 137.33		 46.06   	   5.09		
 23.80   	 -6.71   	 40.79   	 122.07		 46.08   	  15.26		
 28.69   	 -7.32   	 41.28   	 106.82		 46.14   	  40.69		
 35.10   	 -7.02   	 41.71   	  91.56		 46.31   	  81.38		
 42.72   	 -5.49   	 42.08   	  86.47		 46.63   	 137.33		
 50.35   	 -2.44   	 42.42   	  86.47		 47.18   	 213.63		
 57.98   	  1.22   	 42.77   	  91.56		 48.04   	 386.57		
 70.19   	  8.24   	 43.13   	  86.47		 49.58   	 401.83		
 74.77   	 12.21   	 43.48   	  96.64		 51.19   	 396.74		
 79.35   	 16.17   	 43.87   	 101.73		 52.78   	 376.40		
 83.62   	 20.75   	 44.27   	 111.90		 54.28   	 335.71		
 87.59   	 25.94   	 44.72   	 111.90		 55.63   	 310.27		
 92.16   	 31.13   	 45.17   	 122.07		 56.87   	 295.01		
 96.44   	 36.62   	 45.66   	 116.99		 58.05   	 295.01		
100.10   	 42.72   	 46.12   	 116.99		 59.23   	 295.01		
104.06   	 48.52   	 46.59   	 127.16		 60.41   	 289.93		
108.64   	 54.93   	 47.10   	 122.07		 61.57   	 274.67		
113.22   	 61.95   	 47.59   	 127.16		 62.67   	 249.24		
119.02   	 70.19   	 48.10   	 127.16		 63.66   	 239.06		
125.43   	 79.65   	 48.61   	 122.07		 64.62   	 223.80		
131.84   	 90.03   	 49.09   	 127.16		 65.51   	 223.80		
137.94   	 99.79   	 49.60   	 127.16		 66.41   	 228.89		
144.04   	108.64   	 50.11   	 122.07		 67.32   	 228.89		
150.45   	116.88   	 50.60   	 116.99		 68.24   	 239.06		
156.25   	125.12   	 51.07   	 116.99		 69.20   	 239.06		
162.35   	133.36   	 51.54   	 116.99		 70.15   	 228.89		
168.76   	142.52   	 52.00   	 122.07		 71.07   	 203.46		
175.17   	152.59   	 52.49   	 111.90		 71.88   	 178.03		
180.97   	163.57   	 52.94   	 101.73		 72.59   	 167.85		
186.16   	174.26   	 53.35   	  91.56		 73.27   	 162.77		
189.21   	184.63   	 53.71   	  86.47		 73.92   	 178.03		
190.43   	194.70   	 54.06   	  91.56		 74.63   	 223.80		
185.85   	213.32   	 54.43   	  76.30		 75.52   	 223.80		
178.53   	221.86   	 54.73   	  66.12		 76.42   	 269.58		
167.85   	228.58   	 54.99   	  45.78		 77.50   	 325.53		
153.81   	231.93   	 55.18   	  50.86		 78.80   	 320.45		
137.63   	230.41   	 55.38   	  40.69		 80.08   	 295.01		
119.93   	222.78   	 55.54   	  25.43		 81.26   	 239.06		
102.54   	208.13   	 55.65   	  20.35		 82.22   	 147.51		
 85.45   	187.99   	 55.73   	  15.26		 82.81   	  55.95		
 69.58   	164.18   	 55.79   	  10.17		 83.03   	  20.35		
 56.46   	138.24   	 55.83   	   5.09		 83.11   	  45.78		
 45.47   	112.00   	 55.85(S)	 -10.17		 83.30   	 101.73		
 35.71   	 86.67   	 55.81   	 -20.35		 83.70   	 132.25		
 26.55   	 62.26   	 55.73   	 -30.52		 84.23   	 127.16		
 18.92   	 38.45   	 55.61   	 -40.69		 84.74   	 127.16		
 12.51   	 15.56   	 55.44   	 -50.86		 85.25   	 116.99		
  8.24   	 -4.88   	 55.24   	 -66.12		 85.72   	  61.04		
  5.49   	-20.75   	 54.97   	 -91.56		 85.96   	  10.17		
  2.44   	-30.52   	 54.61   	-101.73		 86.00(S)	 -10.17		
 -2.44   	-34.79   	 54.20   	-127.16		 85.96   	 -20.35		
 -9.77   	-37.54   	 53.69   	-147.51		 85.88   	 -35.61		
-18.92   	-41.50   	 53.10   	-167.85		 85.74   	 -20.35		
