SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  DAO     	  DAO'		  RV     	  RV'		
-11.29   	-143.74   	 77.97   	-167.85		 16.74   	-376.40		
 -9.46   	-137.63   	 77.29   	-162.77		 15.24   	-406.92		
 -8.85   	-133.67   	 76.64   	-167.85		 13.61   	-401.83		
 -8.85   	-131.84   	 75.97   	-172.94		 12.00   	-381.48		
 -7.93   	-131.23   	 75.28   	-188.20		 10.48   	-376.40		
 -5.80   	-130.00   	 74.53   	-193.29		  8.97   	-381.48		
 -3.05   	-127.56   	 73.75   	-178.03		  7.45   	-361.14		
 -0.92   	-123.90   	 73.04   	-157.68		  6.00   	-335.71		
 -0.31   	-120.24   	 72.41   	-132.25		  4.66   	-305.19		
 -1.53   	-117.80   	 71.88   	-116.99		  3.44   	-284.84		
 -4.27   	-116.88   	 71.41   	   0.00		  2.30   	   0.00		
 -4.27   	-116.88   	 71.41   	-188.20		  2.30   	-452.69		
 -9.16   	-118.41   	 70.66   	   0.00		  0.49   	   0.00		
 -9.16   	-118.41   	 70.66   	-116.99		  0.49   	-320.45		
 -9.46   	-120.54   	 70.19   	   0.00		 -0.79   	   0.00		
 -9.46   	-120.54   	 70.19   	 -55.95		 -0.79   	-208.54		
-11.29   	-126.65   	 69.97   	   0.00		 -1.63   	   0.00		
-11.29   	-126.65   	 69.97   	  -5.09		 -1.63   	 -81.38		
-15.87   	-130.62   	 69.95   	   0.00		 -1.95   	   0.00		
-15.87   	-130.62   	 69.95   	   0.00		 -1.95   	 -10.17		
-18.01   	-130.31   	 69.95   	   0.00		 -1.99   	   0.00		
-18.01   	-130.31   	 69.95   	  -5.09		 -1.99   	  50.86		
-19.23   	-134.28   	 69.93   	   0.00		 -1.79   	  30.52		
-19.53   	-136.11   	 69.93   	  -5.09		 -1.67   	  40.69		
-19.53   	-136.41   	 69.91   	  -5.09		 -1.51   	  50.86		
-18.92   	-135.80   	 69.89   	 -10.17		 -1.30   	  55.95		
-18.01   	-134.58   	 69.85   	 -20.35		 -1.08   	  55.95		
-16.78   	-133.36   	 69.77   	 -20.35		 -0.85   	  66.12		
-15.87   	-133.67   	 69.68   	 -30.52		 -0.59   	  71.21		
-15.87   	-136.41   	 69.56   	 -35.61		 -0.31   	  76.30		
-16.17   	-140.38   	 69.42   	 -35.61		  0.00   	  76.30		
-14.95   	-140.69   	 69.28   	 -35.61		  0.31   	  81.38		
 -9.16   	-131.84   	 69.14   	 -45.78		  0.63   	  86.47		
  1.22   	-112.00   	 68.95   	 -50.86		  0.98   	  91.56		
 13.43   	-84.23   	 68.75   	 -50.86		  1.34   	  86.47		
