SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
-30.82   	-101.93   	 74.06   	 -40.69		  8.20   	 116.99		
-35.10   	-113.53   	 73.90   	 -35.61		  8.67   	 132.25		
-36.62   	-128.17   	 73.75   	 -25.43		  9.20   	  86.47		
-35.71   	-140.08   	 73.65   	 -40.69		  9.54   	  40.69		
-34.18   	-145.87   	 73.49   	 -50.86		  9.70   	 -15.26		
-33.26   	-146.48   	 73.29   	 -45.78		  9.64   	 -76.30		
-32.96   	-144.96   	 73.10   	 -55.95		  9.34   	 -86.47		
-33.57   	-143.43   	 72.88   	 -55.95		  8.99   	 -71.21		
-33.87   	-143.13   	 72.65   	 -30.52		  8.71   	 -71.21		
-33.57   	-142.82   	 72.53   	 -15.26		  8.42   	 -71.21		
-32.65   	-142.21   	 72.47   	 -35.61		  8.14   	 -40.69		
-31.43   	-144.96   	 72.33   	 -35.61		  7.98   	  15.26		
-28.38   	-159.91   	 72.19   	 -20.35		  8.04   	  40.69		
-21.06   	-194.40   	 72.11   	 -20.35		  8.20   	  45.78		
-10.07   	-244.14   	 72.02   	 -45.78		  8.38   	  40.69		
  2.75   	-282.90   	 71.84   	 -50.86		  8.55   	  55.95		
 13.43   	-266.11   	 71.64   	 -40.69		  8.77   	  61.04		
 21.06   	-148.62   	 71.47   	 -30.52		  9.01   	  50.86		
 28.99   	 94.91   	 71.35   	 -35.61		  9.22   	  20.35		
 40.89   	450.44   	 71.21   	 -35.61		  9.30   	   0.00		
 54.63   	869.14   	 71.07   	 -40.69		  9.30   	 -20.35		
 57.37   	1278.08   	 70.91   	 -76.30		  9.22   	-127.16		
-28.99   	1635.44(R)	 70.60   	 -25.43		  8.71   	 -76.30		
-128.48   	1416.63   	 70.50   	 -25.43		  8.40   	 -66.12		
-245.36   	955.20   	 70.40   	 -30.52		  8.14   	 -66.12		
-344.85   	390.01   	 70.27   	 -35.61		  7.87   	 -50.86		
-396.42   	-104.68   	 70.13   	 -45.78		  7.67   	  15.26		
-385.44   	-422.36   	 69.95   	 -15.26		  7.73   	  40.69		
-323.49   	-567.63   	 69.89   	 -15.26		  7.89   	  15.26		
-239.56   	-607.91   	 69.83   	 -20.35		  7.96   	  71.21		
-162.96   	-588.99   	 69.75   	 -20.35		  8.24   	  66.12		
-105.59   	-509.64   	 69.66   	 -71.21		  8.50   	  91.56		
-63.78   	-362.85   	 69.38   	 -35.61		  8.87   	 178.03		
-29.91   	-182.19   	 69.24   	  40.69		  9.58   	 147.51		
 -2.44   	-36.93   	 69.40   	  -5.09		 10.17   	 218.72		
 14.04   	 18.01   	 69.38   	 -45.78		 11.05   	 325.53		
 17.40   	-11.60   	 69.20   	 -66.12		 12.35   	 289.93		
 12.21   	-69.89   	 68.93   	 -61.04		 13.51   	 289.93		
  6.71   	-101.32   	 68.69   	 -50.86		 14.67   	 579.86		
  7.02   	-90.64   	 68.48   	 -20.35		 16.99   	 900.30		
 11.60   	-57.98   	 68.40   	  -5.09		 20.59   	 747.71		
 17.09   	-30.52   	 68.38   	 -10.17		 23.58   	 579.86		
 20.45   	-18.92   	 68.34   	 -10.17		 25.90   	 544.25		
 21.67   	-19.23   	 68.30   	   5.09		 28.08   	 534.08		
 23.19   	-21.36   	 68.32   	 -10.17		 30.21   	 651.07		
 26.55   	-20.45   	 68.28   	 -25.43		 32.82   	 620.55		
 32.04   	-16.48   	 68.18   	 -10.17		 35.30   	 900.30		
 43.33   	 -9.16   	 68.14   	 -20.35		 38.90   	 259.41		
 46.69   	 -5.19   	 68.06   	 -71.21		 39.94   	 147.51		
 47.61   	  1.83   	 67.77   	 -35.61		 40.53   	 122.07		
 47.61   	 11.90   	 67.63   	 -25.43		 41.02   	  30.52		
 47.61   	 22.89   	 67.53   	 -35.61		 41.14   	  55.95		
 48.52   	 31.43   	 67.39   	 -40.69		 41.36   	   5.09		
 50.05   	 36.32   	 67.22   	 -35.61		 41.38   	 -50.86		
 52.19   	 38.76   	 67.08   	 -45.78		 41.18   	 -30.52		
 54.02   	 39.67   	 66.90   	 -40.69		 41.06   	 -25.43		
 55.24   	 40.89   	 66.73   	  20.35		 40.96   	 -25.43		
 55.24   	 43.03   	 66.82   	   5.09		 40.85   	 -50.86		
 54.93   	 48.52   	 66.84   	 -25.43		 40.65   	 -40.69		
 55.24   	 57.98   	 66.73   	   0.00		 40.49   	 -10.17		
 55.85   	 69.58   	 66.73   	 -25.43		 40.45   	 -10.17		
 56.76   	 78.74   	 66.63   	 -61.04		 40.41   	  -5.09		
 57.68   	 81.48   	 66.39   	 -25.43		 40.39   	  10.17		
 59.20   	 79.35   	 66.29   	 -35.61		 40.43   	  -5.09		
 62.26   	 78.74   	 66.14   	 -40.69		 40.41   	   0.00		
 67.14   	 85.45   	 65.98   	 -10.17		 40.41   	 -25.43		
 73.55   	100.40   	 65.94   	   0.00		 40.31   	 -66.12		
 79.96   	118.71   	 65.94   	  40.69		 40.04   	 -20.35		
 85.75   	135.19   	 66.10   	  76.30		 39.96   	  -5.09		
 90.94   	148.32   	 66.41   	 116.99		 39.94   	 -66.12		
 97.05   	159.91   	 66.88   	 208.54		 39.67   	 -81.38		
104.06   	171.20   	 67.71   	 854.52		 39.35   	 -81.38		
116.88   	193.48   	 71.13   	 681.58		 39.02   	 -25.43		
