SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
 28.38   	-118.41   	 -0.53   	-279.75		103.50   	-264.50		
 35.71   	-103.15   	 -1.65   	-239.06		102.44   	-259.41		
 37.23   	-93.69   	 -2.60   	-203.46		101.40   	-284.84		
 38.76   	-82.40   	 -3.42   	-162.77		100.26   	-264.50		
 45.47   	-62.26   	 -4.07   	-111.90		 99.21   	-208.54		
 57.98   	-34.79   	 -4.52   	 -55.95		 98.37   	-132.25		
 71.11   	 -9.16   	 -4.74   	  -5.09		 97.84   	 -81.38		
 80.26   	  0.61   	 -4.76   	  25.43		 97.52   	 -86.47		
 80.57   	-13.73   	 -4.66   	  55.95		 97.17   	 -91.56		
 72.02   	-51.88   	 -4.44   	  86.47		 96.81   	 -81.38		
 55.85   	-104.06   	 -4.09   	 106.82		 96.48   	 -76.30		
 35.10   	-155.94   	 -3.66   	 127.16		 96.17   	 -81.38		
 12.21   	-195.62   	 -3.15   	 152.59		 95.85   	-101.73		
-10.07   	-218.81   	 -2.54   	 167.85		 95.44   	-116.99		
-29.91   	-229.80   	 -1.87   	 178.03		 94.97   	 -81.38		
-46.39   	-235.60   	 -1.16   	 193.29		 94.65   	 -50.86		
-58.90   	-242.31   	 -0.39   	 193.29		 94.45   	 -61.04		
-66.53   	-250.24   	  0.39   	 193.29		 94.20   	-106.82		
-69.58   	-255.74   	  1.16   	 183.11		 93.77   	-132.25		
-69.27   	-256.35   	  1.89   	 167.85		 93.24   	 -91.56		
-68.36   	-252.69   	  2.56   	 152.59		 92.88   	 -35.61		
-69.89   	-248.72   	  3.17   	 127.16		 92.74   	 -15.26		
-74.16   	-248.41   	  3.68   	 111.90		 92.68   	 -25.43		
-79.04   	-250.85   	  4.13   	  96.64		 92.57   	 -40.69		
-80.87   	-253.60   	  4.52   	  76.30		 92.41   	 -35.61		
-76.60   	-254.21   	  4.82   	  66.12		 92.27   	 -10.17		
-62.56   	-256.04   	  5.09   	  55.95		 92.23   	  -5.09		
-36.32   	-264.59   	  5.31   	  50.86		 92.21   	  -5.09		
  1.22   	-277.40   	  5.51   	  50.86		 92.19   	 -25.43		
 43.95   	-270.08   	  5.72   	  40.69		 92.09   	 -30.52		
 82.09   	-188.60   	  5.88   	  40.69		 91.96   	 -30.52		
107.73   	 39.67   	  6.04   	  40.69		 91.84   	 -30.52		
109.56   	476.07   	  6.21   	  25.43		 91.72   	 -30.52		
 60.42   	1095.58   	  6.31   	   5.09		 91.60   	 -55.95		
-68.66   	1723.33   	  6.33   	   0.00		 91.37   	-132.25		
-524.60   	1921.08(R)	  6.33   	   5.09		 90.84   	 -45.78		
-702.21   	1246.95   	  6.35   	  10.17		 90.66   	 -35.61		
-720.52   	333.86   	  6.39   	  10.17		 90.52   	 -55.95		
-567.63   	-403.44   	  6.43   	  10.17		 90.29   	 -66.12		
