SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  LPA     	  LPA'		  AO     	  AO'		  RV     	  RV'		
 77.21   	-58.29   	 54.02   	 -91.56		 46.37   	 -30.52		 25.09   	 910.47		
 75.99   	-54.32   	 53.65   	-142.42		 46.25   	 -40.69		 28.73   	 956.25		
 79.35   	-49.44   	 53.08   	-162.77		 46.08   	 -35.61		 32.55   	 971.51		
 83.92   	-47.61   	 52.43   	-167.85		 45.94   	 -30.52		 36.44   	 981.68		
 87.59   	-48.22   	 51.76   	-300.10		 45.82   	 -25.43		 40.37   	1963.37		
 88.20   	-41.50   	 50.56   	-106.82		 45.72   	 -10.17		 48.22   	 956.25		
 86.67   	-32.04   	 50.13   	 -71.21		 45.68   	 -25.43		 52.04   	 905.39		
 85.45   	-22.28   	 49.85   	 -55.95		 45.57   	 -35.61		 55.67   	 844.35		
 85.14   	-14.34   	 49.62   	 -66.12		 45.43   	 -35.61		 59.04   	 773.14		
 86.36   	 -8.85   	 49.36   	 -76.30		 45.29   	 -30.52		 62.14   	 691.76		
 89.11   	 -4.58   	 49.05   	 -71.21		 45.17   	 -15.26		 64.90   	 579.86		
 93.08   	 -0.31   	 48.77   	 -45.78		 45.11   	  -5.09		 67.22   	 462.87		
 96.74   	  2.75   	 48.59   	  15.26		 45.09   	  -5.09		 69.07   	 335.71		
 98.27   	  4.58   	 48.65   	 111.90		 45.07   	 -15.26		 70.42   	 203.46		
 97.35   	  4.88   	 49.09   	 239.06		 45.00   	 -25.43		 71.23   	  86.47		
 95.83   	  6.41   	 50.05   	 371.31		 44.90   	 -30.52		 71.58   	   0.00		
 94.30   	 10.38   	 51.54   	 462.87		 44.78   	 -35.61		 71.58   	 -76.30		
 94.60   	 17.70   	 53.39   	 508.65		 44.64   	 -35.61		 71.27   	-132.25		
 96.74   	 26.86   	 55.42   	 513.73		 44.50   	 -25.43		 70.74   	-172.94		
 99.18   	 36.32   	 57.48   	 498.47		 44.39   	 -15.26		 70.05   	-178.03		
101.62   	 45.17   	 59.47   	 457.78		 44.33   	 -10.17		 69.34   	-157.68		
104.06   	 54.02   	 61.30   	 452.69		 44.29   	 -15.26		 68.71   	-122.07		
105.90   	 63.78   	 63.11   	 528.99		 44.23   	 -20.35		 68.22   	 -71.21		
107.73   	 74.16   	 65.23   	 676.50		 44.15   	 -15.26		 67.93   	 -15.26		
109.25   	 84.84   	 67.93   	 803.66		 44.09   	 -15.26		 67.87   	  45.78		
110.47   	 94.60   	 71.15   	 813.83		 44.03   	  15.26		 68.06   	 116.99		
111.69   	103.15   	 74.40   	 681.58		 44.09   	  61.04		 68.52   	 193.29		
112.92   	110.78   	 77.13   	 452.69		 44.33   	 116.99		 69.30   	 254.32		
115.05   	117.80   	 78.94   	 239.06		 44.80   	 193.29		 70.32   	 305.19		
118.10   	125.43   	 79.90   	 279.75		 45.57   	 615.46		 71.54   	 732.45		
121.46   	143.43   	 81.02   	 244.15		 48.04   	 406.92		 74.47   	 422.18		
120.85   	153.81   	 81.99   	 305.19		 49.66   	 437.43		 76.15   	 442.52		
118.71   	165.10   	 83.21   	 264.50		 51.41   	 473.04		 77.92   	 457.78		
116.58   	177.61   	 84.27   	 162.77		 53.31   	 488.30		 79.76   	 457.78		
115.97   	190.73   	 84.92   	  35.61		 55.26   	 473.04		 81.59   	 442.52		
116.58   	205.08   	 85.07   	 -50.86		 57.15   	 437.43		 83.36   	 422.18		
117.49   	219.42   	 84.86   	 -66.12		 58.90   	 396.74		 85.05   	 396.74		
116.88   	234.07   	 84.60   	   5.09		 60.49   	 361.14		 86.63   	 350.97		
114.44   	248.72   	 84.62   	 127.16		 61.93   	 310.27		 88.04   	 310.27		
110.47   	263.06   	 85.13   	 208.54		 63.17   	 244.15		 89.28   	 274.67		
106.20   	277.40   	 85.96   	 208.54		 64.15   	 198.37		 90.38   	 244.15		
102.84   	291.44   	 86.80   	 157.68		 64.94   	 172.94		 91.35   	 208.54		
101.32   	304.26   	 87.43   	 111.90		 65.64   	 167.85		 92.19   	 157.68		
101.01   	316.16   	 87.87   	 106.82		 66.31   	 152.59		 92.82   	  96.64		
101.32   	328.06   	 88.30   	 122.07		 66.92   	 142.42		 93.20   	  45.78		
100.71   	339.36   	 88.79   	 183.11		 67.49   	 127.16		 93.39   	  25.43		
 97.96   	349.43   	 89.52   	 259.41		 68.00   	 142.42		 93.49   	   5.09		
 93.08   	357.06   	 90.56   	 284.84		 68.57   	 157.68		 93.51   	 -15.26		
 86.67   	360.41   	 91.70   	 239.06		 69.20   	 152.59		 93.45   	 -66.12		
 79.65   	359.80   	 92.65   	 188.20		 69.81   	 157.68		 93.18   	-116.99		
 72.63   	354.31   	 93.41   	 193.29		 70.44   	 157.68		 92.72   	-142.42		
 65.92   	342.41   	 94.18   	 218.72		 71.07   	 162.77		 92.15   	-147.51		
 60.12   	323.18   	 95.06   	 218.72		 71.72   	 167.85		 91.56   	-162.77		
 55.85   	296.33   	 95.93   	 208.54		 72.39   	 172.94		 90.91   	-188.20		
 52.80   	262.76   	 96.76   	 422.18		 73.08   	 315.36		 90.15   	-467.95		
 50.05   	186.46   	 98.45   	 147.51		 74.34   	 137.33		 88.28   	-244.15		
 48.52   	148.01   	 99.04   	  61.04		 74.89   	 132.25		 87.30   	-279.75		
 47.30   	110.17   	 99.29   	  25.43		 75.42   	 116.99		 86.18   	-366.22		
 46.08   	 74.77   	 99.39   	  76.30		 75.89   	 106.82		 84.72   	-452.69		
 45.17   	 43.03   	 99.69   	 101.73		 76.32   	  81.38		 82.91   	-483.21		
 43.33   	 15.56   	100.10   	  50.86		 76.64   	  50.86		 80.98   	-447.61		
 40.59   	 -7.32   	100.30(S)	 -10.17		 76.85   	  40.69		 79.19   	-396.74		
 37.84   	-26.55   	100.26   	 -40.69		 77.01   	  30.52		 77.60   	-376.40		
 35.71   	-42.72   	100.10   	 -35.61		 77.13   	   5.09		 76.09   	-406.92		
 34.79   	-56.15   	 99.96   	 -55.95		 77.15(S)	 -25.43		 74.47   	-432.35		
 33.87   	-67.44   	 99.74   	 -76.30		 77.05   	 -45.78		 72.74   	-401.83		
 32.35   	-76.90   	 99.43   	 -81.38		 76.87   	 -45.78		 71.13   	-340.79		
 29.30   	-84.53   	 99.10   	 -81.38		 76.68   	 -50.86		 69.77   	-279.75		
 26.25   	-89.11   	 98.78   	-101.73		 76.48   	 -71.21		 68.65   	-284.84		
 24.41   	-90.94   	 98.37   	-137.33		 76.20   	-106.82		 67.51   	-335.71		
 24.41   	-90.94   	 97.82   	-172.94		 75.77   	-122.07		 66.16   	-371.31		
 26.25   	-90.64   	 97.13   	-203.46		 75.28   	-127.16		 64.68   	-350.97		
 28.69   	-91.86   	 96.32   	-239.06		 74.77   	-137.33		 63.28   	-315.36		
 30.52   	-94.30   	 95.36   	-264.50		 74.22   	-142.42		 62.01   	-356.05		
 31.13   	-96.44   	 94.30   	-249.24		 73.65   	-142.42		 60.59   	-473.04		
 31.43   	-97.05   	 93.31   	-167.85		 73.08   	-142.42		 58.70   	-615.46		
 32.96   	-95.83   	 92.63   	 -86.47		 72.51   	-132.25		 56.24   	-707.02		
 35.10   	-94.30   	 92.29   	 -61.04		 71.98   	-127.16		 53.41   	-783.31		
 37.23   	-93.99   	 92.04   	 -86.47		 71.47   	-137.33		 50.27   	-859.61		
 37.23   	-94.91   	 91.70   	-1907.42		 70.93   	-269.58		 46.84   	-1871.81		
 32.96   	-97.96   	 84.07   	-2426.24		 69.85   	-116.99		 39.35   	-981.68		
 32.04   	-98.88   	 74.36   	-2380.46		 69.38   	-106.82		 35.42   	-1037.64		
 32.65   	-100.10   	 64.84   	-1052.90		 68.95   	-111.90		 31.27   	-1047.81		
 33.87   	-102.54   	 60.63   	 808.75		 68.50   	-122.07		 27.08   	-935.91		
 33.57   	-105.29   	 63.87   	2034.58		 68.02   	-132.25		 23.34   	-752.79		
 32.35   	-107.12   	 72.00   	1937.94		 67.49   	-132.25		 20.33   	-625.63		
 31.43   	-107.12   	 79.76   	 762.97		 66.96   	-127.16		 17.82   	-584.94		
 32.65   	-105.90   	 82.81   	-564.60		 66.45   	-122.07		 15.48   	-584.94		
 35.40   	-104.37   	 80.55   	-1042.72		 65.96   	-127.16		 13.14   	-534.08		
 37.84   	-104.37   	 76.38   	-467.95		 65.45   	-142.42		 11.01   	-412.00		
 38.15   	-105.59   	 74.51   	 610.37		 64.88   	-162.77		  9.36   	-274.67		
 37.54   	-107.42   	 76.95   	1322.48		 64.23   	-167.85		  8.26   	-213.63		
 37.54   	-108.34   	 82.24   	1225.83		 63.56   	-178.03		  7.41   	-208.54		
 39.98   	-108.03   	 87.14   	 483.21		 62.85   	-172.94		  6.57   	-208.54		
 44.56   	-106.51   	 89.07   	-412.00		 62.16   	-147.51		  5.74   	-172.94		
 48.83   	-105.90   	 87.43   	-900.30		 61.57   	-122.07		  5.05   	-116.99		
 50.96   	-106.20   	 83.82   	-747.71		 61.08   	-111.90		  4.58   	 -81.38		
 50.05   	-108.03   	 80.83   	-244.15		 60.63   	 -96.64		  4.25   	 -86.47		
 48.22   	-109.86   	 79.86   	 198.37		 60.24   	 -81.38		  3.91   	-122.07		
 46.08   	-111.39   	 80.65   	 274.67		 59.92   	 -71.21		  3.42   	-157.68		
 44.56   	-112.30   	 81.75   	 -61.04		 59.63   	 -55.95		  2.79   	-172.94		
 43.03   	-113.83   	 81.51   	-549.34		 59.41   	 -40.69		  2.10   	-152.59		
 41.20   	-115.66   	 79.31   	-813.83		 59.25   	 -25.43		  1.49   	-106.82		
 39.37   	-117.49   	 76.05   	-747.71		 59.15   	 -25.43		  1.06   	 -81.38		
 39.06   	-118.41   	 73.06   	-615.46		 59.04   	 -76.30		  0.73   	-152.59		
 40.89   	-119.02   	 70.60   	  -5.09		 58.74   	 -55.95		  0.12   	 -91.56		
 40.59   	-119.02   	 70.58   	  20.35		 58.51   	 -50.86		 -0.24   	 -96.64		
 39.67   	-118.10   	 70.66   	 -30.52		 58.31   	 -50.86		 -0.63   	 -81.38		
 38.76   	-114.75   	 70.54   	-127.16		 58.11   	 -55.95		 -0.96   	 -55.95		
 39.06   	-108.34   	 70.03   	-233.98		 57.88   	 -55.95		 -1.18   	 -35.61		
 42.72   	-99.18   	 69.09   	-244.15		 57.66   	 -50.86		 -1.32   	 -25.43		
 50.35   	-85.45   	 68.12   	-152.59		 57.46   	 -55.95		 -1.42   	 -30.52		
 61.65   	-63.48   	 67.51   	 -10.17		 57.23   	 -71.21		 -1.55   	 -25.43		
 75.07   	-30.52   	 67.47   	 111.90		 56.95   	 -86.47		 -1.65   	  -5.09		
 86.06   	 11.90   	 67.91   	 162.77		 56.60   	 -91.56		 -1.67   	  25.43		
 90.94   	 55.24   	 68.57   	 137.33		 56.24   	 -81.38		 -1.57   	  55.95		
 90.03   	 88.81   	 69.11   	  81.38		 55.91   	 -66.12		 -1.34   	  66.12		
 88.20   	107.12   	 69.44   	  20.35		 55.65   	 -66.12		 -1.08   	  61.04		
 91.25   	111.69   	 69.52   	  10.17		 55.38   	 -66.12		 -0.83   	  61.04		
 99.49   	108.34   	 69.56   	  40.69		 55.12   	 -71.21		 -0.59   	  61.04		
108.34   	101.62   	 69.73   	  71.21		 54.83   	 -61.04		 -0.35   	  66.12		
110.47   	 89.72   	 70.01   	  71.21		 54.59   	 -61.04		 -0.08   	  86.47		
103.45   	 68.97   	 70.29   	  45.78		 54.34   	 -61.04		  0.26   	  91.56		
 91.86   	 38.45   	 70.48   	   5.09		 54.10   	 -55.95		  0.63   	 101.73		
 81.79   	  0.92   	 70.50   	 -55.95		 53.88   	 -45.78		  1.04   	  86.47		
 75.07   	-37.23   	 70.27   	-101.73		 53.69   	 -40.69		  1.38   	  66.12		
 68.66   	-69.89   	 69.87   	-111.90		 53.53   	 -35.61		  1.65   	  55.95		
 57.07   	-93.08   	 69.42   	-101.73		 53.39   	 -30.52		  1.87   	  50.86		
 40.59   	-107.73   	 69.01   	-106.82		 53.27   	 -35.61		  2.08   	  45.78		
 23.19   	-117.19   	 68.59   	-264.50		 53.12   	 -91.56		  2.26   	  76.30		
  6.71   	-135.50   	 67.53   	-162.77		 52.76   	 -40.69		  2.56   	  20.35		
  7.02   	-146.18   	 66.88   	-152.59		 52.59   	 -45.78		  2.64   	  20.35		
  7.93   	-154.11   	 66.27   	-132.25		 52.41   	 -45.78		  2.73   	   5.09		
  7.02   	-157.47   	 65.74   	-111.90		 52.23   	 -40.69		  2.75   	  10.17		
  4.88   	-156.86   	 65.29   	 -91.56		 52.06   	 -35.61		  2.79   	  20.35		
  3.36   	-155.64   	 64.92   	 -66.12		 51.92   	 -35.61		  2.87   	  35.61		
  3.36   	-155.94   	 64.66   	  35.61		 51.78   	 -40.69		  3.01   	  40.69		
  3.97   	-157.78   	 64.80   	 274.67		 51.62   	 -45.78		  3.17   	  35.61		
  4.58   	-159.91   	 65.90   	 447.61		 51.43   	 -35.61		  3.32   	  45.78		
  4.27   	-160.83   	 67.69   	 284.84		 51.29   	 -30.52		  3.50   	  55.95		
  3.36   	-161.13   	 68.83   	 -86.47		 51.17   	 -40.69		  3.72   	  40.69		
  1.83   	-161.44   	 68.48   	-396.74		 51.01   	 -50.86		  3.89   	  40.69		
  0.61   	-161.13   	 66.90   	-534.08		 50.80   	 -40.69		  4.05   	  35.61		
 -0.31   	-159.91   	 64.76   	-442.52		 50.64   	 -40.69		  4.19   	  50.86		
 -0.92   	-156.86   	 62.99   	-228.89		 50.48   	 -45.78		  4.39   	  61.04		
 -0.61   	-152.59   	 62.08   	 -86.47		 50.29   	 -45.78		  4.64   	  71.21		
 -0.61   	-148.32   	 61.73   	 -96.64		 50.11   	 -35.61		  4.92   	  76.30		
 -0.31   	-146.48   	 61.34   	-218.72		 49.97   	 -25.43		  5.23   	  71.21		
  1.53   	-148.32   	 60.47   	-315.36		 49.87   	 -25.43		  5.51   	  76.30		
  6.71   	-150.76   	 59.21   	-320.45		 49.77   	 -35.61		  5.82   	  86.47		
 17.70   	-146.48   	 57.92   	-218.72		 49.62   	 -45.78		  6.16   	  86.47		
 35.71   	-125.43   	 57.05   	 -71.21		 49.44   	 -40.69		  6.51   	  91.56		
 65.31   	-79.96   	 56.76(D)	  45.78		 49.28   	 -40.69		  6.88   	  86.47		
112.92   	-11.90   	 56.95   	  76.30		 49.11   	 -25.43		  7.22   	  71.21		
172.42   	 71.72   	 57.25   	  35.61		 49.01   	 -15.26		  7.51   	  55.95		
210.88   	163.88   	 57.40   	 -15.26		 48.95   	 -20.35		  7.73   	  30.52		
171.51   	262.45   	 57.33   	 -35.61		 48.87   	 -20.35		  7.85   	  -5.09		
  4.88   	366.82   	 57.19   	 -10.17		 48.79   	 -35.61		  7.83   	 -35.61		
-287.78   	473.02   	 57.15   	 167.85		 48.65   	 -91.56		  7.69   	-152.59		
-939.64   	619.20(R)	 57.82   	 122.07		 48.28   	 -40.69		  7.08(E)	-101.73		
-1106.57   	572.51   	 58.31   	 101.73		 48.12   	 -30.52		  6.67   	-111.90		
-1122.44   	394.29   	 58.72   	  35.61		 48.00   	 -20.35		  6.23   	-111.90		
-1031.49   	100.40   	 58.86   	  -5.09		 47.91   	 -15.26		  5.78   	-111.90		
-895.39   	-225.52   	 58.84   	 -25.43		 47.85   	 -20.35		  5.33   	 -96.64		
-753.17   	-457.76   	 58.74   	 -40.69		 47.77   	 -30.52		  4.94   	 -66.12		
-607.61   	-504.76   	 58.58   	 -45.78		 47.65   	 -35.61		  4.68   	 -30.52		
-447.69   	-376.28   	 58.39   	 -55.95		 47.51   	 -40.69		  4.56   	  10.17		
-274.96   	-177.00   	 58.17   	 -81.38		 47.34   	 -40.69		  4.60   	  55.95		
-114.14   	-28.38   	 57.84   	 -96.64		 47.18   	 -25.43		  4.82   	 111.90		
  3.05   	  9.46   	 57.46   	-122.07		 47.08   	 -15.26		  5.27   	 193.29		
 59.51   	-40.28   	 56.97   	-122.07		 47.02   	 -15.26		  6.04   	 295.01		
 63.48   	-109.56   	 56.48   	-127.16		 46.96   	 -15.26		  7.22   	 386.57		
 43.64   	-143.43   	 55.97   	-127.16		 46.90   	 -20.35		  8.77   	 462.87		
 28.38   	-133.97   	 55.46   	-116.99		 46.82   	 -25.43		 10.62   	 539.16		
 29.91   	-106.81   	 54.99   	 -96.64		 46.71   	 -35.61		 12.78   	 630.72		
 43.64   	-88.50   	 54.61   	-106.82		 46.57   	 -40.69		 15.30   	 737.54		
 57.07   	-87.59   	 54.18   	-122.07		 46.41   	 -35.61		 18.25   	 854.52		
 63.48   	-96.74   	 53.69   	-111.90		 46.27   	 -20.35		 21.67   	 946.08		
 64.09   	-103.76   	 53.24   	 -76.30		 46.18   	 -10.17		 25.45   	1017.29		
 64.09   	-101.32   	 52.94   	 -45.78		 46.14   	 -15.26		 29.52   	1063.07		
 65.92   	-90.94   	 52.76   	 -25.43		 46.08   	 -20.35		 33.77   	1073.24		
 68.66   	-79.96   	 52.65   	 -15.26		 46.00   	 -25.43		 38.07   	1083.41		
 70.80   	-73.85   	 52.59   	 -10.17		 45.90   	 -20.35		 42.40   	1083.41		
 71.11   	-72.02   	 52.55   	  15.26		 45.82   	 -55.95		 46.73   	2054.93		
 68.05   	-65.92   	 52.61   	  15.26		 45.59   	 -20.35		 54.95   	 935.91		
 66.22   	-58.59   	 52.68   	   5.09		 45.51   	  -5.09		 58.70   	 864.70		
 65.00   	-50.05   	 52.70   	   5.09		 45.49   	   0.00		 62.16   	 768.05		
 65.31   	-42.11   	 52.72   	   5.09		 45.49   	  -5.09		 65.23   	 661.24		
 67.75   	-36.01   	 52.74   	  10.17		 45.47   	 -20.35		 67.87   	 534.08		
 71.41   	-32.04   	 52.78   	  25.43		 45.39   	 -30.52		 70.01   	 391.66		
 75.38   	-29.30   	 52.88   	  45.78		 45.27   	 -25.43		 71.58   	 259.41		
 77.82   	-27.16   	 53.06   	  81.38		 45.17   	 -25.43		 72.61   	 137.33		
 79.04   	-24.41   	 53.39   	 147.51		 45.07   	 -25.43		 73.16   	  20.35		
 79.35   	-20.45   	 53.98   	 239.06		 44.96   	 -15.26		 73.24   	 -76.30		
 79.96   	-15.56   	 54.93   	 310.27		 44.90   	 -15.26		 72.94   	-132.25		
 81.18   	-10.07   	 56.17   	 371.31		 44.84   	 -15.26		 72.41   	-137.33		
 83.01   	 -3.97   	 57.66   	 432.35		 44.78   	 -10.17		 71.86   	-127.16		
 84.84   	  2.75   	 59.39   	 513.73		 44.74   	 -15.26		 71.35   	-116.99		
 86.67   	 10.38   	 61.44   	 579.86		 44.68   	 -25.43		 70.88   	 -96.64		
