SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RFA     	  RFA'		  RV     	  RV'		
-83.92   	-23.19   	 49.81   	-218.72		  0.06   	  15.26		
-85.45   	-21.97   	 48.93   	-208.54		  0.12   	  25.43		
-71.72   	-24.11   	 48.10   	-178.03		  0.22   	  30.52		
-42.11   	-23.80   	 47.39   	-137.33		  0.35   	  35.61		
-15.87   	-33.87   	 46.84   	 -96.64		  0.49   	  25.43		
 -3.36   	-41.50   	 46.45   	 -66.12		  0.59   	  20.35		
 -4.88   	-43.03   	 46.18   	 -40.69		  0.67   	  20.35		
-16.17   	-45.47   	 46.02   	 -35.61		  0.75   	  35.61		
-25.63   	-46.39   	 45.88   	 -20.35		  0.90   	  45.78		
-33.26   	-43.95   	 45.80   	 -15.26		  1.08   	  35.61		
-37.84   	-44.56   	 45.74   	 -25.43		  1.22   	  55.95		
-42.42   	-46.39   	 45.64   	 -55.95		  1.44   	  96.64		
-50.66   	-43.03   	 45.41   	 -76.30		  1.83   	 101.73		
-66.53   	-42.42   	 45.11   	 -71.21		  2.24   	  35.61		
-70.80   	-40.28   	 44.82   	 -61.04		  2.38   	  25.43		
-58.59   	-34.18   	 44.58   	 -71.21		  2.48   	  91.56		
-33.26   	-27.77   	 44.29   	 -86.47		  2.85   	  96.64		
  1.83   	-16.78   	 43.95   	 -96.64		  3.23   	  50.86		
 29.30   	 -7.02   	 43.56   	-106.82		  3.44   	  35.61		
 51.88   	 12.82   	 43.13   	 -96.64		  3.58   	  55.95		
 77.51   	 35.40   	 42.75   	 -81.38		  3.80   	  45.78		
109.25   	 51.57   	 42.42   	 -66.12		  3.99   	  15.26		
145.87   	 72.02   	 42.16   	 -66.12		  4.05   	  -5.09		
175.48   	 83.31   	 41.89   	 -50.86		  4.03   	  -5.09		
206.60   	 80.26   	 41.69   	 -40.69		  4.01   	 -15.26		
219.73   	 94.30   	 41.53   	 -30.52		  3.95   	 -30.52		
219.12   	 97.35   	 41.40   	 -10.17		  3.83   	 -40.69		
198.06   	 82.40   	 41.36   	 -10.17		  3.66   	 -40.69		
140.99   	 69.27   	 41.32   	 -25.43		  3.50   	 -30.52		
 62.26   	 26.25   	 41.22   	 -35.61		  3.38   	 -35.61		
 17.40   	 -8.85   	 41.08   	 -30.52		  3.23   	 -35.61		
  3.66   	-34.79   	 40.96   	 -30.52		  3.09   	 -20.35		
  0.00   	-57.68   	 40.83   	 -35.61		  3.01   	  -5.09		
  9.16   	-63.48   	 40.69   	 -45.78		  2.99   	  -5.09		
-22.58   	-71.72   	 40.51   	 -40.69		  2.97   	   5.09		
-78.43   	-66.83   	 40.35   	 -40.69		  2.99   	  10.17		
-121.46   	-56.46   	 40.18   	 -40.69		  3.03   	  20.35		
-129.70   	-50.66   	 40.02   	 -50.86		  3.11   	  20.35		
-107.12   	-46.39   	 39.82   	 -45.78		  3.19   	  25.43		
-80.87   	-50.35   	 39.63   	 -20.35		  3.30   	  20.35		
-55.24   	-55.54   	 39.55   	 -15.26		  3.38   	  30.52		
-40.28   	-58.90   	 39.49   	 -30.52		  3.50   	  25.43		
-34.18   	-60.12   	 39.37   	 -50.86		  3.60   	  25.43		
-28.08   	-61.65   	 39.17   	 -45.78		  3.70   	  25.43		
-33.57   	-65.92   	 38.98   	 -30.52		  3.80   	  30.52		
-52.80   	-63.48   	 38.86   	 -25.43		  3.93   	  20.35		
-69.58   	-60.73   	 38.76   	 -15.26		  4.01   	  25.43		
-77.82   	-53.71   	 38.70   	 -15.26		  4.11   	  25.43		
-73.55   	-44.56   	 38.64   	 -30.52		  4.21   	  30.52		
-47.91   	-35.71   	 38.51   	 -30.52		  4.33   	  30.52		
 -0.92   	 54.93   	 38.39   	 -30.52		  4.46   	  25.43		
184.94   	228.58   	 38.27   	 -35.61		  4.56   	  30.52		
467.53   	484.01   	 38.13   	 -30.52		  4.68   	  30.52		
721.44   	871.58   	 38.01   	 -20.35		  4.80   	  35.61		
669.56   	1286.62(R)	 37.92   	 -55.95		  4.94(E)	  76.30		
-464.78   	931.40   	 37.70   	 -25.43		  5.25   	  40.69		
-948.49   	398.56   	 37.60   	 -10.17		  5.41   	  30.52		
-1105.96   	-299.38   	 37.56   	 -15.26		  5.53   	  30.52		
-806.58   	-548.71   	 37.50   	 -25.43		  5.66   	  30.52		
-589.29   	-432.13   	 37.40   	 -50.86		  5.78   	  25.43		
-509.64   	-212.40   	 37.19   	 -35.61		  5.88   	  15.26		
-433.96   	-35.40   	 37.05   	   0.00		  5.94   	  10.17		
-292.97   	-14.04   	 37.05   	   0.00		  5.98   	  10.17		
-139.77   	-18.62   	 37.05   	 -25.43		  6.02   	  15.26		
-58.59   	-83.62   	 36.95   	 -40.69		  6.08   	  20.35		
-40.59   	-75.38   	 36.79   	 -35.61		  6.16   	  30.52		
-80.87   	-35.71   	 36.64   	 -25.43		  6.29   	  55.95		
-110.17   	-48.22   	 36.54   	  -5.09		  6.51   	  76.30		
-81.18   	-70.19   	 36.52   	  -5.09		  6.82   	  81.38		
-50.66   	-65.00   	 36.50   	 -15.26		  7.14   	  91.56		
-61.65   	-58.90   	 36.44   	 -25.43		  7.51   	 101.73		
-87.89   	-62.26   	 36.34   	 -35.61		  7.91   	 122.07		
-76.90   	-65.92   	 36.20   	 -30.52		  8.40   	 127.16		
-53.10   	-66.53   	 36.07   	 -20.35		  8.91   	 132.25		
-51.88   	-65.31   	 35.99   	 -20.35		  9.44   	 157.68		
-59.51   	-65.61   	 35.91   	 -40.69		 10.07   	 218.72		
-62.87   	-68.05   	 35.75   	 -40.69		 10.95   	 279.75		
-65.31   	-67.44   	 35.58   	 -30.52		 12.07   	 325.53		
-66.22   	-57.07   	 35.46   	 -10.17		 13.37   	 371.31		
-67.14   	-54.93   	 35.42   	 -40.69		 14.85   	 757.88		
-54.02   	-60.42   	 35.26   	 -25.43		 17.88   	 356.05		
-62.26   	-64.70   	 35.16   	 -15.26		 19.31   	 345.88		
-85.14   	-65.61   	 35.10   	 -15.26		 20.69   	 325.53		
-99.18   	-60.73   	 35.04   	 -30.52		 21.99   	 289.93		
-102.84   	-61.65   	 34.91   	 -15.26		 23.15   	 264.50		
-87.89   	-62.87   	 34.85   	  -5.09		 24.21   	 208.54		
-57.98   	-62.56   	 34.83   	 -30.52		 25.05   	 167.85		
-37.84   	-64.70   	 34.71   	 -45.78		 25.72   	 152.59		
-33.26   	-63.78   	 34.53   	 -20.35		 26.33   	  96.64		
-33.57   	-56.15   	 34.45   	  10.17		 26.71   	  40.69		
-36.62   	-51.88   	 34.49   	   5.09		 26.88   	  15.26		
-35.71   	-46.08   	 34.51   	 -20.35		 26.94   	   0.00		
-24.11   	-36.32   	 34.43   	 -15.26		 26.94   	 -35.61		
 -5.80   	-31.13   	 34.36   	   0.00		 26.80   	 -55.95		
 17.70   	-25.02   	 34.36   	   5.09		 26.57   	 -55.95		
 46.39   	-14.95   	 34.38   	   0.00		 26.35   	 -55.95		
 75.07   	-10.68   	 34.38   	  15.26		 26.12   	 -55.95		
108.34   	 -3.36   	 34.45   	  35.61		 25.90   	 -50.86		
124.82   	  1.53   	 34.59   	  66.12		 25.70   	 -35.61		
127.56   	  2.14   	 34.85   	 106.82		 25.55   	 -15.26		
118.41   	  9.46   	 35.28   	 157.68		 25.49   	   5.09		
107.73   	 17.09   	 35.91   	 208.54		 25.51   	  15.26		
119.02   	 23.50   	 36.74   	 269.58		 25.57   	  40.69		
142.52   	 28.38   	 37.82   	 305.19		 25.74   	  50.86		
167.54   	 32.04   	 39.04   	 595.11		 25.94   	 122.07		
177.31   	 37.23   	 41.42   	 315.36		 26.43   	  66.12		
175.17   	 47.61   	 42.69   	 289.93		 26.69   	  61.04		
200.50   	 54.93   	 43.85   	 269.58		 26.94   	  50.86		
