SAMPLE NUMBER:   4
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  FA     	  FA'		
158.69   	-26.55   	 69.24   	 193.29		 70.03   	 -25.43		
159.00   	-16.17   	 70.01   	 193.29		 69.93   	  10.17		
153.81   	 -7.02   	 70.78   	 198.37		 69.97   	  81.38		
145.87   	  1.83   	 71.58   	 198.37		 70.29   	 193.29		
138.55   	 12.21   	 72.37   	 193.29		 71.07   	 335.71		
136.11   	 25.63   	 73.14   	 188.20		 72.41   	 483.21		
138.55   	 42.42   	 73.90   	 183.11		 74.34   	 590.03		
142.52   	 60.42   	 74.63   	 183.11		 76.70   	 640.89		
143.43   	 77.21   	 75.36   	 178.03		 79.27   	 640.89		
139.16   	 90.64   	 76.07   	 172.94		 81.83   	 630.72		
129.70   	100.10   	 76.76   	 167.85		 84.35   	 615.46		
117.49   	106.51   	 77.44   	 162.77		 86.82   	 605.29		
103.76   	111.08   	 78.09   	 157.68		 89.24   	 579.86		
 89.11   	113.83   	 78.72   	 152.59		 91.56   	 544.25		
 73.24   	113.83   	 79.33   	 147.51		 93.73   	 493.39		
 56.15   	109.56   	 79.92   	 142.42		 95.71   	 447.61		
 38.76   	 99.49   	 80.49   	 132.25		 97.50   	 412.00		
 21.36   	 83.31   	 81.02   	 132.25		 99.15   	 386.57		
  4.88   	 62.26   	 81.55   	 116.99		100.69   	 361.14		
-10.68   	 38.15   	 82.01   	 111.90		102.14   	 335.71		
-23.19   	 14.34   	 82.46   	 106.82		103.48   	 315.36		
-31.13   	 -7.02   	 82.89   	  86.47		104.74   	 289.93		
-34.79   	-24.41   	 83.23   	  81.38		105.90   	 274.67		
-37.23   	-38.45   	 83.56   	  55.95		107.00   	 254.32		
-40.28   	-50.66   	 83.78   	  40.69		108.02   	 233.98		
-45.78   	-61.65   	 83.95   	  15.26		108.95   	 208.54		
-51.57   	-71.11   	 84.01   	   0.00		109.79   	 183.11		
-54.63   	-77.82   	 84.01   	 -35.61		110.52   	 142.42		
-53.10   	-80.87   	 83.87   	 -61.04		111.09   	 111.90		
-49.74   	-81.18   	 83.62   	 -96.64		111.54   	  81.38		
-48.22   	-81.18   	 83.23   	-137.33		111.86   	  50.86		
-49.74   	-81.48   	 82.69   	-208.54		112.06   	  10.17		
-53.41   	-82.09   	 81.85   	-274.67		112.11(S)	 -15.26		
-55.54   	-81.48   	 80.75   	-330.62		112.04   	 -45.78		
-54.02   	-79.96   	 79.43   	-376.40		111.86   	 -66.12		
-50.05   	-78.13   	 77.92   	-437.43		111.60   	 -91.56		
-46.39   	-76.90   	 76.17   	-457.78		111.23   	-101.73		
