SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  LFA     	  LFA'		  RV     	  RV'		
101.62   	123.60   	 29.09   	 -25.43		  9.66   	 -15.26		
108.34   	144.96   	 28.99   	 -25.43		  9.60   	 -15.26		
112.92   	153.50   	 28.89   	 -30.52		  9.54   	 -10.17		
113.22   	143.74   	 28.77   	 -25.43		  9.50   	 -15.26		
105.90   	115.36   	 28.67   	 -25.43		  9.44   	 -15.26		
 88.20   	 75.07   	 28.57   	 -25.43		  9.38   	 -15.26		
 61.65   	 32.04   	 28.46   	 -25.43		  9.32   	  -5.09		
 31.74   	 -4.88   	 28.36   	 -25.43		  9.30   	  -5.09		
  4.88   	-29.91   	 28.26   	 -20.35		  9.28   	 -10.17		
-13.43   	-42.42   	 28.18   	 -25.43		  9.24   	 -10.17		
-21.06   	-44.56   	 28.08   	 -25.43		  9.20   	  -5.09		
-19.84   	-41.81   	 27.98   	 -25.43		  9.18   	   0.00		
-14.95   	-39.67   	 27.87   	 -25.43		  9.18   	   0.00		
-11.29   	-39.98   	 27.77   	 -25.43		  9.18   	   5.09		
-10.99   	-42.11   	 27.67   	 -25.43		  9.20   	  10.17		
-13.12   	-44.86   	 27.57   	 -25.43		  9.24   	  10.17		
-11.29   	-53.71   	 27.47   	 -25.43		  9.28   	  15.26		
 10.07   	-74.16   	 27.37   	 -25.43		  9.34   	  15.26		
 66.53   	-88.50   	 27.26   	 -25.43		  9.40   	  15.26		
138.85   	-55.85   	 27.16   	 -25.43		  9.46   	  15.26		
162.96   	 37.84   	 27.06   	 -30.52		  9.52   	  20.35		
 59.20   	144.65   	 26.94   	 -25.43		  9.60   	  20.35		
-205.08   	171.81   	 26.84   	 -25.43		  9.68   	  40.69		
-795.59   	-169.07   	 26.73   	 -25.43		  9.85   	  20.35		
-798.34   	-353.09   	 26.63   	 -25.43		  9.93   	  25.43		
-548.40   	-370.79(R)	 26.53   	 -25.43		 10.03(E)	  25.43		
-192.87   	-221.25   	 26.43   	 -25.43		 10.13   	  25.43		
 72.02   	-27.77   	 26.33   	 -25.43		 10.23   	  25.43		
141.30   	 75.38   	 26.23   	 -20.35		 10.34   	  30.52		
