SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RFA     	  RFA'		  RV     	  RV'		
 41.22   	 -50.86		 30.03   	-508.65		
 41.02   	 -15.26		 28.00   	-651.07		
 40.96   	 -10.17		 25.39   	-707.02		
 40.92   	 -35.61		 22.56   	-635.81		
 40.77   	 -55.95		 20.02   	-493.39		
 40.55   	 -66.12		 18.05   	-345.88		
 40.28   	 -45.78		 16.66   	-203.46		
 40.10   	 -35.61		 15.85   	-137.33		
 39.96   	 -40.69		 15.30   	-137.33		
 39.80   	 -45.78		 14.75   	-183.11		
 39.61   	 -61.04		 14.02   	-254.32		
 39.37   	 -55.95		 13.00   	-305.19		
 39.15   	 -40.69		 11.78   	-315.36		
 38.98   	 -30.52		 10.52   	-289.93		
 38.86   	 -30.52		  9.36   	-233.98		
 38.74   	 -35.61		  8.42   	-157.68		
 38.60   	 -40.69		  7.79   	 -91.56		
 38.43   	 -40.69		  7.43   	 -61.04		
 38.27   	 -40.69		  7.18   	 -50.86		
 38.11   	 -30.52		  6.98   	 -61.04		
 37.99   	 -40.69		  6.73   	 -91.56		
 37.82   	 -35.61		  6.37   	-106.82		
 37.68   	 -35.61		  5.94   	-106.82		
 37.54   	 -30.52		  5.51   	 -96.64		
 37.42   	 -30.52		  5.13   	 -66.12		
 37.29   	 -40.69		  4.86   	 -40.69		
 37.13   	 -35.61		  4.70   	 -20.35		
 36.99   	 -30.52		  4.62   	  -5.09		
 36.87   	 -35.61		  4.60   	   0.00		
 36.72   	 -25.43		  4.60   	  -5.09		
 36.62   	 -25.43		  4.58   	   0.00		
 36.52   	 -30.52		  4.58   	   0.00		
 36.40   	 -30.52		  4.58   	   0.00		
 36.28   	 -30.52		  4.58   	  10.17		
 36.15   	 -30.52		  4.62   	  15.26		
 36.03   	 -20.35		  4.68   	  15.26		
 35.95   	 -20.35		  4.74   	  20.35		
 35.87   	 -25.43		  4.82   	  15.26		
 35.77   	 -30.52		  4.88   	  10.17		
 35.65   	 -30.52		  4.92   	   0.00		
 35.52   	 -30.52		  4.92   	   5.09		
 35.40   	 -30.52		  4.94   	   0.00		
 35.28   	 -25.43		  4.94   	   0.00		
 35.18   	 -30.52		  4.94   	   5.09		
 35.06   	 -25.43		  4.96   	   5.09		
 34.95   	 -20.35		  4.98   	  10.17		
 34.87   	 -20.35		  5.03   	   5.09		
