SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		  SVC     	  SVC'		
-50.05   	-102.84   	 16.05   	-391.66		 67.57   	-264.50		  3.48   	  -5.09		
-50.05   	-102.84   	 14.49   	-447.61		 66.51   	-269.58		  3.46   	   0.00		
-71.11   	-97.05   	 12.70   	-396.74		 65.43   	-233.98		  3.46   	   0.00		
-71.11   	-97.05   	 11.11   	-432.35		 64.50   	-218.72		  3.46   	   0.00		
-56.76   	-88.81   	  9.38   	-417.09		 63.62   	-198.37		  3.46   	   0.00		
-55.24   	-94.30   	  7.71   	-391.66		 62.83   	-172.94		  3.46   	  -5.09		
-58.29   	-101.62   	  6.14   	-371.31		 62.14   	-157.68		  3.44   	   0.00		
-62.56   	-107.12   	  4.66   	-345.88		 61.51   	-137.33		  3.44   	  -5.09		
-64.39   	-109.56   	  3.28   	-320.45		 60.96   	-122.07		  3.42   	   0.00		
-63.48   	-109.25   	  1.99   	-284.84		 60.47   	-106.82		  3.42   	   5.09		
-61.04   	-107.42   	  0.85   	-259.41		 60.04   	 -96.64		  3.44   	   5.09		
-58.29   	-104.06   	 -0.18   	-218.72		 59.65   	 -76.30		  3.46   	  10.17		
-53.41   	-102.23   	 -1.06   	-188.20		 59.35   	 -71.21		  3.50   	  10.17		
-42.42   	-108.95   	 -1.81   	-127.16		 59.06   	 -66.12		  3.54   	  15.26		
 24.72   	-154.42   	 -2.32   	 -96.64		 58.80   	 -71.21		  3.60   	  10.17		
 91.25   	-160.22   	 -2.71   	 -61.04		 58.51   	 -71.21		  3.64   	  20.35		
175.78   	-117.19   	 -2.95   	 -30.52		 58.23   	 -81.38		  3.72   	  15.26		
