SAMPLE NUMBER:   9
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RFA     	  RFA'		  RV     	  RV'		
 10.07   	 78.74   	105.13   	-208.54		 30.54   	-498.47		
 12.51   	 66.22   	104.29   	-228.89		 28.55   	-503.56		
 15.26   	 53.10   	103.38   	-244.15		 26.53   	-498.47		
 18.62   	 43.03   	102.40   	-249.24		 24.54   	-498.47		
 21.97   	 35.40   	101.40   	-254.32		 22.54   	-483.21		
 23.50   	 27.77   	100.39   	-249.24		 20.61   	-452.69		
 22.89   	 18.92   	 99.39   	-239.06		 18.80   	-417.09		
 21.97   	 12.82   	 98.43   	-233.98		 17.13   	-381.48		
 22.89   	 13.12   	 97.50   	-218.72		 15.61   	-330.62		
 27.16   	 19.53   	 96.62   	-203.46		 14.28   	-289.93		
 33.26   	 27.47   	 95.81   	-198.37		 13.12   	-259.41		
 38.76   	 32.65   	 95.01   	-198.37		 12.09   	-244.15		
 41.50   	 34.79   	 94.22   	-188.20		 11.11   	-218.72		
 42.42   	 36.62   	 93.47   	-193.29		 10.23   	-203.46		
 44.25   	 41.81   	 92.70   	-188.20		  9.42   	-178.03		
 47.61   	 48.22   	 91.94   	-178.03		  8.71   	-162.77		
 50.35   	 50.96   	 91.23   	-157.68		  8.06   	-152.59		
 50.35   	 48.22   	 90.60   	-147.51		  7.45   	-162.77		
 47.30   	 41.81   	 90.01   	-137.33		  6.80   	-178.03		
 43.95   	 36.62   	 89.46   	-142.42		  6.08   	-223.80		
 45.17   	 37.54   	 88.89   	-147.51		  5.19   	-233.98		
 51.57   	 45.17   	 88.30   	-147.51		  4.25   	-157.68		
 59.81   	 53.71   	 87.71   	-147.51		  3.62   	 -76.30		
 65.00   	 58.29   	 87.12   	-127.16		  3.32   	 -15.26		
 64.39   	 55.85   	 86.61   	-111.90		  3.26   	  10.17		
 59.20   	 47.00   	 86.16   	-116.99		  3.30   	   0.00		
 52.19   	 34.79   	 85.70   	-127.16		  3.30   	 -30.52		
 45.17   	 23.50   	 85.19   	-127.16		  3.17   	 -30.52		
 39.98   	 15.87   	 84.68   	-122.07		  3.05   	 -15.26		
 38.76   	 13.73   	 84.19   	-106.82		  2.99   	  15.26		
 43.95   	 18.62   	 83.76   	-101.73		  3.05   	  30.52		
 53.71   	 31.74   	 83.36   	-101.73		  3.17   	  35.61		
 64.39   	 53.41   	 82.95   	 -96.64		  3.32   	  30.52		
 71.11   	 80.87   	 82.56   	 -91.56		  3.44   	  10.17		
 70.80   	109.56   	 82.20   	 -96.64		  3.48   	 -15.26		
 66.22   	134.28   	 81.81   	 -91.56		  3.42   	 -35.61		
 61.95   	149.54   	 81.44   	 -71.21		  3.28   	 -20.35		
 61.65   	155.64   	 81.16   	 -45.78		  3.19   	  -5.09		
 67.44   	156.86   	 80.98   	 -35.61		  3.17   	  25.43		
 78.74   	159.91   	 80.83   	 -40.69		  3.28   	  35.61		
 92.47   	166.63   	 80.67   	 -61.04		  3.42   	  35.61		
102.84   	170.59   	 80.43   	 -71.21		  3.56   	  30.52		
104.98   	160.22   	 80.14   	 -71.21		  3.68   	  25.43		
 97.05   	127.26   	 79.86   	 -55.95		  3.78   	  25.43		
 82.09   	 73.85   	 79.63   	 -35.61		  3.89   	  35.61		
 66.53   	 13.43   	 79.49   	 -35.61		  4.03   	  45.78		
 54.63   	-35.10   	 79.35   	 -45.78		  4.21   	  55.95		
 45.78   	-59.81   	 79.17   	 -50.86		  4.44   	  55.95		
 34.18   	-60.73   	 78.96   	 -40.69		  4.66   	  55.95		
 15.87   	-48.52   	 78.80   	 -45.78		  4.88   	  35.61		
 -9.16   	-37.84   	 78.62   	 -40.69		  5.03   	  20.35		
-34.79   	-36.32   	 78.45   	 -35.61		  5.11   	  20.35		
-54.93   	-43.33   	 78.31   	 -45.78		  5.19   	  15.26		
-65.31   	-51.27   	 78.13   	 -40.69		  5.25   	  10.17		
-66.22   	-53.10   	 77.97   	 -40.69		  5.29   	 -40.69		
-60.73   	-47.61   	 77.80   	 -45.78		  5.13   	-101.73		
-52.19   	-39.98   	 77.62   	 -35.61		  4.72   	-147.51		
-43.33   	-36.93   	 77.48   	 -45.78		  4.13   	-142.42		
-36.62   	-43.33   	 77.29   	 -40.69		  3.56   	 -86.47		
-34.79   	-57.98   	 77.13   	 -40.69		  3.21   	  15.26		
-39.37   	-76.29   	 76.97   	 -35.61		  3.28   	 106.82		
-49.74   	-93.08   	 76.83   	 -30.52		  3.70   	 142.42		
-61.95   	-103.15   	 76.70   	 -35.61		  4.27   	 147.51		
-70.50   	-104.98   	 76.56   	 -35.61		  4.86   	 137.33		
-69.58   	-101.62   	 76.42   	 -40.69		  5.41   	 106.82		
-55.54   	-98.88   	 76.26   	 -40.69		  5.84   	 101.73		
-28.69   	-99.49   	 76.09   	 -30.52		  6.25   	 122.07		
  6.41   	-97.05   	 75.97   	 -25.43		  6.73   	 137.33		
 42.11   	-68.97   	 75.87   	 -20.35		  7.28   	 152.59		
 73.55   	 15.26   	 75.79   	 -30.52		  7.89   	 152.59		
105.59   	179.75   	 75.67   	 -40.69		  8.50   	 127.16		
154.11   	425.72   	 75.50   	 -45.78		  9.01   	  81.38		
227.36   	731.20   	 75.32   	 -45.78		  9.34   	  30.52		
313.11   	1059.27   	 75.14   	 -40.69		  9.46   	   0.00		
379.03   	1351.62   	 74.97   	 -35.61		  9.46   	 -10.17		
316.16   	1497.19(R)	 74.83   	 -35.61		  9.42(E)	  10.17		
177.31   	1235.35   	 74.69   	 -45.78		  9.46   	  25.43		
  9.16   	778.81   	 74.51   	 -40.69		  9.56   	  35.61		
-142.52   	250.24   	 74.34   	 -40.69		  9.70   	  30.52		
-237.12   	-197.14   	 74.18   	 -40.69		  9.83   	  25.43		
-252.38   	-461.43   	 74.02   	 -40.69		  9.93   	  15.26		
-195.92   	-526.73   	 73.86   	 -35.61		  9.99   	  15.26		
-105.90   	-444.03   	 73.71   	 -30.52		 10.05   	   0.00		
-30.21   	-295.72   	 73.59   	 -30.52		 10.05   	  -5.09		
 -0.31   	-157.78   	 73.47   	 -25.43		 10.03   	  25.43		
-15.87   	-74.16   	 73.37   	 -30.52		 10.13   	  81.38		
-50.35   	-50.05   	 73.24   	 -35.61		 10.46   	 208.54		
-75.38   	-65.61   	 73.10   	 -35.61		 11.29   	 376.40		
-80.87   	-91.55   	 72.96   	 -35.61		 12.80   	 452.69		
-75.07   	-107.12   	 72.82   	 -35.61		 14.61   	 437.43		
-69.89   	-109.25   	 72.68   	 -40.69		 16.36   	 361.14		
-69.27   	-107.73   	 72.51   	 -40.69		 17.80   	 193.29		
-69.58   	-110.78   	 72.35   	 -40.69		 18.58   	  91.56		
-67.75   	-117.80   	 72.19   	 -40.69		 18.94   	 188.20		
-65.31   	-124.21   	 72.02   	 -40.69		 19.69   	 371.31		
-65.31   	-128.17   	 71.86   	 -40.69		 21.18   	 513.73		
-70.80   	-131.84   	 71.70   	 -45.78		 23.23   	 600.20		
-81.48   	-136.11   	 71.52   	 -50.86		 25.64   	 564.60		
-93.99   	-140.99   	 71.31   	 -40.69		 27.89   	 437.43		
-104.37   	-143.74   	 71.15   	 -45.78		 29.64   	 386.57		
-106.81   	-137.94   	 70.97   	 -40.69		 31.19   	 478.13		
-101.93   	-129.70   	 70.80   	 -45.78		 33.10   	 717.19		
-98.57   	-120.24   	 70.62   	 -55.95		 35.97   	1098.67		
-100.10   	-112.00   	 70.40   	 -55.95		 40.37   	1251.27		
-106.20   	-107.12   	 70.17   	 -55.95		 45.37   	 742.62		
-115.05   	-106.51   	 69.95   	 -50.86		 48.34   	  30.52		
-123.60   	-111.08   	 69.75   	 -45.78		 48.46   	-396.74		
-130.62   	-122.07   	 69.56   	 -40.69		 46.88   	-584.94		
-135.19   	-138.85   	 69.40   	 -40.69		 44.54   	-457.78		
-137.02   	-159.00   	 69.24   	 -45.78		 42.71   	-106.82		
-136.41   	-177.31   	 69.05   	 -40.69		 42.28   	 233.98		
-134.58   	-190.12   	 68.89   	 -40.69		 43.21   	 412.00		
-133.67   	-195.01   	 68.73   	 -45.78		 44.86   	 427.26		
-136.41   	-194.09   	 68.55   	 -50.86		 46.57   	 305.19		
-142.82   	-189.21   	 68.34   	 -61.04		 47.79   	 111.90		
-150.76   	-183.72   	 68.10   	 -61.04		 48.24   	 -20.35		
-158.69   	-179.14   	 67.85   	 -61.04		 48.16   	 -50.86		
-164.49   	-177.31   	 67.61   	 -55.95		 47.96   	  -5.09		
-167.54   	-178.22   	 67.39   	 -50.86		 47.93   	  96.64		
-168.15   	-181.58   	 67.18   	 -55.95		 48.32   	 188.20		
-165.10   	-184.94   	 66.96   	 -45.78		 49.07   	 239.06		
-158.39   	-185.55   	 66.77   	 -45.78		 50.03   	 233.98		
-151.37   	-183.41   	 66.59   	 -40.69		 50.97   	 193.29		
-147.40   	-181.88   	 66.43   	 -20.35		 51.74   	 137.33		
-149.23   	-183.72   	 66.35   	  45.78		 52.29   	  96.64		
-166.02   	-198.67   	 66.53   	 111.90		 52.68   	 111.90		
-171.81   	-205.38   	 66.98   	 218.72		 53.12   	 147.51		
-173.03   	-207.82   	 67.85   	 350.97		 53.71   	 193.29		
-169.98   	-205.38   	 69.26   	 452.69		 54.49   	 223.80		
-164.79   	-198.06   	 71.07   	 488.30		 55.38   	 233.98		
-159.30   	-186.77   	 73.02   	 437.43		 56.32   	 213.63		
-155.33   	-172.73   	 74.77   	 366.22		 57.17   	 193.29		
-153.81   	-158.69   	 76.24   	 305.19		 57.94   	 172.94		
-156.25   	-148.62   	 77.46   	 300.10		 58.64   	 167.85		
-162.96   	-145.87   	 78.66   	 330.62		 59.31   	 142.42		
-172.73   	-151.98   	 79.98   	 356.05		 59.88   	 116.99		
-183.72   	-165.41   	 81.40   	 376.40		 60.35   	  91.56		
-194.40   	-182.19   	 82.91   	 371.31		 60.71   	  66.12		
-204.16   	-198.06   	 84.39   	 371.31		 60.98   	  86.47		
-212.71   	-208.13   	 85.88   	 371.31		 61.32   	 122.07		
-220.03   	-209.96   	 87.36   	 376.40		 61.81   	 147.51		
-226.14   	-203.55   	 88.87   	 381.48		 62.40   	 152.59		
-230.71   	-192.87   	 90.40   	 386.57		 63.01   	 106.82		
-235.90   	-183.72   	 91.94   	 376.40		 63.44   	  15.26		
-242.31   	-182.80   	 93.45   	 371.31		 63.50   	 -40.69		
-249.94   	-193.79   	 94.93   	 356.05		 63.34   	 -61.04		
-257.87   	-216.67   	 96.36   	 330.62		 63.09   	 -40.69		
-264.28   	-246.89   	 97.68   	 305.19		 62.93   	  40.69		
-266.72   	-276.79   	 98.90   	 284.84		 63.09   	 162.77		
-264.89   	-299.68   	100.04   	 279.75		 63.74   	 142.42		
-248.41   	-317.08   	101.16   	 269.58		 64.31   	  20.35		
-237.43   	-314.64   	102.24   	 269.58		 64.39(S)	 -61.04		
-228.27   	-308.53   	103.32   	 259.41		 64.15   	 -96.64		
-223.08   	-300.90   	104.35   	 239.06		 63.76   	-106.82		
-222.47   	-292.97   	105.31   	 198.37		 63.34   	 -76.30		
-225.22   	-287.78   	106.10   	 167.85		 63.03   	 -25.43		
-229.49   	-286.25   	106.77   	 142.42		 62.93   	  30.52		
-231.63   	-288.39   	107.34   	 116.99		 63.05   	  35.61		
