SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  FA     	  FA'		  RV     	  RV'		
 61.44   	 -40.69		 27.81   	 325.53		
 61.28   	 -40.69		 29.11   	 315.36		
 61.12   	 -35.61		 30.38   	 289.93		
 60.98   	 -35.61		 31.54   	 279.75		
 60.83   	 -35.61		 32.66   	 254.32		
 60.69   	 -35.61		 33.67   	 239.06		
 60.55   	 -35.61		 34.63   	 218.72		
 60.41   	 -30.52		 35.50   	 203.46		
 60.28   	 -30.52		 36.32   	 183.11		
 60.16   	 -20.35		 37.05   	 167.85		
 60.08   	 -15.26		 37.72   	 152.59		
 60.02   	  -5.09		 38.33   	 137.33		
 60.00   	  30.52		 38.88   	 122.07		
 60.12   	  81.38		 39.37   	 116.99		
 60.45   	 167.85		 39.84   	 101.73		
 61.12   	 279.75		 40.24   	  96.64		
 62.24   	 391.66		 40.63   	  86.47		
 63.80   	 488.30		 40.98   	  86.47		
 65.76   	 559.51		 41.32   	  86.47		
 68.00   	 595.11		 41.67   	  81.38		
 70.38   	 615.46		 41.99   	  76.30		
 72.84   	 610.37		 42.30   	  81.38		
 75.28   	 590.03		 42.62   	  76.30		
 77.64   	 554.42		 42.93   	  81.38		
 79.86   	 503.56		 43.26   	  86.47		
 81.87   	 467.95		 43.60   	  91.56		
 83.74   	 422.18		 43.97   	  96.64		
 85.43   	 391.66		 44.35   	  91.56		
 87.00   	 361.14		 44.72   	  91.56		
 88.44   	 356.05		 45.09   	  96.64		
 89.87   	 350.97		 45.47   	  91.56		
 91.27   	 361.14		 45.84   	  91.56		
 92.72   	 376.40		 46.21   	  91.56		
 94.22   	 391.66		 46.57   	  86.47		
 95.79   	 406.92		 46.92   	  81.38		
 97.42   	 406.92		 47.24   	  76.30		
 99.04   	 406.92		 47.55   	  76.30		
100.67   	 386.57		 47.85   	  66.12		
102.22   	 356.05		 48.12   	  66.12		
103.64   	 310.27		 48.38   	  55.95		
104.88   	 264.50		 48.61   	  55.95		
105.94   	 203.46		 48.83   	  45.78		
106.75   	 137.33		 49.01   	  40.69		
107.30   	  76.30		 49.18   	  30.52		
107.61   	  15.26		 49.30   	  25.43		
107.67(S)	 -40.69		 49.40   	  20.35		
107.51   	 -81.38		 49.48   	  10.17		
107.18   	-127.16		 49.52   	   5.09		
106.67   	-147.51		 49.54   	  -5.09		
106.08   	-172.94		 49.52   	 -20.35		
105.39   	-208.54		 49.44   	 -40.69		
104.56   	-203.46		 49.28   	 -61.04		
103.74   	-198.37		 49.03   	 -76.30		
102.95   	-183.11		 48.73   	 -86.47		
102.22   	-183.11		 48.38   	 -96.64		
101.48   	-167.85		 48.00   	-116.99		
100.81   	-162.77		 47.53   	-127.16		
