SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  AO     	  AO'		  RV     	  RV'		
 41.18   	 -35.61		  8.85   	  30.52		
 41.04   	 -30.52		  8.97   	  10.17		
 40.92   	 -30.52		  9.01   	 -10.17		
 40.79   	 -30.52		  8.97   	 -30.52		
 40.67   	 -30.52		  8.85   	 -35.61		
 40.55   	 -30.52		  8.71   	 -40.69		
 40.43   	 -25.43		  8.55   	 -35.61		
 40.33   	 -25.43		  8.40   	 -25.43		
 40.22   	 -30.52		  8.30   	  -5.09		
 40.10   	 -30.52		  8.28   	  20.35		
 39.98   	 -30.52		  8.36   	  40.69		
 39.86   	 -35.61		  8.52   	  40.69		
 39.72   	 -30.52		  8.69   	  50.86		
 39.59   	 -25.43		  8.89   	 137.33		
 39.49   	 -20.35		  9.44   	 259.41		
 39.41   	 -15.26		 10.48   	 310.27		
 39.35   	 -25.43		 11.72   	 345.88		
 39.25   	 -40.69		 13.10   	 396.74		
 39.08   	 -30.52		 14.69   	 447.61		
 38.96   	 -20.35		 16.48   	 467.95		
 38.88   	 -20.35		 18.35   	 488.30		
 38.80   	 -15.26		 20.31   	 508.65		
 38.74   	 -15.26		 22.34   	 544.25		
 38.68   	   0.00		 24.52   	 569.68		
 38.68   	  20.35		 26.80   	 574.77		
 38.76   	  35.61		 29.09   	 579.86		
 38.90   	  71.21		 31.41   	 595.11		
 39.19   	 122.07		 33.79   	 615.46		
 39.67   	 188.20		 36.26   	 625.63		
 40.43   	 254.32		 38.76   	 610.37		
 41.44   	 315.36		 41.20   	 590.03		
 42.71   	 366.22		 43.56   	 574.77		
 44.17   	 401.83		 45.86   	 554.42		
 45.78   	 406.92		 48.08   	 523.90		
 47.41   	 406.92		 50.17   	 498.47		
 49.03   	 386.57		 52.17   	 467.95		
 50.58   	 356.05		 54.04   	 437.43		
 52.00   	 315.36		 55.79   	 401.83		
 53.27   	 274.67		 57.40   	 371.31		
 54.36   	 228.89		 58.88   	 345.88		
 55.28   	 188.20		 60.26   	 320.45		
 56.03   	 147.51		 61.55   	 300.10		
 56.62   	 111.90		 62.75   	 279.75		
 57.07   	  81.38		 63.87   	 269.58		
 57.40   	  55.95		 64.94   	 259.41		
 57.62   	  35.61		 65.98   	 254.32		
 57.76   	  20.35		 67.00   	 249.24		
 57.84   	  15.26		 68.00   	 249.24		
 57.90   	   0.00		 68.99   	 244.15		
 57.90   	   0.00		 69.97   	 249.24		
 57.90   	  10.17		 70.97   	 254.32		
 57.94   	   5.09		 71.98   	 259.41		
 57.97   	  15.26		 73.02   	 269.58		
 58.03   	  25.43		 74.10   	 274.67		
 58.13   	  35.61		 75.20   	 274.67		
 58.27   	  30.52		 76.30   	 279.75		
 58.39   	  45.78		 77.42   	 279.75		
 58.58   	  45.78		 78.53   	 279.75		
 58.76   	  50.86		 79.65   	 279.75		
 58.96   	  45.78		 80.77   	 274.67		
 59.15   	  45.78		 81.87   	 269.58		
 59.33   	  45.78		 82.95   	 259.41		
 59.51   	  55.95		 83.99   	 244.15		
 59.74   	  50.86		 84.96   	 239.06		
 59.94   	  30.52		 85.92   	 228.89		
 60.06   	   5.09		 86.84   	 208.54		
 60.08   	   5.09		 87.67   	 193.29		
 60.10(S)	   0.00		 88.44   	 172.94		
 60.10   	 -15.26		 89.13   	 162.77		
 60.04   	 -20.35		 89.79   	 152.59		
 59.96   	 -15.26		 90.40   	 132.25		
 59.90   	 -15.26		 90.93   	 116.99		
 59.84   	 -25.43		 91.39   	 101.73		
 59.74   	 -35.61		 91.80   	  91.56		
 59.59   	 -40.69		 92.17   	  71.21		
 59.43   	 -45.78		 92.45   	  55.95		
 59.25   	 -55.95		 92.68   	  40.69		
 59.02   	 -55.95		 92.84   	  15.26		
 58.80   	 -61.04		 92.90(S)	  -5.09		
 58.56   	 -71.21		 92.88   	 -40.69		
 58.27   	 -91.56		 92.72   	 -66.12		
 57.90   	 -96.64		 92.45   	-106.82		
 57.52   	-116.99		 92.02   	-142.42		
 57.05   	-142.42		 91.45   	-188.20		
 56.48   	-152.59		 90.70   	-239.06		
 55.87   	-183.11		 89.75   	-300.10		
 55.14   	-203.46		 88.54   	-366.22		
 54.32   	-233.98		 87.08   	-447.61		
 53.39   	-244.15		 85.29   	-528.99		
 52.41   	-239.06		 83.17   	-579.86		
 51.45   	-203.46		 80.85   	-635.81		
 50.64   	-147.51		 78.31   	-696.84		
 50.05   	 -86.47		 75.52   	-732.45		
 49.70   	 -25.43		 72.59   	-747.71		
 49.60   	  10.17		 69.60   	-757.88		
 49.64   	  35.61		 66.57   	-752.79		
 49.79   	  35.61		 63.56   	-742.62		
 49.93   	  30.52		 60.59   	-722.28		
 50.05   	  20.35		 57.70   	-696.84		
 50.13   	  -5.09		 54.91   	-671.41		
 50.11   	 -25.43		 52.23   	-645.98		
 50.01   	 -45.78		 49.64   	-625.63		
 49.83   	 -55.95		 47.14   	-600.20		
 49.60   	 -66.12		 44.74   	-584.94		
 49.34   	 -71.21		 42.40   	-569.68		
 49.05   	 -66.12		 40.12   	-549.34		
 48.79   	 -66.12		 37.92   	-534.08		
 48.52   	 -66.12		 35.79   	-518.82		
 48.26   	 -50.86		 33.71   	-508.65		
 48.06   	 -50.86		 31.68   	-503.56		
 47.85   	 -50.86		 29.66   	-498.47		
 47.65   	 -55.95		 27.67   	-488.30		
 47.43   	 -45.78		 25.72   	-488.30		
 47.24   	 -55.95		 23.76   	-488.30		
 47.02   	 -50.86		 21.81   	-483.21		
 46.82   	 -50.86		 19.88   	-457.78		
 46.61   	 -55.95		 18.05   	-427.26		
 46.39   	 -55.95		 16.34   	-391.66		
 46.16   	 -50.86		 14.77   	-345.88		
 45.96   	 -45.78		 13.39   	-300.10		
 45.78   	 -40.69		 12.19   	-254.32		
 45.62   	 -50.86		 11.17   	-203.46		
 45.41   	 -45.78		 10.36   	-162.77		
 45.23   	 -40.69		  9.70   	-127.16		
 45.07   	 -50.86		  9.20   	 -91.56		
 44.86   	 -45.78		  8.83   	 -66.12		
 44.68   	 -50.86		  8.57   	 -50.86		
 44.48   	 -45.78		  8.36   	 -35.61		
 44.29   	 -40.69		  8.22   	 -30.52		
 44.13   	 -40.69		  8.10   	 -30.52		
 43.97   	 -40.69		  7.98   	 -35.61		
 43.80   	 -30.52		  7.83   	 -45.78		
 43.68   	 -30.52		  7.65   	 -55.95		
 43.56   	 -35.61		  7.43   	 -66.12		
 43.42   	 -40.69		  7.16   	 -71.21		
 43.26   	 -40.69		  6.88   	 -86.47		
 43.09   	 -45.78		  6.53   	 -96.64		
 42.91   	 -45.78		  6.14   	 -91.56		
 42.73   	 -40.69		  5.78   	 -81.38		
 42.56   	 -40.69		  5.45   	 -61.04		
 42.40   	 -35.61		  5.21   	 -35.61		
 42.26   	 -30.52		  5.07(D)	   0.00		
 42.14   	 -35.61		  5.07   	  35.61		
 41.99   	 -30.52		  5.21   	  66.12		
 41.87   	 -25.43		  5.47   	  86.47		
 41.77   	 -25.43		  5.82   	 116.99		
 41.67   	 -20.35		  6.29   	 127.16		
 41.59   	 -25.43		  6.80   	 132.25		
 41.49   	 -20.35		  7.32   	 132.25		
 41.40   	 -25.43		  7.85   	 116.99		
 41.30   	 -30.52		  8.32   	  81.38		
 41.18   	 -35.61		  8.65   	  61.04		
 41.04   	 -35.61		  8.89   	  30.52		
 40.90   	 -30.52		  9.01   	   5.09		
 40.77   	 -35.61		  9.03   	  -5.09		
 40.63   	 -30.52		  9.01   	 -20.35		
