SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
-110.47   	-150.45   	 70.93   	-132.25		 55.58   	-101.73		
-121.77   	-164.49   	 70.40   	-137.33		 55.18   	-132.25		
-116.58   	-151.98   	 69.85   	-147.51		 54.65   	-167.85		
-94.60   	-134.58   	 69.26   	-162.77		 53.98   	-208.54		
-98.27   	-150.45   	 68.61   	-193.29		 53.14   	-249.24		
-93.99   	-156.56   	 67.83   	-223.80		 52.15   	-284.84		
-97.05   	-159.91   	 66.94   	-264.50		 51.01   	-335.71		
-112.92   	-157.47   	 65.88   	-289.93		 49.66   	-396.74		
-94.91   	-146.79   	 64.72   	-300.10		 48.08   	-478.13		
-83.92   	-139.77   	 63.52   	-279.75		 46.16   	-539.16		
-81.48   	-146.18   	 62.40   	-223.80		 44.01   	-590.03		
-73.55   	-157.78   	 61.51   	-157.68		 41.65   	-620.55		
-83.92   	-153.81   	 60.87   	-101.73		 39.17   	-645.98		
-88.81   	-163.88   	 60.47   	 -45.78		 36.58   	-656.15		
-79.96   	-168.46   	 60.28   	  -5.09		 33.96   	-671.41		
-84.84   	-168.15   	 60.26   	   5.09		 31.27   	-671.41		
-69.89   	-168.46   	 60.28   	   0.00		 28.59   	-671.41		
-68.36   	-150.45   	 60.28   	 -30.52		 25.90   	-671.41		
-86.98   	-146.18   	 60.16   	 -61.04		 23.21   	-656.15		
-75.07   	-151.67   	 59.92   	-101.73		 20.59   	-620.55		
-98.88   	-156.56   	 59.51   	-142.42		 18.11   	-579.86		
-94.91   	-163.57   	 58.94   	-167.85		 15.79   	-513.73		
-84.84   	-151.37   	 58.27   	-178.03		 13.73   	-442.52		
-77.82   	-130.62   	 57.56   	-178.03		 11.96   	-381.48		
-69.27   	-107.73   	 56.85   	-172.94		 10.44   	-330.62		
-52.49   	-74.77   	 56.15   	-162.77		  9.11   	-274.67		
-38.45   	-48.22   	 55.50   	-132.25		  8.02   	-218.72		
-37.54   	-29.60   	 54.97   	 -96.64		  7.14   	-162.77		
  4.27   	 -5.19   	 54.59   	 -66.12		  6.49   	-116.99		
 15.26   	  1.83   	 54.32   	 -40.69		  6.02   	 -81.38		
 41.20   	  6.41   	 54.16   	 -40.69		  5.70   	 -55.95		
 66.83   	 50.05   	 54.00   	 -35.61		  5.47   	 -40.69		
 74.46   	 71.72   	 53.86   	 -40.69		  5.31   	 -25.43		
 72.94   	 74.46   	 53.69   	 -40.69		  5.21   	 -10.17		
 75.99   	 68.66   	 53.53   	 -50.86		  5.17   	   5.09		
 72.94   	 26.55   	 53.33   	 -76.30		  5.19   	  15.26		
