SAMPLE NUMBER:   10
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  II     	  III     	  RV     	  RV'		  RFA     	  RFA'		
-870.36   	-943.60   	 -1.65   	  30.52		 81.32   	-122.07		
-871.89   	-941.77   	 -1.53   	  10.17		 80.83   	-111.90		
-870.06   	-935.97   	 -1.49   	   0.00		 80.39   	 -96.64		
-869.14   	-927.73   	 -1.49   	  10.17		 80.00   	-111.90		
-870.97   	-917.66   	 -1.44   	  25.43		 79.55   	-122.07		
-874.02   	-910.03   	 -1.34   	  50.86		 79.06   	-116.99		
-873.11   	-905.46   	 -1.14   	  61.04		 78.60   	-106.82		
-866.70   	-902.71   	 -0.90   	  40.69		 78.17   	 -81.38		
-856.63   	-898.13   	 -0.73   	  15.26		 77.84   	 -96.64		
-848.69   	-890.20   	 -0.67   	  10.17		 77.46   	 -76.30		
-848.69   	-881.96   	 -0.63   	  15.26		 77.15   	 -55.95		
-856.32   	-877.38   	 -0.57   	  30.52		 76.93   	 -86.47		
-867.92   	-879.52   	 -0.45   	  91.56		 76.58   	 -81.38		
-879.21   	-887.15   	 -0.08   	 172.94		 76.26   	 -91.56		
-886.54   	-895.69   	  0.61   	 188.20		 75.89   	-116.99		
-888.37   	-903.63   	  1.36   	  66.12		 75.42   	-137.33		
-884.40   	-909.12   	  1.63   	 -71.21		 74.87   	-111.90		
-875.24   	-910.34   	  1.34   	-106.82		 74.42   	 -76.30		
-865.48   	-906.98   	  0.92   	 -45.78		 74.12   	 -81.38		
-860.60   	-902.40   	  0.73   	  25.43		 73.79   	 -76.30		
-863.04   	-900.27   	  0.83   	  55.95		 73.49   	 -45.78		
-870.97   	-900.88   	  1.06   	  25.43		 73.31   	 -66.12		
-878.91   	-900.57   	  1.16   	 -45.78		 73.04   	 -81.38		
-882.57   	-895.39   	  0.98   	-106.82		 72.72   	 -15.26		
-879.21   	-882.57   	  0.55   	-111.90		 72.65   	  20.35		
-871.28   	-867.92   	  0.10   	 -66.12		 72.74   	 -61.04		
-859.99   	-857.85   	 -0.16   	 -10.17		 72.49   	-106.82		
-846.56   	-853.88   	 -0.20   	  15.26		 72.06   	-106.82		
-830.99   	-850.52   	 -0.14   	 -30.52		 71.64   	-122.07		
-815.43   	-844.73   	 -0.26   	 -50.86		 71.15   	-111.90		
-801.09   	-834.35   	 -0.47   	   5.09		 70.70   	 -25.43		
-789.49   	-822.14   	 -0.45   	  96.64		 70.60   	  30.52		
-781.56   	-811.16   	 -0.06   	 116.99		 70.72   	 -25.43		
-774.84   	-802.00   	  0.41   	  76.30		 70.62   	 -91.56		
-765.69   	-793.46   	  0.71   	  35.61		 70.25   	 -91.56		
-751.95   	-784.00   	  0.85   	  25.43		 69.89   	-122.07		
-736.39   	-774.23   	  0.96   	  55.95		 69.40   	-101.73		
-727.23   	-767.52   	  1.18   	  66.12		 68.99   	 -35.61		
-731.51   	-769.35   	  1.44   	  30.52		 68.85   	 -20.35		
-750.12   	-780.03   	  1.57   	 -15.26		 68.77   	 -25.43		
-774.84   	-796.20   	  1.51   	 -20.35		 68.67   	  -5.09		
-792.54   	-808.41   	  1.42   	  25.43		 68.65   	 -10.17		
-797.12   	-809.33   	  1.53   	  35.61		 68.61   	 -55.95		
-792.85   	-799.87   	  1.67   	 -25.43		 68.38   	 -55.95		
-789.49   	-788.88   	  1.57   	 -66.12		 68.16   	 -25.43		
-795.90   	-786.74   	  1.30   	 -30.52		 68.06   	 -30.52		
-812.07   	-797.73   	  1.18   	  61.04		 67.93   	 -55.95		
-831.60   	-819.09   	  1.42   	 137.33		 67.71   	 -66.12		
-848.39   	-844.42   	  1.97   	 106.82		 67.45   	 -61.04		
-860.90   	-869.14   	  2.40   	 -15.26		 67.20   	 -71.21		
-868.84   	-887.45   	  2.34   	-101.73		 66.92   	 -50.86		
-871.28   	-894.47   	  1.93   	 -81.38		 66.71   	 -45.78		
-865.78   	-886.54   	  1.61   	  25.43		 66.53   	 -30.52		
-852.97   	-864.26   	  1.71   	 137.33		 66.41   	 -15.26		
-838.01   	-834.35   	  2.26   	 178.03		 66.35   	 -45.78		
-827.94   	-808.11   	  2.97   	 127.16		 66.16   	 -55.95		
-827.64   	-794.68   	  3.48   	  -5.09		 65.94   	 -35.61		
-835.57   	-797.73   	  3.46   	-132.25		 65.80   	   0.00		
-845.95   	-814.82   	  2.93   	-152.59		 65.80   	  45.78		
-854.19   	-841.98   	  2.32   	 -30.52		 65.98   	 106.82		
-857.24   	-870.67   	  2.20   	 157.68		 66.41   	  50.86		
-853.88   	-890.50   	  2.83   	 218.72		 66.61   	-188.20		
-838.62   	-886.84   	  3.70   	  86.47		 65.86   	-315.36		
-802.92   	-845.95   	  4.05   	 -91.56		 64.60   	-223.80		
-742.80   	-767.52   	  3.68   	-172.94		 63.70   	 -10.17		
-661.01   	-663.15   	  2.99   	 -61.04		 63.66   	 132.25		
-567.63   	-554.81   	  2.75   	 106.82		 64.19   	 172.94		
-468.44   	-457.46   	  3.17   	 106.82		 64.88   	 132.25		
-354.00   	-361.33   	  3.60   	 -20.35		 65.41   	 -10.17		
-209.96   	-240.48   	  3.52   	 -40.69		 65.37   	-167.85		
 51.88   	 29.60   	  3.36   	 101.73		 64.70   	-106.82		
 12.51   	 28.38   	  3.76   	 142.42		 64.27   	 -45.78		
-207.52   	-150.15   	  4.33   	  55.95		 64.09   	   5.09		
-556.03   	-468.44   	  4.56   	 -40.69		 64.11   	  30.52		
-907.59   	-798.34   	  4.39   	 -45.78		 64.23   	  15.26		
-1145.63   	-1004.94   	  4.21   	  15.26		 64.29   	 -20.35		
-1243.90   	-1049.80   	  4.27   	  55.95		 64.21   	 -50.86		
-1257.93   	-1000.67   	  4.50   	  45.78		 64.01   	 -66.12		
-1256.10   	-955.51   	  4.68   	  30.52		 63.74   	 -35.61		
-1264.34(R)	-962.83   	  4.80   	   0.00		 63.60   	  -5.09		
-1263.73   	-1002.20   	  4.80   	 -61.04		 63.58   	 -45.78		
-1224.67   	-1022.95   	  4.56(E)	 -20.35		 63.40   	 -45.78		
-1139.83   	-994.87   	  4.48   	  66.12		 63.21   	   0.00		
-1027.53   	-924.99   	  4.74   	  50.86		 63.21   	 -40.69		
-913.39   	-841.67   	  4.94   	 -15.26		 63.05   	 -55.95		
