SAMPLE NUMBER:   4
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  RFA     	  RFA'		
122.68   	197.14   	 25.86   	 -71.21		 57.68   	-223.80		
126.04   	197.75   	 25.57   	 -10.17		 56.79   	 -66.12		
129.39   	198.97   	 25.53   	  40.69		 56.52   	 478.13		
133.06   	202.33   	 25.70   	 178.03		 58.43   	 737.54		
136.41   	207.21   	 26.41   	 213.63		 61.38   	 701.93		
137.63   	213.32   	 27.26   	 106.82		 64.19   	 595.11		
133.67   	219.42   	 27.69   	  35.61		 66.57   	 523.90		
123.60   	224.91   	 27.83   	  15.26		 68.67   	 422.18		
107.42   	227.66   	 27.89   	   0.00		 70.36   	 279.75		
 87.28   	225.83   	 27.89   	  86.47		 71.47   	 152.59		
 64.70   	217.59   	 28.24   	 447.61		 72.09   	  91.56		
 41.20   	203.25   	 30.03   	 727.36		 72.45   	  81.38		
 18.01   	185.85   	 32.94   	 569.68		 72.78   	  55.95		
 -3.97   	168.15   	 35.22   	 279.75		 73.00   	  86.47		
-23.80   	152.28   	 36.34   	 203.46		 73.35   	 167.85		
-41.20   	138.24   	 37.15   	 244.15		 74.02   	 218.72		
-56.15   	126.34   	 38.13   	 183.11		 74.89   	 193.29		
-68.05   	114.75   	 38.86   	  10.17		 75.67   	 137.33		
-77.51   	104.06   	 38.90   	-111.90		 76.22   	  81.38		
-84.53   	 93.69   	 38.45   	-162.77		 76.54   	  10.17		
-90.33   	 84.23   	 37.80   	-167.85		 76.58   	 -71.21		
-95.52   	 75.99   	 37.13   	-172.94		 76.30   	-142.42		
-99.79   	 70.19   	 36.44   	-188.20		 75.73   	-132.25		
-102.54   	 66.53   	 35.69   	-208.54		 75.20   	-101.73		
-103.45   	 63.48   	 34.85   	-228.89		 74.79   	-101.73		
-103.15   	 59.81   	 33.94   	-254.32		 74.38   	-122.07		
-102.84   	 55.54   	 32.92   	-269.58		 73.90   	-106.82		
-102.84   	 51.57   	 31.84   	-289.93		 73.47   	 -81.38		
-103.76   	 50.35   	 30.68   	-305.19		 73.14   	 -61.04		
-103.76   	 52.19   	 29.46   	-345.88		 72.90   	 -81.38		
-102.23   	 55.54   	 28.08   	-381.48		 72.57   	-116.99		
-99.79   	 57.98   	 26.55   	-381.48		 72.11   	-152.59		
-97.05   	 58.90   	 25.03   	-386.57		 71.50   	-172.94		
-95.21   	 57.98   	 23.48   	-432.35		 70.80   	-172.94		
-94.60   	 57.68   	 21.75   	-473.04		 70.11   	-172.94		
-94.60   	 58.90   	 19.86   	-478.13		 69.42   	-167.85		
-93.38   	 61.04   	 17.94   	-437.43		 68.75   	-152.59		
-90.94   	 63.17   	 16.20   	-396.74		 68.14   	-142.42		
-87.89   	 64.70   	 14.61   	-335.71		 67.57   	-132.25		
-84.23   	 66.53   	 13.27   	-259.41		 67.04   	-162.77		
-79.96   	 71.41   	 12.23   	-167.85		 66.39   	-233.98		
-74.46   	 80.57   	 11.56   	 -66.12		 65.45   	-284.84		
-67.44   	 93.69   	 11.29   	 -30.52		 64.31   	-289.93		
-59.81   	107.42   	 11.17   	-106.82		 63.15   	-274.67		
-53.41   	118.71   	 10.74   	-147.51		 62.05   	-244.15		
-50.35   	124.51   	 10.15   	   0.00		 61.08   	-208.54		
-50.66   	124.21   	 10.15   	 167.85		 60.24   	-162.77		
-52.49   	121.77   	 10.82   	 213.63		 59.59   	-152.59		
-51.88   	122.99   	 11.68   	 167.85		 58.98   	-147.51		
-44.56   	133.97   	 12.35   	 122.07		 58.39   	-137.33		
-28.99   	158.69   	 12.84   	  61.04		 57.84   	-122.07		
 -8.24   	194.70   	 13.08   	 -35.61		 57.35   	-111.90		
 12.82   	234.07   	 12.94   	-157.68		 56.91   	-127.16		
 27.16   	266.42   	 12.31   	-223.80		 56.40   	-137.33		
 30.82   	280.15   	 11.41   	-264.50		 55.85   	-142.42		
 21.67   	267.33   	 10.36   	-295.01		 55.28   	-137.33		
  2.14   	227.97   	  9.18   	-310.27		 54.73   	-132.25		
-23.19   	170.59   	  7.93   	-295.01		 54.20   	-122.07		
-47.61   	111.08   	  6.75   	-249.24		 53.71   	-111.90		
-67.14   	 63.78   	  5.76   	-193.29		 53.27   	 -91.56		
-79.04   	 35.40   	  4.98   	-132.25		 52.90   	 -86.47		
-84.53   	 22.58   	  4.46   	 -81.38		 52.55   	 -76.30		
-86.36   	 17.40   	  4.13   	 -25.43		 52.25   	 -71.21		
-86.36   	 14.34   	  4.03(D)	  45.78		 51.96   	 -61.04		
-86.06   	 12.51   	  4.21   	  96.64		 51.72   	 -50.86		
