SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  DAO     	  DAO'		  RV     	  RV'		
  5.49   	-77.51   	 41.00   	 -10.17		 11.86   	  61.04		
  6.10   	-72.94   	 40.96   	 -15.26		 12.11   	  86.47		
 14.04   	-83.92   	 40.90   	 -15.26		 12.45   	 122.07		
 25.94   	-93.08   	 40.83   	 -20.35		 12.94   	 157.68		
 35.40   	-92.47   	 40.75   	 -20.35		 13.57   	 198.37		
 39.37   	-83.92   	 40.67   	 -20.35		 14.36   	 233.98		
 38.45   	-74.77   	 40.59   	 -25.43		 15.30   	 254.32		
 35.10   	-69.89   	 40.49   	 -30.52		 16.32   	 289.93		
 31.43   	-69.58   	 40.37   	 -30.52		 17.48   	 350.97		
 28.69   	-71.41   	 40.24   	 -30.52		 18.88   	 406.92		
 26.86   	-72.33   	 40.12   	 -40.69		 20.51   	 544.25		
 25.02   	-68.97   	 39.96   	 -45.78		 22.69   	 584.94		
 23.80   	-65.92   	 39.78   	 -40.69		 25.03   	 605.29		
 22.58   	-62.87   	 39.61   	 -40.69		 27.45   	 630.72		
 22.58   	-59.51   	 39.45   	 -35.61		 29.97   	 651.07		
 24.72   	-56.76   	 39.31   	 -35.61		 32.57   	 681.58		
 28.08   	-54.32   	 39.17   	 -25.43		 35.30   	 701.93		
 30.52   	-52.80   	 39.06   	 -20.35		 38.11   	 696.84		
 30.82   	-51.88   	 38.98   	 -10.17		 40.90   	 691.76		
 28.99   	-51.57   	 38.94   	   5.09		 43.66   	 661.24		
 27.16   	-51.27   	 38.96   	  30.52		 46.31   	 630.72		
 26.86   	-49.74   	 39.08   	  61.04		 48.83   	 584.94		
 28.99   	-47.00   	 39.33   	 101.73		 51.17   	 539.16		
 32.65   	-43.33   	 39.74   	 147.51		 53.33   	 508.65		
 36.62   	-39.67   	 40.33   	 208.54		 55.36   	 473.04		
 41.20   	-35.71   	 41.16   	 259.41		 57.25   	 417.09		
 44.56   	-32.35   	 42.20   	 325.53		 58.92   	 361.14		
 45.47   	-28.38   	 43.50   	 376.40		 60.37   	 295.01		
 44.86   	-24.11   	 45.00   	 427.26		 61.55   	 228.89		
 43.95   	-19.23   	 46.71   	 462.87		 62.46   	 178.03		
 44.56   	-14.34   	 48.57   	 493.39		 63.17   	 127.16		
 47.00   	 -9.46   	 50.54   	 503.56		 63.68   	  81.38		
 50.35   	 -4.88   	 52.55   	 503.56		 64.01   	  50.86		
 52.80   	  0.31   	 54.57   	 483.21		 64.21   	  25.43		
 53.41   	  5.80   	 56.50   	 452.69		 64.31   	  15.26		
 53.10   	 11.29   	 58.31   	 401.83		 64.37   	  10.17		
 50.35   	 21.97   	 59.92   	 330.62		 64.41   	  25.43		
 48.22   	 28.99   	 61.24   	 254.32		 64.52   	  50.86		
 47.00   	 37.54   	 62.26   	 172.94		 64.72   	  71.21		
 48.22   	 47.30   	 62.95   	  96.64		 65.00   	 101.73		
 51.57   	 56.76   	 63.34   	  20.35		 65.41   	 137.33		
 55.54   	 66.22   	 63.42   	 -45.78		 65.96   	 167.85		
 58.59   	 75.68   	 63.23   	 -96.64		 66.63   	 198.37		
 59.81   	 85.75   	 62.85   	-147.51		 67.43   	 228.89		
 59.81   	 96.74   	 62.26   	-172.94		 68.34   	 259.41		
 58.90   	108.95   	 61.57   	-198.37		 69.38   	 284.84		
 57.98   	122.38   	 60.77   	-203.46		 70.52   	 305.19		
 57.07   	136.72   	 59.96   	-198.37		 71.74   	 320.45		
 56.46   	152.59   	 59.17   	-188.20		 73.02   	 325.53		
 57.37   	169.07   	 58.41   	-157.68		 74.32   	 325.53		
 59.81   	186.46   	 57.78   	-127.16		 75.63   	 330.62		
 62.87   	204.77   	 57.27   	 -86.47		 76.95   	 315.36		
 65.61   	223.39   	 56.93   	 -40.69		 78.21   	 305.19		
 66.83   	242.92   	 56.76   	   0.00		 79.43   	 295.01		
 67.14   	262.76   	 56.76   	  50.86		 80.61   	 274.67		
 66.53   	282.59   	 56.97   	  91.56		 81.71   	 254.32		
 65.00   	302.12   	 57.33   	 137.33		 82.73   	 228.89		
 62.87   	320.74   	 57.88   	 172.94		 83.64   	 213.63		
 60.42   	338.44   	 58.58   	 198.37		 84.50   	 193.29		
 57.37   	355.83   	 59.37   	 223.80		 85.27   	 172.94		
 53.71   	372.62   	 60.26   	 274.67		 85.96   	 162.77		
 45.17   	403.75   	 61.36   	 259.41		 86.61   	 142.42		
 39.98   	416.87   	 62.40   	 244.15		 87.18   	 137.33		
 34.18   	425.42   	 63.38   	 228.89		 87.73   	 127.16		
 27.47   	428.47   	 64.29   	 208.54		 88.24   	 122.07		
 21.06   	424.50   	 65.13   	 172.94		 88.73   	 116.99		
 14.95   	414.12   	 65.82   	 142.42		 89.20   	 111.90		
 10.68   	397.03   	 66.39   	 106.82		 89.64   	 116.99		
  8.24   	374.76   	 66.82   	  71.21		 90.11   	 106.82		
  6.10   	347.60   	 67.10   	  40.69		 90.54   	 111.90		
  3.66   	315.55   	 67.26   	   5.09		 90.99   	 106.82		
  0.92   	280.15   	 67.28   	 -25.43		 91.41   	 106.82		
 -1.22   	242.61   	 67.18   	 -50.86		 91.84   	 101.73		
 -1.22   	204.77   	 66.98   	 -76.30		 92.25   	 101.73		
  0.92   	167.85   	 66.67   	 -96.64		 92.65   	  91.56		
  3.97   	132.75   	 66.29   	-106.82		 93.02   	  91.56		
  7.02   	100.10   	 65.86   	-116.99		 93.39   	  81.38		
  8.24   	 70.19   	 65.39   	-122.07		 93.71   	  71.21		
  8.54   	 42.72   	 64.90   	-122.07		 94.00   	  61.04		
  7.93   	 18.62   	 64.41   	-116.99		 94.24   	  45.78		
  7.63   	 -2.44   	 63.95   	-111.90		 94.42   	  30.52		
  7.32   	-20.45   	 63.50   	-101.73		 94.55   	  10.17		
  7.02   	-35.40   	 63.09   	 -96.64		 94.59   	 -15.26		
  6.71   	-47.61   	 62.71   	 -81.38		 94.53   	 -40.69		
  6.71   	-56.76   	 62.38   	 -71.21		 94.36   	 -66.12		
  7.02   	-63.78   	 62.10   	 -61.04		 94.10   	-157.68		
  5.80   	-74.77   	 61.85   	 -45.78		 93.47   	-203.46		
  2.75   	-79.65   	 61.67   	 -35.61		 92.65   	-244.15		
 -1.53   	-84.84   	 61.53   	 -30.52		 91.68   	-289.93		
 -5.19   	-89.11   	 61.40   	 -35.61		 90.52   	-345.88		
