SAMPLE NUMBER:   6
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  FA     	  FA'		  RV     	  RV'		
-69.58   	-126.34   	 42.95   	 -71.21		  6.19   	  25.43		
-73.24   	-127.26   	 42.67   	 -61.04		  6.29   	  61.04		
-72.02   	-129.09   	 42.42   	 -71.21		  6.53   	  66.12		
-69.89   	-130.92   	 42.14   	 -66.12		  6.80   	  76.30		
-68.97   	-131.84   	 41.87   	 -50.86		  7.10   	  76.30		
-70.19   	-132.14   	 41.67   	 -66.12		  7.41   	  35.61		
-72.63   	-131.53   	 41.40   	 -50.86		  7.55   	 -20.35		
-74.77   	-131.84   	 41.20   	 -55.95		  7.47   	 -71.21		
-77.51   	-136.11   	 40.98   	 -61.04		  7.18   	 -96.64		
-81.79   	-155.64   	 40.73   	 -50.86		  6.80   	 -76.30		
-81.79   	-197.75   	 40.53   	 -61.04		  6.49   	 -50.86		
-55.85   	-235.29   	 40.28   	 -45.78		  6.29   	   0.00		
 29.91   	-191.65   	 40.10   	 -61.04		  6.29   	  30.52		
194.09   	 10.68   	 39.86   	 -71.21		  6.41   	  71.21		
388.49   	357.67   	 39.57   	 -61.04		  6.69   	  86.47		
501.40   	696.72   	 39.33   	 -96.64		  7.04   	  66.12		
162.05   	535.58   	 38.94   	 -20.35		  7.30   	  40.69		
-202.94   	-10.38   	 38.86   	 -30.52		  7.47   	  15.26		
-492.86   	-560.61   	 38.74   	 -40.69		  7.53   	  10.17		
-592.96   	-842.29   	 38.58   	 -40.69		  7.57   	  10.17		
-510.25   	-770.57   	 38.41   	 -55.95		  7.61   	  20.35		
-338.75   	-475.77   	 38.19   	 -40.69		  7.69   	  45.78		
-176.70   	-172.12   	 38.03   	 -40.69		  7.87   	  91.56		
-72.33   	 -1.83   	 37.86   	 -40.69		  8.24   	 142.42		
-23.19   	 23.80   	 37.70   	 -25.43		  8.81   	 162.77		
 -8.85   	-21.06   	 37.60   	 -35.61		  9.46   	 152.59		
-12.21   	-61.04   	 37.46   	 -55.95		 10.07   	 127.16		
-22.28   	-65.61   	 37.23   	 -61.04		 10.58   	  66.12		
-28.08   	-43.64   	 36.99   	 -61.04		 10.84   	  -5.09		
-24.11   	-17.09   	 36.74   	 -45.78		 10.82   	 -40.69		
-13.43   	 -1.53   	 36.56   	 -30.52		 10.66   	  -5.09		
 -4.58   	 -0.61   	 36.44   	 -15.26		 10.64   	  66.12		
 -2.14   	 -6.71   	 36.38   	 -15.26		 10.91   	 152.59		
 -2.44   	 -9.77   	 36.32   	 -50.86		 11.52   	 228.89		
 -0.92   	 -5.19   	 36.11   	 -71.21		 12.43   	 289.93		
  3.05   	  3.66   	 35.83   	 -76.30		 13.59   	 315.36		
  7.02   	 10.99   	 35.52   	 -40.69		 14.85   	 325.53		
 10.07   	 14.95   	 35.36   	 -35.61		 16.15   	 295.01		
 12.21   	 17.09   	 35.22   	 -25.43		 17.33   	 274.67		
 15.26   	 19.84   	 35.12   	  -5.09		 18.43   	 259.41		
 18.92   	 24.41   	 35.10   	 -10.17		 19.47   	 259.41		
 29.60   	 36.93   	 35.06   	   0.00		 20.51   	 269.58		
 35.40   	 43.33   	 35.06   	  15.26		 21.59   	 269.58		
 40.89   	 49.74   	 35.12   	  66.12		 22.67   	 259.41		
 46.08   	 55.85   	 35.38   	 111.90		 23.70   	 239.06		
 50.96   	 62.26   	 35.83   	 203.46		 24.66   	 213.63		
 56.46   	 69.27   	 36.64   	 350.97		 25.51   	 172.94		
 61.65   	 76.29   	 38.05   	 488.30		 26.21   	 142.42		
 66.83   	 83.01   	 40.00   	 630.72		 26.78   	 122.07		
 71.41   	 89.42   	 42.52   	 701.93		 27.26   	  96.64		
 75.99   	 95.21   	 45.33   	 727.36		 27.65   	  81.38		
 80.57   	101.62   	 48.24   	 727.36		 27.98   	  81.38		
 85.75   	108.03   	 51.15   	 651.07		 28.30   	  81.38		
 90.94   	114.75   	 53.75   	 554.42		 28.63   	  81.38		
 95.83   	120.54   	 55.97   	 452.69		 28.95   	  86.47		
 99.49   	125.12   	 57.78   	 340.79		 29.30   	  76.30		
102.23   	128.17   	 59.15   	 249.24		 29.60   	  55.95		
104.06   	130.00   	 60.14   	 172.94		 29.83   	  35.61		
105.90   	131.84   	 60.83   	 142.42		 29.97   	  25.43		
108.03   	133.06   	 61.40   	 122.07		 30.07   	   0.00		
110.47   	134.89   	 61.89   	 127.16		 30.07   	  -5.09		
113.22   	136.41   	 62.40   	 142.42		 30.05   	   5.09		
115.36   	137.33   	 62.97   	 137.33		 30.07   	   5.09		
117.49   	137.63   	 63.52   	 127.16		 30.09   	  10.17		
119.63   	137.63   	 64.03   	 101.73		 30.13   	  15.26		
122.38   	137.02   	 64.44   	 122.07		 30.19   	   5.09		
128.48   	137.33   	 64.92   	  20.35		 30.21(S)	 -10.17		
131.53   	138.55   	 65.00(S)	  -5.09		 30.17   	 -25.43		
134.58   	140.99   	 64.98   	 -15.26		 30.07   	 -35.61		
137.33   	143.74   	 64.92   	 -30.52		 29.93   	 -40.69		
138.85   	144.96   	 64.80   	 -25.43		 29.77   	 -40.69		
137.33   	142.82   	 64.70   	 -20.35		 29.60   	 -40.69		
130.00   	134.58   	 64.62   	 -30.52		 29.44   	 -30.52		
115.97   	119.02   	 64.50   	 -20.35		 29.32   	 -30.52		
 95.21   	 96.44   	 64.41   	 -35.61		 29.20   	 -35.61		
 69.58   	 68.05   	 64.27   	 -81.38		 29.05   	 -35.61		
 42.72   	 36.93   	 63.95   	 -91.56		 28.91   	 -45.78		
 18.01   	  5.49   	 63.58   	-132.25		 28.73   	 -45.78		
 -2.75   	-23.50   	 63.05   	-132.25		 28.55   	 -50.86		
-19.23   	-48.52   	 62.52   	 -96.64		 28.34   	 -61.04		
-31.74   	-68.66   	 62.14   	 -91.56		 28.10   	 -55.95		
-41.50   	-83.92   	 61.77   	 -71.21		 27.87   	 -61.04		
-48.83   	-94.60   	 61.49   	 -50.86		 27.63   	 -55.95		
-54.02   	-101.32   	 61.28   	 -50.86		 27.41   	 -61.04		
-57.68   	-106.20   	 61.08   	 -66.12		 27.16   	 -61.04		
-60.42   	-109.56   	 60.81   	-101.73		 26.92   	 -71.21		
-61.95   	-112.61   	 60.41   	-127.16		 26.63   	 -76.30		
-62.87   	-115.05   	 59.90   	-142.42		 26.33   	 -96.64		
-62.56   	-116.58   	 59.33   	-137.33		 25.94   	-122.07		
-61.65   	-117.19   	 58.78   	-142.42		 25.45   	-147.51		
-61.04   	-117.19   	 58.21   	-137.33		 24.86   	-188.20		
-61.65   	-116.88   	 57.66   	-111.90		 24.11   	-218.72		
-62.87   	-116.58   	 57.21   	 -81.38		 23.23   	-254.32		
-64.09   	-116.27   	 56.89   	 -91.56		 22.22   	-274.67		
-65.00   	-115.66   	 56.52   	-142.42		 21.12   	-300.10		
-65.00   	-114.44   	 55.95   	-178.03		 19.92   	-300.10		
-64.39   	-113.22   	 55.24   	-203.46		 18.72   	-284.84		
-63.48   	-111.39   	 54.43   	-239.06		 17.58   	-269.58		
-62.26   	-109.56   	 53.47   	-279.75		 16.50   	-254.32		
-61.04   	-107.73   	 52.35   	-289.93		 15.48   	-233.98		
-59.81   	-105.90   	 51.19   	-279.75		 14.55   	-213.63		
-58.59   	-104.06   	 50.07   	-254.32		 13.69   	-198.37		
-57.37   	-101.93   	 49.05   	-213.63		 12.90   	-193.29		
-55.54   	-99.79   	 48.20   	-152.59		 12.13   	-193.29		
-54.02   	-97.35   	 47.59   	 -96.64		 11.35   	-193.29		
-53.10   	-95.21   	 47.20   	 -50.86		 10.58   	-193.29		
-53.10   	-93.69   	 47.00   	 -10.17		  9.81   	-172.94		
-53.41   	-91.25   	 46.96   	  10.17		  9.11   	-162.77		
-51.27   	-85.14   	 47.00   	  -5.09		  8.46   	-142.42		
-44.86   	-71.72   	 46.98   	 -30.52		  7.89   	-111.90		
-32.96   	-49.44   	 46.86   	 -76.30		  7.45   	 -96.64		
-16.17   	-20.45   	 46.55   	 -96.64		  7.06   	 -66.12		
  3.05   	  9.16   	 46.16   	-106.82		  6.80   	 -55.95		
 21.67   	 34.48   	 45.74   	-127.16		  6.57   	 -40.69		
 37.84   	 54.02   	 45.23   	-106.82		  6.41   	 -30.52		
 48.83   	 67.75   	 44.80   	 -81.38		  6.29   	 -30.52		
 52.19   	 74.46   	 44.48   	 -55.95		  6.16   	 -10.17		
 48.22   	 70.19   	 44.25   	 -35.61		  6.12   	 -10.17		
 37.84   	 50.05   	 44.11   	 -35.61		  6.08(D)	   5.09		
 23.80   	 14.65   	 43.97   	 -20.35		  6.10   	   5.09		
  8.24   	-28.08   	 43.89   	 -15.26		  6.12   	   5.09		
 -8.54   	-66.53   	 43.82   	 -20.35		  6.14   	   0.00		
-27.16   	-92.47   	 43.74   	 -30.52		  6.14   	   0.00		
-46.08   	-104.68   	 43.62   	 -66.12		  6.14   	  -5.09		
-62.26   	-107.73   	 43.36   	 -66.12		  6.12   	  15.26		
-71.11   	-107.42   	 43.09   	 -50.86		  6.19   	  30.52		
-72.33   	-106.81   	 42.89   	 -66.12		  6.31   	  45.78		
-68.97   	-107.12   	 42.62   	 -66.12		  6.49   	  71.21		
-66.53   	-108.64   	 42.36   	 -71.21		  6.78   	 101.73		
-68.05   	-110.78   	 42.08   	 -76.30		  7.18   	 111.90		
-72.33   	-112.61   	 41.77   	 -61.04		  7.63   	 101.73		
-76.90   	-113.53   	 41.53   	 -61.04		  8.04   	  40.69		
-79.35   	-113.53   	 41.28   	 -55.95		  8.20   	 -35.61		
-80.87   	-117.19   	 41.06   	 -55.95		  8.06   	-111.90		
-83.01   	-135.50   	 40.83   	 -50.86		  7.61   	-137.33		
-79.04   	-176.09   	 40.63   	 -50.86		  7.06   	-111.90		
-46.39   	-209.66   	 40.43   	 -61.04		  6.61   	 -55.95		
 48.22   	-159.61   	 40.18   	 -50.86		  6.39   	  20.35		
219.42   	 49.74   	 39.98   	 -50.86		  6.47   	  86.47		
414.12   	400.70   	 39.78   	 -50.86		  6.82   	 127.16		
519.10   	737.00   	 39.57   	 -91.56		  7.32   	 116.99		
159.61   	555.42   	 39.21   	 -45.78		  7.79   	  76.30		
-205.99   	  0.31   	 39.02   	 -40.69		  8.10   	  25.43		
-491.03   	-554.20   	 38.86   	 -40.69		  8.20   	   0.00		
-588.07   	-836.18(R)	 38.70   	 -35.61		  8.20   	  -5.09		
-507.81   	-763.24   	 38.56   	 -45.78		  8.18(E)	   0.00		
-343.63   	-466.61   	 38.37   	 -30.52		  8.18   	  30.52		
-188.90   	-161.13   	 38.25   	 -35.61		  8.30   	  81.38		
-86.98   	 10.99   	 38.11   	 -40.69		  8.63   	 137.33		
-36.93   	 37.84   	 37.94   	 -61.04		  9.18   	 167.85		
