SAMPLE NUMBER:   8
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  II     	  III     	  RV     	  RV'		  AO     	  AO'		  LPV     	  LPV'		
124.51   	124.51   	 76.48   	 513.73		 57.99   	 147.51		  1.53   	 -15.26		
137.63   	137.63   	 78.53   	 457.78		 58.58   	 203.46		  1.46   	 -20.35		
150.76   	150.76   	 80.37   	 396.74		 59.39   	 259.41		  1.38   	 -15.26		
163.88   	164.18   	 81.95   	 315.36		 60.43   	 320.45		  1.32   	 -15.26		
176.09   	176.70   	 83.21   	 244.15		 61.71   	 376.40		  1.26   	 -15.26		
186.77   	187.68   	 84.19   	 132.25		 63.21   	 523.90		  1.20   	 -20.35		
197.75   	197.75   	 84.72   	  81.38		 65.31   	 554.42		  1.12   	  10.17		
195.31   	194.70   	 85.05   	  45.78		 67.53   	 579.86		  1.16   	  20.35		
186.46   	185.85   	 85.23   	  20.35		 69.85   	 595.11		  1.24   	  15.26		
171.20   	170.59   	 85.31   	  15.26		 72.23   	 605.29		  1.30   	   5.09		
148.93   	148.62   	 85.37   	  15.26		 74.65   	 605.29		  1.32   	  20.35		
119.63   	119.63   	 85.43   	  35.61		 77.07   	 595.11		  1.40   	  25.43		
 84.23   	 84.53   	 85.57   	  50.86		 79.45   	 590.03		  1.51   	  40.69		
 46.69   	 47.00   	 85.78   	  71.21		 81.81   	 574.77		  1.67   	  35.61		
 10.38   	 10.68   	 86.06   	 106.82		 84.11   	 549.34		  1.81   	  35.61		
-22.28   	-21.67   	 86.49   	 127.16		 86.31   	 518.82		  1.95   	  35.61		
-50.05   	-49.44   	 87.00   	 147.51		 88.38   	 488.30		  2.10   	  35.61		
-74.46   	-73.85   	 87.59   	 162.77		 90.34   	 457.78		  2.24   	  45.78		
-95.21   	-94.60   	 88.24   	 167.85		 92.17   	 417.09		  2.42   	  35.61		
-112.00   	-111.39   	 88.91   	 167.85		 93.83   	 381.48		  2.56   	  25.43		
-124.82   	-124.21   	 89.58   	 152.59		 95.36   	 340.79		  2.67   	  20.35		
-133.06   	-132.75   	 90.19   	 132.25		 96.72   	 305.19		  2.75   	  15.26		
-136.72   	-136.72   	 90.72   	 101.73		 97.94   	 264.50		  2.81   	  10.17		
-135.80   	-135.80   	 91.13   	  66.12		 99.00   	 223.80		  2.85   	  15.26		
-133.06   	-133.06   	 91.39   	  30.52		 99.90   	 188.20		  2.91   	  15.26		
-131.23   	-130.92   	 91.52   	  -5.09		100.65   	 152.59		  2.97   	  30.52		
-131.53   	-131.23   	 91.50   	 -40.69		101.26   	 122.07		  3.09   	  25.43		
-133.97   	-133.97   	 91.33   	 -61.04		101.75   	  91.56		  3.19   	  25.43		
-135.80   	-135.80   	 91.09   	 -81.38		102.12   	  66.12		  3.30   	  15.26		
-135.19   	-135.19   	 90.76   	 -96.64		102.38   	  45.78		  3.36   	  15.26		
-133.06   	-132.75   	 90.38   	-106.82		102.56   	  25.43		  3.42   	  20.35		
-131.84   	-131.53   	 89.95   	-101.73		102.66   	   5.09		  3.50   	  25.43		
-132.75   	-132.45   	 89.54   	-106.82		102.69(S)	  -5.09		  3.60   	  35.61		
-135.80   	-135.50   	 89.11   	 -96.64		102.66   	 -15.26		  3.74   	  40.69		
-140.08   	-140.08   	 88.73   	-101.73		102.60   	 -25.43		  3.91   	  30.52		
-144.65   	-144.65   	 88.32   	 -96.64		102.50   	 -35.61		  4.03   	  35.61		
-148.93   	-148.93   	 87.93   	-101.73		102.36   	 -35.61		  4.17   	  45.78		
-152.89   	-152.89   	 87.53   	-132.25		102.22   	 -45.78		  4.35   	  61.04		
-155.94   	-155.94   	 87.00   	-162.77		102.03   	 -50.86		  4.60   	  55.95		
-158.39   	-158.39   	 86.35   	-218.72		101.83   	 -55.95		  4.82   	  45.78		
-159.00   	-159.00   	 85.47   	-289.93		101.61   	 -66.12		  5.01   	  35.61		
-158.69   	-158.69   	 84.31   	-381.48		101.34   	 -81.38		  5.15   	  40.69		
-156.86   	-156.86   	 82.79   	-498.47		101.02   	 -86.47		  5.31   	  45.78		
-152.89   	-152.89   	 80.79   	-605.29		100.67   	-101.73		  5.49   	  50.86		
-147.40   	-147.71   	 78.37   	-727.36		100.26   	-116.99		  5.70   	  61.04		
-140.69   	-140.99   	 75.46   	-869.78		 99.80   	-127.16		  5.94   	  61.04		
-132.75   	-133.06   	 71.98   	-1002.03		 99.29   	-142.42		  6.19   	  61.04		
-125.12   	-125.12   	 67.98   	-1119.02		 98.72   	-157.68		  6.43   	  40.69		
-118.71   	-118.71   	 63.50   	-1200.40		 98.09   	-167.85		  6.59   	  15.26		
-113.53   	-113.53   	 58.70   	-1256.35		 97.42   	-178.03		  6.65   	  -5.09		
-109.25   	-109.56   	 53.67   	-1276.70		 96.70   	-188.20		  6.63   	 -15.26		
-104.06   	-104.37   	 48.57   	-1261.44		 95.95   	-203.46		  6.57   	 -10.17		
-98.57   	-98.57   	 43.52   	-1225.83		 95.14   	-208.54		  6.53   	   0.00		
-93.69   	-93.38   	 38.62   	-1154.62		 94.30   	-218.72		  6.53   	   0.00		
-91.25   	-90.94   	 34.00   	-1073.24		 93.43   	-228.89		  6.53   	  -5.09		
-91.25   	-90.94   	 29.70   	-971.51		 92.51   	-233.98		  6.51   	 -15.26		
-91.55   	-91.25   	 25.82   	-859.61		 91.58   	-244.15		  6.45   	 -15.26		
-91.25   	-91.25   	 22.38   	-742.62		 90.60   	-244.15		  6.39   	 -15.26		
-90.33   	-90.33   	 19.41   	-625.63		 89.62   	-259.41		  6.33   	 -15.26		
-89.72   	-89.72   	 16.91   	-518.82		 88.59   	-259.41		  6.27   	 -30.52		
-89.42   	-89.42   	 14.83   	-417.09		 87.55   	-259.41		  6.14   	 -35.61		
-89.11   	-89.11   	 13.16   	-325.53		 86.51   	-259.41		  6.00   	 -20.35		
-87.59   	-87.59   	 11.86   	-244.15		 85.47   	-254.32		  5.92   	  -5.09		
-83.31   	-83.31   	 10.89   	-183.11		 84.46   	-244.15		  5.90   	 -10.17		
-74.46   	-74.46   	 10.15   	-132.25		 83.48   	-233.98		  5.86   	 -15.26		
-58.29   	-57.98   	  9.62   	-106.82		 82.54   	-223.80		  5.80   	 -15.26		
-35.10   	-34.79   	  9.20   	 -81.38		 81.65   	-208.54		  5.74   	 -10.17		
 -7.93   	 -7.63   	  8.87   	 -81.38		 80.81   	-198.37		  5.70   	 -10.17		
 16.48   	 16.78   	  8.55   	 -86.47		 80.02   	-178.03		  5.66   	 -15.26		
 33.87   	 34.18   	  8.20   	-116.99		 79.31   	-167.85		  5.60   	 -25.43		
 43.03   	 43.33   	  7.73   	-142.42		 78.64   	-152.59		  5.49   	 -30.52		
 45.47   	 46.08   	  7.16   	-162.77		 78.03   	-142.42		  5.37   	 -35.61		
 43.33   	 43.95   	  6.51   	-172.94		 77.46   	-132.25		  5.23   	 -25.43		
