SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		
 72.33   	-14.04   	 34.89   	  71.21		
 74.46   	 -7.63   	 35.18   	 111.90		
 75.99   	 -0.92   	 35.63   	 137.33		
 76.90   	  5.49   	 36.17   	  71.21		
 78.13   	 12.21   	 36.46   	  30.52		
 79.65   	 19.53   	 36.58   	  40.69		
 82.40   	 27.47   	 36.74   	  15.26		
 85.75   	 35.40   	 36.81   	 -86.47		
 93.69   	 50.96   	 36.46   	 -71.21		
 97.05   	 58.59   	 36.17   	 -86.47		
 99.49   	 67.14   	 35.83   	 -86.47		
101.32   	 77.21   	 35.48   	 -86.47		
103.45   	 88.81   	 35.14   	 -91.56		
106.81   	102.23   	 34.77   	 -86.47		
111.39   	116.88   	 34.43   	 -71.21		
116.58   	131.84   	 34.14   	 -50.86		
122.07   	147.71   	 33.94   	 -35.61		
126.95   	164.18   	 33.79   	 -10.17		
130.92   	181.27   	 33.75   	   0.00		
133.97   	198.67   	 33.75   	   0.00		
137.33   	216.06   	 33.75   	  15.26		
141.30   	232.85   	 33.81   	  45.78		
146.18   	249.33   	 34.00   	  55.95		
151.37   	264.59   	 34.22   	  55.95		
155.64   	279.54   	 34.45   	  55.95		
157.78   	293.88   	 34.67   	  50.86		
156.25   	307.01   	 34.87   	  45.78		
151.67   	318.30   	 35.06   	  40.69		
145.57   	327.15   	 35.22   	  35.61		
139.47   	332.64   	 35.36   	  30.52		
133.36   	333.86   	 35.48   	  30.52		
126.65   	328.98   	 35.61   	  40.69		
118.41   	316.47   	 35.77   	  30.52		
107.73   	295.41   	 35.89   	  -5.09		
 95.83   	266.11   	 35.87   	  -5.09		
 83.62   	230.41   	 35.85   	  20.35		
 71.72   	191.35   	 35.93   	   5.09		
 60.42   	151.06   	 35.95   	 -15.26		
 49.74   	111.69   	 35.89   	  15.26		
 39.67   	 73.55   	 35.95   	  35.61		
 30.52   	 37.23   	 36.09   	  15.26		
 22.28   	  3.97   	 36.15   	  20.35		
 14.95   	-25.63   	 36.24   	  10.17		
  8.24   	-50.66   	 36.28   	   0.00		
  2.75   	-71.41   	 36.28   	 -10.17		
 -1.83   	-87.89   	 36.24   	 -40.69		
 -5.49   	-101.62   	 36.07   	 -81.38		
 -8.54   	-113.53   	 35.75   	-111.90		
-11.90   	-124.21   	 35.30   	-132.25		
