SAMPLE NUMBER:   15
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  RFA     	  RFA'		
106.20   	-177.31   	 64.31   	 218.72		 57.15   	 -45.78		
108.64   	-168.46   	 65.19   	 386.57		 56.97   	 -35.61		
110.78   	-153.81   	 66.73   	 523.90		 56.83   	 -40.69		
112.30   	-134.28   	 68.83   	 584.94		 56.66   	 -15.26		
112.61   	-112.92   	 71.17   	 600.20		 56.60   	  35.61		
111.39   	-92.47   	 73.57   	 569.68		 56.74   	  55.95		
108.03   	-74.46   	 75.85   	 493.39		 56.97   	  66.12		
104.06   	-56.76   	 77.82   	 401.83		 57.23   	  91.56		
 99.79   	-37.54   	 79.43   	 330.62		 57.60   	 111.90		
 96.13   	-15.26   	 80.75   	 284.84		 58.05   	 157.68		
 91.86   	 10.38   	 81.89   	 254.32		 58.68   	 178.03		
 86.06   	 37.54   	 82.91   	 233.98		 59.39   	 208.54		
 77.51   	 64.70   	 83.85   	 208.54		 60.22   	 244.15		
 67.14   	 92.16   	 84.68   	 183.11		 61.20   	 269.58		
 56.76   	118.41   	 85.41   	 157.68		 62.28   	 279.75		
 47.30   	143.74   	 86.04   	 137.33		 63.40   	 279.75		
 38.15   	166.63   	 86.59   	 142.42		 64.52   	 295.01		
 28.08   	185.24   	 87.16   	 152.59		 65.70   	 289.93		
 16.17   	196.84   	 87.77   	 152.59		 66.86   	 279.75		
  4.27   	198.67   	 88.38   	 142.42		 67.98   	 284.84		
 -5.80   	190.73   	 88.95   	 137.33		 69.11   	 305.19		
-12.51   	176.09   	 89.50   	 137.33		 70.34   	 325.53		
-16.17   	159.30   	 90.05   	 137.33		 71.64   	 340.79		
-18.01   	144.35   	 90.60   	 106.82		 73.00   	 356.05		
-19.84   	132.14   	 91.03   	  66.12		 74.42   	 361.14		
-21.97   	121.46   	 91.29   	  30.52		 75.87   	 361.14		
-24.41   	110.17   	 91.41   	   5.09		 77.31   	 345.88		
-27.16   	 98.88   	 91.43   	 -25.43		 78.70   	 340.79		
-29.91   	 88.20   	 91.33   	 -66.12		 80.06   	 335.71		
-33.57   	 80.26   	 91.07   	-101.73		 81.40   	 335.71		
-36.62   	 75.68   	 90.66   	-127.16		 82.75   	 330.62		
-37.54   	 74.77   	 90.15   	-162.77		 84.07   	 335.71		
-34.48   	 74.16   	 89.50   	-188.20		 85.41   	 325.53		
-28.99   	 72.02   	 88.75   	-218.72		 86.71   	 320.45		
-24.11   	 65.61   	 87.87   	-254.32		 88.00   	 295.01		
-22.28   	 57.07   	 86.86   	-315.36		 89.18   	 274.67		
-24.11   	 48.83   	 85.59   	-381.48		 90.27   	 249.24		
-27.47   	 44.56   	 84.07   	-437.43		 91.27   	 228.89		
-29.91   	 43.95   	 82.32   	-467.95		 92.19   	 218.72		
-30.82   	 43.64   	 80.45   	-432.35		 93.06   	 198.37		
-30.52   	 41.50   	 78.72   	-356.05		 93.86   	 183.11		
-30.82   	 38.76   	 77.29   	-391.66		 94.59   	 167.85		
-32.04   	 37.23   	 75.73   	-584.94		 95.26   	 137.33		
-33.57   	 38.76   	 73.39   	-829.09		 95.81   	 106.82		
-33.87   	 41.81   	 70.07   	-1052.90		 96.24   	  71.21		
-31.43   	 43.64   	 65.86   	-1190.23		 96.52   	  35.61		
-27.16   	 43.64   	 61.10   	-1190.23		 96.66   	  15.26		
-23.50   	 43.03   	 56.34   	-1088.50		 96.72(S)	 -20.35		
-21.67   	 42.42   	 51.98   	-966.43		 96.64   	 -55.95		
-22.58   	 41.50   	 48.12   	-864.70		 96.42   	 -76.30		
-23.50   	 39.37   	 44.66   	-691.76		 96.11   	 -96.64		
-22.89   	 35.40   	 41.89   	-478.13		 95.73   	-111.90		
-20.75   	 31.74   	 39.98   	-391.66		 95.28   	-142.42		
-19.23   	 29.91   	 38.41   	-386.57		 94.71   	-157.68		
-19.84   	 29.91   	 36.87   	-361.14		 94.08   	-178.03		
-22.89   	 29.91   	 35.42   	-345.88		 93.37   	-198.37		
-25.02   	 28.38   	 34.04   	-396.74		 92.57   	-213.63		
-24.72   	 25.63   	 32.45   	-488.30		 91.72   	-239.06		
-22.28   	 22.89   	 30.50   	-574.77		 90.76   	-244.15		
-19.53   	 21.67   	 28.20   	-620.55		 89.79   	-249.24		
-18.62   	 21.97   	 25.72   	-656.15		 88.79   	-264.50		
-19.84   	 22.58   	 23.09   	-676.50		 87.73   	-259.41		
-21.97   	 23.19   	 20.39   	-630.72		 86.69   	-249.24		
-22.89   	 23.50   	 17.86   	-559.51		 85.70   	-254.32		
-22.89   	 24.11   	 15.63   	-498.47		 84.68   	-228.89		
-21.97   	 25.33   	 13.63   	-432.35		 83.76   	-218.72		
-21.06   	 27.47   	 11.90   	-356.05		 82.89   	-223.80		
-19.84   	 30.52   	 10.48   	-284.84		 81.99   	-223.80		
-18.01   	 35.10   	  9.34   	-228.89		 81.10   	-203.46		
-14.34   	 40.59   	  8.42   	-183.11		 80.28   	-208.54		
 -9.16   	 48.22   	  7.69   	-157.68		 79.45   	-213.63		
 -2.14   	 59.51   	  7.06   	-172.94		 78.60   	-208.54		
  5.19   	 78.13   	  6.37   	-198.37		 77.76   	-203.46		
 11.90   	108.03   	  5.57   	-213.63		 76.95   	-208.54		
 18.01   	148.93   	  4.72   	-223.80		 76.11   	-183.11		
 23.19   	193.79   	  3.83   	-213.63		 75.38   	-162.77		
 28.08   	231.93   	  2.97   	-188.20		 74.73   	-162.77		
 34.18   	255.43   	  2.22   	-147.51		 74.08   	-137.33		
 40.59   	264.28   	  1.63   	 -86.47		 73.53   	-106.82		
 44.86   	265.20   	  1.28   	 -35.61		 73.10   	-106.82		
 45.17   	265.20   	  1.14   	  10.17		 72.68   	-127.16		
 40.59   	264.59   	  1.18   	  50.86		 72.17   	-132.25		
 32.04   	259.40   	  1.38   	  86.47		 71.64   	-152.59		
 23.80   	246.58   	  1.73   	 116.99		 71.03   	-178.03		
 21.06   	227.66   	  2.20   	 132.25		 70.32   	-167.85		
 23.80   	206.60   	  2.73   	 122.07		 69.64   	-137.33		
 28.38   	185.85   	  3.21   	 106.82		 69.09   	-116.99		
 28.99   	162.96   	  3.64   	  81.38		 68.63   	 -71.21		
 22.89   	136.72   	  3.97   	  61.04		 68.34   	 -45.78		
 12.21   	110.17   	  4.21   	  40.69		 68.16   	 -55.95		
  2.75   	 85.45   	  4.37   	  20.35		 67.93   	 -61.04		
 -3.05   	 64.39   	  4.46   	  25.43		 67.69   	 -86.47		
 -7.63   	 43.64   	  4.56   	  40.69		 67.34   	 -96.64		
-14.34   	 20.14   	  4.72   	  71.21		 66.96   	 -91.56		
-25.63   	 -5.19   	  5.01   	  96.64		 66.59   	 -81.38		
-38.45   	-25.63   	  5.39   	 142.42		 66.27   	 -55.95		
-48.22   	-35.10   	  5.96   	 198.37		 66.04   	 -45.78		
-52.19   	-34.48   	  6.75   	 233.98		 65.86   	 -30.52		
-51.57   	-29.60   	  7.69   	 249.24		 65.74   	 -30.52		
-49.74   	-26.55   	  8.69   	 228.89		 65.62   	 -35.61		
-48.52   	-28.38   	  9.60   	 167.85		 65.47   	 -35.61		
-48.83   	-32.35   	 10.27   	  66.12		 65.33   	 -45.78		
-49.13   	-34.18   	 10.54   	 -25.43		 65.15   	 -61.04		
-49.44   	-32.35   	 10.44   	-101.73		 64.90   	 -55.95		
-48.83   	-30.21   	 10.03   	-213.63		 64.68   	 -40.69		
-46.69   	-32.65   	  9.18   	-371.31		 64.52   	 -25.43		
-42.42   	-44.25   	  7.69   	-498.47		 64.41   	  -5.09		
-35.10   	-66.53   	  5.70   	-513.73		 64.39   	  10.17		
-23.80   	-92.77   	  3.64   	-473.04		 64.44   	  10.17		
 -9.46   	-112.00   	  1.75   	-442.52		 64.48   	   5.09		
  6.10   	-107.73   	 -0.02   	-356.05		 64.50   	  -5.09		
 24.11   	-65.00   	 -1.44   	-223.80		 64.48   	  -5.09		
 48.52   	 25.33   	 -2.34   	 -81.38		 64.46   	 -10.17		
 83.01   	167.24   	 -2.67   	  15.26		 64.41   	  -5.09		
126.95   	359.50   	 -2.60(E)	  96.64		 64.39   	   0.00		
167.54   	592.35   	 -2.22   	 157.68		 64.39   	   0.00		
180.05   	833.13   	 -1.59   	 188.20		 64.39   	  -5.09		
131.53   	1036.38   	 -0.83   	 208.54		 64.37   	  -5.09		
 -1.83   	1166.08   	  0.00   	 198.37		 64.35   	 -15.26		
-458.37   	1232.61   	  0.79   	 167.85		 64.29   	 -10.17		
-676.27   	1276.55   	  1.46   	 127.16		 64.25   	  -5.09		
-812.99   	1372.68   	  1.97   	  81.38		 64.23   	 -10.17		
-850.22   	1475.83   	  2.30   	  45.78		 64.19   	 -10.17		
-807.80   	1489.87(R)	  2.48   	  10.17		 64.15   	 -15.26		
-719.91   	1323.55   	  2.52   	 -25.43		 64.09   	 -15.26		
-610.35   	966.80   	  2.42   	 -50.86		 64.03   	 -15.26		
-487.06   	514.83   	  2.22   	 -71.21		 63.97   	 -10.17		
-352.48   	111.39   	  1.93   	 -71.21		 63.93   	 -20.35		
-218.51   	-132.45   	  1.65   	 -55.95		 63.85   	 -30.52		
-105.90   	-197.45   	  1.42   	 -30.52		 63.72   	 -35.61		
-32.35   	-155.03   	  1.30   	   0.00		 63.58   	 -40.69		
 -0.92   	-104.37   	  1.30   	  40.69		 63.42   	 -40.69		
  1.83   	-102.23   	  1.46   	  76.30		 63.26   	 -45.78		
 -4.88   	-140.38   	  1.77   	 101.73		 63.07   	 -35.61		
 -6.41   	-179.75   	  2.18   	 147.51		 62.93   	 -30.52		
 -0.31   	-191.96   	  2.77   	 208.54		 62.81   	 -35.61		
  9.77   	-178.22   	  3.60   	 223.80		 62.67   	 -25.43		
 17.70   	-158.39   	  4.50   	 208.54		 62.56   	 -20.35		
 19.84   	-147.71   	  5.33   	 213.63		 62.48   	 -25.43		
 18.01   	-147.71   	  6.19   	 289.93		 62.38   	 -30.52		
 15.56   	-150.76   	  7.34   	 381.48		 62.26   	 -30.52		
 14.65   	-152.59   	  8.87   	 457.78		 62.14   	 -35.61		
 16.48   	-152.59   	 10.70   	 513.73		 61.99   	 -20.35		
 19.23   	-151.98   	 12.76   	 539.16		 61.91   	  -5.09		
 21.36   	-150.76   	 14.91   	 493.39		 61.89   	  -5.09		
 21.97   	-149.23   	 16.89   	 432.35		 61.87   	 -15.26		
 20.75   	-148.32   	 18.62   	 412.00		 61.81   	 -35.61		
 19.53   	-147.71   	 20.26   	 452.69		 61.67   	 -40.69		
 19.53   	-148.93   	 22.08   	 503.56		 61.51   	 -50.86		
 21.97   	-152.59   	 24.09   	 554.42		 61.30   	 -50.86		
 26.55   	-157.47   	 26.31   	 625.63		 61.10   	 -35.61		
 31.13   	-162.35   	 28.81   	 686.67		 60.96   	 -30.52		
 33.57   	-165.10   	 31.56   	 732.45		 60.83   	 -30.52		
 32.65   	-164.49   	 34.49   	 737.54		 60.71   	 -30.52		
 30.21   	-162.35   	 37.44   	 701.93		 60.59   	 -40.69		
 27.47   	-161.13   	 40.24   	 635.81		 60.43   	 -50.86		
 26.55   	-162.66   	 42.79   	 544.25		 60.22   	 -55.95		
 28.38   	-167.24   	 44.96   	 427.26		 60.00   	 -61.04		
 32.04   	-172.42   	 46.67   	 315.36		 59.76   	 -61.04		
 36.32   	-176.09   	 47.93   	 233.98		 59.51   	 -55.95		
 41.20   	-177.31   	 48.87   	 208.54		 59.29   	 -50.86		
 46.69   	-176.70   	 49.70   	 203.46		 59.08   	 -40.69		
 51.57   	-176.09   	 50.52   	 183.11		 58.92   	 -40.69		
 54.93   	-177.00   	 51.25   	 157.68		 58.76   	 -50.86		
 56.15   	-179.44   	 51.88   	 213.63		 58.56   	 -40.69		
 56.76   	-183.11   	 52.74   	 350.97		 58.39   	 -50.86		
 58.90   	-186.77   	 54.14   	 437.43		 58.19   	 -40.69		
 62.56   	-191.65   	 55.89   	 452.69		 58.03   	 -35.61		
 67.44   	-198.36   	 57.70   	 447.61		 57.88   	 -45.78		
 70.80   	-207.52   	 59.49   	 427.26		 57.70   	 -35.61		
 72.33   	-216.67   	 61.20   	 366.22		 57.56   	 -35.61		
 72.63   	-224.00   	 62.67   	 305.19		 57.42   	 -40.69		
 73.85   	-227.66   	 63.89   	 244.15		 57.25   	 -40.69		
 76.90   	-228.27   	 64.86   	 188.20		 57.09   	 -30.52		
 81.48   	-226.75   	 65.62   	 137.33		 56.97   	 -30.52		
 86.67   	-223.39   	 66.16   	 111.90		 56.85   	 -30.52		
 90.94   	-217.90   	 66.61   	 111.90		 56.72   	 -25.43		
 93.38   	-209.66   	 67.06   	 137.33		 56.62   	 -30.52		
 93.38   	-198.97   	 67.61   	 162.77		 56.50   	 -20.35		
 91.25   	-186.46   	 68.26   	 188.20		 56.42   	 -10.17		
 87.89   	-173.34   	 69.01   	 228.89		 56.38(D)	   5.09		
 84.84   	-159.61   	 69.93   	 305.19		 56.40   	  25.43		
 80.87   	-143.43   	 71.15   	 371.31		 56.50   	  71.21		
 76.29   	-124.21   	 72.63   	 406.92		 56.79   	 106.82		
 70.80   	-101.93   	 74.26   	 417.09		 57.21   	 147.51		
 65.00   	-77.21   	 75.93   	 401.83		 57.80   	 193.29		
 58.90   	-52.19   	 77.54   	 376.40		 58.58   	 239.06		
 52.19   	-27.47   	 79.04   	 345.88		 59.53   	 269.58		
 43.64   	 -4.27   	 80.43   	 300.10		 60.61   	 284.84		
 32.35   	 18.01   	 81.63   	 259.41		 61.75   	 284.84		
 19.84   	 38.76   	 82.66   	 228.89		 62.89   	 269.58		
  6.71   	 58.59   	 83.58   	 198.37		 63.97   	 254.32		
 -5.49   	 76.29   	 84.37   	 167.85		 64.98   	 239.06		
-16.78   	 90.33   	 85.05   	 137.33		 65.94   	 239.06		
-26.86   	 98.57   	 85.59   	 116.99		 66.90   	 264.50		
-35.40   	100.40   	 86.06   	 111.90		 67.95   	 295.01		
-42.11   	 95.52   	 86.51   	 111.90		 69.14   	 320.45		
-47.30   	 85.14   	 86.96   	 101.73		 70.42   	 340.79		
-51.27   	 69.89   	 87.36   	  86.47		 71.78   	 356.05		
-54.02   	 50.96   	 87.71   	  71.21		 73.20   	 356.05		
-56.15   	 29.91   	 88.00   	  50.86		 74.63   	 350.97		
-57.98   	  9.16   	 88.20   	  35.61		 76.03   	 340.79		
-60.12   	 -8.54   	 88.34   	  15.26		 77.40   	 345.88		
-63.78   	-22.58   	 88.40(S)	 -20.35		 78.78   	 356.05		
-68.36   	-33.87   	 88.32   	 -61.04		 80.20   	 361.14		
-73.24   	-43.64   	 88.08   	-101.73		 81.65   	 356.05		
-76.90   	-51.88   	 87.67   	-157.68		 83.07   	 335.71		
-79.04   	-59.20   	 87.04   	-213.63		 84.41   	 325.53		
-79.96   	-64.70   	 86.18   	-274.67		 85.72   	 320.45		
-79.96   	-67.44   	 85.09   	-340.79		 87.00   	 315.36		
-78.74   	-67.44   	 83.72   	-386.57		 88.26   	 300.10		
-77.82   	-64.09   	 82.18   	-432.35		 89.46   	 284.84		
-77.51   	-59.20   	 80.45   	-452.69		 90.60   	 254.32		
-78.43   	-54.93   	 78.64   	-432.35		 91.62   	 223.80		
-79.96   	-53.71   	 76.91   	-371.31		 92.51   	 208.54		
-81.18   	-56.46   	 75.42   	-452.69		 93.35   	 183.11		
-81.79   	-61.04   	 73.61   	-707.02		 94.08   	 152.59		
-82.40   	-64.09   	 70.78   	-895.22		 94.69   	 122.07		
-83.92   	-63.17   	 67.20   	-956.25		 95.18   	  81.38		
-86.06   	-57.68   	 63.38   	-1068.15		 95.50   	  50.86		
-86.98   	-49.44   	 59.10   	-1134.28		 95.71   	  20.35		
-86.06   	-42.11   	 54.57   	-1037.64		 95.79(S)	   0.00		
-83.31   	-37.84   	 50.42   	-971.51		 95.79   	  -5.09		
-80.26   	-37.23   	 46.53   	-951.17		 95.77   	 -25.43		
-78.43   	-39.67   	 42.73   	-793.49		 95.67   	 -50.86		
-77.21   	-42.72   	 39.55   	-640.89		 95.46   	 -91.56		
-76.60   	-44.86   	 36.99   	-600.20		 95.10   	-116.99		
-75.68   	-45.17   	 34.59   	-523.90		 94.63   	-147.51		
-75.07   	-44.25   	 32.49   	-422.18		 94.04   	-162.77		
-74.77   	-42.72   	 30.80   	-381.48		 93.39   	-188.20		
-74.77   	-42.11   	 29.28   	-391.66		 92.63   	-203.46		
-75.38   	-41.81   	 27.71   	-396.74		 91.82   	-218.72		
-75.38   	-41.50   	 26.12   	-432.35		 90.95   	-218.72		
-75.68   	-40.89   	 24.39   	-478.13		 90.07   	-228.89		
-76.60   	-41.81   	 22.48   	-513.73		 89.16   	-239.06		
-78.74   	-44.86   	 20.43   	-544.25		 88.20   	-269.58		
-82.09   	-49.74   	 18.25   	-569.68		 87.12   	-305.19		
-85.45   	-53.41   	 15.97   	-579.86		 85.90   	-310.27		
-87.89   	-53.10   	 13.65   	-549.34		 84.66   	-284.84		
-88.81   	-49.44   	 11.45   	-483.21		 83.52   	-254.32		
-89.42   	-45.17   	  9.52   	-412.00		 82.50   	-228.89		
-90.33   	-42.72   	  7.87   	-330.62		 81.59   	-203.46		
-90.64   	-41.20   	  6.55   	-264.50		 80.77   	-213.63		
-89.42   	-37.54   	  5.49   	-203.46		 79.92   	-233.98		
-85.14   	-28.99   	  4.68   	-172.94		 78.98   	-239.06		
-78.74   	-15.87   	  3.99   	-142.42		 78.03   	-249.24		
-71.72   	  2.14   	  3.42   	-127.16		 77.03   	-254.32		
-64.70   	 26.55   	  2.91   	-111.90		 76.01   	-233.98		
-57.68   	 58.90   	  2.46   	 -96.64		 75.08   	-198.37		
-50.05   	 99.18   	  2.08   	 -66.12		 74.28   	-162.77		
-43.64   	140.38   	  1.81   	 -40.69		 73.63   	-147.51		
-39.98   	174.56   	  1.65   	 -15.26		 73.04   	-132.25		
-39.06   	197.75   	  1.59   	  10.17		 72.51   	-137.33		
-39.37   	210.88   	  1.63   	  15.26		 71.96   	-147.51		
-39.06   	218.51   	  1.69   	   5.09		 71.37   	-157.68		
-39.06   	220.64   	  1.71   	  -5.09		 70.74   	-162.77		
-41.50   	215.45   	  1.69   	   5.09		 70.09   	-152.59		
-46.69   	201.11   	  1.71   	   0.00		 69.48   	-147.51		
-50.96   	182.19   	  1.71   	 -10.17		 68.89   	-122.07		
-50.96   	164.18   	  1.67   	 -20.35		 68.40   	-116.99		
-47.61   	149.84   	  1.59   	 -30.52		 67.93   	-101.73		
-46.39   	134.89   	  1.46   	 -45.78		 67.53   	 -86.47		
-51.57   	114.14   	  1.28   	 -40.69		 67.18   	 -86.47		
-62.87   	 87.28   	  1.12   	 -30.52		 66.84   	 -76.30		
-75.07   	 59.81   	  1.00   	 -15.26		 66.53   	 -76.30		
-83.31   	 36.32   	  0.94   	   5.09		 66.23   	 -81.38		
-87.89   	 16.17   	  0.96   	  35.61		 65.90   	 -76.30		
-92.77   	 -3.66   	  1.10   	  61.04		 65.59   	 -71.21		
-101.93   	-25.63   	  1.34   	 101.73		 65.31   	 -66.12		
-114.75   	-46.69   	  1.75   	 152.59		 65.05   	 -61.04		
-127.56   	-61.65   	  2.36   	 188.20		 64.80   	 -55.95		
-136.72   	-67.14   	  3.11   	 228.89		 64.58   	 -45.78		
-140.38   	-66.22   	  4.03   	 244.15		 64.39   	 -40.69		
-140.38   	-63.48   	  5.01   	 249.24		 64.23   	 -40.69		
-138.85   	-62.26   	  6.00   	 233.98		 64.07   	 -35.61		
-138.24   	-64.09   	  6.94   	 183.11		 63.93   	 -30.52		
-138.24   	-66.83   	  7.67   	  91.56		 63.80   	 -25.43		
-139.16   	-68.97   	  8.04   	 -30.52		 63.70   	 -30.52		
-140.99   	-70.19   	  7.91   	-142.42		 63.58   	 -35.61		
-144.04   	-71.41   	  7.34   	-284.84		 63.44   	 -40.69		
-146.48   	-76.60   	  6.21   	-467.95		 63.28   	 -30.52		
-145.26   	-90.64   	  4.33   	-569.68		 63.15   	 -25.43		
-137.02   	-113.83   	  2.05   	-554.42		 63.05   	 -20.35		
-120.85   	-138.85   	 -0.16   	-508.65		 62.97   	 -15.26		
-99.79   	-152.28   	 -2.20   	-442.52		 62.91   	 -15.26		
-79.04   	-136.41   	 -3.97   	-315.36		 62.85   	 -10.17		
-58.90   	-77.82   	 -5.23   	-147.51		 62.81   	 -10.17		
-35.40   	 30.82   	 -5.82   	  -5.09		 62.77   	 -15.26		
 -1.83   	191.35   	 -5.84(D)	  91.56		 62.71   	 -25.43		
 40.59   	400.39   	 -5.47   	 172.94		 62.60   	 -25.43		
 76.60   	642.40   	 -4.78   	 223.80		 62.50   	 -30.52		
 77.51   	877.08   	 -3.89   	 244.15		 62.38   	 -30.52		
 10.38   	1053.77   	 -2.91   	 269.58		 62.26   	 -30.52		
-363.16   	1158.14   	 -1.83   	 228.89		 62.14   	 -25.43		
-604.55   	1163.94   	 -0.92   	 183.11		 62.03   	 -15.26		
-805.36   	1228.33   	 -0.18   	 127.16		 61.97   	 -15.26		
-920.72   	1358.64   	  0.33   	  61.04		 61.91   	 -20.35		
-943.60   	1481.02(R)	  0.57   	 -10.17		 61.83   	 -30.52		
-896.61   	1478.27   	  0.53   	 -55.95		 61.71   	 -35.61		
-809.33   	1262.51   	  0.31   	 -91.56		 61.57   	 -40.69		
-698.55   	852.36   	 -0.06   	-111.90		 61.40   	 -35.61		
-569.46   	372.01   	 -0.51   	-106.82		 61.26   	 -30.52		
-428.47   	-24.41   	 -0.94   	 -76.30		 61.14   	 -30.52		
-294.19   	-237.43   	 -1.24   	 -40.69		 61.02   	 -30.52		
