SAMPLE NUMBER:   6
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
184.63   	267.64   	 50.70   	 539.16		 44.03   	  25.43		
200.20   	280.46   	 52.86   	 513.73		 44.13   	  40.69		
214.23   	292.36   	 54.91   	 498.47		 44.29   	  55.95		
221.86   	295.72   	 56.91   	 473.04		 44.52   	  66.12		
217.29   	283.51   	 58.80   	 442.52		 44.78   	  81.38		
197.14   	249.94   	 60.57   	 412.00		 45.11   	  81.38		
162.05   	196.23   	 62.22   	 381.48		 45.43   	  81.38		
116.88   	128.78   	 63.74   	 340.79		 45.76   	  76.30		
 68.05   	 57.68   	 65.11   	 305.19		 46.06   	  71.21		
 22.89   	 -7.93   	 66.33   	 233.98		 46.35   	  45.78		
-40.89   	-103.15   	 67.26   	 188.20		 46.53   	  20.35		
-58.90   	-132.45   	 68.02   	 142.42		 46.61   	   5.09		
-70.80   	-152.89   	 68.59   	  96.64		 46.63   	 -15.26		
-78.43   	-167.24   	 68.97   	  55.95		 46.57   	 -35.61		
-83.01   	-175.78   	 69.20   	  25.43		 46.43   	 -50.86		
-83.01   	-177.61   	 69.30   	 -10.17		 46.23   	 -76.30		
-78.13   	-170.59   	 69.26   	 -40.69		 45.92   	 -86.47		
-68.66   	-154.72   	 69.09   	 -61.04		 45.57   	-111.90		
-55.85   	-132.14   	 68.85   	 -86.47		 45.13   	-122.07		
-41.50   	-108.34   	 68.50   	-106.82		 44.64   	-142.42		
-25.63   	-88.20   	 68.08   	-122.07		 44.07   	-167.85		
-10.68   	-74.46   	 67.59   	-137.33		 43.40   	-203.46		
 -0.61   	-66.53   	 67.04   	-157.68		 42.58   	-249.24		
  1.53   	-61.65   	 66.41   	-172.94		 41.59   	-320.45		
 -2.14   	-58.59   	 65.72   	-183.11		 40.31   	-396.74		
 -5.19   	-58.90   	 64.98   	-203.46		 38.72   	-478.13		
 -1.53   	-68.05   	 64.17   	-208.54		 36.81   	-569.68		
  8.24   	-88.50   	 63.34   	-218.72		 34.53   	-656.15		
 13.12   	-120.54   	 62.46   	-239.06		 31.90   	-722.28		
  0.00   	-159.30   	 61.51   	-254.32		 29.01   	-762.97		
-34.18   	-196.84   	 60.49   	-269.58		 25.96   	-783.31		
-78.13   	-227.05   	 59.41   	-284.84		 22.83   	-778.23		
-115.05   	-245.36   	 58.27   	-305.19		 19.72   	-768.05		
-131.23   	-252.08   	 57.05   	-310.27		 16.64   	-747.71		
-128.17   	-250.85   	 55.81   	-361.14		 13.65   	-727.36		
-108.64   	-245.97   	 54.36   	-340.79		 10.74   	-635.81		
-107.42   	-248.72   	 53.00   	-320.45		  8.20   	-534.08		
-106.81   	-254.52   	 51.72   	-295.01		  6.06   	-427.26		
-86.67   	-263.37   	 50.54   	-264.50		  4.35   	-330.62		
-11.90   	-276.18   	 49.48   	-244.15		  3.03   	-233.98		
156.25   	-277.40   	 48.50   	-213.63		  2.10   	-152.59		
435.18   	-213.32   	 47.65   	-198.37		  1.49   	 -71.21		
768.43   	  4.27   	 46.86   	-178.03		  1.20   	 -15.26		
987.55   	431.82   	 46.14   	-167.85		  1.14   	  35.61		
894.17   	986.02   	 45.47   	-157.68		  1.28   	  76.30		
418.09   	1426.70(R)	 44.84   	-172.94		  1.59   	 116.99		
-877.69   	1049.80   	 44.15   	-162.77		  2.05   	 122.07		
-1060.18   	314.33   	 43.50   	-157.68		  2.54   	 116.99		
-791.02   	-353.70   	 42.87   	-152.59		  3.01   	 101.73		
-313.72   	-656.74   	 42.26   	-137.33		  3.42   	  76.30		
 46.39   	-571.59   	 41.71   	-132.25		  3.72   	  55.95		
126.95   	-314.94   	 41.18   	-122.07		  3.95   	  25.43		
 -2.14   	-134.89   	 40.69   	-116.99		  4.05   	   5.09		
-154.72   	-128.48   	 40.22   	-111.90		  4.07   	  -5.09		
-202.94   	-226.14   	 39.78   	-106.82		  4.05   	 -15.26		
-149.54   	-305.48   	 39.35   	 -96.64		  3.99   	 -10.17		
-75.07   	-307.62   	 38.96   	 -91.56		  3.95   	  15.26		
-43.33   	-258.48   	 38.60   	 -91.56		  4.01   	  40.69		
-57.07   	-211.79   	 38.23   	 -86.47		  4.17   	  91.56		
-83.62   	-194.70   	 37.88   	 -81.38		  4.54   	 152.59		
-96.74   	-198.97   	 37.56   	 -81.38		  5.15   	 218.72		
-91.55   	-205.99   	 37.23   	 -71.21		  6.02   	 295.01		
-76.90   	-203.25   	 36.95   	 -76.30		  7.20   	 371.31		
-63.78   	-188.90   	 36.64   	 -76.30		  8.69   	 462.87		
-58.29   	-168.15   	 36.34   	 -76.30		 10.54   	 544.25		
-58.90   	-147.40   	 36.03   	 -76.30		 12.72   	 610.37		
-59.81   	-130.92   	 35.73   	 -76.30		 15.16   	 666.32		
-56.46   	-118.10   	 35.42   	 -76.30		 17.82   	 696.84		
-48.83   	-107.42   	 35.12   	 -71.21		 20.61   	 727.36		
-40.28   	-97.05   	 34.83   	 -66.12		 23.52   	 732.45		
-32.04   	-85.75   	 34.57   	 -66.12		 26.45   	 783.31		
-15.56   	-57.37   	 34.30   	 -50.86		 29.58   	 712.10		
 -5.19   	-38.76   	 34.10   	 -30.52		 32.43   	 635.81		
  6.41   	-17.70   	 33.98   	  -5.09		 34.97   	 554.42		
 19.53   	  4.88   	 33.96   	  40.69		 37.19   	 473.04		
 33.87   	 28.99   	 34.12   	  96.64		 39.08   	 381.48		
 48.83   	 54.32   	 34.51   	 162.77		 40.61   	 300.10		
 64.39   	 79.65   	 35.16   	 249.24		 41.81   	 213.63		
 80.26   	104.06   	 36.15   	 325.53		 42.67   	 147.51		
 96.44   	127.26   	 37.46   	 401.83		 43.26   	  91.56		
112.30   	149.23   	 39.06   	 467.95		 43.62   	  45.78		
126.95   	170.29   	 40.94   	 513.73		 43.80   	  25.43		
140.08   	190.43   	 42.99   	 549.34		 43.91   	   5.09		
152.89   	209.05   	 45.19   	 564.60		 43.93   	   0.00		
166.02   	227.36   	 47.45   	 569.68		 43.93   	   5.09		
180.97   	245.67   	 49.73   	 564.60		 43.95   	  15.26		
197.45   	264.28   	 51.98   	 554.42		 44.01   	  30.52		
214.23   	281.98   	 54.20   	 534.08		 44.13   	  55.95		
227.05   	293.58   	 56.34   	 508.65		 44.35   	  71.21		
230.71   	292.36   	 58.37   	 478.13		 44.64   	  86.47		
220.34   	272.52   	 60.28   	 437.43		 44.98   	  91.56		
