SAMPLE NUMBER:   18
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  aR     	  RV     	  RV'		  DAO     	  DAO'		
-30.52   	-15.26   	 34.14   	 -25.43		  0.45   	   0.00		
-37.23   	-10.68   	 34.04   	 -35.61		  0.45   	   0.00		
-43.95   	 -3.66   	 33.90   	 -45.78		  0.45   	   0.00		
-51.57   	  5.80   	 33.71   	 -55.95		  0.45   	   0.00		
-59.20   	 17.70   	 33.49   	 -61.04		  0.45   	   0.00		
-63.17   	 28.08   	 33.25   	 -81.38		  0.45   	   0.00		
-61.04   	 33.87   	 32.92   	 -86.47		  0.45   	   0.00		
-55.54   	 36.01   	 32.57   	-101.73		  0.45   	   0.00		
-51.88   	 37.84   	 32.17   	-111.90		  0.45   	   0.00		
-54.63   	 42.72   	 31.72   	-127.16		  0.45   	   0.00		
-63.17   	 52.80   	 31.21   	-142.42		  0.45   	   0.00		
-72.63   	 65.00   	 30.64   	-157.68		  0.45   	   0.00		
-78.43   	 75.07   	 30.01   	-167.85		  0.45   	   0.00		
-78.74   	 81.48   	 29.34   	-188.20		  0.45   	   0.00		
-75.99   	 83.62   	 28.59   	-203.46		  0.45   	   0.00		
-72.94   	 83.62   	 27.77   	-213.63		  0.45   	   0.00		
-71.11   	 82.40   	 26.92   	-223.80		  0.45   	   0.00		
-69.58   	 80.57   	 26.02   	-233.98		  0.45   	   0.00		
-68.05   	 77.82   	 25.09   	-244.15		  0.45   	   0.00		
-66.22   	 75.68   	 24.11   	-254.32		  0.45   	   0.00		
-65.00   	 75.38   	 23.09   	-254.32		  0.45   	   0.00		
-64.70   	 76.60   	 22.08   	-259.41		  0.45   	   0.00		
-64.70   	 78.43   	 21.04   	-264.50		  0.45   	   0.00		
-64.09   	 79.04   	 19.98   	-259.41		  0.45   	   0.00		
-62.87   	 77.82   	 18.94   	-259.41		  0.45   	   0.00		
-61.65   	 75.99   	 17.90   	-254.32		  0.45   	   0.00		
-60.12   	 73.85   	 16.89   	-244.15		  0.45   	   0.00		
-59.20   	 72.63   	 15.91   	-228.89		  0.45   	   0.00		
