SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  AO     	  AO'		  RV     	  RV'		
 42.14   	 -61.04		  7.45   	 147.51		
 41.89   	 -61.04		  8.04   	 178.03		
 41.65   	 -20.35		  8.75   	 259.41		
 41.57   	  -5.09		  9.79   	 284.84		
 41.55   	  15.26		 10.93   	 315.36		
 41.61   	  25.43		 12.19   	 356.05		
 41.71   	  30.52		 13.61   	 371.31		
 41.83   	  30.52		 15.10   	 366.22		
 41.95   	  10.17		 16.56   	 366.22		
 41.99   	 -10.17		 18.03   	 366.22		
 41.95   	 -30.52		 19.49   	 381.48		
 41.83   	 -50.86		 21.02   	 371.31		
 41.63   	 -61.04		 22.50   	 345.88		
 41.38   	 -66.12		 23.89   	 330.62		
 41.12   	 -61.04		 25.21   	 320.45		
 40.87   	 -45.78		 26.49   	 300.10		
 40.69   	 -40.69		 27.69   	 279.75		
 40.53   	 -40.69		 28.81   	 259.41		
 40.37   	 -35.61		 29.85   	 254.32		
 40.22   	 -30.52		 30.86   	 239.06		
 40.10   	 -10.17		 31.82   	 208.54		
 40.06   	  15.26		 32.66   	 198.37		
 40.12   	  50.86		 33.45   	 193.29		
 40.33   	  86.47		 34.22   	 183.11		
 40.67   	 127.16		 34.95   	 167.85		
 41.18   	 162.77		 35.63   	 162.77		
 41.83   	 188.20		 36.28   	 152.59		
 42.58   	 269.58		 36.89   	 157.68		
 43.66   	 289.93		 37.52   	 147.51		
 44.82   	 300.10		 38.11   	 137.33		
 46.02   	 300.10		 38.66   	 127.16		
 47.22   	 300.10		 39.17   	 111.90		
 48.42   	 295.01		 39.61   	 106.82		
 49.60   	 295.01		 40.04   	 111.90		
 50.78   	 289.93		 40.49   	 101.73		
 51.94   	 300.10		 40.90   	  96.64		
 53.14   	 315.36		 41.28   	  96.64		
 54.40   	 335.71		 41.67   	 106.82		
 55.75   	 350.97		 42.10   	 106.82		
 57.15   	 356.05		 42.52   	 111.90		
 58.58   	 371.31		 42.97   	 116.99		
 60.06   	 366.22		 43.44   	 116.99		
 61.53   	 361.14		 43.91   	 122.07		
 62.97   	 356.05		 44.39   	 127.16		
 64.39   	 340.79		 44.90   	 116.99		
 65.76   	 330.62		 45.37   	 116.99		
 67.08   	 320.45		 45.84   	 111.90		
 68.36   	 300.10		 46.29   	 106.82		
 69.56   	 295.01		 46.71   	  91.56		
 70.74   	 279.75		 47.08   	  86.47		
 71.86   	 259.41		 47.43   	  76.30		
 72.90   	 239.06		 47.73   	  71.21		
 73.86   	 208.54		 48.02   	  55.95		
 74.69   	 157.68		 48.24   	  45.78		
 75.32   	 116.99		 48.42   	  30.52		
 75.79   	  66.12		 48.55   	  25.43		
 76.05   	  25.43		 48.65   	  10.17		
 76.15(S)	 -15.26		 48.69(S)	   0.00		
 76.09   	 -45.78		 48.69   	  -5.09		
 75.91   	 -55.95		 48.67   	 -10.17		
 75.69   	 -76.30		 48.63   	 -25.43		
 75.38   	 -71.21		 48.52   	 -25.43		
 75.10   	 -76.30		 48.42   	 -30.52		
 74.79   	 -71.21		 48.30   	 -40.69		
 74.51   	 -66.12		 48.14   	 -50.86		
 74.24   	 -66.12		 47.93   	 -61.04		
 73.98   	 -71.21		 47.69   	 -71.21		
 73.69   	 -86.47		 47.41   	 -76.30		
 73.35   	 -96.64		 47.10   	-106.82		
 72.96   	-106.82		 46.67   	-132.25		
 72.53   	-122.07		 46.14   	-167.85		
 72.04   	-137.33		 45.47   	-208.54		
 71.50   	-137.33		 44.64   	-254.32		
 70.95   	-137.33		 43.62   	-310.27		
 70.40   	-142.42		 42.38   	-361.14		
 69.83   	-132.25		 40.94   	-401.83		
 69.30   	-116.99		 39.33   	-437.43		
 68.83   	-111.90		 37.58   	-483.21		
 68.38   	-127.16		 35.65   	-513.73		
 67.87   	-178.03		 33.59   	-539.16		
 67.16   	-259.41		 31.43   	-559.51		
 66.12   	-335.71		 29.20   	-590.03		
 64.78   	-361.14		 26.84   	-605.29		
 63.34   	-356.05		 24.41   	-610.37		
 61.91   	-335.71		 21.97   	-600.20		
 60.57   	-274.67		 19.57   	-590.03		
 59.47   	-183.11		 17.21   	-574.77		
 58.74   	 -96.64		 14.91   	-539.16		
 58.35   	 -40.69		 12.76   	-493.39		
 58.19   	  10.17		 10.78   	-452.69		
 58.23   	  30.52		  8.97   	-401.83		
 58.35   	  10.17		  7.37   	-340.79		
 58.39   	 -45.78		  6.00   	-279.75		
 58.21   	 -96.64		  4.88   	-223.80		
 57.82   	-137.33		  3.99   	-172.94		
 57.27   	-167.85		  3.30   	-116.99		
 56.60   	-203.46		  2.83   	 -71.21		
 55.79   	-198.37		  2.54   	 -30.52		
 54.99   	-132.25		  2.42   	  -5.09		
 54.47   	 -55.95		  2.40(D)	   5.09		
 54.24   	 -25.43		  2.42   	  25.43		
 54.14   	 -10.17		  2.52   	  40.69		
 54.10   	   5.09		  2.69   	  40.69		
 54.12   	  40.69		  2.85   	  45.78		
 54.28   	  81.38		  3.03   	  40.69		
 54.61   	 106.82		  3.19   	  35.61		
 55.04   	 111.90		  3.34   	  25.43		
 55.48   	  86.47		  3.44   	  15.26		
 55.83   	  35.61		  3.50   	 -10.17		
 55.97   	 -35.61		  3.46   	 -20.35		
 55.83   	 -91.56		  3.38   	 -20.35		
 55.46   	-152.59		  3.30   	 -20.35		
 54.85   	-193.29		  3.21   	 -20.35		
 54.08   	-223.80		  3.13   	 -20.35		
 53.18   	-223.80		  3.05   	 -25.43		
 52.29   	-203.46		  2.95   	 -20.35		
 51.47   	-157.68		  2.87   	 -20.35		
 50.84   	-101.73		  2.79   	 -25.43		
 50.44   	 -45.78		  2.69   	 -10.17		
 50.25   	 -10.17		  2.64   	 -10.17		
 50.21   	  20.35		  2.60   	  -5.09		
 50.29   	  35.61		  2.58   	  -5.09		
 50.44   	  25.43		  2.56   	   5.09		
 50.54   	   5.09		  2.58   	   5.09		
 50.56   	 -30.52		  2.60   	   0.00		
 50.44   	 -61.04		  2.60   	   5.09		
 50.19   	 -91.56		  2.62   	  15.26		
 49.83   	-106.82		  2.69   	  10.17		
 49.40   	-116.99		  2.73   	  10.17		
 48.93   	-106.82		  2.77   	  10.17		
 48.50   	 -91.56		  2.81   	  15.26		
 48.14   	 -66.12		  2.87   	  25.43		
 47.87   	 -40.69		  2.97   	  25.43		
 47.71   	 -15.26		  3.07   	  15.26		
 47.65   	   0.00		  3.13   	  20.35		
 47.65   	   0.00		  3.21   	  15.26		
 47.65   	   5.09		  3.28   	  20.35		
 47.67   	 -10.17		  3.36   	  10.17		
 47.63   	 -20.35		  3.40   	  20.35		
 47.55   	 -35.61		  3.48   	  15.26		
 47.41   	 -50.86		  3.54   	  15.26		
 47.20   	 -66.12		  3.60   	  10.17		
 46.94   	 -76.30		  3.64   	  15.26		
 46.63   	 -66.12		  3.70   	  15.26		
 46.37   	 -61.04		  3.76   	  15.26		
 46.12   	 -50.86		  3.83   	  15.26		
 45.92   	 -40.69		  3.89   	  20.35		
 45.76   	 -30.52		  3.97   	  20.35		
 45.64   	 -20.35		  4.05   	  10.17		
 45.55   	  -5.09		  4.09   	  20.35		
 45.53   	 -15.26		  4.17   	  20.35		
 45.47   	 -15.26		  4.25   	  20.35		
 45.41   	 -10.17		  4.33   	  20.35		
 45.37   	 -10.17		  4.42(E)	  15.26		
 45.33   	 -15.26		  4.48   	  15.26		
 45.27   	 -25.43		  4.54   	  10.17		
 45.17   	 -35.61		  4.58   	  15.26		
 45.03   	 -55.95		  4.64   	  10.17		
 44.80   	 -66.12		  4.68   	   5.09		
 44.54   	 -66.12		  4.70   	  10.17		
 44.27   	 -66.12		  4.74   	  10.17		
 44.01   	 -61.04		  4.78   	   5.09		
 43.76   	 -50.86		  4.80   	   5.09		
 43.56   	 -35.61		  4.82   	  10.17		
 43.42   	 -30.52		  4.86   	  15.26		
 43.30   	 -20.35		  4.92   	  10.17		
 43.21   	 -15.26		  4.96   	  20.35		
 43.15   	 -15.26		  5.05   	  20.35		
 43.09   	 -15.26		  5.13   	  25.43		
 43.03   	 -20.35		  5.23   	  45.78		
 42.95   	 -30.52		  5.41   	  66.12		
 42.83   	 -35.61		  5.68   	  76.30		
 42.69   	 -40.69		  5.98   	  96.64		
 42.52   	 -45.78		  6.37   	 111.90		
 42.34   	 -45.78		  6.82   	 132.25		
 42.16   	 -40.69		  7.34   	 157.68		
 41.99   	 -45.78		  7.98   	 188.20		
 41.81   	 -35.61		  8.73   	 213.63		
 41.67   	 -35.61		  9.58   	 284.84		
 41.53   	 -35.61		 10.72   	 305.19		
 41.38   	 -25.43		 11.94   	 315.36		
 41.28   	 -25.43		 13.20   	 325.53		
 41.18   	 -25.43		 14.51   	 335.71		
 41.08   	 -20.35		 15.85   	 345.88		
 41.00   	 -20.35		 17.23   	 345.88		
 40.92   	 -25.43		 18.62   	 345.88		
 40.81   	 -25.43		 20.00   	 340.79		
 40.71   	 -25.43		 21.36   	 335.71		
 40.61   	 -30.52		 22.71   	 325.53		
 40.49   	 -30.52		 24.01   	 320.45		
 40.37   	 -25.43		 25.29   	 305.19		
 40.26   	 -25.43		 26.51   	 284.84		
 40.16   	 -20.35		 27.65   	 274.67		
 40.08   	 -20.35		 28.75   	 274.67		
 40.00   	 -20.35		 29.85   	 249.24		
 39.92   	 -15.26		 30.84   	 233.98		
 39.86   	 -10.17		 31.78   	 223.80		
 39.82(D)	   5.09		 32.68   	 213.63		
 39.84   	  15.26		 33.53   	 203.46		
 39.90   	  40.69		 34.34   	 188.20		
 40.06   	  71.21		 35.10   	 178.03		
 40.35   	 101.73		 35.81   	 178.03		
 40.75   	 137.33		 36.52   	 167.85		
 41.30   	 233.98		 37.19   	 172.94		
 42.24   	 264.50		 37.88   	 167.85		
 43.30   	 284.84		 38.56   	 172.94		
 44.44   	 305.19		 39.25   	 162.77		
 45.66   	 320.45		 39.90   	 162.77		
 46.94   	 325.53		 40.55   	 157.68		
 48.24   	 330.62		 41.18   	 157.68		
 49.56   	 340.79		 41.81   	 157.68		
 50.93   	 335.71		 42.44   	 152.59		
 52.27   	 345.88		 43.05   	 147.51		
 53.65   	 345.88		 43.64   	 142.42		
 55.04   	 345.88		 44.21   	 137.33		
 56.42   	 345.88		 44.76   	 137.33		
 57.80   	 335.71		 45.31   	 132.25		
 59.15   	 335.71		 45.84   	 127.16		
 60.49   	 325.53		 46.35   	 116.99		
 61.79   	 315.36		 46.82   	 111.90		
 63.05   	 305.19		 47.26   	 101.73		
 64.27   	 305.19		 47.67   	 101.73		
 65.49   	 295.01		 48.08   	  91.56		
 66.67   	 289.93		 48.44   	  76.30		
 67.83   	 284.84		 48.75   	  71.21		
 68.97   	 269.58		 49.03   	  66.12		
 70.05   	 249.24		 49.30   	  55.95		
 71.05   	 223.80		 49.52   	  40.69		
 71.94   	 193.29		 49.68   	  40.69		
 72.72   	 152.59		 49.85   	  25.43		
 73.33   	 111.90		 49.95   	  25.43		
 73.77   	  66.12		 50.05   	  15.26		
 74.04   	  25.43		 50.11   	   5.09		
 74.14(S)	 -10.17		 50.13(S)	   0.00		
 74.10   	 -40.69		 50.13   	  -5.09		
 73.94   	 -61.04		 50.11   	 -10.17		
 73.69   	 -76.30		 50.07   	 -15.26		
 73.39   	 -81.38		 50.01   	 -25.43		
