SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  AO     	  AO'		
 45.39   	  76.30		 63.64   	 656.15		
 45.70   	  91.56		 66.27   	 681.58		
 46.06   	 111.90		 68.99   	 554.42		
 46.51   	 122.07		 71.21   	 386.57		
 47.00   	 127.16		 72.76   	 305.19		
 47.51   	 122.07		 73.98   	 315.36		
 48.00   	 111.90		 75.24   	 376.40		
 48.44   	 106.82		 76.74   	 422.18		
 48.87   	 111.90		 78.43   	 427.26		
 49.32   	 122.07		 80.14   	 391.66		
 49.81   	 116.99		 81.71   	 361.14		
 50.27   	 111.90		 83.15   	 350.97		
 50.72   	  96.64		 84.56   	 371.31		
 51.11   	  91.56		 86.04   	 386.57		
 51.47   	  76.30		 87.59   	 366.22		
 51.78   	  55.95		 89.05   	 335.71		
 52.00   	  45.78		 90.40   	 320.45		
 52.19   	  30.52		 91.68   	 305.19		
 52.31   	  20.35		 92.90   	 284.84		
 52.39   	  10.17		 94.04   	 279.75		
 52.43   	  -5.09		 95.16   	 259.41		
 52.41   	   0.00		 96.19   	 233.98		
 52.41   	 -10.17		 97.13   	 198.37		
 52.37   	 -10.17		 97.92   	 188.20		
 52.33   	 -15.26		 98.68   	 162.77		
 52.27   	 -20.35		 99.33   	 142.42		
 52.19   	 -25.43		 99.90   	 111.90		
 52.09   	 -35.61		100.35   	  76.30		
 51.94   	 -45.78		100.65   	  35.61		
 51.76   	 -61.04		100.79   	  10.17		
 51.52   	 -86.47		100.83(S)	 -10.17		
 51.17   	-122.07		100.79   	 -30.52		
 50.68   	-157.68		100.67   	 -55.95		
 50.05   	-208.54		100.45   	 -76.30		
 49.22   	-218.72		100.14   	 -86.47		
 48.34   	-254.32		 99.80   	 -96.64		
 47.32   	-340.79		 99.41   	-122.07		
 45.96   	-371.31		 98.92   	-137.33		
 44.48   	-376.40		 98.37   	-147.51		
 42.97   	-401.83		 97.78   	-147.51		
 41.36   	-422.18		 97.19   	-157.68		
 39.67   	-442.52		 96.56   	-167.85		
 37.90   	-462.87		 95.89   	-172.94		
 36.05   	-467.95		 95.20   	-167.85		
 34.18   	-467.95		 94.53   	-172.94		
 32.31   	-493.39		 93.83   	-172.94		
 30.34   	-503.56		 93.14   	-172.94		
 28.32   	-503.56		 92.45   	-188.20		
 26.31   	-498.47		 91.70   	-203.46		
 24.31   	-493.39		 90.88   	-178.03		
 22.34   	-478.13		 90.17   	-172.94		
 20.43   	-462.87		 89.48   	-193.29		
 18.58   	-432.35		 88.71   	-203.46		
 16.85   	-406.92		 87.89   	-198.37		
 15.22   	-386.57		 87.10   	-208.54		
 13.67   	-361.14		 86.27   	-218.72		
 12.23   	-330.62		 85.39   	-213.63		
 10.91   	-310.27		 84.54   	-208.54		
  9.66   	-284.84		 83.70   	-228.89		
  8.52   	-254.32		 82.79   	-228.89		
  7.51   	-213.63		 81.87   	-203.46		
  6.65   	-193.29		 81.06   	-167.85		
  5.88   	-167.85		 80.39   	-152.59		
  5.21   	-142.42		 79.78   	-157.68		
  4.64   	-142.42		 79.15   	-162.77		
  4.07   	-127.16		 78.49   	-152.59		
  3.56   	-111.90		 77.88   	-137.33		
  3.11   	-101.73		 77.33   	-132.25		
  2.71   	 -76.30		 76.81   	-116.99		
  2.40   	 -55.95		 76.34   	 -96.64		
  2.18   	 -30.52		 75.95   	-101.73		
  2.05   	 -20.35		 75.54   	-116.99		
  1.97   	 -15.26		 75.08   	-106.82		
  1.91   	  -5.09		 74.65   	 -81.38		
  1.89   	  -5.09		 74.32   	 -86.47		
  1.87   	  -5.09		 73.98   	 -81.38		
  1.85   	   0.00		 73.65   	 -66.12		
  1.85   	  -5.09		 73.39   	 -61.04		
  1.83   	  -5.09		 73.14   	 -61.04		
  1.81   	 -30.52		 72.90   	 -61.04		
  1.69   	 -50.86		 72.65   	 -45.78		
  1.49   	 -66.12		 72.47   	 -35.61		
  1.22   	 -71.21		 72.33   	 -35.61		
  0.94   	 -71.21		 72.19   	 -30.52		
  0.65   	 -71.21		 72.06   	 -15.26		
  0.37   	 -61.04		 72.00   	 -20.35		
  0.12   	 -40.69		 71.92   	 -25.43		
 -0.04   	 -20.35		 71.82   	 -25.43		
 -0.12   	   5.09		 71.72   	 -15.26		
 -0.10   	  25.43		 71.66   	 -10.17		
  0.00   	  45.78		 71.62   	 -10.17		
  0.18   	  50.86		 71.58   	 -10.17		
  0.39   	  55.95		 71.54   	 -10.17		
  0.61   	  61.04		 71.50   	  -5.09		
