SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
-72.63   	213.01   	 36.46   	 137.33		 66.61   	 122.07		
-88.50   	191.96   	 37.01   	 122.07		 67.10   	  76.30		
-102.54   	173.34   	 37.50   	 101.73		 67.41   	 254.32		
-115.66   	155.94   	 37.90   	  91.56		 68.42   	 284.84		
-129.70   	139.47   	 38.27   	  86.47		 69.56   	 244.15		
-143.43   	123.60   	 38.62   	  81.38		 70.54   	 208.54		
-154.72   	109.25   	 38.94   	  86.47		 71.37   	 178.03		
-162.96   	 96.44   	 39.29   	  86.47		 72.09   	 223.80		
-168.46   	 86.06   	 39.63   	  86.47		 72.98   	 274.67		
-172.12   	 77.82   	 39.98   	  81.38		 74.08   	 244.15		
-175.48   	 71.41   	 40.31   	  40.69		 75.06   	 203.46		
-182.19   	 61.34   	 40.47   	  20.35		 75.87   	 244.15		
-184.63   	 57.37   	 40.55   	  -5.09		 76.85   	 254.32		
-185.85   	 53.71   	 40.53   	 -35.61		 77.86   	 208.54		
-186.46   	 51.57   	 40.39   	 -76.30		 78.70   	 172.94		
-186.77   	 50.35   	 40.08   	-122.07		 79.39   	 178.03		
-187.68   	 50.35   	 39.59   	-157.68		 80.10   	 244.15		
-189.21   	 50.66   	 38.96   	-193.29		 81.08   	 264.50		
-190.12   	 50.96   	 38.19   	-233.98		 82.14   	 127.16		
-190.12   	 51.57   	 37.25   	-274.67		 82.64   	  66.12		
-187.99   	 52.49   	 36.15   	-320.45		 82.91   	 157.68		
-184.94   	 53.71   	 34.87   	-381.48		 83.54   	 198.37		
-182.19   	 55.24   	 33.35   	-432.35		 84.33   	 127.16		
-180.05   	 56.46   	 31.62   	-493.39		 84.84   	  66.12		
-178.83   	 58.29   	 29.64   	-534.08		 85.11   	  66.12		
-177.31   	 60.42   	 27.51   	-518.82		 85.37   	 122.07		
-174.56   	 62.56   	 25.43   	-483.21		 85.86   	 122.07		
-170.90   	 64.09   	 23.50   	-447.61		 86.35   	  35.61		
-166.93   	 65.00   	 21.71   	-417.09		 86.49   	   5.09		
-163.57   	 65.61   	 20.04   	-376.40		 86.51   	  20.35		
-160.52   	 66.22   	 18.54   	-340.79		 86.59   	  20.35		
-157.17   	 67.75   	 17.17   	-315.36		 86.67   	  -5.09		
-153.50   	 69.58   	 15.91   	-295.01		 86.65   	 -30.52		
-149.54   	 71.72   	 14.73   	-279.75		 86.53   	 -45.78		
-146.48   	 72.94   	 13.61   	-264.50		 86.35   	 -61.04		
-144.04   	 73.24   	 12.55   	-254.32		 86.10   	-106.82		
-142.52   	 72.94   	 11.54   	-254.32		 85.68   	-106.82		
-140.99   	 73.24   	 10.52   	-249.24		 85.25   	 -91.56		
-138.55   	 74.16   	  9.52   	-244.15		 84.88   	-101.73		
-135.50   	 76.29   	  8.55   	-239.06		 84.48   	-132.25		
-132.75   	 78.13   	  7.59   	-228.89		 83.95   	-142.42		
-130.92   	 79.04   	  6.67   	-218.72		 83.38   	-152.59		
-129.39   	 79.04   	  5.80   	-193.29		 82.77   	-142.42		
-127.87   	 78.74   	  5.03   	-162.77		 82.20   	-142.42		
-125.73   	 79.35   	  4.37   	-137.33		 81.63   	-167.85		
-122.68   	 80.57   	  3.83   	-106.82		 80.96   	-167.85		
-119.93   	 81.48   	  3.40   	 -81.38		 80.28   	-147.51		
-118.10   	 81.18   	  3.07   	 -61.04		 79.69   	-152.59		
-117.19   	 79.65   	  2.83   	 -45.78		 79.08   	-147.51		
-116.88   	 77.51   	  2.64   	 -30.52		 78.49   	-152.59		
-116.88   	 75.99   	  2.52   	 -20.35		 77.88   	-162.77		
