SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  DAO     	  DAO'		  RV     	  RV'		
161.13   	246.89   	 70.62   	 320.45		 44.09   	1510.68		
161.13   	258.18   	 71.90   	 239.06		 50.13   	-2609.35		
161.44   	270.69   	 72.86   	 157.68		 39.69   	-1439.47		
161.74   	281.68   	 73.49   	 122.07		 33.94   	1185.14		
160.83   	289.00   	 73.98   	  55.95		 38.68   	 991.86		
157.47   	290.53   	 74.20   	 -10.17		 42.64   	-508.65		
151.06   	285.64   	 74.16   	 -55.95		 40.61   	-996.94		
140.08   	273.74   	 73.94   	 -71.21		 36.62   	 264.50		
124.82   	254.21   	 73.65   	 -96.64		 37.68   	1408.95		
105.59   	226.44   	 73.27   	-122.07		 43.32   	 178.03		
 83.31   	191.96   	 72.78   	-127.16		 44.03   	-1256.35		
 61.04   	154.11   	 72.27   	-137.33		 39.00   	-574.77		
 40.89   	116.27   	 71.72   	-162.77		 36.70   	-2416.06		
 23.50   	 81.18   	 71.07   	-147.51		 27.04   	-4547.29		
  9.16   	 48.83   	 70.48   	-172.94		  8.85   	9537.09		
-13.43   	-10.07   	 69.79   	 -86.47		 47.00   	-152.59		
-21.97   	-35.40   	 69.44   	 -40.69		 46.39   	-3875.87		
-28.38   	-56.15   	 69.28   	 -20.35		 30.88   	1480.16		
-33.26   	-71.72   	 69.20   	 -45.78		 36.81   	2238.04		
-37.23   	-83.31   	 69.01   	   0.00		 45.76   	-1541.19		
-40.89   	-92.16   	 69.01   	  30.52		 39.59   	-1439.47		
-43.64   	-100.10   	 69.14   	  20.35		 33.84   	 142.42		
-45.17   	-105.90   	 69.22   	  15.26		 34.40   	-259.41		
-45.17   	-109.25   	 69.28   	  30.52		 33.37   	-152.59		
-44.25   	-110.17   	 69.40   	  15.26		 32.76   	 788.40		
-43.64   	-109.86   	 69.46   	 -20.35		 35.91   	 427.26		
-43.64   	-110.17   	 69.38   	 -50.86		 37.62   	-340.79		
-43.33   	-111.69   	 69.18   	 -61.04		 36.26   	-218.72		
-42.11   	-113.22   	 68.93   	 -91.56		 35.38   	  10.17		
-39.98   	-113.83   	 68.57   	-122.07		 35.42   	-167.85		
-38.15   	-113.53   	 68.08   	-137.33		 34.75   	-315.36		
-37.84   	-112.92   	 67.53   	-152.59		 33.49   	-269.58		
