SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  LRA     	  LRA'		
-55.54   	-72.94   	 43.26   	 213.63		101.08   	   0.00		
-69.58   	-89.42   	 44.11   	 172.94		101.08   	 -20.35		
-83.31   	-104.37   	 44.80   	 147.51		101.00   	 -20.35		
-94.91   	-115.36   	 45.39   	 116.99		100.92   	 -10.17		
-103.45   	-121.77   	 45.86   	 106.82		100.87   	   5.09		
-110.17   	-126.04   	 46.29   	  96.64		100.89   	   5.09		
-116.58   	-130.31   	 46.67   	  96.64		100.92   	  -5.09		
-122.99   	-136.11   	 47.06   	  96.64		100.89   	   0.00		
-128.17   	-142.52   	 47.45   	 111.90		100.89   	   0.00		
-130.62   	-148.01   	 47.89   	 116.99		100.89   	   5.09		
-129.39   	-150.45   	 48.36   	 122.07		100.92   	   0.00		
-124.51   	-149.23   	 48.85   	 137.33		100.92   	   0.00		
-117.49   	-144.96   	 49.40   	 147.51		100.92   	   5.09		
-110.47   	-139.77   	 49.99   	 152.59		100.94   	   5.09		
-104.37   	-134.89   	 50.60   	 157.68		100.96   	  10.17		
-98.88   	-130.62   	 51.23   	 157.68		101.00   	   0.00		
-92.47   	-125.43   	 51.86   	 167.85		101.00   	   0.00		
-84.53   	-118.71   	 52.53   	 172.94		101.00   	  -5.09		
-75.99   	-110.78   	 53.22   	 172.94		100.98   	   5.09		
-67.75   	-103.15   	 53.92   	 167.85		101.00   	   0.00		
-61.34   	-96.74   	 54.59   	 167.85		101.00   	  -5.09		
-56.76   	-92.47   	 55.26   	 167.85		100.98   	   5.09		
-53.71   	-89.42   	 55.93   	 162.77		101.00   	   0.00		
-52.80   	-88.20   	 56.58   	 152.59		101.00   	   5.09		
-55.24   	-90.03   	 57.19   	 152.59		101.02   	   0.00		
-60.12   	-94.60   	 57.80   	 142.42		101.02   	   0.00		
-65.92   	-101.32   	 58.37   	 127.16		101.02   	  -5.09		
-70.50   	-107.73   	 58.88   	 111.90		101.00   	  -5.09		
-71.11   	-110.17   	 59.33   	  81.38		100.98   	   0.00		
-68.36   	-108.34   	 59.65   	  45.78		100.98   	   5.09		
-63.17   	-103.15   	 59.84   	  -5.09		101.00   	   0.00		
-57.37   	-97.35   	 59.82   	 -76.30		101.00   	   0.00		
-51.88   	-92.47   	 59.51   	-167.85		101.00   	   0.00		
-47.00   	-88.81   	 58.84   	-264.50		101.00   	   0.00		
-42.72   	-85.14   	 57.78   	-366.22		101.00   	   5.09		
-38.45   	-80.57   	 56.32   	-447.61		101.02   	  10.17		
-34.48   	-75.38   	 54.53   	-432.35		101.06   	   5.09		
-31.13   	-70.50   	 52.80   	-366.22		101.08   	   5.09		
-29.60   	-68.36   	 51.33   	-335.71		101.10   	  -5.09		
-30.52   	-69.27   	 49.99   	-320.45		101.08   	   0.00		
-33.87   	-72.94   	 48.71   	-305.19		101.08   	  10.17		
-39.67   	-78.43   	 47.49   	-305.19		101.12   	   5.09		
-46.39   	-84.53   	 46.27   	-264.50		101.14   	   0.00		
-54.93   	-91.55   	 45.21   	-213.63		101.14   	   5.09		
-64.70   	-98.27   	 44.35   	-233.98		101.16   	   5.09		
-70.80   	-101.01   	 43.42   	-228.89		101.18   	   0.00		
-68.97   	-94.30   	 42.50   	-188.20		101.18   	   5.09		
-56.15   	-75.99   	 41.75   	-203.46		101.20   	   0.00		
-33.87   	-47.61   	 40.94   	-249.24		101.20   	 -25.43		
 -8.24   	-16.17   	 39.94   	-254.32		101.10   	 -15.26		
 12.51   	  9.16   	 38.92   	-239.06		101.04   	   0.00		
 24.11   	 23.50   	 37.97   	-264.50		101.04   	  15.26		
 27.16   	 27.16   	 36.91   	-300.10		101.10   	 -10.17		
 24.41   	 21.97   	 35.71   	-340.79		101.06   	 -25.43		
 17.40   	 12.21   	 34.34   	-396.74		100.96   	 -15.26		
