SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RFA     	  RFA'		  RV     	  RV'		
-76.60   	-150.15   	104.98   	-162.77		 18.17   	-376.40		
-74.16   	-144.65   	104.33   	-162.77		 16.66   	-335.71		
-72.02   	-138.55   	103.68   	-152.59		 15.32   	-473.04		
-69.58   	-131.53   	103.07   	-162.77		 13.43   	-508.65		
-67.14   	-125.12   	102.42   	-178.03		 11.39   	-478.13		
-65.61   	-119.63   	101.71   	-203.46		  9.48   	-422.18		
-64.39   	-113.83   	100.89   	-223.80		  7.79   	-340.79		
-63.48   	-105.90   	100.00   	-254.32		  6.43   	-305.19		
-62.56   	-94.60   	 98.98   	-279.75		  5.21   	-269.58		
-61.65   	-81.48   	 97.86   	-315.36		  4.13   	-218.72		
-60.42   	-68.97   	 96.60   	-330.62		  3.26   	-178.03		
-59.51   	-59.20   	 95.28   	-340.79		  2.54   	-147.51		
-58.29   	-51.88   	 93.92   	-330.62		  1.95   	-106.82		
-56.46   	-44.86   	 92.59   	-305.19		  1.53   	 -55.95		
-54.63   	-37.54   	 91.37   	-244.15		  1.30   	 -20.35		
-52.19   	-29.60   	 90.40   	-172.94		  1.22   	   0.00		
-48.22   	-21.67   	 89.70   	 -91.56		  1.22   	  10.17		
-42.42   	-13.43   	 89.34   	 -10.17		  1.26   	   0.00		
-34.18   	 -3.05   	 89.30   	  45.78		  1.26   	  -5.09		
-23.80   	 12.51   	 89.48   	  76.30		  1.24   	  -5.09		
-12.82   	 32.65   	 89.79   	  76.30		  1.22   	 -20.35		
 -3.05   	 52.80   	 90.09   	  40.69		  1.14   	 -30.52		
  3.97   	 67.44   	 90.25   	   0.00		  1.02   	 -10.17		
  8.85   	 74.77   	 90.25   	 -40.69		  0.98   	   0.00		
 13.73   	 77.82   	 90.09   	 -86.47		  0.98   	 -10.17		
 22.28   	 82.40   	 89.75   	-122.07		  0.94   	 -20.35		
 35.10   	 92.47   	 89.26   	-142.42		  0.85   	 -25.43		
 49.13   	106.20   	 88.69   	-152.59		  0.75   	 -15.26		
 59.51   	117.49   	 88.08   	-132.25		  0.69   	  -5.09		
 62.26   	123.90   	 87.55   	-106.82		  0.67   	 -25.43		
 57.07   	123.90   	 87.12   	 -66.12		  0.57   	 -25.43		
 47.61   	119.02   	 86.86   	 -35.61		  0.47   	  15.26		
