SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  FA     	  FA'		  RV     	  RV'		
-45.78   	-134.89   	 56.81   	-127.16		 32.51   	-178.03		
-45.78   	-138.85   	 56.30   	-132.25		 31.80   	-208.54		
-46.39   	-142.52   	 55.77   	-142.42		 30.97   	-244.15		
-47.61   	-144.04   	 55.20   	-137.33		 29.99   	-279.75		
-48.83   	-141.91   	 54.65   	-127.16		 28.87   	-325.53		
-49.13   	-137.02   	 54.14   	-127.16		 27.57   	-371.31		
-48.22   	-131.53   	 53.63   	-127.16		 26.08   	-422.18		
-47.00   	-126.65   	 53.12   	-127.16		 24.39   	-493.39		
-46.08   	-123.29   	 52.61   	-127.16		 22.42   	-569.68		
-45.17   	-121.15   	 52.11   	-122.07		 20.14   	-590.03		
-44.25   	-119.02   	 51.62   	-122.07		 17.78   	-595.11		
-43.03   	-116.58   	 51.13   	-127.16		 15.40   	-615.46		
-41.50   	-113.53   	 50.62   	-137.33		 12.94   	-605.29		
-40.28   	-110.47   	 50.07   	-142.42		 10.52   	-579.86		
-39.67   	-108.64   	 49.50   	-162.77		  8.20   	-544.25		
-39.06   	-108.03   	 48.85   	-178.03		  6.02   	-508.65		
-38.15   	-107.42   	 48.14   	-188.20		  3.99   	-457.78		
-36.01   	-104.68   	 47.39   	-188.20		  2.16   	-401.83		
-31.43   	-96.13   	 46.63   	-172.94		  0.55   	-350.97		
-24.11   	-79.96   	 45.94   	-147.51		 -0.85   	-284.84		
-14.65   	-54.32   	 45.35   	-116.99		 -1.99   	-223.80		
 -3.97   	-21.67   	 44.88   	 -96.64		 -2.89   	-162.77		
  7.32   	 15.26   	 44.50   	 -76.30		 -3.54   	-111.90		
 19.53   	 52.80   	 44.19   	 -71.21		 -3.99   	 -55.95		
 32.35   	 90.33   	 43.91   	 -50.86		 -4.21   	 -20.35		
 44.25   	132.45   	 43.70   	 -30.52		 -4.29   	  30.52		
 51.88   	183.72   	 43.58   	 -20.35		 -4.17   	  61.04		
 52.80   	243.23   	 43.50   	 -20.35		 -3.93   	  91.56		
 47.91   	301.21   	 43.42   	 -25.43		 -3.56   	 111.90		
 41.81   	342.41   	 43.32   	 -30.52		 -3.11   	 132.25		
 39.06   	354.61   	 43.19   	 -35.61		 -2.58   	 142.42		
 40.89   	338.13   	 43.05   	 -40.69		 -2.01   	 152.59		
 44.25   	298.16   	 42.89   	 -40.69		 -1.40   	 152.59		
 43.95   	238.04   	 42.73   	 -50.86		 -0.79   	 137.33		
 37.23   	158.69   	 42.52   	 -61.04		 -0.24   	 132.25		
 25.33   	 62.87   	 42.28   	 -66.12		  0.28   	 116.99		
  9.46   	-36.62   	 42.01   	 -76.30		  0.75   	  96.64		
 -7.93   	-118.41   	 41.71   	 -71.21		  1.14   	  81.38		
-25.94   	-166.93   	 41.42   	 -71.21		  1.46   	  55.95		
-43.64   	-183.41   	 41.14   	 -76.30		  1.69   	  20.35		
-58.59   	-183.11   	 40.83   	 -76.30		  1.77   	  -5.09		
