SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  DAO     	  DAO'		  RV     	  RV'		
 -7.02   	-71.72   	 61.14   	 554.42		 19.06   	 132.25		
 -4.88   	-68.36   	 63.36   	 539.16		 19.59   	 122.07		
 -2.44   	-63.78   	 65.51   	 508.65		 20.08   	 122.07		
  0.31   	-58.59   	 67.55   	 462.87		 20.57   	 116.99		
  3.36   	-53.41   	 69.40   	 391.66		 21.04   	 111.90		
  6.41   	-49.13   	 70.97   	 315.36		 21.49   	 111.90		
  9.16   	-44.56   	 72.23   	 239.06		 21.93   	 106.82		
 11.90   	-39.06   	 73.18   	 152.59		 22.36   	 106.82		
 14.65   	-31.74   	 73.79   	  20.35		 22.79   	 106.82		
 21.06   	-14.34   	 73.88   	 -45.78		 23.21   	 101.73		
 24.72   	 -5.19   	 73.69   	 -86.47		 23.62   	  96.64		
 28.38   	  3.97   	 73.35   	-111.90		 24.01   	  96.64		
 32.65   	 14.34   	 72.90   	-116.99		 24.39   	  86.47		
 37.23   	 25.94   	 72.43   	-116.99		 24.74   	  86.47		
 42.42   	 38.76   	 71.96   	-106.82		 25.09   	  86.47		
 47.91   	 52.19   	 71.54   	 -71.21		 25.43   	  86.47		
 54.32   	 66.22   	 71.25   	 -45.78		 25.78   	  81.38		
 61.04   	 81.48   	 71.07   	   0.00		 26.10   	  76.30		
 68.66   	 99.18   	 71.07   	  35.61		 26.41   	  81.38		
 75.99   	119.02   	 71.21   	  81.38		 26.73   	  81.38		
 83.62   	140.38   	 71.54   	 122.07		 27.06   	  76.30		
 90.94   	162.05   	 72.02   	 152.59		 27.37   	  81.38		
 98.27   	183.11   	 72.63   	 183.11		 27.69   	  76.30		
104.98   	203.86   	 73.37   	 208.54		 28.00   	  71.21		
111.39   	224.61   	 74.20   	 223.80		 28.28   	  76.30		
117.19   	245.67   	 75.10   	 223.80		 28.59   	  76.30		
122.68   	266.11   	 75.99   	 218.72		 28.89   	  76.30		
127.56   	285.95   	 76.87   	 213.63		 29.20   	  76.30		
131.84   	303.96   	 77.72   	 198.37		 29.50   	  71.21		
135.80   	320.43   	 78.51   	 183.11		 29.79   	  66.12		
139.16   	336.61   	 79.25   	 162.77		 30.05   	  66.12		
141.60   	352.17   	 79.90   	 142.42		 30.32   	  61.04		
143.13   	367.13   	 80.47   	 122.07		 30.56   	  61.04		
142.82   	380.25   	 80.96   	  96.64		 30.80   	  61.04		
134.89   	389.40   	 81.34   	  76.30		 31.05   	  61.04		
126.65   	379.94   	 81.65   	  55.95		 31.29   	  55.95		
114.75   	358.58   	 81.87   	  45.78		 31.52   	  50.86		
 99.49   	324.40   	 82.05   	  35.61		 31.72   	  45.78		
 81.79   	280.46   	 82.20   	  30.52		 31.90   	  45.78		
 62.56   	229.80   	 82.32   	  20.35		 32.09   	  40.69		
 43.33   	176.70   	 82.40   	  20.35		 32.25   	  40.69		
 25.02   	124.21   	 82.48   	  20.35		 32.41   	  30.52		
  7.93   	 75.07   	 82.56   	  25.43		 32.53   	  30.52		
 -7.93   	 29.91   	 82.66   	  20.35		 32.66   	  25.43		
-21.36   	-10.38   	 82.75   	  20.35		 32.76   	  25.43		
-31.74   	-44.86   	 82.83   	  20.35		 32.86   	  20.35		
-39.06   	-73.24   	 82.91   	  15.26		 32.94   	  20.35		
-43.64   	-95.83   	 82.97   	   5.09		 33.02   	  15.26		
-46.39   	-112.30   	 82.99   	   5.09		 33.08   	  10.17		
-49.13   	-124.21   	 83.01   	 -10.17		 33.12   	   5.09		
-51.88   	-132.45   	 82.97   	 -15.26		 33.14   	   5.09		
-54.32   	-138.55   	 82.91   	 -25.43		 33.16   	   5.09		
-55.54   	-143.13   	 82.81   	 -35.61		 33.18   	   5.09		
-55.54   	-147.09   	 82.66   	 -40.69		 33.20   	   0.00		
-54.93   	-150.15   	 82.50   	 -45.78		 33.20   	   0.00		
-54.63   	-151.98   	 82.32   	 -50.86		 33.20   	  -5.09		
-54.93   	-152.89   	 82.12   	 -55.95		 33.18   	  -5.09		
-56.15   	-152.59   	 81.89   	 -55.95		 33.16   	 -10.17		
-56.76   	-151.98   	 81.67   	 -66.12		 33.12   	 -15.26		
-54.93   	-149.54   	 81.40   	 -71.21		 33.06   	 -25.43		
-53.10   	-148.32   	 81.12   	 -66.12		 32.96   	 -25.43		
-51.57   	-147.09   	 80.85   	 -76.30		 32.86   	 -35.61		
-50.96   	-146.48   	 80.55   	 -66.12		 32.72   	 -45.78		
-50.96   	-145.87   	 80.28   	 -76.30		 32.53   	 -55.95		
-50.96   	-144.96   	 79.98   	 -86.47		 32.31   	 -61.04		
-50.35   	-143.74   	 79.63   	 -91.56		 32.06   	 -71.21		
-49.13   	-141.91   	 79.27   	-106.82		 31.78   	 -81.38		
-47.91   	-139.77   	 78.84   	-122.07		 31.45   	-106.82		
-47.00   	-137.94   	 78.35   	-142.42		 31.03   	-122.07		
-46.69   	-136.11   	 77.78   	-162.77		 30.54   	-137.33		
-46.69   	-134.58   	 77.13   	-188.20		 29.99   	-147.51		
-47.00   	-133.36   	 76.38   	-218.72		 29.40   	-157.68		
-47.61   	-132.14   	 75.50   	-244.15		 28.77   	-172.94		
-47.91   	-130.92   	 74.53   	-264.50		 28.08   	-183.11		
-48.22   	-130.31   	 73.47   	-269.58		 27.34   	-198.37		
-48.22   	-130.31   	 72.39   	-269.58		 26.55   	-213.63		
-48.52   	-130.31   	 71.31   	-254.32		 25.70   	-228.89		
-48.22   	-130.31   	 70.29   	-223.80		 24.78   	-244.15		
-47.91   	-129.39   	 69.40   	-188.20		 23.80   	-254.32		
-47.61   	-127.56   	 68.65   	-142.42		 22.79   	-264.50		
-47.30   	-125.43   	 68.08   	 -91.56		 21.73   	-274.67		
-47.61   	-123.29   	 67.71   	 -45.78		 20.63   	-279.75		
-47.91   	-121.46   	 67.53   	   5.09		 19.51   	-279.75		
-48.22   	-119.93   	 67.55   	  71.21		 18.39   	-315.36		
-47.91   	-117.80   	 67.83   	  86.47		 17.13   	-310.27		
-47.61   	-118.10   	 68.18   	  96.64		 15.89   	-300.10		
-47.61   	-119.02   	 68.57   	  91.56		 14.69   	-289.93		
-47.91   	-119.93   	 68.93   	  71.21		 13.53   	-279.75		
-48.83   	-120.54   	 69.22   	  50.86		 12.41   	-259.41		
-50.35   	-121.15   	 69.42   	  25.43		 11.37   	-249.24		
-51.88   	-122.07   	 69.52   	 -10.17		 10.38   	-239.06		
-53.41   	-123.60   	 69.48   	 -40.69		  9.42   	-218.72		
-54.32   	-125.73   	 69.32   	 -71.21		  8.55   	-203.46		
-54.32   	-128.17   	 69.03   	-101.73		  7.73   	-188.20		
-53.41   	-129.39   	 68.63   	-116.99		  6.98   	-172.94		
-51.57   	-130.00   	 68.16   	-142.42		  6.29   	-157.68		
-49.44   	-129.70   	 67.59   	-142.42		  5.66   	-137.33		
-47.61   	-129.09   	 67.02   	-152.59		  5.11   	-127.16		
-47.30   	-128.78   	 66.41   	-142.42		  4.60   	-111.90		
-47.91   	-129.09   	 65.84   	-132.25		  4.15   	 -96.64		
-49.74   	-130.00   	 65.31   	-116.99		  3.76   	 -86.47		
-50.96   	-131.53   	 64.84   	-106.82		  3.42   	 -71.21		
-51.27   	-132.75   	 64.41   	 -81.38		  3.13   	 -61.04		
-50.96   	-133.36   	 64.09   	 -66.12		  2.89   	 -55.95		
-50.66   	-133.36   	 63.82   	 -50.86		  2.67   	 -40.69		
-50.66   	-133.06   	 63.62   	 -40.69		  2.50   	 -40.69		
-50.66   	-133.06   	 63.46   	 -20.35		  2.34   	 -25.43		
-50.96   	-133.36   	 63.38   	 -20.35		  2.24   	 -20.35		
-50.96   	-133.67   	 63.30   	 -10.17		  2.16   	   0.00		
-51.57   	-134.89   	 63.26   	 -15.26		  2.16   	  10.17		
-52.80   	-136.11   	 63.19   	 -15.26		  2.20   	  10.17		
-54.32   	-137.63   	 63.13   	 -25.43		  2.24   	  20.35		
-55.85   	-138.55   	 63.03   	 -30.52		  2.32   	  25.43		
-56.46   	-138.85   	 62.91   	 -35.61		  2.42   	  25.43		
-55.85   	-138.55   	 62.77   	 -45.78		  2.52   	  30.52		
-54.32   	-137.63   	 62.58   	 -50.86		  2.64   	  30.52		
-53.10   	-137.02   	 62.38   	 -55.95		  2.77   	  30.52		
-52.49   	-136.41   	 62.16   	 -61.04		  2.89   	  30.52		
-52.19   	-136.11   	 61.91   	 -66.12		  3.01   	  35.61		
-51.88   	-135.80   	 61.65   	 -61.04		  3.15   	  25.43		
-51.27   	-136.41   	 61.40   	 -66.12		  3.26   	  30.52		
-50.96   	-138.24   	 61.14   	 -61.04		  3.38   	  30.52		
-50.66   	-141.60   	 60.89   	 -66.12		  3.50   	  30.52		
-49.74   	-145.87   	 60.63   	 -61.04		  3.62   	  30.52		
-47.30   	-149.23   	 60.39   	 -61.04		  3.74   	  25.43		
-42.42   	-150.15   	 60.14   	 -55.95		  3.85   	  25.43		
-35.40   	-148.32   	 59.92   	 -55.95		  3.95   	  20.35		
-25.94   	-144.96   	 59.69   	 -50.86		  4.03   	  20.35		
-15.26   	-141.30   	 59.49   	 -45.78		  4.11   	  20.35		
 -4.27   	-137.94   	 59.31   	 -45.78		  4.19   	  10.17		
  4.58   	-130.00   	 59.12   	 -45.78		  4.23   	  15.26		
 10.38   	-112.30   	 58.94   	 -45.78		  4.29   	   5.09		
 12.82   	-81.48   	 58.76   	 -40.69		  4.31   	  10.17		
 14.04   	-42.72   	 58.60   	 -40.69		  4.35   	   0.00		
 14.95   	 -8.54   	 58.43   	 -40.69		  4.35   	   5.09		
 15.87   	  7.32   	 58.27   	 -35.61		  4.37   	   0.00		
 14.34   	 -1.53   	 58.13   	 -40.69		  4.37   	   5.09		
  9.77   	-29.30   	 57.97   	 -45.78		  4.39   	   5.09		
  3.66   	-61.65   	 57.78   	 -40.69		  4.42   	   5.09		
 -1.83   	-85.75   	 57.62   	 -40.69		  4.44   	  10.17		
 -4.58   	-95.21   	 57.46   	 -40.69		  4.48   	   5.09		
 -7.02   	-93.38   	 57.29   	 -40.69		  4.50   	  10.17		
-12.51   	-88.20   	 57.13   	 -35.61		  4.54   	  10.17		
-22.89   	-86.36   	 56.99   	 -35.61		  4.58   	  10.17		
-36.62   	-90.94   	 56.85   	 -40.69		  4.62   	  15.26		
-50.05   	-100.10   	 56.68   	 -35.61		  4.68   	  10.17		
-58.90   	-110.17   	 56.54   	 -35.61		  4.72   	  10.17		
-62.87   	-117.49   	 56.40   	 -35.61		  4.76   	  10.17		
-64.39   	-121.15   	 56.26   	 -30.52		  4.80   	   5.09		
-66.53   	-120.85   	 56.13   	 -30.52		  4.82   	  10.17		
-69.89   	-119.93   	 56.01   	 -30.52		  4.86   	   5.09		
-73.55   	-119.32   	 55.89   	 -35.61		  4.88   	   5.09		
