SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  RFA     	  RFA'		
 34.45   	   5.09		 47.22   	 -25.43		
 34.47   	  66.12		 47.12   	 -40.69		
 34.73   	  91.56		 46.96   	 -35.61		
 35.10   	 122.07		 46.82   	 -35.61		
 35.58   	 137.33		 46.67   	 -30.52		
 36.13   	 157.68		 46.55   	 -30.52		
 36.76   	 167.85		 46.43   	 -30.52		
 37.44   	 178.03		 46.31   	 -25.43		
 38.15   	 178.03		 46.21   	 -15.26		
 38.86   	 178.03		 46.14   	 -20.35		
 39.57   	 172.94		 46.06   	 -10.17		
 40.26   	 162.77		 46.02   	 -10.17		
 40.92   	 157.68		 45.98   	   0.00		
 41.55   	 147.51		 45.98   	   5.09		
 42.14   	 142.42		 46.00   	  10.17		
 42.71   	 132.25		 46.04   	  30.52		
 43.23   	 132.25		 46.16   	  50.86		
 43.76   	 132.25		 46.37   	  76.30		
 44.29   	 132.25		 46.67   	 127.16		
 44.82   	 132.25		 47.18   	 178.03		
 45.35   	 137.33		 47.89   	 233.98		
 45.90   	 137.33		 48.83   	 295.01		
 46.45   	 132.25		 50.01   	 345.88		
 46.98   	 137.33		 51.39   	 381.48		
 47.53   	 137.33		 52.92   	 412.00		
 48.08   	 132.25		 54.57   	 417.09		
 48.61   	 137.33		 56.24   	 432.35		
 49.16   	 132.25		 57.97   	 386.57		
 49.68   	 122.07		 59.51   	 335.71		
 50.17   	 106.82		 60.85   	 279.75		
 50.60   	  91.56		 61.97   	 223.80		
 50.97   	  76.30		 62.87   	 172.94		
 51.27   	  61.04		 63.56   	 137.33		
 51.52   	  45.78		 64.11   	 101.73		
 51.70   	  35.61		 64.52   	  86.47		
 51.84   	  20.35		 64.86   	  86.47		
 51.92   	  10.17		 65.21   	  91.56		
 51.96   	  10.17		 65.57   	 101.73		
 52.00   	   5.09		 65.98   	 127.16		
 52.02   	  10.17		 66.49   	 147.51		
 52.06   	  10.17		 67.08   	 172.94		
 52.11   	  10.17		 67.77   	 188.20		
 52.15   	  10.17		 68.52   	 198.37		
 52.19   	  20.35		 69.32   	 208.54		
 52.27   	  20.35		 70.15   	 213.63		
 52.35   	  25.43		 71.01   	 203.46		
 52.45   	  25.43		 71.82   	 193.29		
 52.55   	  30.52		 72.59   	 178.03		
 52.68   	  30.52		 73.31   	 162.77		
 52.80   	  25.43		 73.96   	 152.59		
 52.90   	  30.52		 74.57   	 132.25		
 53.02   	  25.43		 75.10   	 122.07		
 53.12   	  15.26		 75.58   	 111.90		
 53.18   	  15.26		 76.03   	 101.73		
 53.24   	   5.09		 76.44   	 101.73		
 53.27   	 -10.17		 76.85   	  96.64		
 53.22   	 -30.52		 77.23   	  91.56		
 53.10   	 -50.86		 77.60   	  86.47		
 52.90   	 -81.38		 77.94   	  86.47		
 52.57   	-116.99		 78.29   	  76.30		
 52.11   	-142.42		 78.60   	  76.30		
 51.54   	-167.85		 78.90   	  61.04		
 50.86   	-208.54		 79.15   	  45.78		
 50.03   	-244.15		 79.33   	  40.69		
 49.05   	-259.41		 79.49   	  20.35		
 48.02   	-259.41		 79.57   	   0.00		
 46.98   	-274.67		 79.57   	 -10.17		
 45.88   	-274.67		 79.53   	 -30.52		
 44.78   	-284.84		 79.41   	 -40.69		
 43.64   	-305.19		 79.25   	 -55.95		
 42.42   	-330.62		 79.02   	 -66.12		
 41.10   	-371.31		 78.76   	 -76.30		
 39.61   	-401.83		 78.45   	 -81.38		
 38.01   	-417.09		 78.13   	 -86.47		
 36.34   	-437.43		 77.78   	 -86.47		
 34.59   	-457.78		 77.44   	 -91.56		
 32.76   	-473.04		 77.07   	 -91.56		
 30.86   	-483.21		 76.70   	 -91.56		
 28.93   	-488.30		 76.34   	 -91.56		
 26.98   	-483.21		 75.97   	 -96.64		
 25.05   	-473.04		 75.58   	 -91.56		
 23.15   	-452.69		 75.22   	-101.73		
 21.34   	-437.43		 74.81   	-101.73		
 19.59   	-401.83		 74.40   	-106.82		
 17.99   	-376.40		 73.98   	-111.90		
 16.48   	-345.88		 73.53   	-122.07		
 15.10   	-305.19		 73.04   	-127.16		
 13.88   	-269.58		 72.53   	-132.25		
 12.80   	-244.15		 72.00   	-132.25		
 11.82   	-213.63		 71.47   	-142.42		
 10.97   	-188.20		 70.91   	-137.33		
 10.21   	-162.77		 70.36   	-142.42		
  9.56   	-142.42		 69.79   	-137.33		
  8.99   	-132.25		 69.24   	-127.16		
  8.46   	-122.07		 68.73   	-122.07		
  7.98   	-116.99		 68.24   	-106.82		
  7.51   	-106.82		 67.81   	 -91.56		
  7.08   	-111.90		 67.45   	 -71.21		
  6.63   	-111.90		 67.16   	 -55.95		
  6.19   	-116.99		 66.94   	 -45.78		
  5.72   	-122.07		 66.75   	 -35.61		
  5.23   	-122.07		 66.61   	 -25.43		
  4.74   	-127.16		 66.51   	 -25.43		
  4.23   	-116.99		 66.41   	 -25.43		
  3.76   	-122.07		 66.31   	 -35.61		
  3.28   	-111.90		 66.16   	 -35.61		
  2.83   	-101.73		 66.02   	 -50.86		
  2.42   	 -86.47		 65.82   	 -50.86		
  2.08   	 -66.12		 65.62   	 -66.12		
  1.81   	 -50.86		 65.35   	 -71.21		
  1.61   	 -25.43		 65.07   	 -71.21		
  1.51   	   0.00		 64.78   	 -71.21		
  1.51   	  25.43		 64.50   	 -71.21		
  1.61   	  45.78		 64.21   	 -71.21		
  1.79   	  61.04		 63.93   	 -61.04		
  2.03   	  71.21		 63.68   	 -55.95		
  2.32   	  86.47		 63.46   	 -50.86		
  2.67   	  91.56		 63.26   	 -45.78		
  3.03   	  91.56		 63.07   	 -35.61		
