SAMPLE NUMBER:   5
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
 54.02   	-84.23   	 34.93   	 549.34		 76.15   	 -66.12		
 57.07   	-80.26   	 37.13   	 701.93		 75.89   	 -91.56		
 59.81   	-75.68   	 39.94   	 768.05		 75.52   	 -61.04		
 62.26   	-70.80   	 43.01   	 640.89		 75.28   	 -25.43		
 65.00   	-65.61   	 45.57   	 406.92		 75.18   	 -30.52		
 68.05   	-59.51   	 47.20   	 213.63		 75.06   	 -45.78		
 72.02   	-53.41   	 48.06   	 218.72		 74.87   	 -30.52		
 76.60   	-47.91   	 48.93   	 315.36		 74.75   	   0.00		
 81.79   	-43.33   	 50.19   	 315.36		 74.75   	  35.61		
 87.59   	-38.15   	 51.45   	 172.94		 74.89   	  61.04		
 93.69   	-31.43   	 52.15   	  -5.09		 75.14   	 106.82		
100.40   	-22.89   	 52.13   	 -55.95		 75.56   	 244.15		
107.42   	-13.12   	 51.90   	   0.00		 76.54   	 452.69		
114.75   	 -3.36   	 51.90   	  45.78		 78.35   	 656.15		
121.77   	  5.80   	 52.09   	   0.00		 80.98   	 824.00		
128.48   	 14.34   	 52.09   	 -86.47		 84.27   	 915.56		
135.19   	 23.19   	 51.74   	-132.25		 87.93   	 905.39		
142.21   	 32.65   	 51.21   	 -96.64		 91.56   	 788.40		
149.84   	 41.81   	 50.82   	 -40.69		 94.71   	 600.20		
157.78   	 51.27   	 50.66   	  -5.09		 97.11   	 366.22		
164.79   	 60.73   	 50.64   	 -25.43		 98.58   	 162.77		
171.20   	 70.19   	 50.54   	 -40.69		 99.23   	  66.12		
176.39   	 80.57   	 50.38   	 -30.52		 99.49   	 111.90		
181.27   	 91.55   	 50.25   	  15.26		 99.94   	 279.75		
185.85   	103.45   	 50.32   	  66.12		101.06   	 473.04		
189.82   	116.27   	 50.58   	  91.56		102.95   	 615.46		
193.48   	128.78   	 50.95   	   0.00		105.41   	   0.00		
