SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  AO     	  AO'		  RV     	  RV'		
 54.93   	 452.69		 43.19   	-183.11		
 56.74   	 432.35		 42.46   	-188.20		
 58.47   	 401.83		 41.71   	-172.94		
 60.08   	 361.14		 41.02   	-147.51		
 61.53   	 310.27		 40.43   	 -91.56		
 62.77   	 244.15		 40.06   	 -25.43		
 63.74   	 193.29		 39.96   	  25.43		
 64.52   	 137.33		 40.06   	  81.38		
 65.07   	  91.56		 40.39   	 122.07		
 65.43   	  45.78		 40.87   	 147.51		
 65.62   	  10.17		 41.46   	 172.94		
 65.66   	 -10.17		 42.16   	 198.37		
 65.62   	 -10.17		 42.95   	 233.98		
 65.57   	  -5.09		 43.89   	 249.24		
 65.55   	   5.09		 44.88   	 233.98		
 65.57   	  10.17		 45.82   	 193.29		
 65.62   	  25.43		 46.59   	 147.51		
 65.72   	  55.95		 47.18   	 111.90		
 65.94   	  81.38		 47.63   	  96.64		
 66.27   	 111.90		 48.02   	  81.38		
 66.71   	 127.16		 48.34   	  71.21		
 67.22   	 147.51		 48.63   	  55.95		
 67.81   	 162.77		 48.85   	  45.78		
 68.46   	 167.85		 49.03   	  50.86		
 69.14   	 183.11		 49.24   	  61.04		
 69.87   	 193.29		 49.48   	  50.86		
 70.64   	 198.37		 49.68   	  40.69		
 71.43   	 193.29		 49.85   	  35.61		
 72.21   	 188.20		 49.99   	  35.61		
 72.96   	 167.85		 50.13   	  30.52		
 73.63   	 157.68		 50.25   	  35.61		
 74.26   	 152.59		 50.40   	  40.69		
 74.87   	 142.42		 50.56   	  40.69		
 75.44   	 132.25		 50.72   	  40.69		
 75.97   	 101.73		 50.88   	  25.43		
 76.38   	  66.12		 50.99   	  15.26		
 76.64   	  45.78		 51.05   	  10.17		
 76.83   	  25.43		 51.09   	  20.35		
 76.93   	  10.17		 51.17   	  15.26		
 76.97   	  -5.09		 51.23   	 -15.26		
 76.95   	 -20.35		 51.17   	 -50.86		
 76.87   	 -55.95		 50.97   	 -81.38		
 76.64   	 -81.38		 50.64   	-106.82		
 76.32   	-106.82		 50.21   	-137.33		
 75.89   	-101.73		 49.66   	-152.59		
 75.48   	-111.90		 49.05   	-178.03		
 75.04   	-132.25		 48.34   	-203.46		
 74.51   	-157.68		 47.53   	-213.63		
 73.88   	-193.29		 46.67   	-208.54		
 73.10   	-213.63		 45.84   	-188.20		
 72.25   	-228.89		 45.09   	-178.03		
 71.33   	-239.06		 44.37   	-167.85		
 70.38   	-254.32		 43.70   	-167.85		
 69.36   	-289.93		 43.03   	-178.03		
 68.20   	-305.19		 42.32   	-198.37		
 66.98   	-305.19		 41.53   	-223.80		
 65.76   	-279.75		 40.63   	-279.75		
 64.64   	-249.24		 39.51   	-340.79		
 63.64   	-203.46		 38.15   	-412.00		
 62.83   	-172.94		 36.50   	-498.47		
 62.14   	-147.51		 34.51   	-625.63		
 61.55   	-116.99		 32.00   	-732.45		
 61.08   	-101.73		 29.07   	-788.40		
 60.67   	 -81.38		 25.92   	-757.88		
 60.35   	 -61.04		 22.89   	-686.67		
 60.10   	 -35.61		 20.14   	-630.72		
 59.96   	 -25.43		 17.62   	-590.03		
 59.86   	 -25.43		 15.26   	-549.34		
 59.76   	 -20.35		 13.06   	-513.73		
 59.67   	 -10.17		 11.01   	-523.90		
 59.63   	 -15.26		  8.91   	-584.94		
 59.57   	 -10.17		  6.57   	-590.03		
 59.53   	 -25.43		  4.21   	-467.95		
 59.43   	 -40.69		  2.34   	-223.80		
 59.27   	 -40.69		  1.44   	  10.17		
 59.10   	 -35.61		  1.49   	 152.59		
 58.96   	 -30.52		  2.10   	 167.85		
 58.84   	 -20.35		  2.77   	 122.07		
 58.76   	 -30.52		  3.26   	 101.73		
 58.64   	 -40.69		  3.66   	 147.51		
 58.47   	 -50.86		  4.25   	 264.50		
 58.27   	 -50.86		  5.31   	 361.14		
 58.07   	 -35.61		  6.75   	 396.74		
 57.92   	 -20.35		  8.34   	 386.57		
 57.84   	 -15.26		  9.89   	 340.79		
 57.78   	 -35.61		 11.25   	 269.58		
 57.64   	 -45.78		 12.33   	 178.03		
 57.46   	 -61.04		 13.04   	  71.21		
