SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  FA     	  FA'		  LPA     	  LPA'		  RV     	  RV'		
-425.72   	-115.97   	 59.59   	 -35.61		 38.82   	  40.69		  7.47   	 -40.69		
-302.43   	-160.83   	 59.45   	  25.43		 38.98   	  61.04		  7.30   	 -76.30		
-163.27   	-215.45   	 59.55   	  20.35		 39.23   	  40.69		  7.00   	-142.42		
-61.65   	-265.81   	 59.63   	 -66.12		 39.39   	  81.38		  6.43   	-157.68		
 -5.80   	-267.03   	 59.37   	-111.90		 39.72   	 101.73		  5.80   	 -15.26		
 23.80   	-197.75   	 58.92   	-127.16		 40.12   	 106.82		  5.74   	 167.85		
 44.86   	-88.20   	 58.41   	 -81.38		 40.55   	 111.90		  6.41   	 223.80		
 59.51   	  1.22   	 58.09   	  15.26		 41.00   	 137.33		  7.30   	 167.85		
 64.70   	 30.52   	 58.15   	  40.69		 41.55   	 157.68		  7.98   	 152.59		
 62.56   	  9.16   	 58.31   	 -10.17		 42.18   	 122.07		  8.59   	 198.37		
 59.81   	-23.50   	 58.27   	-101.73		 42.67   	  66.12		  9.38   	 233.98		
 60.73   	-37.54   	 57.86   	-188.20		 42.93   	  15.26		 10.32   	 259.41		
 64.70   	-29.60   	 57.11   	-178.03		 42.99   	 -10.17		 11.35   	 330.62		
 68.66   	-14.34   	 56.40   	 -86.47		 42.95   	 -35.61		 12.68   	 406.92		
 70.50   	 -5.49   	 56.05   	 -10.17		 42.81   	 -50.86		 14.30   	 432.35		
 71.11   	 -4.88   	 56.01   	 -15.26		 42.60   	 -66.12		 16.03   	 396.74		
 72.02   	 -5.80   	 55.95   	 -66.12		 42.34   	 -81.38		 17.62   	 412.00		
 74.16   	 -3.05   	 55.69   	-142.42		 42.01   	 -76.30		 19.27   	 513.73		
 77.51   	  3.97   	 55.12   	-147.51		 41.71   	 -61.04		 21.32   	 656.15		
 81.48   	 11.90   	 54.53   	 -66.12		 41.46   	 -50.86		 23.95   	 696.84		
 84.53   	 17.70   	 54.26   	   5.09		 41.26   	 -10.17		 26.73   	 651.07		
 86.06   	 21.97   	 54.28   	  20.35		 41.22   	  76.30		 29.34   	 620.55		
 85.14   	 26.86   	 54.36   	 -10.17		 41.53   	 122.07		 31.82   	 676.50		
 83.31   	 32.04   	 54.32   	 -91.56		 42.01   	 157.68		 34.53   	 717.19		
 82.09   	 35.40   	 53.96   	-137.33		 42.64   	 254.32		 37.40   	 701.93		
 82.40   	 35.10   	 53.41   	-106.82		 43.66   	 254.32		 40.20   	 656.15		
 84.84   	 32.65   	 52.98   	 -71.21		 44.68   	  15.26		 42.83   	 635.81		
 89.11   	 31.43   	 52.70   	  -5.09		 44.74   	-239.06		 45.37   	 630.72		
 93.99   	 32.96   	 52.68   	  20.35		 43.78   	-269.58		 47.89   	 564.60		
 98.27   	 36.32   	 52.76   	 -10.17		 42.71   	-218.72		 50.15   	 457.78		
101.01   	 38.45   	 52.72   	 -40.69		 41.83   	-249.24		 51.98   	 350.97		
103.45   	 38.76   	 52.55   	 -35.61		 40.83   	-305.19		 53.39   	 310.27		
107.12   	 37.54   	 52.41   	 -20.35		 39.61   	-310.27		 54.63   	 254.32		
113.22   	 36.62   	 52.33   	  35.61		 38.37   	-300.10		 55.65   	 137.33		
121.46   	 35.71   	 52.47   	 137.33		 37.17   	-274.67		 56.20   	  10.17		
130.62   	 33.26   	 53.02   	 249.24		 36.07   	-244.15		 56.24   	 -66.12		
138.85   	 29.60   	 54.02   	 396.74		 35.10   	-147.51		 55.97   	 -86.47		
146.48   	 26.25   	 55.61   	 615.46		 34.51(D)	   0.00		 55.63   	-101.73		
153.50   	 24.41   	 58.07   	 839.26		 34.51   	 122.07		 55.22   	-142.42		
160.83   	 25.63   	 61.42   	1032.55		 34.99   	 218.72		 54.65   	-172.94		
168.15   	 28.99   	 65.55   	1088.50		 35.87   	 330.62		 53.96   	-142.42		
174.26   	 33.87   	 69.91   	 956.25		 37.19   	 447.61		 53.39   	 -91.56		
177.61   	 40.59   	 73.73   	 732.45		 38.98   	 518.82		 53.02   	 -55.95		
177.61   	 48.83   	 76.66   	 610.37		 41.06   	 564.60		 52.80   	   0.00		
174.87   	 58.90   	 79.10   	 590.03		 43.32   	 610.37		 52.80   	  81.38		
170.59   	 70.19   	 81.46   	 554.42		 45.76   	 625.63		 53.12   	 157.68		
165.71   	 80.87   	 83.68   	 386.57		 48.26   	 635.81		 53.75   	 218.72		
159.61   	 90.94   	 85.23   	  96.64		 50.80   	 640.89		 54.63   	 264.50		
151.98   	101.62   	 85.62   	-132.25		 53.37   	 656.15		 55.69   	 300.10		
141.60   	115.36   	 85.09   	 -91.56		 55.99   	 635.81		 56.89   	 356.05		
129.09   	133.06   	 84.72   	 137.33		 58.53   	 595.11		 58.31   	 391.66		
115.36   	152.59   	 85.27   	 442.52		 60.92   	 554.42		 59.88   	 401.83		
100.71   	167.54   	 87.04   	 635.81		 63.13   	 534.08		 61.49   	 396.74		
 85.45   	173.95   	 89.58   	 569.68		 65.27   	 503.56		 63.07   	 386.57		
 69.58   	170.90   	 91.86   	 325.53		 67.28   	 452.69		 64.62   	 356.05		
 54.32   	162.66   	 93.16   	 101.73		 69.09   	 396.74		 66.04   	 300.10		
 39.98   	152.89   	 93.57   	 106.82		 70.68   	 335.71		 67.24   	 269.58		
 27.77   	144.04   	 94.00   	 264.50		 72.02   	 279.75		 68.32   	 228.89		
 18.62   	133.36   	 95.06   	 310.27		 73.14   	 233.98		 69.24   	 147.51		
 11.90   	119.32   	 96.30   	 172.94		 74.08   	 172.94		 69.83   	  86.47		
  7.32   	103.76   	 96.99   	  45.78		 74.77   	 111.90		 70.17   	  30.52		
  4.88   	 88.81   	 97.17   	  20.35		 75.22   	  81.38		 70.29(S)	 -30.52		
  4.58   	 77.51   	 97.25   	  66.12		 75.54   	  45.78		 70.17   	 -91.56		
  4.88   	 70.50   	 97.52   	 116.99		 75.73(S)	 -10.17		 69.81   	-142.42		
  4.27   	 65.00   	 97.99   	  40.69		 75.69   	 -61.04		 69.24   	-193.29		
  3.05   	 59.20   	 98.15(S)	-122.07		 75.44   	-101.73		 68.46   	-239.06		
  1.83   	 53.41   	 97.66   	-208.54		 75.04   	-152.59		 67.51   	-269.58		
  1.83   	 49.74   	 96.83   	-167.85		 74.42   	-198.37		 66.43   	-305.19		
  4.88   	 51.27   	 96.15   	 -96.64		 73.63   	-213.63		 65.21   	-325.53		
 10.07   	 59.51   	 95.77   	 -30.52		 72.78   	-223.80		 63.91   	-335.71		
 17.09   	 73.55   	 95.65   	 -61.04		 71.88   	-228.89		 62.56   	-361.14		
 24.72   	 93.38   	 95.40   	-167.85		 70.97   	-239.06		 61.12   	-381.48		
 33.26   	119.63   	 94.73   	-223.80		 70.01   	-249.24		 59.59   	-371.31		
 42.42   	153.20   	 93.83   	-233.98		 69.01   	-244.15		 58.11   	-356.05		
 52.80   	190.73   	 92.90   	-223.80		 68.04   	-244.15		 56.68   	-376.40		
 64.09   	225.83   	 92.00   	-167.85		 67.06   	-295.01		 55.18   	-447.61		
 75.38   	252.99   	 91.33   	-106.82		 65.88   	-335.71		 53.39   	-488.30		
 85.75   	271.30   	 90.91   	-147.51		 64.54   	-239.06		 51.43   	-452.69		
 94.30   	285.34   	 90.32   	-239.06		 63.58   	  15.26		 49.62   	-478.13		
100.10   	298.46   	 89.36   	-295.01		 63.64   	 228.89		 47.71   	-579.86		
103.76   	307.92   	 88.18   	-279.75		 64.56   	 -20.35		 45.39   	-635.81		
105.90   	307.01   	 87.06   	-208.54		 64.48   	-707.02		 42.85   	-584.94		
107.12   	291.14   	 86.23   	-198.37		 61.65   	-859.61		 40.51   	-549.34		
107.12   	263.37   	 85.43   	-244.15		 58.21   	-503.56		 38.31   	-615.46		
105.59   	232.54   	 84.46   	-315.36		 56.20   	-508.65		 35.85   	-701.93		
102.54   	204.16   	 83.19   	-376.40		 54.16   	-645.98		 33.04   	-696.84		
 99.18   	177.61   	 81.69   	-401.83		 51.58   	-554.42		 30.25   	-605.29		
 96.44   	149.84   	 80.08   	-366.22		 49.36   	-483.21		 27.83   	-564.60		
 94.30   	118.10   	 78.62   	-310.27		 47.43   	-457.78		 25.57   	-595.11		
 91.55   	 85.45   	 77.38   	-249.24		 45.59   	-330.62		 23.19   	-610.37		
 86.98   	 57.68   	 76.38   	-203.46		 44.27   	-239.06		 20.75   	-549.34		
