SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  FA     	  FA'		
-238.95   	-264.89   	  8.52   	  25.43		 72.00   	 -55.95		
-128.78   	-186.46   	  8.63   	 -15.26		 71.78   	 -55.95		
-72.63   	-56.15   	  8.57   	 -35.61		 71.56   	 -55.95		
-40.28   	 27.47   	  8.42   	 -50.86		 71.33   	 -50.86		
-19.53   	 17.09   	  8.22   	 -35.61		 71.13   	 -50.86		
 -8.54   	-57.07   	  8.08   	 -20.35		 70.93   	 -45.78		
 -4.27   	-126.65   	  8.00   	   5.09		 70.74   	 -45.78		
 -0.61   	-146.18   	  8.02   	 101.73		 70.56   	 -40.69		
  5.19   	-122.07   	  8.42   	 188.20		 70.40   	 -45.78		
 11.29   	-90.03   	  9.18   	 274.67		 70.21   	 -40.69		
 15.87   	-77.82   	 10.27   	 427.26		 70.05   	 -40.69		
 18.62   	-87.28   	 11.98   	 544.25		 69.89   	 -40.69		
 21.67   	-102.23   	 14.16   	 615.46		 69.73   	 -40.69		
 25.02   	-109.86   	 16.62   	 691.76		 69.56   	 -40.69		
 27.47   	-108.34   	 19.39   	 757.88		 69.40   	 -40.69		
 28.69   	-102.23   	 22.42   	 813.83		 69.24   	 -40.69		
 29.91   	-95.83   	 25.68   	 864.70		 69.07   	 -40.69		
 31.43   	-91.25   	 29.14   	 905.39		 68.91   	 -40.69		
 33.57   	-89.11   	 32.76   	1027.46		 68.75   	 -45.78		
 38.15   	-84.84   	 36.87   	 986.77		 68.57   	 -45.78		
 39.37   	-81.79   	 40.81   	 930.82		 68.38   	 -35.61		
 41.20   	-79.65   	 44.54   	 844.35		 68.24   	 -40.69		
 46.69   	-78.74   	 47.91   	 757.88		 68.08   	 -35.61		
 56.15   	-77.51   	 50.95   	 656.15		 67.93   	 -30.52		
 67.44   	-75.68   	 53.57   	 554.42		 67.81   	 -35.61		
 77.21   	-71.72   	 55.79   	 457.78		 67.67   	 -30.52		
 83.31   	-66.83   	 57.62   	 366.22		 67.55   	 -35.61		
 86.36   	-62.56   	 59.08   	 284.84		 67.41   	 -30.52		
 89.72   	-59.81   	 60.22   	 208.54		 67.28   	 -35.61		
 95.83   	-58.59   	 61.06   	 147.51		 67.14   	 -35.61		
104.37   	-57.98   	 61.65   	 111.90		 67.00   	 -35.61		
113.83   	-55.85   	 62.10   	  91.56		 66.86   	 -35.61		
122.07   	-51.88   	 62.46   	  76.30		 66.71   	 -45.78		
128.78   	-46.69   	 62.77   	  81.38		 66.53   	 -45.78		
133.36   	-41.50   	 63.09   	  86.47		 66.35   	 -45.78		
136.41   	-37.54   	 63.44   	 101.73		 66.16   	 -50.86		
138.85   	-33.57   	 63.85   	 111.90		 65.96   	 -55.95		
141.60   	-28.08   	 64.29   	 127.16		 65.74   	 -50.86		
144.96   	-19.84   	 64.80   	 137.33		 65.53   	 -45.78		
148.62   	 -8.85   	 65.35   	 147.51		 65.35   	 -35.61		
151.67   	  2.44   	 65.94   	 147.51		 65.21   	 -10.17		
152.28   	 12.51   	 66.53   	 142.42		 65.17   	  40.69		
150.15   	 20.45   	 67.10   	 142.42		 65.33   	 127.16		
146.79   	 27.16   	 67.67   	 162.77		 65.84   	 432.35		
136.41   	 40.89   	 68.32   	 157.68		 67.57   	 544.25		
130.62   	 48.22   	 68.95   	 152.59		 69.75   	 610.37		
124.21   	 56.76   	 69.56   	 147.51		 72.19   	 630.72		
116.58   	 66.83   	 70.15   	 147.51		 74.71   	 615.46		
108.03   	 79.35   	 70.74   	 132.25		 77.17   	 590.03		
 97.96   	 93.38   	 71.27   	 132.25		 79.53   	 569.68		
 85.45   	105.90   	 71.80   	 116.99		 81.81   	 544.25		
 70.19   	112.61   	 72.27   	 116.99		 83.99   	 508.65		
 53.10   	111.08   	 72.74   	 111.90		 86.02   	 457.78		
 36.01   	101.32   	 73.18   	 106.82		 87.85   	 401.83		
 19.84   	 86.06   	 73.61   	  96.64		 89.46   	 361.14		
  5.19   	 68.66   	 74.00   	 101.73		 90.91   	 325.53		
 -7.32   	 50.96   	 74.40   	  91.56		 92.21   	 305.19		
-17.70   	 34.18   	 74.77   	  91.56		 93.43   	 284.84		
-25.02   	 18.92   	 75.14   	  86.47		 94.57   	 269.58		
-28.38   	  6.10   	 75.48   	  76.30		 95.65   	 254.32		
-29.30   	 -4.27   	 75.79   	  66.12		 96.66   	 244.15		
-30.82   	-14.65   	 76.05   	  50.86		 97.64   	 228.89		
