SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		
-310.97   	234.07   	 15.87   	 417.09		
-290.53   	254.82   	 17.54   	 437.43		
-282.59   	262.45   	 19.29   	 452.69		
-281.07   	263.67   	 21.10   	 467.95		
-276.79   	267.03   	 22.97   	 473.04		
-267.64   	275.27   	 24.86   	 488.30		
-256.35   	285.95   	 26.82   	 518.82		
-246.58   	295.41   	 28.89   	 539.16		
-238.65   	302.43   	 31.05   	1037.64		
-226.14   	314.64   	 35.20   	 503.56		
-220.34   	321.35   	 37.21   	   0.00		
-220.34   	321.35   	 37.21   	1129.19		
-209.96   	333.86   	 41.73   	   0.00		
-209.96   	333.86   	 41.73   	1368.26		
-193.18   	352.17   	 47.20   	   0.00		
-193.18   	352.17   	 47.20   	1383.51		
-169.98   	376.89   	 52.74   	   0.00		
-169.98   	376.89   	 52.74   	1205.49		
-154.72   	392.76   	 57.56   	   0.00		
-154.72   	392.76   	 57.56   	 783.31		
-140.99   	404.97   	 60.69   	   0.00		
-140.99   	404.97   	 60.69   	 325.53		
-116.27   	421.45   	 61.99   	  35.61		
-103.45   	428.47   	 62.14   	 -40.69		
-92.77   	433.96   	 61.97   	-111.90		
-84.53   	439.45   	 61.53   	-162.77		
-76.60   	446.47   	 60.87   	-198.37		
-67.75   	455.93   	 60.08   	-239.06		
-57.37   	466.61   	 59.12   	-269.58		
-48.22   	475.46   	 58.05   	-295.01		
-42.11   	481.57   	 56.87   	-305.19		
-39.06   	485.23   	 55.65   	-289.93		
-36.62   	487.98   	 54.49   	-274.67		
-32.04   	491.33   	 53.39   	-498.47		
-12.51   	505.07   	 51.39   	-203.46		
 -3.05   	513.31   	 50.58   	-178.03		
  2.44   	520.02   	 49.87   	-162.77		
  3.97   	523.99   	 49.22   	-137.33		
  3.66   	525.51   	 48.67   	-116.99		
  5.49   	527.04   	 48.20   	 -86.47		
 10.68   	529.79   	 47.85   	 -66.12		
 17.09   	533.75   	 47.59   	 -50.86		
 21.36   	536.19   	 47.39   	 -30.52		
 22.28   	536.19   	 47.26   	 -20.35		
 21.06   	534.36   	 47.18   	  -5.09		
 20.75   	532.53   	 47.16   	  -5.09		
 23.80   	533.75   	 47.14   	   0.00		
 29.60   	537.72   	 47.14   	   0.00		
 35.71   	542.30   	 47.14   	  -5.09		
 39.37   	546.57   	 47.12   	 -20.35		
 39.98   	549.01   	 47.04   	 -30.52		
 37.54   	549.01   	 46.92   	 -50.86		
 32.04   	545.35   	 46.71   	 -66.12		
 23.80   	538.33   	 46.45   	 -91.56		
 12.51   	527.95   	 46.08   	-106.82		
 -2.44   	514.53   	 45.66   	-122.07		
-20.75   	498.66   	 45.17   	-142.42		
-40.59   	480.96   	 44.60   	-157.68		
-60.12   	463.56   	 43.97   	-162.77		
-77.21   	448.00   	 43.32   	   0.00		
-77.21   	448.00   	 43.32   	-345.88		
-105.90   	423.89   	 41.93   	   0.00		
-105.90   	423.89   	 41.93   	-356.05		
-137.94   	402.22   	 40.51   	   0.00		
-137.94   	402.22   	 40.51   	-366.22		
-170.29   	380.25   	 39.04   	   0.00		
-170.29   	380.25   	 39.04   	-350.97		
-191.35   	364.38   	 37.64   	   0.00		
-191.35   	364.38   	 37.64   	-335.71		
-200.50   	356.75   	 36.30   	   0.00		
-200.50   	356.75   	 36.30   	-310.27		
-204.47   	353.39   	 35.06   	-162.77		
-205.08   	350.95   	 34.40   	-178.03		
-204.47   	348.51   	 33.69   	-193.29		
-202.64   	347.60   	 32.92   	-213.63		
-201.11   	348.21   	 32.06   	-249.24		
-201.42   	349.73   	 31.07   	-284.84		
-203.55   	350.95   	 29.93   	-284.84		
-204.47   	352.17   	 28.79   	-300.10		
-202.33   	354.61   	 27.59   	-381.48		
-198.36   	358.89   	 26.06   	-427.26		
-194.70   	364.07   	 24.35   	-381.48		
-192.87   	368.35   	 22.83   	-386.57		
-192.26   	370.18   	 21.28   	-437.43		
-191.35   	369.87   	 19.53   	-422.18		
-187.99   	369.57   	 17.84   	-406.92		
-183.11   	370.79   	 16.22   	-401.83		
-177.92   	374.45   	 14.61   	-381.48		
-175.78   	377.81   	 13.08   	-345.88		
-177.31   	379.03   	 11.70   	-325.53		
-182.80   	377.81   	 10.40   	-289.93		
-189.21   	375.06   	  9.24   	-254.32		
-193.79   	372.62   	  8.22   	-228.89		
-194.70   	371.70   	  7.30   	-213.63		
-193.18   	370.48   	  6.45   	-183.11		
-192.26   	368.35   	  5.72   	-162.77		
-193.18   	366.52   	  5.07   	-157.68		
-195.62   	365.91   	  4.44   	-157.68		
-198.36   	365.91   	  3.80   	-157.68		
-200.50   	366.21   	  3.17   	-127.16		
-202.64   	364.99   	  2.67   	-101.73		
-205.38   	361.63   	  2.26   	 -96.64		
-208.74   	357.06   	  1.87   	-106.82		
-212.40   	351.87   	  1.44   	-111.90		
-215.76   	347.29   	  1.00   	-116.99		
-217.29   	345.15   	  0.53   	 -86.47		
-216.67   	346.37   	  0.18   	 -35.61		
-215.45   	349.43   	  0.04   	   0.00		
-216.06   	352.78   	  0.04   	  35.61		
