SAMPLE NUMBER:   5
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RFA     	  RFA'		  RV     	  RV'		
 62.28   	 -71.21		  3.05   	  -5.09		
 61.99   	 -76.30		  3.03   	 -10.17		
 61.69   	 -66.12		  2.99   	   0.00		
 61.42   	 -71.21		  2.99   	  -5.09		
 61.14   	 -66.12		  2.97   	   0.00		
 60.87   	 -61.04		  2.97   	   0.00		
 60.63   	 -66.12		  2.97   	  10.17		
 60.37   	 -61.04		  3.01   	  15.26		
 60.12   	 -61.04		  3.07   	  25.43		
 59.88   	 -61.04		  3.17   	  35.61		
 59.63   	 -66.12		  3.32   	  45.78		
 59.37   	 -61.04		  3.50   	  50.86		
 59.12   	 -55.95		  3.70   	  50.86		
 58.90   	 -61.04		  3.91   	  55.95		
 58.66   	 -50.86		  4.13   	  55.95		
 58.45   	 -50.86		  4.35   	  50.86		
 58.25   	 -50.86		  4.56   	  55.95		
 58.05   	 -45.78		  4.78   	  61.04		
 57.86   	 -50.86		  5.03   	  61.04		
 57.66   	 -45.78		  5.27   	  61.04		
 57.48   	 -45.78		  5.51   	  61.04		
 57.29   	 -45.78		  5.76   	  55.95		
 57.11   	 -45.78		  5.98   	  55.95		
 56.93   	 -35.61		  6.21   	  50.86		
 56.79   	 -40.69		  6.41   	  40.69		
 56.62   	 -40.69		  6.57   	  40.69		
 56.46   	 -35.61		  6.73   	  40.69		
 56.32   	 -40.69		  6.90   	  35.61		
 56.15   	 -40.69		  7.04   	  40.69		
 55.99   	 -35.61		  7.20(E)	  35.61		
 55.85   	 -35.61		  7.34   	  40.69		
 55.71   	 -35.61		  7.51   	  40.69		
 55.56   	 -35.61		  7.67   	  30.52		
 55.42   	 -40.69		  7.79   	  35.61		
 55.26   	 -30.52		  7.93   	  30.52		
 55.14   	 -30.52		  8.06   	  25.43		
 55.02   	 -35.61		  8.16   	  20.35		
 54.87   	 -30.52		  8.24   	  20.35		
 54.75   	 -30.52		  8.32   	  15.26		
 54.63   	 -30.52		  8.38   	  15.26		
 54.51   	 -25.43		  8.44   	  15.26		
 54.40   	 -30.52		  8.50   	  25.43		
 54.28   	 -30.52		  8.61   	  30.52		
 54.16   	 -30.52		  8.73   	  40.69		
 54.04   	 -25.43		  8.89   	  55.95		
 53.94   	 -30.52		  9.11   	  66.12		
 53.81   	 -25.43		  9.38   	  76.30		
 53.71   	 -30.52		  9.68   	  81.38		
 53.59   	 -30.52		 10.01   	  86.47		
 53.47   	 -30.52		 10.36   	  96.64		
 53.35   	 -25.43		 10.74   	 111.90		
 53.24   	 -25.43		 11.19   	 142.42		
 53.14   	 -30.52		 11.76   	 193.29		
 53.02   	 -20.35		 12.53   	 249.24		
 52.94   	 -15.26		 13.53   	 305.19		
 52.88   	 -10.17		 14.75   	 340.79		
 52.84   	 -15.26		 16.11   	 381.48		
 52.78   	 -20.35		 17.64   	 401.83		
 52.70   	 -35.61		 19.25   	 412.00		
 52.55   	 -35.61		 20.90   	 422.18		
 52.41   	 -35.61		 22.58   	 417.09		
 52.27   	 -30.52		 24.25   	 396.74		
 52.15   	 -15.26		 25.84   	 381.48		
 52.09   	  -5.09		 27.37   	 345.88		
 52.06   	 -10.17		 28.75   	 320.45		
 52.02   	 -10.17		 30.03   	 279.75		
 51.98   	 -20.35		 31.15   	 244.15		
 51.90   	 -25.43		 32.13   	 203.46		
 51.80   	 -25.43		 32.94   	 167.85		
 51.70   	 -30.52		 33.61   	 122.07		
 51.58   	 -25.43		 34.10   	  91.56		
 51.47   	 -25.43		 34.47   	  61.04		
 51.37   	 -20.35		 34.71   	  30.52		
 51.29   	 -15.26		 34.83   	  20.35		
 51.23   	 -10.17		 34.91   	   5.09		
 51.19   	 -10.17		 34.93   	  10.17		
 51.15   	 -20.35		 34.97   	  10.17		
 51.07   	 -20.35		 35.02   	  25.43		
 50.99   	 -25.43		 35.12   	  30.52		
 50.88   	 -25.43		 35.24   	  45.78		
 50.78   	 -20.35		 35.42   	  55.95		
 50.70   	 -15.26		 35.65   	  66.12		
 50.64   	 -15.26		 35.91   	  76.30		
 50.58   	 -10.17		 36.22   	  86.47		
 50.54   	 -10.17		 36.56   	  91.56		
 50.50   	  -5.09		 36.93   	 101.73		
 50.48   	  10.17		 37.33   	 106.82		
 50.52   	  25.43		 37.76   	 106.82		
 50.62   	  61.04		 38.19   	 106.82		
 50.86   	 101.73		 38.62   	 101.73		
 51.27   	 152.59		 39.02   	  96.64		
 51.88   	 193.29		 39.41   	  96.64		
 52.65   	 223.80		 39.80   	  96.64		
 53.55   	 249.24		 40.18   	  96.64		
 54.55   	 264.50		 40.57   	  86.47		
 55.61   	 259.41		 40.92   	  86.47		
 56.64   	 269.58		 41.26   	  81.38		
 57.72   	 264.50		 41.59   	  71.21		
 58.78   	 269.58		 41.87   	  66.12		
 59.86   	 279.75		 42.14   	  61.04		
 60.98   	 279.75		 42.38   	  55.95		
 62.10   	 279.75		 42.60   	  55.95		
 63.21   	 274.67		 42.83   	  55.95		
 64.31   	 279.75		 43.05   	  55.95		
 65.43   	 269.58		 43.28   	  66.12		
 66.51   	 264.50		 43.54   	  66.12		
 67.57   	 259.41		 43.80   	  66.12		
 68.61   	 264.50		 44.07   	  61.04		
 69.66   	 259.41		 44.31   	  61.04		
 70.70   	 259.41		 44.56   	  45.78		
 71.74   	 264.50		 44.74   	  35.61		
 72.80   	 259.41		 44.88   	  30.52		
 73.83   	 259.41		 45.00   	  20.35		
 74.87   	 254.32		 45.09   	  15.26		
 75.89   	 254.32		 45.15   	  10.17		
 76.91   	 244.15		 45.19   	   5.09		
 77.88   	 228.89		 45.21   	   5.09		
 78.80   	 223.80		 45.23(S)	   0.00		
 79.69   	 203.46		 45.23   	 -10.17		
 80.51   	 198.37		 45.19   	 -20.35		
 81.30   	 188.20		 45.11   	 -35.61		
 82.05   	 178.03		 44.96   	 -45.78		
 82.77   	 167.85		 44.78   	 -50.86		
 83.44   	 157.68		 44.58   	 -66.12		
 84.07   	 137.33		 44.31   	 -61.04		
 84.62   	 111.90		 44.07   	 -66.12		
 85.07   	  96.64		 43.80   	 -61.04		
 85.45   	  76.30		 43.56   	 -66.12		
 85.76   	  61.04		 43.30   	 -66.12		
 86.00   	  35.61		 43.03   	 -81.38		
 86.14   	  20.35		 42.71   	-101.73		
 86.23   	   5.09		 42.30   	-127.16		
 86.25(S)	 -10.17		 41.79   	-157.68		
 86.21   	 -15.26		 41.16   	-178.03		
 86.14   	 -20.35		 40.45   	-203.46		
 86.06   	 -25.43		 39.63   	-233.98		
 85.96   	 -35.61		 38.70   	-259.41		
 85.82   	 -45.78		 37.66   	-289.93		
 85.64   	 -55.95		 36.50   	-320.45		
 85.41   	 -71.21		 35.22   	-361.14		
 85.13   	 -86.47		 33.77   	-406.92		
 84.78   	 -86.47		 32.15   	-442.52		
 84.44   	 -86.47		 30.38   	-483.21		
 84.09   	 -81.38		 28.44   	-503.56		
 83.76   	 -81.38		 26.43   	-508.65		
 83.44   	 -91.56		 24.39   	-508.65		
 83.07   	 -96.64		 22.36   	-498.47		
 82.69   	-101.73		 20.37   	-483.21		
 82.28   	-106.82		 18.43   	-457.78		
 81.85   	-111.90		 16.60   	-437.43		
 81.40   	-116.99		 14.85   	-412.00		
 80.94   	-122.07		 13.20   	-391.66		
 80.45   	-132.25		 11.64   	-366.22		
 79.92   	-127.16		 10.17   	-330.62		
 79.41   	-132.25		  8.85   	-295.01		
 78.88   	-137.33		  7.67   	-254.32		
 78.33   	-137.33		  6.65   	-218.72		
 77.78   	-147.51		  5.78   	-172.94		
 77.19   	-142.42		  5.09   	-142.42		
 76.62   	-147.51		  4.52   	-111.90		
 76.03   	-147.51		  4.07   	 -96.64		
 75.44   	-142.42		  3.68   	 -76.30		
 74.87   	-137.33		  3.38   	 -71.21		
 74.32   	-132.25		  3.09   	 -55.95		
 73.79   	-127.16		  2.87   	 -50.86		
 73.29   	-122.07		  2.67   	 -35.61		
 72.80   	-122.07		  2.52   	 -25.43		
 72.31   	-127.16		  2.42   	 -10.17		
 71.80   	-122.07		  2.38   	  -5.09		
 71.31   	-116.99		  2.36(D)	   5.09		
 70.84   	-116.99		  2.38   	   5.09		
 70.38   	-111.90		  2.40   	   5.09		
 69.93   	-106.82		  2.42   	   5.09		
 69.50   	-101.73		  2.44   	  10.17		
 69.09   	-106.82		  2.48   	  10.17		
 68.67   	-111.90		  2.52   	  20.35		
 68.22   	-111.90		  2.60   	  30.52		
 67.77   	-111.90		  2.73   	  30.52		
 67.32   	 -96.64		  2.85   	  25.43		
 66.94   	 -96.64		  2.95   	  20.35		
 66.55   	 -91.56		  3.03   	  10.17		
 66.18   	 -91.56		  3.07   	  10.17		
 65.82   	 -96.64		  3.11   	   0.00		
 65.43   	 -91.56		  3.11   	   5.09		
 65.07   	 -86.47		  3.13   	   5.09		
 64.72   	 -91.56		  3.15   	   0.00		
 64.35   	 -81.38		  3.15   	   5.09		
 64.03   	 -86.47		  3.17   	  -5.09		
 63.68   	 -76.30		  3.15   	  -5.09		
 63.38   	 -76.30		  3.13   	 -15.26		
 63.07   	 -76.30		  3.07   	 -20.35		
 62.77   	 -71.21		  2.99   	 -20.35		
 62.48   	 -71.21		  2.91   	 -20.35		
 62.20   	 -76.30		  2.83   	 -15.26		
 61.89   	 -71.21		  2.77   	  -5.09		
 61.61   	 -76.30		  2.75   	  -5.09		
 61.30   	 -66.12		  2.73   	   0.00		
 61.04   	 -71.21		  2.73   	   5.09		
 60.75   	 -66.12		  2.75   	   0.00		
 60.49   	 -61.04		  2.75   	   5.09		
 60.24   	 -61.04		  2.77   	   5.09		
 60.00   	 -61.04		  2.79   	  10.17		
 59.76   	 -66.12		  2.83   	  20.35		
 59.49   	 -61.04		  2.91   	  35.61		
 59.25   	 -61.04		  3.05   	  40.69		
 59.00   	 -55.95		  3.21   	  50.86		
 58.78   	 -61.04		  3.42   	  55.95		
 58.53   	 -55.95		  3.64   	  55.95		
 58.31   	 -50.86		  3.87   	  50.86		
 58.11   	 -50.86		  4.07   	  50.86		
 57.90   	 -50.86		  4.27   	  50.86		
 57.70   	 -50.86		  4.48   	  50.86		
 57.50   	 -45.78		  4.68   	  50.86		
 57.31   	 -50.86		  4.88   	  55.95		
 57.11   	 -40.69		  5.11   	  55.95		
 56.95   	 -40.69		  5.33   	  55.95		
 56.79   	 -40.69		  5.55   	  55.95		
 56.62   	 -40.69		  5.78   	  50.86		
 56.46   	 -45.78		  5.98   	  45.78		
 56.28   	 -40.69		  6.16   	  40.69		
 56.11   	 -45.78		  6.33   	  40.69		
 55.93   	 -35.61		  6.49   	  35.61		
 55.79   	 -35.61		  6.63   	  40.69		
 55.65   	 -35.61		  6.80   	  40.69		
 55.50   	 -35.61		  6.96(E)	  40.69		
 55.36   	 -35.61		  7.12   	  45.78		
 55.22   	 -35.61		  7.30   	  40.69		
 55.08   	 -35.61		  7.47   	  45.78		
 54.93   	 -35.61		  7.65   	  35.61		
 54.79   	 -35.61		  7.79   	  35.61		
 54.65   	 -35.61		  7.93   	  20.35		
 54.51   	 -35.61		  8.02   	  20.35		
 54.36   	 -25.43		  8.10   	   5.09		
 54.26   	 -25.43		  8.12   	  10.17		
 54.16   	 -25.43		  8.16   	  10.17		
 54.06   	 -25.43		  8.20   	  20.35		
 53.96   	 -30.52		  8.28   	  30.52		
 53.83   	 -35.61		  8.40   	  40.69		
 53.69   	 -30.52		  8.57   	  55.95		
 53.57   	 -35.61		  8.79   	  66.12		
 53.43   	 -30.52		  9.05   	  66.12		
 53.31   	 -25.43		  9.32   	  71.21		
 53.20   	 -25.43		  9.60   	  71.21		
 53.10   	 -25.43		  9.89   	  76.30		
 53.00   	 -20.35		 10.19   	  86.47		
 52.92   	 -20.35		 10.54   	 111.90		
 52.84   	 -25.43		 10.99   	 157.68		
 52.74   	 -25.43		 11.62   	 218.72		
 52.63   	 -25.43		 12.49   	 269.58		
 52.53   	 -30.52		 13.57   	 325.53		
 52.41   	 -20.35		 14.87   	 350.97		
 52.33   	 -25.43		 16.28   	 381.48		
 52.23   	 -20.35		 17.80   	 386.57		
 52.15   	 -20.35		 19.35   	 396.74		
 52.06   	 -20.35		 20.94   	 396.74		
 51.98   	 -25.43		 22.52   	 396.74		
 51.88   	 -20.35		 24.11   	 391.66		
 51.80   	 -25.43		 25.68   	 381.48		
 51.70   	 -20.35		 27.20   	 361.14		
 51.62   	 -20.35		 28.65   	 325.53		
 51.54   	 -20.35		 29.95   	 284.84		
 51.45   	 -15.26		 31.09   	 233.98		
 51.39   	 -25.43		 32.02   	 183.11		
 51.29   	 -25.43		 32.76   	 137.33		
 51.19   	 -20.35		 33.31   	  96.64		
 51.11   	 -20.35		 33.69   	  71.21		
 51.03   	 -20.35		 33.98   	  50.86		
 50.95   	 -15.26		 34.18   	  30.52		
 50.88   	 -20.35		 34.30   	  20.35		
 50.80   	 -20.35		 34.38   	  15.26		
 50.72   	 -15.26		 34.45   	  10.17		
 50.66   	 -20.35		 34.49   	  15.26		
 50.58   	 -15.26		 34.55   	  20.35		
 50.52   	 -20.35		 34.63   	  30.52		
 50.44   	 -20.35		 34.75   	  50.86		
 50.36   	 -25.43		 34.95   	  61.04		
 50.25   	 -20.35		 35.20   	  71.21		
 50.17   	 -15.26		 35.48   	  86.47		
 50.11   	 -10.17		 35.83   	  91.56		
 50.07   	  -5.09		 36.20   	  96.64		
 50.05(D)	   0.00		 36.58   	 101.73		
 50.05   	  15.26		 36.99   	 101.73		
 50.11   	  35.61		 37.40   	 101.73		
 50.25   	  71.21		 37.80   	  96.64		
 50.54   	 116.99		 38.19   	 101.73		
 51.01   	 162.77		 38.60   	  96.64		
 51.66   	 203.46		 38.98   	  96.64		
 52.47   	 228.89		 39.37   	  96.64		
 53.39   	 249.24		 39.76   	  86.47		
 54.38   	 264.50		 40.10   	  86.47		
 55.44   	 264.50		 40.45   	  76.30		
 56.50   	 269.58		 40.75   	  71.21		
 57.58   	 269.58		 41.04   	  71.21		
 58.66   	 269.58		 41.32   	  66.12		
 59.74   	 274.67		 41.59   	  61.04		
 60.83   	 279.75		 41.83   	  61.04		
 61.95   	 269.58		 42.08   	  61.04		
 63.03   	 269.58		 42.32   	  55.95		
 64.11   	 269.58		 42.54   	  61.04		
 65.19   	 264.50		 42.79   	  55.95		
 66.25   	 269.58		 43.01   	  55.95		
 67.32   	 264.50		 43.23   	  50.86		
 68.38   	 269.58		 43.44   	  55.95		
 69.46   	 259.41		 43.66   	  45.78		
 70.50   	 264.50		 43.85   	  40.69		
 71.56   	 254.32		 44.01   	  30.52		
 72.57   	 259.41		 44.13   	  25.43		
 73.61   	 254.32		 44.23   	  20.35		
 74.63   	 254.32		 44.31   	  15.26		
 75.65   	 249.24		 44.37   	   5.09		
 76.64   	 244.15		 44.39(S)	   0.00		
 77.62   	 228.89		 44.39   	 -10.17		
 78.53   	 223.80		 44.35   	 -10.17		
 79.43   	 208.54		 44.31   	 -15.26		
 80.26   	 198.37		 44.25   	 -20.35		
 81.06   	 188.20		 44.17   	 -30.52		
 81.81   	 172.94		 44.05   	 -40.69		
 82.50   	 157.68		 43.89   	 -45.78		
 83.13   	 137.33		 43.70   	 -55.95		
 83.68   	 127.16		 43.48   	 -61.04		
 84.19   	 111.90		 43.23   	 -66.12		
 84.64   	  91.56		 42.97   	 -66.12		
 85.00   	  81.38		 42.71   	 -66.12		
 85.33   	  55.95		 42.44   	 -76.30		
 85.55   	  40.69		 42.14   	 -86.47		
 85.72   	  25.43		 41.79   	-101.73		
 85.82   	  10.17		 41.38   	-127.16		
 85.86(S)	  -5.09		 40.87   	-142.42		
 85.84   	 -20.35		 40.31   	-162.77		
 85.76   	 -25.43		 39.65   	-188.20		
 85.66   	 -40.69		 38.90   	-213.63		
 85.49   	 -45.78		 38.05   	-239.06		
 85.31   	 -50.86		 37.09   	-274.67		
 85.11   	 -61.04		 35.99   	-315.36		
 84.86   	 -71.21		 34.73   	-350.97		
 84.58   	 -81.38		 33.33   	-391.66		
 84.25   	 -81.38		 31.76   	-427.26		
 83.93   	 -91.56		 30.05   	-457.78		
 83.56   	 -91.56		 28.22   	-473.04		
 83.19   	 -91.56		 26.33   	-483.21		
 82.83   	 -96.64		 24.39   	-483.21		
 82.44   	-101.73		 22.46   	-483.21		
 82.03   	-101.73		 20.53   	-467.95		
 81.63   	-101.73		 18.66   	-457.78		
 81.22   	-101.73		 16.83   	-447.61		
 80.81   	-106.82		 15.04   	-422.18		
 80.39   	-111.90		 13.35   	-391.66		
 79.94   	-116.99		 11.78   	-361.14		
 79.47   	-122.07		 10.34   	-320.45		
 78.98   	-127.16		  9.05   	-274.67		
 78.47   	-132.25		  7.96   	-233.98		
 77.94   	-142.42		  7.02   	-198.37		
 77.38   	-142.42		  6.23   	-157.68		
 76.81   	-142.42		  5.60   	-132.25		
 76.24   	-132.25		  5.07   	-106.82		
 75.71   	-132.25		  4.64   	 -91.56		
 75.18   	-127.16		  4.27   	 -66.12		
 74.67   	-127.16		  4.01   	 -45.78		
 74.16   	-127.16		  3.83   	 -30.52		
 73.65   	-127.16		  3.70   	 -15.26		
 73.14   	-122.07		  3.64   	  -5.09		
 72.65   	-116.99		  3.62(D)	   5.09		
 72.19   	-116.99		  3.64   	  10.17		
 71.72   	-111.90		  3.68   	   5.09		
 71.27   	-111.90		  3.70   	   0.00		
 70.82   	-111.90		  3.70   	   0.00		
 70.38   	-101.73		  3.70   	   5.09		
 69.97   	 -96.64		  3.72   	  10.17		
 69.58   	-101.73		  3.76   	  15.26		
 69.18   	-101.73		  3.83   	  25.43		
 68.77   	-106.82		  3.93   	  30.52		
 68.34   	-101.73		  4.05   	  35.61		
 67.93   	 -96.64		  4.19   	  30.52		
 67.55   	 -96.64		  4.31   	  30.52		
 67.16   	 -86.47		  4.44   	  20.35		
 66.82   	 -86.47		  4.52   	  15.26		
 66.47   	 -91.56		  4.58   	  10.17		
 66.10   	 -81.38		  4.62   	  10.17		
 65.78   	 -81.38		  4.66   	  10.17		
 65.45   	 -81.38		  4.70   	  15.26		
 65.13   	 -81.38		  4.76   	  10.17		
 64.80   	 -76.30		  4.80   	  15.26		
 64.50   	 -76.30		  4.86   	   5.09		
 64.19   	 -71.21		  4.88   	   0.00		
 63.91   	 -81.38		  4.88   	   0.00		
 63.58   	 -71.21		  4.88   	 -10.17		
 63.30   	 -76.30		  4.84   	 -10.17		
 62.99   	 -66.12		  4.80   	 -10.17		
 62.73   	 -61.04		  4.76   	 -15.26		
 62.48   	 -66.12		  4.70   	  -5.09		
 62.22   	 -61.04		  4.68   	  -5.09		
 61.97   	 -71.21		  4.66   	   0.00		
 61.69   	 -66.12		  4.66   	   0.00		
 61.42   	 -66.12		  4.66   	   5.09		
 61.16   	 -61.04		  4.68   	   5.09		
 60.92   	 -55.95		  4.70   	   0.00		
 60.69   	 -55.95		  4.70   	   5.09		
 60.47   	 -55.95		  4.72   	   5.09		
 60.24   	 -61.04		  4.74   	  20.35		
 60.00   	 -50.86		  4.82   	  30.52		
 59.80   	 -55.95		  4.94   	  35.61		
 59.57   	 -50.86		  5.09   	  45.78		
 59.37   	 -55.95		  5.27   	  45.78		
 59.15   	 -50.86		  5.45   	  45.78		
 58.94   	 -45.78		  5.64   	  50.86		
 58.76   	 -50.86		  5.84   	  55.95		
 58.56   	 -45.78		  6.06   	  50.86		
 58.37   	 -45.78		  6.27   	  55.95		
 58.19   	 -40.69		  6.49   	  55.95		
 58.03   	 -35.61		  6.71   	  61.04		
