SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		  SVC     	  SVC'		
166.32   	 82.09   	 45.92   	  -5.09		 59.08   	 147.51		  0.63   	   0.00		
167.24   	 86.36   	 45.90   	  -5.09		 59.67   	 137.33		  0.63   	  -5.09		
167.54   	 90.94   	 45.88   	   0.00		 60.22   	 137.33		  0.61   	   0.00		
167.24   	 95.52   	 45.88   	   5.09		 60.77   	 147.51		  0.61   	   0.00		
166.32   	100.10   	 45.90   	  15.26		 61.36   	 147.51		  0.61   	  -5.09		
164.49   	104.37   	 45.96   	  25.43		 61.95   	 147.51		  0.59   	 -10.17		
161.13   	108.95   	 46.06   	  50.86		 62.54   	 162.77		  0.55   	  -5.09		
156.25   	113.22   	 46.27   	  76.30		 63.19   	 178.03		  0.53   	  -5.09		
149.54   	117.80   	 46.57   	 111.90		 63.91   	 167.85		  0.51   	 -10.17		
140.99   	122.99   	 47.02   	 152.59		 64.58   	 167.85		  0.47   	  -5.09		
130.62   	127.87   	 47.63   	 198.37		 65.25   	 172.94		  0.45   	  -5.09		
119.02   	132.45   	 48.42   	 239.06		 65.94   	 157.68		  0.43   	   0.00		
107.12   	136.41   	 49.38   	 279.75		 66.57   	 147.51		  0.43   	   5.09		
 94.91   	139.16   	 50.50   	 310.27		 67.16   	 132.25		  0.45   	   5.09		
 83.01   	140.08   	 51.74   	 315.36		 67.69   	 111.90		  0.47   	   5.09		
 71.41   	139.16   	 53.00   	 315.36		 68.14   	  96.64		  0.49   	  10.17		
 60.42   	135.50   	 54.26   	 295.01		 68.52   	  76.30		  0.53   	  15.26		
 50.35   	129.70   	 55.44   	 269.58		 68.83   	  61.04		  0.59   	   5.09		
 41.20   	121.46   	 56.52   	 228.89		 69.07   	  30.52		  0.61   	  15.26		
 32.96   	112.61   	 57.44   	 188.20		 69.20   	  10.17		  0.67   	  15.26		
 25.33   	103.45   	 58.19   	 152.59		 69.24   	 -10.17		  0.73   	  15.26		
 18.62   	 94.60   	 58.80   	 106.82		 69.20   	 -71.21		  0.79   	  15.26		
  8.24   	 76.60   	 59.23   	  91.56		 68.91   	 -91.56		  0.85   	  15.26		
  4.27   	 66.83   	 59.59   	  86.47		 68.55   	-122.07		  0.92   	  15.26		
  1.22   	 56.76   	 59.94   	 101.73		 68.06   	-157.68		  0.98   	  15.26		
 -1.53   	 47.91   	 60.35   	 111.90		 67.43   	-178.03		  1.04   	  20.35		
 -4.27   	 40.59   	 60.79   	 142.42		 66.71   	-198.37		  1.12   	  15.26		
 -6.10   	 35.10   	 61.36   	 167.85		 65.92   	-233.98		  1.18   	  15.26		
 -7.32   	 31.43   	 62.03   	 193.29		 64.98   	-259.41		  1.24   	  20.35		
 -7.63   	 28.69   	 62.81   	 208.54		 63.95   	-284.84		  1.32   	  20.35		
 -7.63   	 26.55   	 63.64   	 223.80		 62.81   	-315.36		  1.40   	  20.35		
 -7.32   	 25.02   	 64.54   	 223.80		 61.55   	-345.88		  1.49   	  15.26		
 -7.32   	 23.50   	 65.43   	 218.72		 60.16   	-391.66		  1.55   	  15.26		
 -7.32   	 22.28   	 66.31   	 203.46		 58.60   	-447.61		  1.61   	  20.35		
 -7.93   	 21.36   	 67.12   	 178.03		 56.81   	-488.30		  1.69   	  15.26		
 -8.54   	 21.06   	 67.83   	 152.59		 54.85   	-539.16		  1.75   	  20.35		
 -8.85   	 21.36   	 68.44   	 116.99		 52.70   	-590.03		  1.83   	  25.43		
 -8.85   	 22.28   	 68.91   	  86.47		 50.34   	-620.55		  1.93   	  25.43		
 -8.24   	 23.80   	 69.26   	  55.95		 47.85   	-620.55		  2.03   	  30.52		
 -7.63   	 25.33   	 69.48   	  30.52		 45.37   	-630.72		  2.16   	  25.43		
 -6.71   	 26.86   	 69.60   	  10.17		 42.85   	-610.37		  2.26   	  25.43		
 -5.80   	 28.08   	 69.64(S)	   0.00		 40.41   	-574.77		  2.36   	  25.43		
 -4.58   	 29.60   	 69.64   	 -10.17		 38.11   	-544.25		  2.46   	  20.35		
 -3.36   	 31.74   	 69.60   	 -10.17		 35.93   	-513.73		  2.54   	  15.26		
 -2.14   	 35.40   	 69.56   	 -15.26		 33.88   	-467.95		  2.60   	  10.17		
 -1.22   	 43.03   	 69.50   	 -10.17		 32.00   	-442.52		  2.64   	   5.09		
 -1.53   	 57.68   	 69.46   	 -10.17		 30.23   	-422.18		  2.67   	   5.09		
 -3.36   	 80.87   	 69.42   	 -15.26		 28.55   	-401.83		  2.69   	   0.00		
 -5.80   	110.47   	 69.36   	 -15.26		 26.94   	-396.74		  2.69   	   5.09		
 -7.63   	141.30   	 69.30   	 -30.52		 25.35   	-401.83		  2.71   	   0.00		
 -7.32   	167.24   	 69.18   	 -40.69		 23.74   	-401.83		  2.71   	   0.00		
 -3.05   	185.55   	 69.01   	 -55.95		 22.14   	-401.83		  2.71   	   0.00		
  4.58   	199.89   	 68.79   	 -71.21		 20.53   	-396.74		  2.71   	   0.00		
 13.43   	217.29   	 68.50   	 -96.64		 18.94   	-376.40		  2.71   	  -5.09		
 20.45   	240.78   	 68.12   	-111.90		 17.44   	-350.97		  2.69   	   0.00		
 23.19   	268.55   	 67.67   	-132.25		 16.03   	-345.88		  2.69   	   0.00		
 21.67   	292.97   	 67.14   	-147.51		 14.65   	-335.71		  2.69   	   5.09		
 18.31   	303.96   	 66.55   	-162.77		 13.31   	-320.45		  2.71   	   0.00		
 16.48   	296.63   	 65.90   	-162.77		 12.02   	-300.10		  2.71   	   0.00		
 19.53   	271.61   	 65.25   	-167.85		 10.82   	-300.10		  2.71   	   0.00		
 27.77   	234.07   	 64.58   	-162.77		  9.62   	-295.01		  2.71   	  -5.09		
 37.84   	191.04   	 63.93   	-152.59		  8.44   	-269.58		  2.69   	   0.00		
 45.78   	147.71   	 63.32   	-142.42		  7.37   	-254.32		  2.69   	   0.00		
 48.22   	106.81   	 62.75   	-127.16		  6.35   	-228.89		  2.69   	  -5.09		
 43.95   	 66.22   	 62.24   	-106.82		  5.43   	-208.54		  2.67   	   0.00		
 33.57   	 24.72   	 61.81   	 -96.64		  4.60   	-183.11		  2.67   	   0.00		
 18.62   	-16.78   	 61.42   	 -76.30		  3.87   	-152.59		  2.67   	   5.09		
  2.44   	-52.49   	 61.12   	 -66.12		  3.26   	-127.16		  2.69   	   5.09		
-11.29   	-76.29   	 60.85   	 -55.95		  2.75   	 -91.56		  2.71   	   5.09		
-19.53   	-86.36   	 60.63   	 -55.95		  2.38   	 -55.95		  2.73   	  10.17		
-21.06   	-86.06   	 60.41   	 -50.86		  2.16   	 -20.35		  2.77   	  15.26		
-18.92   	-83.01   	 60.20   	 -55.95		  2.08   	   5.09		  2.83   	  20.35		
-15.87   	-83.31   	 59.98   	 -66.12		  2.10   	  20.35		  2.91   	  20.35		
-14.95   	-87.28   	 59.71   	 -71.21		  2.18   	  25.43		  2.99   	  20.35		
-15.87   	-92.47   	 59.43   	 -81.38		  2.28   	  30.52		  3.07   	  20.35		
-17.40   	-94.60   	 59.10   	 -91.56		  2.40   	  10.17		  3.15   	  20.35		
-17.70   	-92.77   	 58.74   	 -96.64		  2.44   	  -5.09		  3.23   	  25.43		
-17.70   	-88.50   	 58.35   	 -96.64		  2.42   	 -20.35		  3.34   	  25.43		
-18.31   	-83.92   	 57.97   	-106.82		  2.34   	 -35.61		  3.44   	  20.35		
-21.06   	-82.09   	 57.54   	 -96.64		  2.20   	 -55.95		  3.52   	  20.35		
-28.08   	-84.84   	 57.15   	 -96.64		  1.97   	 -66.12		  3.60   	  20.35		
-39.67   	-93.99   	 56.76   	 -91.56		  1.71   	 -71.21		  3.68   	  20.35		
-49.74   	-108.03   	 56.40   	 -81.38		  1.42   	 -66.12		  3.76   	  20.35		
-47.30   	-119.93   	 56.07   	 -81.38		  1.16   	 -50.86		  3.85   	  15.26		
-21.06   	-116.58   	 55.75   	 -66.12		  0.96   	 -40.69		  3.91   	   5.09		
 32.65   	-83.92   	 55.48   	 -66.12		  0.79   	 -25.43		  3.93   	   5.09		
