SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
 30.82   	-58.29   	 15.67   	 198.37		 52.37   	 -10.17		
 32.04   	-54.63   	 16.46   	 249.24		 52.33   	 -30.52		
 32.04   	-50.96   	 17.46   	 254.32		 52.21   	 -10.17		
 32.04   	-50.05   	 18.47   	 249.24		 52.17   	 -20.35		
 33.87   	-48.83   	 19.47   	 244.15		 52.09   	 -20.35		
 37.54   	-46.39   	 20.45   	 249.24		 52.00   	 -10.17		
 41.81   	-43.03   	 21.44   	 239.06		 51.96   	 -10.17		
 45.47   	-39.67   	 22.40   	 228.89		 51.92   	 -15.26		
 48.52   	-36.62   	 23.32   	 223.80		 51.86   	 -10.17		
 50.66   	-33.26   	 24.21   	 208.54		 51.82   	 -25.43		
 53.41   	-29.30   	 25.05   	 198.37		 51.72   	 -20.35		
 56.76   	-24.41   	 25.84   	 183.11		 51.64   	 -10.17		
 60.73   	-21.06   	 26.57   	 167.85		 51.60   	  -5.09		
 64.09   	-20.14   	 27.24   	 152.59		 51.58   	  -5.09		
 66.22   	-22.28   	 27.85   	 137.33		 51.56   	   5.09		
 67.14   	-25.02   	 28.40   	 122.07		 51.58   	  -5.09		
 68.36   	-25.63   	 28.89   	 111.90		 51.56   	 -15.26		
 71.11   	-22.58   	 29.34   	  96.64		 51.50   	 -25.43		
 75.99   	-16.78   	 29.73   	  81.38		 51.39   	 -30.52		
 81.79   	-10.38   	 30.05   	  76.30		 51.27   	 -20.35		
 87.59   	 -5.19   	 30.36   	  61.04		 51.19   	 -15.26		
 92.16   	 -1.53   	 30.60   	  61.04		 51.13   	 -10.17		
 94.91   	  1.22   	 30.84   	  50.86		 51.09   	 -20.35		
 97.05   	  4.88   	 31.05   	  50.86		 51.01   	 -30.52		
 98.27   	  9.16   	 31.25   	  50.86		 50.88   	 -25.43		
 99.18   	 14.34   	 31.45   	  45.78		 50.78   	   0.00		
 99.79   	 19.23   	 31.64   	  50.86		 50.78   	  15.26		
100.40   	 27.77   	 31.84   	  61.04		 50.84   	  -5.09		
100.71   	 31.13   	 32.09   	  66.12		 50.82   	 -10.17		
101.01   	 34.18   	 32.35   	  66.12		 50.78   	 -15.26		
101.62   	 37.54   	 32.61   	  76.30		 50.72   	 -10.17		
102.23   	 41.81   	 32.92   	  86.47		 50.68   	 -10.17		
103.15   	 48.52   	 33.27   	  86.47		 50.64   	 -10.17		
104.98   	 57.68   	 33.61   	  91.56		 50.60   	  -5.09		
107.73   	 68.05   	 33.98   	  96.64		 50.58   	  -5.09		
111.08   	 78.13   	 34.36   	 101.73		 50.56   	   5.09		
114.75   	 86.36   	 34.77   	 101.73		 50.58   	  20.35		
119.02   	 93.08   	 35.18   	 106.82		 50.66   	  50.86		
123.29   	 99.49   	 35.61   	 106.82		 50.86   	  86.47		
127.56   	106.81   	 36.03   	 116.99		 51.21   	 132.25		
132.45   	115.97   	 36.50   	 122.07		 51.74   	 188.20		
137.63   	127.26   	 36.99   	 127.16		 52.49   	 279.75		
143.74   	139.77   	 37.50   	 137.33		 53.61   	 381.48		
149.54   	152.89   	 38.05   	 142.42		 55.14   	 478.13		
155.03   	165.71   	 38.62   	 132.25		 57.05   	 534.08		
159.30   	177.31   	 39.15   	 127.16		 59.19   	 554.42		
162.96   	188.60   	 39.65   	 116.99		 61.40   	 523.90		
166.32   	200.20   	 40.12   	 101.73		 63.50   	 452.69		
169.37   	213.01   	 40.53   	  91.56		 65.31   	 376.40		
172.12   	227.36   	 40.90   	  81.38		 66.82   	 305.19		
173.95   	242.00   	 41.22   	  76.30		 68.04   	 254.32		
174.26   	256.04   	 41.53   	  55.95		 69.05   	 412.00		
169.98   	281.07   	 41.75   	  55.95		 70.70   	 183.11		
166.93   	293.88   	 41.97   	  40.69		 71.43   	 188.20		
163.27   	307.31   	 42.14   	  40.69		 72.19   	 218.72		
158.08   	319.21   	 42.30   	  30.52		 73.06   	 249.24		
150.45   	326.84   	 42.42   	  30.52		 74.06   	 279.75		
138.85   	328.06   	 42.54   	  25.43		 75.18   	 310.27		
123.60   	321.66   	 42.64   	  20.35		 76.42   	 325.53		
106.51   	308.53   	 42.73   	  25.43		 77.72   	 340.79		
 88.20   	289.61   	 42.83   	  20.35		 79.08   	 350.97		
