SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
-19.84   	-188.90   	 53.10   	-101.73		 34.47   	 -30.52		
-20.14   	-191.96   	 52.70   	-106.82		 34.34   	 -45.78		
-18.01   	-188.90   	 52.27   	-116.99		 34.16   	 -66.12		
-17.40   	-183.72   	 51.80   	-127.16		 33.90   	 -76.30		
-15.87   	-181.58   	 51.29   	-142.42		 33.59   	 -91.56		
-19.23   	-179.44   	 50.72   	-157.68		 33.22   	-106.82		
-18.92   	-174.56   	 50.09   	-178.03		 32.80   	-127.16		
-16.78   	-176.09   	 49.38   	-188.20		 32.29   	-142.42		
-19.84   	-182.50   	 48.63   	-198.37		 31.72   	-157.68		
-18.01   	-181.88   	 47.83   	-193.29		 31.09   	-178.03		
-18.01   	-180.97   	 47.06   	-183.11		 30.38   	-193.29		
-14.95   	-173.34   	 46.33   	-162.77		 29.60   	-203.46		
 -0.61   	-146.48   	 45.68   	-152.59		 28.79   	-223.80		
 15.87   	-119.63   	 45.07   	-132.25		 27.89   	-228.89		
 28.99   	-93.38   	 44.54   	-106.82		 26.98   	-244.15		
 42.11   	-83.92   	 44.11   	 -96.64		 26.00   	-249.24		
 52.19   	-98.88   	 43.72   	 -81.38		 25.00   	-254.32		
 65.61   	-86.36   	 43.40   	 -76.30		 23.99   	-259.41		
 85.14   	-63.78   	 43.09   	 -76.30		 22.95   	-264.50		
 94.91   	-53.41   	 42.79   	 -71.21		 21.89   	-269.58		
 98.27   	-32.65   	 42.50   	 -66.12		 20.81   	-264.50		
 77.21   	-69.27   	 42.24   	 -71.21		 19.76   	-259.41		
 36.62   	-146.18   	 41.95   	 -71.21		 18.72   	-254.32		
  1.22   	-199.58   	 41.67   	 -71.21		 17.70   	-254.32		
-31.13   	-234.38   	 41.38   	 -71.21		 16.68   	-239.06		
-47.91   	-247.19   	 41.10   	 -61.04		 15.73   	-233.98		
-46.39   	-242.61   	 40.85   	 -61.04		 14.79   	-223.80		
-39.98   	-240.78   	 40.61   	 -61.04		 13.90   	-213.63		
-40.89   	-246.58   	 40.37   	 -55.95		 13.04   	-198.37		
-40.89   	-251.46   	 40.14   	 -50.86		 12.25   	-188.20		
-41.50   	-256.35   	 39.94   	 -45.78		 11.50   	-172.94		
-41.20   	-260.01   	 39.76   	 -45.78		 10.80   	-157.68		
-21.97   	-334.47   	 39.57   	 -40.69		 10.17   	-147.51		
 31.74   	-458.07   	 39.41   	 -45.78		  9.58   	-132.25		
 99.79   	-372.31   	 39.23   	 -45.78		  9.05   	-116.99		
207.21   	 48.83   	 39.04   	 -40.69		  8.59   	-106.82		
115.97   	888.37   	 38.88   	 -50.86		  8.16   	 -91.56		
-391.85   	1170.96(R)	 38.68   	 -45.78		  7.79(E)	 -81.38		
-644.84   	490.42   	 38.49   	 -50.86		  7.47   	 -66.12		
-624.39   	-444.03   	 38.29   	 -45.78		  7.20   	 -50.86		
-315.25   	-1083.98   	 38.11   	 -50.86		  7.00   	 -40.69		
-112.30   	-580.44   	 37.90   	 -50.86		  6.84   	 -30.52		
 -2.44   	-86.36   	 37.70   	 -45.78		  6.71   	 -15.26		
