SAMPLE NUMBER:   5
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  DAO     	  DAO'		  RV     	  RV'		
 63.56   	 -55.95		 32.70   	-208.54		
 63.34   	 -66.12		 31.86   	-213.63		
 63.07   	 -71.21		 31.01   	-213.63		
 62.79   	 -81.38		 30.15   	-223.80		
 62.46   	 -86.47		 29.26   	-223.80		
 62.12   	 -91.56		 28.36   	-233.98		
 61.75   	-106.82		 27.43   	-228.89		
 61.32   	-127.16		 26.51   	-233.98		
 60.81   	-142.42		 25.57   	-233.98		
 60.24   	-152.59		 24.64   	-233.98		
 59.63   	-157.68		 23.70   	-244.15		
 59.00   	-147.51		 22.73   	-254.32		
 58.41   	-137.33		 21.71   	-254.32		
 57.86   	-132.25		 20.69   	-259.41		
 57.33   	-111.90		 19.65   	-259.41		
 56.89   	-101.73		 18.62   	-249.24		
 56.48   	 -96.64		 17.62   	-239.06		
 56.09   	 -86.47		 16.66   	-244.15		
 55.75   	 -76.30		 15.69   	-244.15		
 55.44   	 -66.12		 14.71   	-239.06		
 55.18   	 -61.04		 13.75   	-244.15		
 54.93   	 -61.04		 12.78   	-233.98		
 54.69   	 -66.12		 11.84   	-233.98		
 54.43   	 -66.12		 10.91   	-218.72		
 54.16   	 -61.04		 10.03   	-208.54		
 53.92   	 -50.86		  9.20   	-188.20		
 53.71   	 -55.95		  8.44   	-172.94		
 53.49   	 -66.12		  7.75   	-162.77		
 53.22   	 -61.04		  7.10   	-147.51		
 52.98   	 -61.04		  6.51   	-142.42		
 52.74   	 -55.95		  5.94   	-132.25		
 52.51   	 -50.86		  5.41   	-122.07		
 52.31   	 -40.69		  4.92   	-106.82		
 52.15   	 -45.78		  4.50   	 -91.56		
 51.96   	 -55.95		  4.13   	 -76.30		
 51.74   	 -61.04		  3.83   	 -61.04		
 51.50   	 -55.95		  3.58   	 -50.86		
 51.27   	 -66.12		  3.38   	 -40.69		
 51.01   	 -55.95		  3.21   	 -35.61		
 50.78   	 -50.86		  3.07   	 -35.61		
 50.58   	 -45.78		  2.93   	 -35.61		
 50.40   	 -50.86		  2.79   	 -25.43		
 50.19   	 -55.95		  2.69   	 -25.43		
 49.97   	 -61.04		  2.58   	 -15.26		
 49.73   	 -61.04		  2.52   	  -5.09		
 49.48   	 -50.86		  2.50   	  10.17		
 49.28   	 -40.69		  2.54   	  10.17		
 49.11   	 -40.69		  2.58   	  20.35		
 48.95   	 -45.78		  2.67   	  25.43		
 48.77   	 -55.95		  2.77   	  15.26		
 48.55   	 -50.86		  2.83   	  15.26		
 48.34   	 -50.86		  2.89   	   5.09		
 48.14   	 -40.69		  2.91   	   5.09		
 47.98   	 -35.61		  2.93   	  -5.09		
 47.83   	 -35.61		  2.91   	  -5.09		
 47.69   	 -50.86		  2.89   	  -5.09		
 47.49   	 -50.86		  2.87   	   0.00		
 47.28   	 -40.69		  2.87(E)	  15.26		
 47.12   	 -45.78		  2.93   	  20.35		
 46.94   	 -30.52		  3.01   	  50.86		
 46.82   	 -35.61		  3.21   	  66.12		
 46.67   	 -30.52		  3.48   	  61.04		
 46.55   	 -30.52		  3.72   	  55.95		
 46.43   	 -50.86		  3.95   	  61.04		
 46.23   	 -71.21		  4.19   	  55.95		
 45.94   	 -61.04		  4.42   	  66.12		
 45.70   	 -50.86		  4.68   	  76.30		
 45.49   	 -45.78		  4.98   	  71.21		
 45.31   	 -35.61		  5.27   	  76.30		
 45.17   	 -40.69		  5.57   	  71.21		
 45.00   	 -40.69		  5.86   	  71.21		
 44.84   	 -45.78		  6.14   	  76.30		
 44.66   	 -45.78		  6.45   	  86.47		
 44.48   	 -50.86		  6.80   	 101.73		
 44.27   	 -50.86		  7.20   	 122.07		
 44.07   	 -45.78		  7.69   	 142.42		
 43.89   	 -50.86		  8.26   	 167.85		
 43.68   	 -45.78		  8.93   	 193.29		
 43.50   	 -35.61		  9.70   	 218.72		
 43.36   	 -30.52		 10.58   	 244.15		
 43.23   	 -35.61		 11.56   	 264.50		
 43.09   	 -30.52		 12.61   	 289.93		
 42.97   	 -40.69		 13.77   	 315.36		
 42.81   	 -50.86		 15.04   	 340.79		
 42.60   	 -50.86		 16.40   	 437.43		
 42.40   	 -40.69		 18.15   	 442.52		
 42.24   	 -10.17		 19.92   	 447.61		
 42.20   	  25.43		 21.71   	 442.52		
 42.30   	  76.30		 23.48   	 427.26		
 42.60   	 132.25		 25.19   	 412.00		
 43.13   	 188.20		 26.84   	 396.74		
 43.89   	 233.98		 28.42   	 381.48		
 44.82   	 274.67		 29.95   	 366.22		
 45.92   	 305.19		 31.41   	 345.88		
 47.14   	 315.36		 32.80   	 330.62		
 48.40   	 310.27		 34.12   	 310.27		
 49.64   	 295.01		 35.36   	 295.01		
 50.82   	 264.50		 36.54   	 269.58		
 51.88   	 228.89		 37.62   	 244.15		
 52.80   	 193.29		 38.60   	 228.89		
 53.57   	 157.68		 39.51   	 203.46		
 54.20   	 127.16		 40.33   	 188.20		
 54.71   	 101.73		 41.08   	 167.85		
 55.12   	  76.30		 41.75   	 152.59		
 55.42   	  61.04		 42.36   	 132.25		
 55.67   	  55.95		 42.89   	 122.07		
 55.89   	  55.95		 43.38   	 106.82		
 56.11   	  61.04		 43.80   	 101.73		
 56.36   	  71.21		 44.21   	  86.47		
 56.64   	 116.99		 44.56   	  81.38		
 57.11   	 116.99		 44.88   	  71.21		
 57.58   	 127.16		 45.17   	  55.95		
 58.09   	 132.25		 45.39   	  45.78		
 58.62   	 142.42		 45.57   	  45.78		
 59.19   	 152.59		 45.76   	  40.69		
 59.80   	 147.51		 45.92   	  30.52		
 60.39   	 142.42		 46.04   	  25.43		
 60.96   	 137.33		 46.14   	  20.35		
 61.51   	 116.99		 46.23   	   5.09		
 61.97   	 106.82		 46.25(S)	 -10.17		
 62.40   	  96.64		 46.21   	 -10.17		
 62.79   	  86.47		 46.16   	 -25.43		
