SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  RFA     	  RFA'		
-104.06   	-222.78   	  3.28   	  35.61		 58.13   	 -86.47		
-104.98   	-222.17   	  3.42   	  30.52		 57.78   	 -76.30		
-104.98   	-220.95   	  3.54   	  35.61		 57.48   	 -66.12		
-104.06   	-218.81   	  3.68   	  30.52		 57.21   	 -66.12		
-102.84   	-216.67   	  3.80   	  35.61		 56.95   	 -66.12		
-100.71   	-213.93   	  3.95   	  25.43		 56.68   	 -55.95		
-96.44   	-209.96   	  4.05   	  15.26		 56.46   	 -61.04		
-85.14   	-199.89   	  4.11   	  20.35		 56.22   	 -55.95		
-56.46   	-179.75   	  4.19   	  15.26		 55.99   	 -55.95		
  1.53   	-144.96   	  4.25   	  25.43		 55.77   	 -61.04		
 89.72   	-85.75   	  4.35   	  30.52		 55.52   	 -66.12		
187.68   	 15.87   	  4.48   	  30.52		 55.26   	 -55.95		
255.13   	180.66   	  4.60   	  30.52		 55.04   	 -55.95		
241.39   	401.92   	  4.72   	  35.61		 54.81   	 -66.12		
101.62   	615.84   	  4.86   	  45.78		 54.55   	 -55.95		
-538.64   	569.46   	  5.05   	  50.86		 54.32   	 -61.04		
-899.35   	172.42   	  5.25   	  45.78		 54.08   	 -66.12		
-1154.17   	-366.21   	  5.43   	  40.69		 53.81   	 -61.04		
-1229.55   	-844.12   	  5.60   	  40.69		 53.57   	 -55.95		
-1112.67   	-1079.10   	  5.76   	  35.61		 53.35   	 -61.04		
-856.63   	-1012.27   	  5.90   	  30.52		 53.10   	 -55.95		
-545.96   	-734.25   	  6.02   	  25.43		 52.88   	 -55.95		
-261.23   	-410.16   	  6.12   	  10.17		 52.65   	 -55.95		
-60.73   	-176.39   	  6.16   	   5.09		 52.43   	 -50.86		
 30.52   	-79.96   	  6.19   	 -10.17		 52.23   	 -50.86		
 30.21   	-86.67   	  6.14   	 -15.26		 52.02   	 -45.78		
-13.12   	-130.31   	  6.08   	 -15.26		 51.84   	 -45.78		
-49.44   	-158.39   	  6.02   	 -10.17		 51.66   	 -50.86		
-51.88   	-155.03   	  5.98   	  15.26		 51.45   	 -50.86		
-27.47   	-132.75   	  6.04   	  35.61		 51.25   	 -45.78		
 -0.31   	-110.47   	  6.19   	  71.21		 51.07   	 -45.78		
 10.99   	-99.49   	  6.47   	 101.73		 50.88   	 -45.78		
  6.71   	-98.88   	  6.88   	 137.33		 50.70   	 -40.69		
  0.00   	-100.10   	  7.43   	 193.29		 50.54   	 -35.61		
  0.61   	-96.44   	  8.20   	 300.10		 50.40   	 -35.61		
  7.93   	-86.98   	  9.40   	 396.74		 50.25   	 -35.61		
 17.09   	-75.07   	 10.99   	 452.69		 50.11   	 -40.69		
 24.41   	-65.00   	 12.80   	 457.78		 49.95   	 -35.61		
 28.99   	-57.98   	 14.63   	 462.87		 49.81   	 -45.78		
 31.74   	-52.80   	 16.48   	 559.51		 49.62   	 -45.78		
 37.54   	-41.20   	 18.72   	 554.42		 49.44   	 -50.86		
 42.11   	-33.26   	 20.94   	 518.82		 49.24   	 -40.69		
 47.61   	-24.41   	 23.01   	 473.04		 49.07   	 -35.61		
 53.71   	-15.87   	 24.90   	 437.43		 48.93   	 -35.61		
 59.20   	 -7.63   	 26.65   	 422.18		 48.79   	 -40.69		
 65.00   	  0.92   	 28.34   	 422.18		 48.63   	 -35.61		
 70.19   	  9.46   	 30.03   	 462.87		 48.48   	 -35.61		
 74.77   	 18.01   	 31.88   	 488.30		 48.34   	 -40.69		
 78.13   	 25.63   	 33.84   	 483.21		 48.18   	 -35.61		
 82.09   	 32.65   	 35.77   	 447.61		 48.04   	 -30.52		
 87.28   	 40.28   	 37.56   	 396.74		 47.91   	 -30.52		
 93.69   	 49.74   	 39.15   	 335.71		 47.79   	 -25.43		
100.40   	 60.42   	 40.49   	 284.84		 47.69   	 -30.52		
106.81   	 71.11   	 41.63   	 228.89		 47.57   	 -25.43		
112.61   	 80.87   	 42.54   	 157.68		 47.47   	 -30.52		
119.02   	 90.33   	 43.17   	 101.73		 47.34   	 -35.61		
126.34   	 99.79   	 43.58   	  45.78		 47.20   	 -45.78		
134.58   	110.78   	 43.76   	  15.26		 47.02   	 -35.61		
143.13   	122.99   	 43.82   	 -10.17		 46.88   	 -40.69		
151.37   	135.50   	 43.78   	 -20.35		 46.71   	 -25.43		
158.69   	148.01   	 43.70   	 -20.35		 46.61   	 -25.43		
165.41   	161.13   	 43.62   	 -10.17		 46.51   	 -25.43		
172.42   	174.56   	 43.58   	   5.09		 46.41   	 -20.35		
179.75   	188.29   	 43.60   	  20.35		 46.33   	 -15.26		
187.99   	202.33   	 43.68   	  40.69		 46.27   	 -20.35		
196.84   	216.98   	 43.85   	  61.04		 46.18   	 -20.35		
205.38   	233.76   	 44.09   	  76.30		 46.10   	 -25.43		
214.23   	252.38   	 44.39   	  81.38		 46.00   	 -20.35		
223.08   	271.61   	 44.72   	  91.56		 45.92   	  10.17		
231.63   	290.53   	 45.09   	 101.73		 45.96   	  25.43		
240.78   	308.53   	 45.49   	 122.07		 46.06   	  55.95		
249.94   	326.54   	 45.98   	 127.16		 46.29   	  91.56		
259.40   	345.46   	 46.49   	 127.16		 46.65   	 132.25		
