SAMPLE NUMBER:   5
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  II     	  III     	  DAO     	  DAO'		  RV     	  RV'		
-878.60   	183.72   	 75.06   	-152.59		 29.07   	-183.11		
-974.12   	 61.65   	 74.45   	-147.51		 28.34   	-208.54		
-758.97   	-106.81   	 73.86   	-122.07		 27.51   	-198.37		
-401.31   	-221.56   	 73.37   	 -81.38		 26.71   	-152.59		
-109.86   	-229.49   	 73.04   	 -25.43		 26.10   	 -96.64		
 -5.49   	-160.83   	 72.94   	  10.17		 25.72   	 -30.52		
-61.34   	-90.33   	 72.98   	  35.61		 25.60   	  35.61		
-160.22   	-66.22   	 73.12   	  40.69		 25.74   	 147.51		
-205.08   	-84.84   	 73.29   	  30.52		 26.33   	 305.19		
-174.87   	-107.73   	 73.41   	   5.09		 27.55   	 473.04		
-109.25   	-106.20   	 73.43   	 -15.26		 29.44   	 635.81		
-59.51   	-82.70   	 73.37   	 -35.61		 31.98   	 798.57		
-48.52   	-59.81   	 73.22   	 -61.04		 35.18   	 935.91		
-61.65   	-50.96   	 72.98   	 -96.64		 38.92   	1032.55		
-72.02   	-52.80   	 72.59   	-127.16		 43.05   	1093.59		
-66.53   	-57.37   	 72.09   	-142.42		 47.43   	1119.02		
-48.52   	-57.68   	 71.52   	-137.33		 51.90   	1083.41		
-27.77   	-51.88   	 70.97   	-122.07		 56.24   	1007.12		
-10.68   	-41.20   	 70.48   	-101.73		 60.26   	 890.13		
  0.00   	-30.52   	 70.07   	 -81.38		 63.82   	 752.79		
  4.88   	-24.11   	 69.75   	 -61.04		 66.84   	 579.86		
  8.24   	-22.89   	 69.50   	 -40.69		 69.16   	 574.77		
 40.59   	 -9.16   	 69.34   	  15.26		 71.45   	  25.43		
 72.94   	 11.60   	 69.40   	  35.61		 71.56   	-127.16		
105.90   	 34.48   	 69.54   	  76.30		 71.05   	-233.98		
131.84   	 52.19   	 69.85   	 152.59		 70.11   	-310.27		
151.67   	 64.09   	 70.46   	 310.27		 68.87   	-356.05		
169.68   	 73.55   	 71.70   	 564.60		 67.45   	-396.74		
189.21   	 85.45   	 73.96   	 874.87		 65.86   	-422.18		
205.99   	 96.13   	 77.46   	1185.14		 64.17   	-417.09		
216.37   	103.45   	 82.20   	1434.38		 62.50   	-391.66		
221.25   	108.03   	 87.93   	1571.71		 60.94   	-340.79		
227.05   	115.97   	 94.22   	1556.45		 59.57   	-269.58		
237.12   	130.31   	100.45   	1419.12		 58.49   	-193.29		
247.19   	146.48   	106.12   	1230.92		 57.72   	-106.82		
250.24   	157.78   	111.05   	1027.46		 57.29   	 -15.26		
244.45   	162.35   	115.16   	 813.83		 57.23   	  45.78		
231.93   	162.05   	118.41   	 564.60		 57.42   	  96.64		
218.20   	160.52   	120.67   	 254.32		 57.80   	 137.33		
206.60   	160.22   	121.69   	 -91.56		 58.35   	 178.03		
193.48   	156.25   	121.32   	-371.31		 59.06   	 198.37		
173.03   	143.43   	119.84   	-523.90		 59.86   	 193.29		
