SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  LFA     	  LFA'		  RV     	  RV'		
-79.96   	 83.31   	 57.50   	 -25.43		  5.43   	   0.00		
-76.29   	 84.53   	 57.40   	   0.00		  5.43   	  10.17		
-78.13   	 85.75   	 57.40   	 -10.17		  5.47   	  20.35		
-79.96   	 84.53   	 57.35   	 -15.26		  5.55   	  25.43		
-77.51   	 81.18   	 57.29   	 -20.35		  5.66   	  40.69		
-72.33   	 76.60   	 57.21   	 -35.61		  5.82   	  55.95		
-71.41   	 71.11   	 57.07   	 -10.17		  6.04   	  61.04		
-77.21   	 64.70   	 57.03   	  10.17		  6.29   	  61.04		
-81.79   	 53.71   	 57.07   	 -20.35		  6.53   	  66.12		
-65.31   	 31.74   	 56.99   	 -40.69		  6.80   	  71.21		
 -7.93   	 -0.61   	 56.83   	 -10.17		  7.08   	  71.21		
 96.74   	-28.08   	 56.79   	  15.26		  7.37   	  71.21		
237.73   	-19.84   	 56.85   	 -20.35		  7.65   	  71.21		
388.49   	 63.17   	 56.76   	 -25.43		  7.93   	  71.21		
505.98   	242.00   	 56.66   	 -20.35		  8.22   	  71.21		
536.80   	498.35   	 56.58   	 -30.52		  8.50   	  66.12		
425.11   	777.28   	 56.46   	 -30.52		  8.77   	  66.12		
138.55   	989.99   	 56.34   	 -71.21		  9.03   	  66.12		
-707.40   	897.52   	 56.05   	 -20.35		  9.30   	  61.04		
-984.50   	591.74   	 55.97   	  25.43		  9.54   	  55.95		
-1009.52   	232.24   	 56.07   	   0.00		  9.77   	  55.95		
-800.17   	-50.05   	 56.07   	 -40.69		  9.99   	  45.78		
-484.62   	-170.59   	 55.91   	 -20.35		 10.17   	  40.69		
-213.93   	-141.60   	 55.83   	 -10.17		 10.34   	  30.52		
-70.19   	-43.33   	 55.79   	 -30.52		 10.46   	  30.52		
-40.59   	 40.59   	 55.67   	 -20.35		 10.58   	  25.43		
-57.68   	 64.70   	 55.58   	 -35.61		 10.68   	  20.35		
-61.34   	 35.40   	 55.44   	 -25.43		 10.76   	  20.35		
-31.43   	 -9.46   	 55.34   	 -10.17		 10.84   	  20.35		
 16.17   	-37.54   	 55.30   	 -30.52		 10.93   	  15.26		
 55.85   	-40.89   	 55.18   	 -45.78		 10.99   	  20.35		
 73.85   	-31.43   	 54.99   	 -30.52		 11.07   	  25.43		
 70.50   	-23.19   	 54.87   	 -10.17		 11.17   	  25.43		
 54.63   	-24.11   	 54.83   	   0.00		 11.27   	  35.61		
 37.54   	-32.04   	 54.83   	 -25.43		 11.41   	  50.86		
 25.63   	-39.37   	 54.73   	 -25.43		 11.62   	  66.12		
 18.62   	-40.59   	 54.63   	 -20.35		 11.88   	  91.56		
 12.51   	-35.71   	 54.55   	 -30.52		 12.25   	 122.07		
  3.97   	-29.60   	 54.43   	 -45.78		 12.74   	 157.68		
 -4.27   	-25.33   	 54.24   	 -15.26		 13.37   	 183.11		
 -5.80   	-23.50   	 54.18   	  -5.09		 14.10   	 218.72		
  2.14   	-22.58   	 54.16   	 -30.52		 14.97   	 239.06		
 16.48   	-20.75   	 54.04   	 -50.86		 15.93   	 325.53		
 41.50   	-12.51   	 53.83   	 -15.26		 17.23   	 345.88		
 49.44   	 -8.54   	 53.77   	 -25.43		 18.62   	 371.31		
 59.51   	 -7.63   	 53.67   	 -20.35		 20.10   	 396.74		
 73.85   	 -9.16   	 53.59   	 -10.17		 21.69   	 422.18		
 89.11   	-10.68   	 53.55   	   0.00		 23.38   	 432.35		
 97.96   	 -9.16   	 53.55   	 -30.52		 25.11   	 447.61		
 94.30   	 -3.97   	 53.43   	 -61.04		 26.90   	 452.69		
 77.82   	  2.44   	 53.18   	 -45.78		 28.71   	 452.69		
 57.68   	  7.93   	 53.00   	 -20.35		 30.52   	 452.69		
 45.17   	 12.21   	 52.92   	 -40.69		 32.33   	 457.78		
 45.47   	 17.09   	 52.76   	 -25.43		 34.16   	 452.69		
 54.32   	 24.41   	 52.65   	 -20.35		 35.97   	 442.52		
 65.92   	 35.71   	 52.57   	 -45.78		 37.74   	 437.43		
 77.82   	 48.83   	 52.39   	 -10.17		 39.49   	 412.00		
 95.52   	 61.34   	 52.35   	  25.43		 41.14   	 396.74		
121.15   	 71.41   	 52.45   	 -20.35		 42.73   	 381.48		
148.01   	 79.65   	 52.37   	 -35.61		 44.25   	 356.05		
163.88   	 88.50   	 52.23   	 -10.17		 45.68   	 335.71		
164.18   	 99.79   	 52.19   	  15.26		 47.02   	 315.36		
155.33   	114.14   	 52.25   	  -5.09		 48.28   	 289.93		
148.93   	130.31   	 52.23   	  -5.09		 49.44   	 269.58		
148.93   	146.79   	 52.21   	  15.26		 50.52   	 249.24		
150.45   	161.13   	 52.27   	  35.61		 51.52   	 218.72		
149.23   	173.34   	 52.41   	  96.64		 52.39   	 203.46		
149.84   	184.02   	 52.80   	 452.69		 53.20   	 178.03		
182.50   	200.50   	 54.61   	 366.22		 53.92   	 162.77		
208.13   	205.38   	 56.07   	 564.60		 54.57   	 137.33		
227.36   	207.82   	 58.33   	 727.36		 55.12   	 122.07		
236.82   	207.21   	 61.24   	 854.52		 55.61   	 101.73		
240.78   	204.16   	 64.66   	 981.68		 56.01   	  86.47		
242.61   	198.67   	 68.59   	1037.64		 56.36   	  71.21		
240.48   	190.12   	 72.74   	 971.51		 56.64   	  66.12		
229.49   	178.53   	 76.62   	 813.83		 56.91   	  50.86		
208.13   	166.63   	 79.88   	 574.77		 57.11   	  50.86		
181.27   	157.78   	 82.18   	 274.67		 57.31   	  35.61		
155.64   	154.42   	 83.28   	  40.69		 57.46   	  35.61		
133.36   	155.33   	 83.44(S)	-147.51		 57.60   	  25.43		
112.30   	155.33   	 82.85   	-269.58		 57.70   	  25.43		
 90.33   	148.01   	 81.77   	-269.58		 57.80   	  25.43		
 71.41   	130.62   	 80.69   	-208.54		 57.90   	  20.35		
 61.95   	104.68   	 79.86   	-137.33		 57.99   	  15.26		
 64.70   	 73.24   	 79.31   	 -86.47		 58.05   	  20.35		
 72.94   	 39.98   	 78.96   	 -15.26		 58.13   	  20.35		
 75.68   	  7.63   	 78.90   	  55.95		 58.21   	  15.26		
 64.70   	-22.28   	 79.12   	 101.73		 58.27   	  20.35		
 42.11   	-47.91   	 79.53   	  91.56		 58.35   	  20.35		
 15.26   	-68.05   	 79.90   	  76.30		 58.43   	  20.35		
-11.60   	-82.70   	 80.20   	  35.61		 58.51   	  20.35		
-40.28   	-94.30   	 80.35   	  25.43		 58.60   	  25.43		
-72.94   	-105.29   	 80.45   	   5.09		 58.70   	  25.43		
-126.34   	-128.48   	 80.47   	 -66.12		 58.80   	  20.35		
-129.09   	-137.63   	 80.20   	   5.09		 58.88   	  20.35		
-115.36   	-141.60   	 80.22   	   5.09		 58.96   	  15.26		
-95.21   	-140.08   	 80.24   	  -5.09		 59.02   	  10.17		
-77.51   	-133.06   	 80.22   	  45.78		 59.06(S)	  -5.09		
-63.78   	-123.29   	 80.41   	  30.52		 59.04   	 -15.26		
-49.44   	-113.83   	 80.53   	 -15.26		 58.98   	 -35.61		
-32.65   	-107.12   	 80.47   	   0.00		 58.84   	 -61.04		
-15.87   	-102.54   	 80.47   	  -5.09		 58.60   	 -81.38		
 -4.88   	-100.10   	 80.45   	 -61.04		 58.27   	-106.82		
 -4.27   	-97.66   	 80.20   	 -81.38		 57.84   	-147.51		
-12.51   	-93.69   	 79.88   	 -81.38		 57.25   	-172.94		
-24.41   	-88.20   	 79.55   	-132.25		 56.56   	-213.63		
-34.18   	-80.87   	 79.02   	-137.33		 55.71   	-249.24		
-39.06   	-72.02   	 78.47   	-127.16		 54.71   	-284.84		
-40.59   	-61.95   	 77.97   	-178.03		 53.57   	-320.45		
-42.42   	-50.96   	 77.25   	-178.03		 52.29   	-361.14		
-47.00   	-39.98   	 76.54   	-101.73		 50.84   	-391.66		
-50.96   	-29.30   	 76.13   	-147.51		 49.28   	-422.18		
-49.44   	-20.45   	 75.54   	-198.37		 47.59   	-442.52		
-42.72   	-13.73   	 74.75   	-152.59		 45.82   	-467.95		
-35.40   	 -9.46   	 74.14   	-142.42		 43.95   	-483.21		
-32.96   	 -6.41   	 73.57   	-178.03		 42.01   	-493.39		
-36.93   	 -1.22   	 72.86   	-178.03		 40.04   	-508.65		
-43.95   	  9.16   	 72.15   	-401.83		 38.01   	-574.77		
-54.32   	 45.47   	 70.54   	-213.63		 35.71   	-564.60		
-61.34   	 64.70   	 69.68   	-223.80		 33.45   	-549.34		
-69.27   	 79.04   	 68.79   	-233.98		 31.25   	-534.08		
-72.63   	 88.20   	 67.85   	-213.63		 29.11   	-513.73		
-64.09   	 96.74   	 67.00   	-213.63		 27.06   	-488.30		
-44.56   	109.25   	 66.14   	-178.03		 25.11   	-473.04		
-22.89   	127.56   	 65.43   	-152.59		 23.21   	-447.61		
-10.68   	147.71   	 64.82   	-157.68		 21.42   	-422.18		
-11.90   	161.44   	 64.19   	-147.51		 19.74   	-396.74		
-19.84   	162.35   	 63.60   	-137.33		 18.15   	-371.31		
-25.02   	150.15   	 63.05   	-122.07		 16.66   	-340.79		
-23.50   	129.70   	 62.56   	 -55.95		 15.30   	-315.36		
-19.84   	107.12   	 62.34   	 -35.61		 14.04   	-284.84		
-20.75   	 84.53   	 62.20   	 -81.38		 12.90   	-259.41		
-28.99   	 56.46   	 61.87   	-106.82		 11.86   	-239.06		
-41.20   	 15.87   	 61.44   	 -91.56		 10.91   	-218.72		
-52.80   	-37.54   	 61.08   	 -76.30		 10.03   	-203.46		
-64.70   	-93.38   	 60.77   	 -76.30		  9.22   	-178.03		
-78.43   	-134.89   	 60.47   	 -71.21		  8.50   	-157.68		
-90.94   	-150.76   	 60.18   	 -71.21		  7.87   	-127.16		
-95.21   	-142.52   	 59.90   	 -71.21		  7.37   	-101.73		
-87.28   	-123.90   	 59.61   	 -81.38		  6.96   	 -76.30		
-71.11   	-110.17   	 59.29   	 -45.78		  6.65   	 -50.86		
-57.07   	-106.81   	 59.10   	 -66.12		  6.45   	 -35.61		
-52.80   	-110.47   	 58.84   	 -91.56		  6.31   	 -25.43		
-55.24   	-114.14   	 58.47   	 -25.43		  6.21   	 -10.17		
-55.85   	-114.44   	 58.37   	 -10.17		  6.16(D)	   5.09		
-50.05   	-111.39   	 58.33   	 -35.61		  6.19   	  10.17		
-41.50   	-107.42   	 58.19   	 -35.61		  6.23   	  20.35		
-38.15   	-103.76   	 58.05   	   0.00		  6.31   	  35.61		
-42.72   	-100.40   	 58.05   	  -5.09		  6.45   	  40.69		
-50.05   	-98.27   	 58.03   	 -40.69		  6.61   	  50.86		
-54.93   	-99.49   	 57.86   	 -15.26		  6.82   	  55.95		
-52.80   	-107.12   	 57.80   	  15.26		  7.04   	  55.95		
-38.45   	-126.04   	 57.86   	  -5.09		  7.26   	  66.12		
 -3.36   	-157.17   	 57.84   	 -40.69		  7.53   	  61.04		
 61.95   	-188.90   	 57.68   	 -30.52		  7.77   	  66.12		
162.96   	-194.70   	 57.56   	  -5.09		  8.04   	  61.04		
293.58   	-137.94   	 57.54   	   0.00		  8.28   	  66.12		
422.67   	 11.60   	 57.54   	   0.00		  8.55   	  61.04		
495.91   	251.16   	 57.54   	  -5.09		  8.79   	  66.12		
454.41   	537.41   	 57.52   	 -30.52		  9.05   	  55.95		
255.74   	795.59   	 57.40   	 -66.12		  9.28   	  55.95		
-484.31   	871.89(R)	 57.13   	 -25.43		  9.50(E)	  50.86		
-794.68   	630.49   	 57.03   	 -61.04		  9.70   	  50.86		
-906.07   	284.73   	 56.79   	 -25.43		  9.91   	  50.86		
-791.32   	-39.67   	 56.68   	  10.17		 10.11   	  45.78		
-529.48   	-231.63   	 56.72   	 -35.61		 10.29   	  45.78		
-252.69   	-260.01   	 56.58   	 -20.35		 10.48   	  35.61		
-65.92   	-181.88   	 56.50   	   5.09		 10.62   	  25.43		
  5.19   	-85.45   	 56.52   	 -20.35		 10.72   	  25.43		
  1.22   	-33.57   	 56.44   	 -30.52		 10.82   	  20.35		
-18.01   	-40.59   	 56.32   	 -30.52		 10.91   	  15.26		
-16.17   	-78.13   	 56.20   	 -30.52		 10.97   	  15.26		
  7.02   	-108.03   	 56.07   	 -15.26		 11.03   	  15.26		
 32.96   	-111.39   	 56.01   	 -30.52		 11.09   	  15.26		
 47.61   	-93.99   	 55.89   	 -40.69		 11.15   	  20.35		
 51.88   	-72.02   	 55.73   	  -5.09		 11.23   	  20.35		
 53.10   	-57.98   	 55.71   	 -15.26		 11.31   	  30.52		
 54.63   	-56.15   	 55.65   	 -20.35		 11.43   	  40.69		
 52.49   	-61.65   	 55.56   	 -20.35		 11.60   	  66.12		
 41.50   	-65.92   	 55.48   	 -45.78		 11.86   	  86.47		
 24.41   	-63.78   	 55.30   	 -35.61		 12.21   	 116.99		
 11.90   	-56.15   	 55.16   	  -5.09		 12.68   	 137.33		
 13.43   	-46.69   	 55.14   	 -30.52		 13.22   	 162.77		
 27.47   	-38.76   	 55.02   	 -40.69		 13.88   	 183.11		
 43.33   	-32.96   	 54.85   	  -5.09		 14.61   	 208.54		
 50.66   	-28.38   	 54.83   	 -55.95		 15.44   	 289.93		
 40.89   	-19.53   	 54.61   	  -5.09		 16.60   	 315.36		
 34.79   	-11.60   	 54.59   	 -20.35		 17.86   	 345.88		
 29.60   	 -1.53   	 54.51   	 -20.35		 19.25   	 366.22		
 23.50   	  9.46   	 54.43   	  -5.09		 20.71   	 391.66		
 18.92   	 19.84   	 54.40   	 -20.35		 22.28   	 401.83		
 19.53   	 29.91   	 54.32   	 -30.52		 23.89   	 417.09		
 27.77   	 39.37   	 54.20   	 -20.35		 25.55   	 432.35		
 40.28   	 49.13   	 54.12   	 -15.26		 27.28   	 442.52		
 52.49   	 59.20   	 54.06   	 -45.78		 29.05   	 447.61		
 61.65   	 70.19   	 53.88   	 -66.12		 30.84   	 452.69		
 68.66   	 81.79   	 53.61   	 -50.86		 32.66   	 447.61		
 76.29   	 94.30   	 53.41   	 -50.86		 34.45   	 442.52		
 85.45   	108.34   	 53.20   	 -35.61		 36.22   	 432.35		
 97.35   	123.29   	 53.06   	  -5.09		 37.94   	 422.18		
113.22   	138.85   	 53.04   	   5.09		 39.63   	 406.92		
133.06   	153.50   	 53.06   	 -20.35		 41.26   	 391.66		
153.81   	166.02   	 52.98   	 -30.52		 42.83   	 371.31		
169.37   	175.48   	 52.86   	 -15.26		 44.31   	 356.05		
174.56   	182.19   	 52.80   	 -15.26		 45.74   	 335.71		
170.59   	187.68   	 52.74   	  -5.09		 47.08   	 310.27		
162.35   	193.48   	 52.72(D)	   0.00		 48.32   	 289.93		
156.25   	200.20   	 52.72   	   5.09		 49.48   	 259.41		
154.42   	208.13   	 52.74   	  45.78		 50.52   	 239.06		
155.33   	216.67   	 52.92   	  55.95		 51.47   	 218.72		
157.17   	226.14   	 53.14   	 284.84		 52.35   	 203.46		
171.81   	249.33   	 54.28   	 325.53		 53.16   	 178.03		
188.29   	263.06   	 55.58   	 467.95		 53.88   	 152.59		
206.91   	276.18   	 57.46   	 600.20		 54.49   	 137.33		
223.69   	287.48   	 59.86   	 737.54		 55.04   	 116.99		
234.07   	296.94   	 62.81   	 930.82		 55.50   	  96.64		
236.21   	305.48   	 66.53   	1078.33		 55.89   	  81.38		
229.49   	314.64   	 70.84   	1047.81		 56.22   	  71.21		
214.84   	323.18   	 75.04   	 885.04		 56.50   	  61.04		
194.40   	327.76   	 78.58   	 681.58		 56.74   	  50.86		
170.59   	324.10   	 81.30   	 467.95		 56.95   	  40.69		
148.01   	310.06   	 83.17   	 203.46		 57.11   	  35.61		
129.09   	285.34   	 83.99(S)	 -50.86		 57.25   	  25.43		
113.83   	252.08   	 83.78   	-213.63		 57.35   	  20.35		
 98.88   	212.71   	 82.93   	-259.41		 57.44   	  20.35		
 81.18   	169.98   	 81.89   	-254.32		 57.52   	  15.26		
 59.81   	125.12   	 80.87   	-213.63		 57.58   	  10.17		
 36.62   	 80.57   	 80.02   	-152.59		 57.62   	  15.26		
 17.70   	 38.15   	 79.41   	 -50.86		 57.68   	  10.17		
  7.02   	 -0.61   	 79.21   	  45.78		 57.72   	  10.17		
  1.83   	-35.10   	 79.39   	  96.64		 57.76   	  15.26		
 -4.88   	-66.22   	 79.78   	 101.73		 57.82   	  10.17		
-19.23   	-95.21   	 80.18   	  91.56		 57.86   	  10.17		
-40.28   	-121.77   	 80.55   	  91.56		 57.90   	  15.26		
-60.42   	-144.96   	 80.92   	  61.04		 57.97   	  10.17		
-70.50   	-162.96   	 81.16   	 -20.35		 58.01   	  20.35		
-61.95   	-179.75   	 81.08   	 -25.43		 58.09   	  10.17		
