SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  FA     	  FA'		  RPA     	  RPA'		  RV     	  RV'		
 -1.22   	-51.27   	 27.34   	 -30.52		 11.48   	 -10.17		 10.19   	 137.33		
  9.46   	-35.40   	 27.22   	 -30.52		 11.43   	   5.09		 10.74   	 162.77		
 19.84   	-18.31   	 27.10   	 -30.52		 11.45   	  25.43		 11.39   	 188.20		
 24.72   	 -9.16   	 26.98   	 -30.52		 11.56   	  35.61		 12.15   	 213.63		
 24.11   	 -7.93   	 26.86   	 -30.52		 11.70   	  45.78		 13.00   	 244.15		
 20.45   	-10.07   	 26.73   	 -30.52		 11.88   	  71.21		 13.98   	 274.67		
 17.40   	-11.90   	 26.61   	 -25.43		 12.17   	 101.73		 15.08   	 305.19		
 17.40   	-11.29   	 26.51   	 -30.52		 12.57   	 122.07		 16.30   	 340.79		
 20.75   	 -7.93   	 26.39   	 -20.35		 13.06   	 137.33		 17.66   	 366.22		
 24.72   	 -2.75   	 26.31   	 -15.26		 13.61   	 147.51		 19.13   	 396.74		
 27.77   	  3.36   	 26.25   	  -5.09		 14.20   	 116.99		 20.71   	 417.09		
 28.99   	  9.77   	 26.23   	  20.35		 14.67   	  86.47		 22.38   	 437.43		
 29.30   	 16.48   	 26.31   	  40.69		 15.02   	  71.21		 24.13   	 452.69		
 29.91   	 23.19   	 26.47   	  66.12		 15.30   	  76.30		 25.94   	 462.87		
 31.13   	 29.91   	 26.73   	  91.56		 15.61   	  66.12		 27.79   	 467.95		
 33.57   	 36.01   	 27.10   	 132.25		 15.87   	  71.21		 29.66   	 467.95		
 36.93   	 42.42   	 27.63   	 218.72		 16.15   	 127.16		 31.54   	 503.56		
 43.33   	 54.02   	 28.50   	 244.15		 16.66   	 132.25		 33.55   	 478.13		
 44.86   	 57.98   	 29.48   	 279.75		 17.19   	 152.59		 35.46   	 447.61		
 45.78   	 59.81   	 30.60   	 310.27		 17.80   	 172.94		 37.25   	 417.09		
 47.30   	 61.34   	 31.84   	 335.71		 18.49   	 183.11		 38.92   	 381.48		
 50.35   	 62.87   	 33.18   	 356.05		 19.23   	 188.20		 40.45   	 335.71		
 54.32   	 65.31   	 34.61   	 381.48		 19.98   	 188.20		 41.79   	 300.10		
 58.29   	 68.36   	 36.13   	 391.66		 20.73   	 188.20		 42.99   	 254.32		
 61.34   	 71.41   	 37.70   	 406.92		 21.49   	 188.20		 44.01   	 213.63		
 64.09   	 75.07   	 39.33   	 412.00		 22.24   	 172.94		 44.86   	 172.94		
 67.44   	 80.26   	 40.98   	 406.92		 22.93   	 172.94		 45.55   	 127.16		
 72.02   	 87.28   	 42.60   	 401.83		 23.62   	 162.77		 46.06   	  91.56		
 77.21   	 96.13   	 44.21   	 391.66		 24.27   	 152.59		 46.43   	  50.86		
 82.40   	104.37   	 45.78   	 366.22		 24.88   	 142.42		 46.63   	  15.26		
 86.98   	110.47   	 47.24   	 340.79		 25.45   	 132.25		 46.69(S)	 -20.35		
 90.33   	113.53   	 48.61   	 305.19		 25.98   	 127.16		 46.61   	 -50.86		
 93.38   	115.05   	 49.83   	 274.67		 26.49   	 122.07		 46.41   	 -81.38		
 97.05   	118.41   	 50.93   	 228.89		 26.98   	 106.82		 46.08   	-106.82		
103.45   	125.12   	 51.84   	 188.20		 27.41   	 101.73		 45.66   	-127.16		
112.30   	136.72   	 52.59   	 147.51		 27.81   	  86.47		 45.15   	-142.42		
122.99   	151.67   	 53.18   	 106.82		 28.16   	  81.38		 44.58   	-162.77		
134.89   	168.46   	 53.61   	  61.04		 28.48   	  61.04		 43.93   	-172.94		
145.87   	184.94   	 53.86   	  25.43		 28.73   	  61.04		 43.23   	-183.11		
155.64   	200.20   	 53.96(S)	 -15.26		 28.97   	  50.86		 42.50   	-188.20		
164.18   	213.62   	 53.90   	 -40.69		 29.18   	  40.69		 41.75   	-193.29		
171.81   	223.69   	 53.73   	-101.73		 29.34   	  30.52		 40.98   	-223.80		
179.75   	223.08   	 53.33   	-116.99		 29.46   	  15.26		 40.08   	-218.72		
175.17   	208.13   	 52.86   	-132.25		 29.52(S)	  -5.09		 39.21   	-213.63		
162.96   	184.02   	 52.33   	-142.42		 29.50   	 -20.35		 38.35   	-213.63		
145.26   	155.03   	 51.76   	-147.51		 29.42   	 -30.52		 37.50   	-203.46		
125.43   	126.04   	 51.17   	-157.68		 29.30   	 -45.78		 36.68   	-203.46		
106.20   	101.01   	 50.54   	-157.68		 29.11   	 -61.04		 35.87   	-198.37		
 89.42   	 80.87   	 49.91   	-162.77		 28.87   	 -76.30		 35.08   	-193.29		
 74.46   	 65.00   	 49.26   	-162.77		 28.57   	 -91.56		 34.30   	-198.37		
 61.34   	 51.57   	 48.61   	-162.77		 28.20   	-106.82		 33.51   	-203.46		
 49.74   	 39.67   	 47.96   	-162.77		 27.77   	-116.99		 32.70   	-208.54		
 40.89   	 28.69   	 47.30   	-167.85		 27.30   	-132.25		 31.86   	-218.72		
 34.79   	 19.53   	 46.63   	-172.94		 26.78   	-147.51		 30.99   	-228.89		
 31.13   	 13.12   	 45.94   	-178.03		 26.19   	-152.59		 30.07   	-244.15		
 28.99   	 10.38   	 45.23   	-188.20		 25.57   	-167.85		 29.09   	-249.24		
 28.08   	 12.51   	 44.48   	-193.29		 24.90   	-172.94		 28.10   	-269.58		
 28.99   	 20.45   	 43.70   	-203.46		 24.21   	-183.11		 27.02   	-279.75		
