SAMPLE NUMBER:   21
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  RFA     	  RFA'		
 11.29   	-21.67   	 19.63   	 244.15		 52.23   	 -30.52		
 14.95   	-10.68   	 20.61   	 239.06		 52.11   	 -10.17		
 18.62   	  0.61   	 21.57   	 239.06		 52.06   	  20.35		
 21.97   	 12.82   	 22.52   	 233.98		 52.15   	  66.12		
 25.33   	 25.33   	 23.46   	 228.89		 52.41   	 122.07		
 28.38   	 38.45   	 24.37   	 223.80		 52.90   	 193.29		
 31.13   	 51.57   	 25.27   	 213.63		 53.67   	 259.41		
 33.57   	 64.09   	 26.12   	 198.37		 54.71   	 335.71		
 35.40   	 75.68   	 26.92   	 188.20		 56.05   	 391.66		
 36.93   	 86.67   	 27.67   	 172.94		 57.62   	 457.78		
 38.15   	 97.66   	 28.36   	 162.77		 59.45   	 503.56		
 39.37   	109.25   	 29.01   	 152.59		 61.46   	 549.34		
 40.59   	120.54   	 29.62   	 137.33		 63.66   	 590.03		
 42.11   	132.14   	 30.17   	 127.16		 66.02   	 615.46		
 43.95   	143.43   	 30.68   	 116.99		 68.48   	 625.63		
 46.08   	154.42   	 31.15   	 106.82		 70.99   	 630.72		
 48.83   	166.02   	 31.58   	  96.64		 73.51   	 620.55		
 52.49   	177.92   	 31.96   	  86.47		 75.99   	 595.11		
 56.46   	190.43   	 32.31   	  81.38		 78.37   	 559.51		
 61.34   	203.55   	 32.63   	  66.12		 80.61   	 508.65		
 66.83   	215.45   	 32.90   	  61.04		 82.64   	 452.69		
 72.63   	224.30   	 33.14   	  50.86		 84.46   	 391.66		
 78.74   	228.27   	 33.35   	  50.86		 86.02   	 320.45		
 83.62   	225.83   	 33.55   	  35.61		 87.30   	 259.41		
 85.14   	216.67   	 33.69   	  35.61		 88.34   	 193.29		
 80.87   	202.03   	 33.84   	  25.43		 89.11   	 132.25		
 68.97   	182.80   	 33.94   	  20.35		 89.64   	  76.30		
 49.74   	160.83   	 34.02   	  15.26		 89.95   	  25.43		
 25.33   	136.41   	 34.08   	   5.09		 90.05   	 -10.17		
  0.00   	110.78   	 34.10   	   0.00		 90.01   	 -40.69		
-22.28   	 83.62   	 34.10   	  -5.09		 89.85   	 -66.12		
-39.98   	 56.15   	 34.08   	  -5.09		 89.58   	 -81.38		
-51.88   	 29.60   	 34.06   	 -15.26		 89.26   	 -86.47		
-59.81   	  6.10   	 34.00   	 -15.26		 88.91   	 -86.47		
-64.39   	-13.43   	 33.94   	 -25.43		 88.57   	 -81.38		
-67.14   	-28.69   	 33.84   	 -30.52		 88.24   	 -76.30		
-68.97   	-39.98   	 33.71   	 -35.61		 87.93   	 -61.04		
-70.19   	-48.52   	 33.57   	 -30.52		 87.69   	 -50.86		
-71.11   	-54.63   	 33.45   	 -40.69		 87.49   	 -40.69		
-71.72   	-58.90   	 33.29   	 -45.78		 87.32   	 -20.35		
-72.02   	-62.26   	 33.10   	 -45.78		 87.24   	 -15.26		
-72.02   	-64.70   	 32.92   	 -50.86		 87.18   	  -5.09		
