SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  DAO     	  DAO'		
  5.80   	-52.49   	 27.30   	-269.58		 87.28   	-228.89		
  3.05   	-53.10   	 26.23   	-295.01		 86.37   	-244.15		
  0.31   	-52.19   	 25.05   	-310.27		 85.39   	-244.15		
 -0.31   	-46.39   	 23.80   	-315.36		 84.41   	-244.15		
  3.05   	-35.40   	 22.54   	-340.79		 83.44   	-218.72		
 10.99   	-20.75   	 21.18   	-376.40		 82.56   	-193.29		
 20.75   	 -6.71   	 19.67   	-401.83		 81.79   	-172.94		
 29.60   	  2.44   	 18.07   	-371.31		 81.10   	-147.51		
 34.79   	  3.66   	 16.58   	-335.71		 80.51   	-137.33		
 35.10   	 -3.36   	 15.24   	-305.19		 79.96   	-152.59		
 31.13   	-15.26   	 14.02   	-295.01		 79.35   	-178.03		
 24.41   	-27.47   	 12.84   	-249.24		 78.64   	-172.94		
 17.40   	-37.23   	 11.84   	-193.29		 77.94   	-147.51		
 11.90   	-43.95   	 11.07   	-152.59		 77.35   	-127.16		
  9.46   	-49.13   	 10.46   	-152.59		 76.85   	-111.90		
 10.38   	-53.71   	  9.85   	-142.42		 76.40   	-101.73		
 13.12   	-55.85   	  9.28   	-122.07		 75.99   	-101.73		
 15.56   	-53.41   	  8.79   	-111.90		 75.58   	-116.99		
 16.48   	-46.39   	  8.34   	-127.16		 75.12   	-132.25		
 17.40   	-36.01   	  7.83   	-137.33		 74.59   	-132.25		
 20.14   	-24.72   	  7.28   	-101.73		 74.06   	-116.99		
 25.33   	-13.73   	  6.88   	 -40.69		 73.59   	 -96.64		
 32.04   	 -3.66   	  6.71   	   5.09		 73.20   	 -81.38		
 37.23   	  4.27   	  6.73   	  15.26		 72.88   	 -66.12		
 39.06   	  7.63   	  6.80   	  15.26		 72.61   	 -55.95		
 37.84   	  5.80   	  6.86   	  35.61		 72.39   	 -61.04		
 35.71   	 -1.22   	  7.00   	  66.12		 72.15   	 -71.21		
 34.79   	 -8.54   	  7.26   	  61.04		 71.86   	 -71.21		
 35.40   	-10.99   	  7.51   	  25.43		 71.58   	 -61.04		
 37.23   	 -6.41   	  7.61   	 -10.17		 71.33   	 -71.21		
 39.06   	  5.49   	  7.57   	 -10.17		 71.05   	 -61.04		
 40.59   	 21.36   	  7.53   	  10.17		 70.80   	 -50.86		
 41.50   	 37.54   	  7.57   	 -20.35		 70.60   	 -40.69		
 40.89   	 50.66   	  7.49   	 -55.95		 70.44   	 -45.78		
 39.06   	 60.73   	  7.26   	 -66.12		 70.25   	 -50.86		
 36.62   	 69.89   	  7.00   	 -55.95		 70.05   	 -55.95		
 36.32   	 80.87   	  6.78   	 -45.78		 69.83   	 -50.86		
 41.50   	 95.52   	  6.59   	 -30.52		 69.62   	 -50.86		
 53.41   	111.69   	  6.47   	 -25.43		 69.42   	 -50.86		
 67.75   	124.21   	  6.37   	   0.00		 69.22   	 -45.78		
 76.60   	126.34   	  6.37   	   5.09		 69.03   	 -45.78		
 72.33   	114.44   	  6.39   	  10.17		 68.85   	 -45.78		
 52.49   	 89.72   	  6.43   	  10.17		 68.67   	 -50.86		
 22.28   	 59.20   	  6.47   	  15.26		 68.46   	 -61.04		
 -7.02   	 32.65   	  6.53   	  20.35		 68.22   	 -55.95		
-25.63   	 18.31   	  6.61   	  15.26		 68.00   	 -61.04		
-30.21   	 17.70   	  6.67   	  25.43		 67.75   	 -61.04		
-25.33   	 26.55   	  6.78   	  25.43		 67.51   	 -61.04		
-19.53   	 37.23   	  6.88   	  25.43		 67.26   	 -66.12		
-18.31   	 43.33   	  6.98   	  25.43		 67.00   	 -66.12		
-22.58   	 42.11   	  7.08   	  50.86		 66.73   	 -66.12		
-28.99   	 34.18   	  7.28   	  61.04		 66.47   	 -61.04		
-34.48   	 23.50   	  7.53   	  55.95		 66.23   	 -66.12		
-36.01   	 14.04   	  7.75   	  40.69		 65.96   	 -66.12		
-32.96   	 10.99   	  7.91   	  20.35		 65.70   	 -66.12		
-26.25   	 17.70   	  8.00   	  20.35		 65.43   	 -55.95		
-17.70   	 33.87   	  8.08   	  25.43		 65.21   	 -50.86		
 -9.77   	 55.24   	  8.18   	  45.78		 65.00   	 -55.95		
 -5.80   	 75.99   	  8.36   	  66.12		 64.78   	 -50.86		
 -8.24   	 95.83   	  8.63   	  86.47		 64.58   	 -61.04		
-19.84   	118.10   	  8.97   	  91.56		 64.33   	 -76.30		
-37.84   	142.52   	  9.34   	  66.12		 64.03   	 -81.38		
-42.72   	155.64   	  9.60   	   0.00		 63.70   	 -81.38		
  4.58   	145.26   	  9.60   	 -55.95		 63.38   	 -81.38		
139.47   	128.17   	  9.38   	 -76.30		 63.05   	 -71.21		
365.60   	140.69   	  9.07   	 -66.12		 62.77   	 -55.95		
622.25   	211.49   	  8.81   	 -55.95		 62.54   	 -50.86		
783.69   	327.15   	  8.59   	 -35.61		 62.34   	 -55.95		
737.00   	410.46(R)	  8.44(E)	  35.61		 62.12   	 -61.04		
 53.10   	212.71   	  8.59   	  66.12		 61.87   	 -71.21		
-324.40   	 -9.77   	  8.85   	  71.21		 61.59   	 -71.21		
-539.25   	-178.83   	  9.14   	  81.38		 61.30   	 -66.12		
-575.56   	-226.14   	  9.46   	  81.38		 61.04   	 -61.04		
-523.07   	-170.59   	  9.79   	  71.21		 60.79   	 -55.95		
-490.11   	-91.55   	 10.07   	  45.78		 60.57   	 -55.95		
-528.26   	-58.59   	 10.25   	  30.52		 60.35   	 -50.86		
-617.07   	-83.31   	 10.38   	  10.17		 60.14   	 -55.95		
-698.24   	-122.07   	 10.42   	   5.09		 59.92   	 -50.86		
-728.15   	-118.41   	 10.44   	  -5.09		 59.71   	 -55.95		
-699.16   	-41.50   	 10.42   	 -10.17		 59.49   	 -50.86		
-631.71   	101.62   	 10.38   	  -5.09		 59.29   	 -55.95		
-550.54   	278.32   	 10.36   	  10.17		 59.06   	 -45.78		
-472.41   	448.30   	 10.40   	  35.61		 58.88   	 -40.69		
-407.41   	581.05   	 10.54   	  66.12		 58.72   	 -45.78		
-360.72   	663.45   	 10.80   	 106.82		 58.53   	 -55.95		
-333.56   	698.55   	 11.23   	 132.25		 58.31   	 -61.04		
-323.49   	700.07   	 11.76   	 167.85		 58.07   	 -55.95		
-326.84   	685.73   	 12.43   	 193.29		 57.84   	 -45.78		
-336.91   	668.95   	 13.20   	 223.80		 57.66   	 -45.78		
-346.98   	655.82   	 14.10   	 244.15		 57.48   	 -45.78		
-352.17   	644.23   	 15.08   	 249.24		 57.29   	 -40.69		
-350.95   	630.19   	 16.07   	 274.67		 57.13   	 -45.78		
-345.46   	612.79   	 17.17   	 295.01		 56.95   	 -45.78		
-339.66   	595.09   	 18.35   	 350.97		 56.76   	 -61.04		
