SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  AO     	  AO'		  RV     	  RV'		
 48.30   	 -55.95		  4.44   	 122.07		
 48.08   	 -55.95		  4.92   	 167.85		
 47.85   	 -55.95		  5.60   	 213.63		
 47.63   	 -50.86		  6.45   	 259.41		
 47.43   	 -50.86		  7.49   	 310.27		
 47.22   	 -55.95		  8.73   	 361.14		
 47.00   	 -61.04		 10.17   	 412.00		
 46.75   	 -50.86		 11.82   	 457.78		
 46.55   	 -40.69		 13.65   	 488.30		
 46.39   	-101.73		 15.61   	 610.37		
 45.98   	 -45.78		 18.05   	 610.37		
 45.80   	 -40.69		 20.49   	 595.11		
 45.64   	 -35.61		 22.87   	 579.86		
 45.49   	 -45.78		 25.19   	 549.34		
 45.31   	 -30.52		 27.39   	 508.65		
 45.19   	 -20.35		 29.42   	 467.95		
 45.11   	   5.09		 31.29   	 422.18		
 45.13   	  25.43		 32.98   	 366.22		
 45.23   	  66.12		 34.45   	 320.45		
 45.49   	 132.25		 35.73   	 269.58		
 46.02   	 208.54		 36.81   	 228.89		
 46.86   	 289.93		 37.72   	 183.11		
 48.02   	 376.40		 38.45   	 157.68		
 49.52   	 457.78		 39.08   	 122.07		
 51.35   	 523.90		 39.57   	 106.82		
 53.45   	 590.03		 40.00   	  86.47		
 55.81   	 640.89		 40.35   	  81.38		
 58.37   	 651.07		 40.67   	  71.21		
 60.98   	 651.07		 40.96   	  76.30		
 63.58   	 635.81		 41.26   	  76.30		
 66.12   	 590.03		 41.57   	  81.38		
 68.48   	 528.99		 41.89   	  86.47		
 70.60   	 467.95		 42.24   	  96.64		
 72.47   	 396.74		 42.62   	 101.73		
 74.06   	 554.42		 43.03   	 127.16		
 76.28   	 162.77		 43.54   	 127.16		
 76.93   	 101.73		 44.05   	 127.16		
 77.33   	  45.78		 44.56   	 127.16		
 77.52   	   5.09		 45.07   	 116.99		
 77.54(S)	 -35.61		 45.53   	 116.99		
 77.40   	 -61.04		 46.00   	 101.73		
 77.15   	 -76.30		 46.41   	  91.56		
 76.85   	 -86.47		 46.77   	  81.38		
 76.50   	 -86.47		 47.10   	  66.12		
 76.15   	 -91.56		 47.37   	  50.86		
 75.79   	 -96.64		 47.57   	  35.61		
 75.40   	-101.73		 47.71   	  20.35		
 74.99   	-116.99		 47.79(S)	   0.00		
 74.53   	-116.99		 47.79   	 -10.17		
 74.06   	-116.99		 47.75   	 -20.35		
 73.59   	-132.25		 47.67   	 -40.69		
 73.06   	-147.51		 47.51   	 -50.86		
 72.47   	-152.59		 47.30   	 -61.04		
 71.86   	-152.59		 47.06   	 -76.30		
 71.25   	-152.59		 46.75   	 -81.38		
