SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  FA     	  FA'		
  6.57   	-305.19		 79.15   	-157.68		
  5.35   	-279.75		 78.51   	-162.77		
  4.23   	-233.98		 77.86   	-167.85		
  3.30   	-203.46		 77.19   	-157.68		
  2.48   	-167.85		 76.56   	-162.77		
  1.81   	-116.99		 75.91   	-157.68		
  1.34   	 -81.38		 75.28   	-157.68		
  1.02   	 -86.47		 74.65   	-147.51		
  0.67   	 -76.30		 74.06   	-147.51		
  0.37   	 -45.78		 73.47   	-137.33		
  0.18   	 -35.61		 72.92   	-137.33		
  0.04   	 -10.17		 72.37   	-132.25		
  0.00   	  20.35		 71.84   	-127.16		
  0.08   	  35.61		 71.33   	-122.07		
  0.22   	  50.86		 70.84   	-116.99		
  0.43   	  66.12		 70.38   	-111.90		
  0.69   	  76.30		 69.93   	-111.90		
  1.00   	  81.38		 69.48   	-106.82		
  1.32   	  81.38		 69.05   	-106.82		
  1.65   	  81.38		 68.63   	-106.82		
  1.97   	  91.56		 68.20   	-101.73		
  2.34   	  86.47		 67.79   	 -96.64		
  2.69   	  91.56		 67.41   	-101.73		
  3.05   	  91.56		 67.00   	 -96.64		
  3.42   	  86.47		 66.61   	-101.73		
  3.76   	  76.30		 66.21   	 -91.56		
  4.07   	  71.21		 65.84   	 -96.64		
  4.35   	  61.04		 65.45   	 -91.56		
  4.60   	  50.86		 65.09   	 -91.56		
  4.80   	  40.69		 64.72   	 -86.47		
  4.96   	  35.61		 64.37   	 -86.47		
  5.11   	  25.43		 64.03   	 -81.38		
  5.21   	  15.26		 63.70   	 -81.38		
  5.27   	   5.09		 63.38   	 -76.30		
  5.29   	  10.17		 63.07   	 -76.30		
  5.33   	  15.26		 62.77   	 -71.21		
  5.39   	   5.09		 62.48   	 -66.12		
  5.41   	   5.09		 62.22   	 -66.12		
  5.43   	  10.17		 61.95   	 -61.04		
  5.47   	  15.26		 61.71   	 -61.04		
  5.53   	  10.17		 61.46   	 -61.04		
  5.57   	   5.09		 61.22   	 -55.95		
  5.60   	   0.00		 61.00   	 -55.95		
  5.60   	  -5.09		 60.77   	 -50.86		
  5.57   	 -15.26		 60.57   	 -50.86		
  5.51   	 -15.26		 60.37   	 -50.86		
  5.45   	  -5.09		 60.16   	 -50.86		
  5.43   	 -15.26		 59.96   	 -50.86		
  5.37   	 -15.26		 59.76   	 -45.78		
  5.31   	 -15.26		 59.57   	 -45.78		
  5.25   	 -15.26		 59.39   	 -50.86		
  5.19   	 -10.17		 59.19   	 -45.78		
  5.15   	 -10.17		 59.00   	 -45.78		
  5.11   	 -10.17		 58.82   	 -40.69		
  5.07   	  -5.09		 58.66   	 -45.78		
  5.05   	  -5.09		 58.47   	 -45.78		
  5.03   	   0.00		 58.29   	 -40.69		
  5.03   	   5.09		 58.13   	 -45.78		
  5.05   	   5.09		 57.94   	 -40.69		
  5.07   	   0.00		 57.78   	 -40.69		
  5.07   	  15.26		 57.62   	 -40.69		
  5.13   	  10.17		 57.46   	 -40.69		
  5.17   	  15.26		 57.29   	 -35.61		
  5.23   	  20.35		 57.15   	 -40.69		
  5.31   	  25.43		 56.99   	 -35.61		
  5.41   	  25.43		 56.85   	 -35.61		
  5.51   	  25.43		 56.70   	 -35.61		
  5.62   	  25.43		 56.56   	 -30.52		
  5.72   	  30.52		 56.44   	 -35.61		
  5.84   	  50.86		 56.30   	 -40.69		
  6.04   	  15.26		 56.13   	 -40.69		
  6.10   	  15.26		 55.97   	 -40.69		
  6.16   	  25.43		 55.81   	 -35.61		
  6.27   	  20.35		 55.67   	 -40.69		
  6.35   	  20.35		 55.50   	 -40.69		
  6.43(E)	  20.35		 55.34   	 -40.69		
  6.51   	  20.35		 55.18   	 -35.61		
  6.59   	  15.26		 55.04   	 -40.69		
  6.65   	  20.35		 54.87   	 -35.61		
  6.73   	  25.43		 54.73   	 -40.69		
  6.84   	  20.35		 54.57   	 -35.61		
  6.92   	  35.61		 54.43   	 -30.52		
  7.06   	  35.61		 54.30   	 -35.61		
  7.20   	  45.78		 54.16   	 -35.61		
  7.39   	  71.21		 54.02   	 -30.52		
  7.67   	  86.47		 53.90   	 -30.52		
  8.02   	 127.16		 53.77   	 -30.52		
  8.52   	 162.77		 53.65   	 -30.52		
  9.18   	 178.03		 53.53   	 -30.52		
  9.89   	 218.72		 53.41   	 -25.43		
 10.76   	 289.93		 53.31   	 -30.52		
 11.92   	 335.71		 53.18   	 -30.52		
 13.27   	 350.97		 53.06   	 -30.52		
 14.67   	 391.66		 52.94   	 -30.52		
 16.24   	 422.18		 52.82   	 -30.52		
 17.92   	 432.35		 52.70   	 -30.52		
 19.65   	 447.61		 52.57   	 -30.52		
 21.44   	 442.52		 52.45   	 -30.52		
 23.21   	 427.26		 52.33   	 -30.52		
 24.92   	 427.26		 52.21   	 -30.52		
 26.63   	 406.92		 52.09   	 -25.43		
 28.26   	 381.48		 51.98   	 -30.52		
 29.79   	 366.22		 51.86   	 -25.43		
 31.25   	 335.71		 51.76   	 -25.43		
 32.59   	 305.19		 51.66   	 -30.52		
 33.81   	 274.67		 51.54   	 -25.43		
 34.91   	 239.06		 51.43   	 -25.43		
 35.87   	 208.54		 51.33   	 -25.43		
 36.70   	 172.94		 51.23   	 -25.43		
 37.40   	 137.33		 51.13   	 -25.43		
 37.94   	 111.90		 51.03   	 -25.43		
 38.39   	  81.38		 50.93   	 -25.43		
 38.72   	  55.95		 50.82   	 -25.43		
 38.94   	  25.43		 50.72   	 -20.35		
 39.04   	   5.09		 50.64   	 -25.43		
 39.06   	 -10.17		 50.54   	 -25.43		
 39.02   	 -10.17		 50.44   	 -20.35		
 38.98   	 -30.52		 50.36   	 -20.35		
 38.86   	 -35.61		 50.27   	 -20.35		
 38.72   	 -35.61		 50.19   	 -10.17		
 38.58   	 -25.43		 50.15   	  -5.09		
 38.47   	 -10.17		 50.13   	   5.09		
 38.43   	   0.00		 50.15   	  20.35		
 38.43   	   0.00		 50.23   	  40.69		
 38.43   	  30.52		 50.40   	  61.04		
 38.56   	  45.78		 50.64   	  86.47		
 38.74   	  35.61		 50.99   	 116.99		
 38.88   	  61.04		 51.45   	 142.42		
 39.12   	  71.21		 52.02   	 172.94		
 39.41   	  76.30		 52.72   	 193.29		
 39.72   	  86.47		 53.49   	 223.80		
 40.06   	  96.64		 54.38   	 244.15		
 40.45   	  96.64		 55.36   	 259.41		
 40.83   	 101.73		 56.40   	 279.75		
 41.24   	 101.73		 57.52   	 289.93		
 41.65   	 101.73		 58.68   	 300.10		
 42.05   	 106.82		 59.88   	 305.19		
 42.48   	 101.73		 61.10   	 310.27		
 42.89   	  91.56		 62.34   	 310.27		
 43.26   	  81.38		 63.58   	 310.27		
 43.58   	  76.30		 64.82   	 300.10		
 43.89   	  66.12		 66.02   	 295.01		
 44.15   	  61.04		 67.20   	 289.93		
 44.39   	  50.86		 68.36   	 284.84		
 44.60   	  35.61		 69.50   	 274.67		
 44.74   	  25.43		 70.60   	 264.50		
 44.84   	  15.26		 71.66   	 264.50		
 44.90   	   5.09		 72.72   	 254.32		
 44.92(S)	  -5.09		 73.73   	 249.24		
 44.90   	 -10.17		 74.73   	 244.15		
 44.86   	 -20.35		 75.71   	 244.15		
 44.78   	 -30.52		 76.68   	 239.06		
 44.66   	 -35.61		 77.64   	 233.98		
 44.52   	 -45.78		 78.58   	 233.98		
 44.33   	 -50.86		 79.51   	 228.89		
 44.13   	 -61.04		 80.43   	 223.80		
 43.89   	 -66.12		 81.32   	 208.54		
 43.62   	 -71.21		 82.16   	 203.46		
 43.34   	 -81.38		 82.97   	 183.11		
 43.01   	-106.82		 83.70   	 162.77		
 42.58   	-122.07		 84.35   	 142.42		
 42.10   	-142.42		 84.92   	 122.07		
 41.53   	-167.85		 85.41   	  91.56		
 40.85   	-203.46		 85.78   	  61.04		
 40.04   	-228.89		 86.02   	  35.61		
 39.12   	-269.58		 86.16(S)	   0.00		
 38.05   	-295.01		 86.16   	 -20.35		
 36.87   	-310.27		 86.08   	 -50.86		
 35.63   	-345.88		 85.88   	 -76.30		
 34.24   	-401.83		 85.57   	-101.73		
 32.63   	-447.61		 85.17   	-122.07		
 30.84   	-467.95		 84.68   	-132.25		
 28.97   	-493.39		 84.15   	-147.51		
 27.00   	-513.73		 83.56   	-157.68		
 24.94   	-518.82		 82.93   	-157.68		
 22.87   	-513.73		 82.30   	-162.77		
 20.81   	-508.65		 81.65   	-162.77		
 18.78   	-508.65		 81.00   	-157.68		
 16.74   	-503.56		 80.37   	-162.77		
 14.73   	-493.39		 79.71   	-152.59		
 12.76   	-473.04		 79.10   	-152.59		
 10.86   	-457.78		 78.49   	-152.59		
  9.03   	-432.35		 77.88   	-147.51		
  7.30   	-412.00		 77.29   	-147.51		
  5.66   	-386.57		 76.70   	-147.51		
  4.11   	-361.14		 76.11   	-152.59		
  2.67   	-330.62		 75.50   	-147.51		
  1.34   	-295.01		 74.91   	-152.59		
  0.16   	-233.98		 74.30   	-152.59		
 -0.77   	-188.20		 73.69   	-147.51		
 -1.53   	-183.11		 73.10   	-147.51		
 -2.26   	-198.37		 72.51   	-147.51		
 -3.05   	-167.85		 71.92   	-142.42		
 -3.72   	-101.73		 71.35   	-137.33		
 -4.13   	 -76.30		 70.80   	-132.25		
 -4.44   	 -55.95		 70.27   	-127.16		
 -4.66   	 -15.26		 69.77   	-122.07		
 -4.72(D)	  20.35		 69.28   	-116.99		
 -4.64   	  25.43		 68.81   	-111.90		
 -4.54   	  55.95		 68.36   	-106.82		
 -4.31   	  81.38		 67.93   	-101.73		
 -3.99   	  91.56		 67.53   	 -96.64		
 -3.62   	  91.56		 67.14   	 -91.56		
 -3.26   	 101.73		 66.77   	 -96.64		
 -2.85   	 106.82		 66.39   	 -86.47		
 -2.42   	  96.64		 66.04   	 -91.56		
 -2.03   	 111.90		 65.68   	 -86.47		
 -1.59   	 101.73		 65.33   	 -86.47		
 -1.18   	  91.56		 64.98   	 -81.38		
 -0.81   	  91.56		 64.66   	 -86.47		
 -0.45   	 106.82		 64.31   	 -81.38		
 -0.02   	  96.64		 63.99   	 -81.38		
  0.37   	  86.47		 63.66   	 -81.38		
  0.71   	 101.73		 63.34   	 -76.30		
  1.12   	 106.82		 63.03   	 -81.38		
  1.55   	 101.73		 62.71   	 -71.21		
  1.95   	  91.56		 62.42   	 -76.30		
  2.32   	  81.38		 62.12   	 -71.21		
  2.64   	  76.30		 61.83   	 -66.12		
  2.95   	  71.21		 61.57   	 -66.12		
  3.23   	  55.95		 61.30   	 -66.12		
  3.46   	  45.78		 61.04   	 -61.04		
  3.64   	  35.61		 60.79   	 -55.95		
  3.78   	  30.52		 60.57   	 -55.95		
  3.91   	  10.17		 60.35   	 -55.95		
  3.95   	 -10.17		 60.12   	 -50.86		
  3.91   	 -10.17		 59.92   	 -55.95		
  3.87   	  -5.09		 59.69   	 -45.78		
  3.85   	  10.17		 59.51   	 -50.86		
  3.89   	   5.09		 59.31   	 -45.78		
  3.91   	   5.09		 59.12   	 -50.86		
  3.93   	   5.09		 58.92   	 -40.69		
  3.95   	  10.17		 58.76   	 -45.78		
  3.99   	  25.43		 58.58   	 -45.78		
  4.09   	  25.43		 58.39   	 -40.69		
  4.19   	  25.43		 58.23   	 -40.69		
  4.29   	  30.52		 58.07   	 -40.69		
  4.42   	  40.69		 57.90   	 -35.61		
  4.58   	  40.69		 57.76   	 -40.69		
  4.74   	  40.69		 57.60   	 -35.61		
  4.90   	  50.86		 57.46   	 -35.61		
  5.11   	  40.69		 57.31   	 -35.61		
