SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		
  3.05   	-21.06   	 16.91   	  55.95		
 13.12   	-10.68   	 17.13   	  55.95		
 21.97   	 -3.05   	 17.35   	  55.95		
 27.47   	  1.53   	 17.58   	  76.30		
 30.52   	  5.49   	 17.88   	  96.64		
 33.26   	 11.29   	 18.27   	 111.90		
 35.71   	 18.01   	 18.72   	 116.99		
 36.01   	 23.19   	 19.19   	 106.82		
 33.57   	 26.25   	 19.61   	  91.56		
 27.77   	 28.38   	 19.98   	  71.21		
 21.06   	 32.65   	 20.26   	  45.78		
 16.48   	 41.50   	 20.45   	  15.26		
 16.78   	 54.32   	 20.51   	  -5.09		
 22.58   	 66.53   	 20.49   	 -25.43		
 30.52   	 74.16   	 20.39   	 -35.61		
 36.01   	 76.90   	 20.24   	 -30.52		
 37.23   	 77.51   	 20.12   	 -35.61		
 36.62   	 80.26   	 19.98   	 -25.43		
 37.54   	 87.89   	 19.88   	 -15.26		
 40.28   	 97.66   	 19.82   	 -10.17		
 40.28   	104.68   	 19.78   	 -15.26		
 33.87   	107.73   	 19.72   	 -15.26		
 21.97   	109.25   	 19.65   	 -25.43		
  7.93   	112.61   	 19.55   	 -30.52		
 -3.36   	118.71   	 19.43   	 -30.52		
 -9.46   	126.65   	 19.31   	 -30.52		
 -8.85   	136.11   	 19.19   	 -25.43		
 -0.31   	146.79   	 19.08   	 -15.26		
 15.26   	157.17   	 19.02   	  -5.09		
 32.96   	163.27   	 19.00   	  -5.09		
 47.30   	160.52   	 18.98   	  -5.09		
 56.46   	148.93   	 18.96   	 -10.17		
 63.17   	133.67   	 18.92   	 -20.35		
 69.89   	119.93   	 18.84   	 -30.52		
 74.46   	108.03   	 18.72   	 -30.52		
 73.55   	 95.83   	 18.60   	 -35.61		
 66.83   	 79.96   	 18.45   	 -30.52		
 56.76   	 61.95   	 18.33   	 -20.35		
 48.52   	 43.95   	 18.25   	 -15.26		
 43.03   	 27.77   	 18.19   	  -5.09		
 38.45   	 13.73   	 18.17   	   0.00		
 35.40   	  2.44   	 18.17   	   0.00		
 35.71   	 -6.10   	 18.17   	   0.00		
 39.06   	-11.60   	 18.17   	  -5.09		
 42.42   	-15.56   	 18.15   	 -15.26		
 42.72   	-18.92   	 18.09   	 -35.61		
 39.67   	-21.97   	 17.94   	 -66.12		
 37.23   	-23.80   	 17.68   	 -96.64		
 37.54   	-24.11   	 17.29   	-137.33		
 41.20   	-23.80   	 16.74   	-152.59		
 45.17   	-23.50   	 16.13   	-147.51		
 47.30   	-23.50   	 15.54   	-137.33		
 48.52   	-22.28   	 14.99   	-152.59		
 50.05   	-20.45   	 14.38   	-152.59		
 53.10   	-18.31   	 13.77   	-178.03		
 57.37   	-17.70   	 13.06   	-183.11		
