SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
 68.97   	251.16   	 85.33   	 274.67		 49.77   	 132.25		
 68.66   	271.61   	 86.43   	 264.50		 50.29   	 127.16		
 75.07   	296.02   	 87.49   	 249.24		 50.80   	 122.07		
 83.62   	320.13   	 88.48   	 218.72		 51.29   	 111.90		
 90.64   	339.66   	 89.36   	 188.20		 51.74   	 101.73		
 92.77   	351.26   	 90.11   	 152.59		 52.15   	  96.64		
 90.03   	352.17   	 90.72   	 116.99		 52.53   	  91.56		
 84.23   	340.88   	 91.19   	  76.30		 52.90   	  76.30		
 76.90   	317.38   	 91.50   	  45.78		 53.20   	  71.21		
 68.97   	284.73   	 91.68   	  10.17		 53.49   	  55.95		
 61.04   	246.58   	 91.72   	  -5.09		 53.71   	  50.86		
 51.88   	206.91   	 91.70   	 -25.43		 53.92   	  40.69		
 42.11   	169.37   	 91.60   	 -35.61		 54.08   	  30.52		
 32.65   	135.19   	 91.45   	 -45.78		 54.20   	  15.26		
 26.55   	104.06   	 91.27   	 -45.78		 54.26   	  10.17		
 23.80   	 75.38   	 91.09   	 -45.78		 54.30   	  -5.09		
 22.28   	 46.08   	 90.91   	 -50.86		 54.28   	 -10.17		
 18.01   	 14.65   	 90.70   	 -45.78		 54.24   	 -30.52		
  8.54   	-17.40   	 90.52   	 -45.78		 54.12   	 -40.69		
 -4.88   	-45.47   	 90.34   	 -45.78		 53.96   	 -50.86		
-16.78   	-65.61   	 90.15   	 -50.86		 53.75   	 -66.12		
-21.97   	-76.90   	 89.95   	 -50.86		 53.49   	 -76.30		
-20.14   	-82.40   	 89.75   	 -55.95		 53.18   	 -86.47		
-15.26   	-87.28   	 89.52   	 -61.04		 52.84   	 -96.64		
-14.04   	-94.91   	 89.28   	 -71.21		 52.45   	-122.07		
-18.62   	-104.37   	 88.99   	 -81.38		 51.96   	-142.42		
-26.55   	-112.00   	 88.67   	 -91.56		 51.39   	-172.94		
-33.57   	-115.36   	 88.30   	-106.82		 50.70   	-213.63		
-37.23   	-115.66   	 87.87   	-116.99		 49.85   	-239.06		
-39.06   	-115.66   	 87.41   	-127.16		 48.89   	-269.58		
-41.50   	-118.71   	 86.90   	-142.42		 47.81   	-284.84		
-44.86   	-122.99   	 86.33   	-157.68		 46.67   	-289.93		
-45.78   	-122.38   	 85.70   	-167.85		 45.51   	-295.01		
