SAMPLE NUMBER:   14
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
 -2.44   	 17.40   	 23.56   	-213.63		129.34   	-213.63		
 -8.54   	 12.21   	 22.71   	-228.89		128.48   	-233.98		
-11.60   	  9.77   	 21.79   	-233.98		127.55   	-259.41		
 -8.85   	 13.43   	 20.85   	-249.24		126.51   	-279.75		
 -1.83   	 21.06   	 19.86   	-259.41		125.39   	-289.93		
  4.58   	 28.38   	 18.82   	-264.50		124.23   	-305.19		
  7.02   	 32.04   	 17.76   	-259.41		123.01   	-310.27		
  5.19   	 32.35   	 16.72   	-249.24		121.77   	-320.45		
  1.83   	 30.21   	 15.73   	-239.06		120.49   	-320.45		
 -0.61   	 26.55   	 14.77   	-228.89		119.21   	-300.10		
 -2.75   	 22.28   	 13.86   	-213.63		118.01   	-274.67		
 -4.58   	 18.31   	 13.00   	-198.37		116.91   	-244.15		
 -7.02   	 16.17   	 12.21   	-183.11		115.93   	-228.89		
 -8.54   	 17.70   	 11.48   	-167.85		115.01   	-228.89		
 -7.02   	 22.58   	 10.80   	-157.68		114.10   	-233.98		
 -3.05   	 27.47   	 10.17   	-147.51		113.16   	-233.98		
 -0.92   	 28.69   	  9.58   	-142.42		112.23   	-228.89		
 -4.27   	 25.02   	  9.01   	-132.25		111.31   	-218.72		
-11.90   	 17.09   	  8.48   	-127.16		110.44   	-208.54		
-19.84   	  9.77   	  7.98   	-122.07		109.60   	-193.29		
-21.97   	  8.54   	  7.49   	-111.90		108.83   	-183.11		
-14.95   	 15.26   	  7.04   	-106.82		108.10   	-178.03		
 -1.83   	 27.16   	  6.61   	 -91.56		107.39   	-183.11		
  9.77   	 36.93   	  6.25   	 -71.21		106.65   	-172.94		
 13.12   	 39.06   	  5.96   	 -55.95		105.96   	-152.59		
  8.85   	 32.35   	  5.74   	 -40.69		105.35   	-142.42		
  1.53   	 22.28   	  5.57   	 -20.35		104.78   	-137.33		
 -3.97   	 14.95   	  5.49   	 -10.17		104.23   	-127.16		
 -5.49   	 12.21   	  5.45   	  -5.09		103.72   	-116.99		
 -4.88   	 11.90   	  5.43   	 -10.17		103.25   	-106.82		
 -5.19   	 11.29   	  5.39   	   0.00		102.83   	 -96.64		
 -6.41   	  9.77   	  5.39   	   5.09		102.44   	 -86.47		
 -6.71   	  8.54   	  5.41   	   5.09		102.10   	 -81.38		
 -5.80   	  8.54   	  5.43   	   0.00		101.77   	 -86.47		
 -3.66   	  8.54   	  5.43   	   0.00		101.42   	 -96.64		
 -3.05   	  7.32   	  5.43   	  -5.09		101.04   	 -96.64		
 -5.19   	  3.97   	  5.41   	   0.00		100.65   	 -76.30		
-10.07   	 -0.92   	  5.41   	   0.00		100.35   	 -55.95		
-17.09   	 -7.02   	  5.41   	   0.00		100.12   	 -50.86		
-23.50   	-13.43   	  5.41   	   5.09		 99.92   	 -45.78		
-25.63   	-17.40   	  5.43   	   5.09		 99.74   	 -61.04		
-21.06   	-15.26   	  5.45   	  15.26		 99.49   	 -61.04		
 -8.85   	 -6.41   	  5.51   	  10.17		 99.25   	 -71.21		
  7.02   	  7.02   	  5.55   	  20.35		 98.96   	 -61.04		
 19.23   	 18.01   	  5.64   	  10.17		 98.72   	 -61.04		
 21.97   	 20.45   	  5.68   	  10.17		 98.47   	 -50.86		
 14.34   	 14.65   	  5.72   	  10.17		 98.27   	 -50.86		
  1.83   	  7.93   	  5.76   	  10.17		 98.07   	 -61.04		
 -6.41   	 10.07   	  5.80   	  15.26		 97.82   	 -61.04		
 -5.19   	 25.02   	  5.86   	  15.26		 97.58   	 -61.04		
  4.58   	 48.22   	  5.92   	  10.17		 97.33   	 -66.12		
 15.56   	 68.05   	  5.96   	  10.17		 97.07   	 -55.95		
 19.53   	 75.99   	  6.00   	  10.17		 96.85   	 -55.95		
 13.43   	 72.63   	  6.04   	   5.09		 96.62   	 -55.95		
  0.92   	 65.92   	  6.06   	   5.09		 96.40   	 -61.04		
-10.68   	 64.39   	  6.08   	   5.09		 96.15   	 -61.04		
-15.87   	 70.80   	  6.10   	   0.00		 95.91   	 -66.12		
-12.21   	 82.09   	  6.10   	   0.00		 95.65   	 -71.21		
 -2.44   	 91.55   	  6.10   	 -10.17		 95.36   	 -71.21		
